Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Joseph Ross,$5.9K,R,WAS,SP,SEA, , ,2.50%,6.916,-100,-7,9.0,-143,4.89, ,4,0.403,,0.184,8.70,5,0.287,,0.135,8.54,23,3.73,4.65,0.18,0.339,8.61,0.36,0.22,17.29,2.93
Jesse Hahn,$6.1K,R,OAK,SP,MIA,12,13.33,3.00%,5.873,-1700,5,9.0,-121,4.67,0.51,6,0.373,,0.179,5.08,3,0.281,,0.055,6.39,17,4.51,5.02,0.14,0.342,5.52,0.43,0.22,17.62,2.89
Joseph Biagini,$4.6K,R,TOR,SP,@ MIL,1,2.67,7.50%,1.696,-1700,2,8.5,-110,4.3,-0.12,3,0.310,,0.105,10.01,6,0.276,,0.107,7.05,80,3.44,3.54,0.08,0.287,8.04,0.44,0.19,12.72,2.77
Zach Eflin,$4.7K,R,PHI,SP,COL, , ,0.25%, ,-1900,3,8.5,120,4,-0.12,5,0.383,,0.280,3.66,4,0.325,,0.156,4.98,17,4.94,5.88,0.16,0.357,4.25,0.32,0.30,12.37,2.63
Christian Bergman,$4.9K,R,SEA,SP,@ WAS, , ,0.50%, ,-1400,-1,9.0,133,4.11, ,3,0.410,,0.289,11.70,6,0.375,,0.205,6.58,17,4.02,5.54,0.19,0.387,8.29,0.30,0.31,12.91,2.63
Patrick Corbin,$7.0K,L,ARI,SP,CHW, , ,2.00%,9.090,-300,-3,11.0,-160,6.16,-0.02,0,0.308,,0.174,11.13,9,0.372,,0.197,6.68,43,4.13,5.52,0.22,0.372,6.68,0.39,0.23,18.18,2.6
Clayton Kershaw,$13.4K,L,LAD,SP,STL,2,4.33,30.00%,1.162,800,0,7.0,-235,4.34,1.09,1,0.229,,0.117,10.56,8,0.226,,0.090,10.27,35,2.41,2.83,0.12,0.226,10.30,0.39,0.24,34.87,2.6
Jordan Montgomery,$6.8K,L,NYY,SP,KCR,4,5.67,20.00%,0.883,-200,-4,8.5,-139,4.58,0.06,2,0.374,,0.318,7.94,7,0.290,,0.073,9.32,7,4.24,4.75,0.12,0.309,9.01,0.31,0.29,17.66,2.6
Lance McCullers,$10.2K,R,HOU,SP,DET,4,5.67,22.50%,1.175,800,0,8.5,-216,5.15,0.1,1,0.357,,0.132,11.96,8,0.310,,0.144,10.93,24,3.09,3.75,0.15,0.315,11.04,0.43,0.21,26.44,2.59
Lance Lynn,$7.2K,R,STL,SP,@ LAD, , ,2.00%,9.125,-1100,3,7.0,216,2.66,-0.59,7,0.463,,0.316,5.69,2,0.201,,0.090,9.35,8,4.06,5.85,0.21,0.405,6.50,0.34,0.30,18.25,2.53
Jordan Zimmermann,$5.6K,R,DET,SP,@ HOU, , ,0.25%, ,-2100,6,8.5,200,3.35,-0.1,4,0.332,,0.198,6.02,5,0.381,,0.211,5.99,27,4.66,5.68,0.17,0.359,6.00,0.32,0.29,13.9,2.48
Amir Garrett,$4.8K,L,CIN,SP,CLE,11,13.00,1.00%,11.920,-2300,7,8.5,157,3.68,-0.06,2,0.267,,0.250,10.80,7,0.353,,0.218,8.00,7,4.34,6.32,0.24,0.334,8.62,0.37,0.29,11.92,2.48
Jose Urena,$5.5K,R,MIA,SP,@ OAK, , ,0.50%, ,-1200,0,9.0,111,4.33,0.49,4,0.337,,0.175,4.83,5,0.344,,0.186,7.64,35,4.60,5.35,0.13,0.341,6.39,0.37,0.27,13.3,2.42
Alex Cobb,$7.9K,R,TBR,SP,LAA,12,13.33,7.50%,2.536,-700,1,8.5,-112,4.32,0.2,4,0.369,,0.153,5.56,5,0.295,,0.123,6.96,15,4.26,5.36,0.20,0.328,6.34,0.40,0.22,19.02,2.41
Rick Porcello,$8.5K,R,BOS,SP,TEX,9,10.33,10.00%,2.049,-400,2,9.0,-200,5.35,-0.2,5,0.289,,0.138,8.76,4,0.313,,0.172,8.52,43,3.41,4.29,0.14,0.300,8.65,0.34,0.31,20.49,2.41
Dylan Bundy,$7.8K,R,BAL,SP,MIN, , ,3.00%,6.223,-500,-1,9.5,-123,4.95,0.51,6,0.356,,0.196,6.18,3,0.320,,0.165,8.86,45,4.20,5.36,0.18,0.344,7.07,0.32,0.30,18.67,2.39
Matt Harvey,$6.5K,R,NYM,SP,SDP, , ,7.50%,2.033,-1500,5,8.0,-138,4.3,-0.31,4,0.375,,0.215,8.20,5,0.334,,0.161,6.79,25,4.25,5.17,0.16,0.352,7.42,0.36,0.26,15.25,2.35
Jimmy Nelson,$7.6K,R,MIL,SP,TOR,14,13.83,5.00%,3.520,-700,0,8.5,100,4.2,-0.38,4,0.342,,0.180,7.32,5,0.351,,0.150,8.21,41,4.33,5.56,0.17,0.347,7.81,0.42,0.24,17.6,2.32
Carlos Carrasco,$9.9K,R,CLE,SP,@ CIN,6,6.83,17.50%,1.278,-400,3,8.5,-167,4.82,0.06,5,0.359,,0.259,10.39,4,0.280,,0.149,9.46,33,3.11,4.31,0.19,0.324,9.98,0.38,0.26,22.36,2.26
Jon Lester,$11.1K,L,CHC,SP,SFG,10,11.50,7.50%,3.303,800,0,7.0,-168,3.98,3.98,3,0.227,,0.088,9.40,6,0.291,,0.143,8.86,45,3.33,4.06,0.16,0.270,9.04,0.39,0.23,24.77,2.23
Johnny Cueto,$10.4K,R,SFG,SP,@ CHC, , ,4.00%,5.777,1100,-2,7.0,158,3.02,3.02,6,0.295,,0.128,8.61,3,0.280,,0.122,8.07,42,3.29,3.81,0.13,0.290,8.43,0.42,0.22,23.11,2.22
German Marquez,$6.6K,R,COL,SP,@ PHI,3,5.17,5.00%,2.898,-1900,8,8.5,-130,4.5,0.12,6,0.346,,0.162,8.24,3,0.352,,0.238,6.39,11,4.12,4.37,0.09,0.348,7.62,0.38,0.28,14.49,2.2
Tyler Glasnow,$7.4K,R,PIT,SP,@ ATL, , ,2.00%,8.070,800,-11,9.5,-103,4.69,0.06,4,0.402,,0.225,11.57,5,0.379,,0.244,9.62,16,4.49,5.75,0.19,0.389,10.49,0.32,0.25,16.14,2.18
Ervin Santana,$8.1K,R,MIN,SP,@ BAL, , ,4.00%,4.145,-600,1,9.5,113,4.55,0.49,2,0.279,,0.110,6.66,7,0.294,,0.143,8.12,39,4.12,4.66,0.13,0.291,7.80,0.35,0.27,16.58,2.05
Matt Shoemaker,$9.2K,R,LAA,SP,@ TBR,7,10.17,20.00%,0.944,400,-1,8.5,102,4.18,0.3,4,0.296,,0.152,8.14,5,0.328,,0.170,9.80,35,3.57,4.52,0.15,0.314,9.06,0.32,0.30,18.88,2.05
Danny Duffy,$8.8K,L,KCR,SP,@ NYY,7,10.17,12.50%,1.395,200,-2,8.5,129,3.92,-0.06,2,0.224,,0.064,10.94,7,0.318,,0.162,9.51,49,3.50,4.35,0.13,0.297,9.83,0.30,0.33,17.44,1.98
Jhoulys Chacin,$7.5K,R,SDP,SP,@ NYM, , ,2.00%,6.950,600,-9,8.0,128,3.7,-0.19,6,0.330,,0.154,5.13,3,0.303,,0.100,10.00,43,4.00,4.76,0.17,0.321,6.75,0.41,0.20,13.9,1.85
