Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Matt Cain,$5.2K,R,SFG,SP,MIN, , , , ,-1800,6,8.5,-119,4.39,-0.01,5,0.356,,0.172,8.12,4,0.367,,0.204,6.92,33,4.58,5.64,0.17,0.361,7.59,0.33,0.26,16.74,3.22
Ivan Nova,$6.5K,R,PIT,SP,MIA, , ,15.00%,1.361,-1600,5,9.0,-166,5.1,0.57,5,0.352,,0.218,5.21,4,0.302,,0.159,7.70,43,3.63,4.65,0.17,0.330,6.32,0.45,0.23,20.42,3.14
Hyun-Jin Ryu,$6.9K,L,LAD,SP,CIN,15,14.67, , ,100,-11,8.5,-169,4.84,-0.31,2,0.391,,0.209,8.22,7,0.339,,0.231,8.08,11,3.89,5.53,0.23,0.351,8.11,0.37,0.24,20.21,2.93
Antonio Senzatela,$6.1K,R,COL,SP,@ CHC, , ,2.00%,8.695,-900,-2,11.5,184,4.68,4.68,5,0.318,,0.219,7.46,4,0.300,,0.158,6.67,11,4.20,5.30,0.17,0.310,7.11,0.41,0.25,17.39,2.85
Kevin Gausman,$5.4K,R,BAL,SP,@ NYY, , ,2.00%,7.560,-1800,8,10.5,155,4.57,-0.08,3,0.314,,0.161,8.07,6,0.377,,0.182,8.74,43,3.81,5.12,0.22,0.356,8.52,0.36,0.24,15.12,2.8
Nik Turley,$4.5K,R,BAL,SP,@ NYY,11,13.50, , ,-1000,1,8.5,109,4.11,0.01,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.44,2.76
David Paulino,$6.4K,R,HOU,SP,LAA,12,13.83,10.00%,1.722,-200,-8,9.0,-175,5.17,-0.24,4,0.556,,0.305,6.75,5,0.284,,0.185,8.59,5,4.06,4.84,0.14,0.405,7.77,0.31,0.27,17.22,2.69
Jake Arrieta,$8.7K,R,CHC,SP,COL,8,12.00,15.00%,1.540,-1500,2,11.5,-198,6.82,6.82,3,0.291,,0.150,9.50,6,0.260,,0.124,9.29,46,3.39,4.33,0.17,0.270,9.36,0.43,0.23,23.1,2.66
James Paxton,$9.2K,L,SEA,SP,TOR,3,5.17, , ,300,-1,8.0,-152,4.42,-0.05,1,0.280,,0.084,6.49,8,0.304,,0.134,10.05,28,3.25,3.23,0.08,0.301,9.65,0.34,0.25,23.96,2.6
Max Scherzer,$13.0K,R,WAS,SP,TEX,1,1.33, , ,800,0,9.0,-252,5.68,0.33,4,0.337,,0.208,9.80,5,0.210,,0.134,13.36,48,2.63,3.87,0.19,0.266,11.78,0.29,0.30,32.69,2.51
Adam Wainwright,$8.1K,R,STL,SP,PHI,7,10.50,12.50%,1.614,-700,0,9.0,-138,4.84,0.19,5,0.342,,0.158,7.86,4,0.327,,0.146,7.81,46,3.97,4.55,0.14,0.335,7.84,0.36,0.23,20.17,2.49
Daniel Norris,$5.7K,L,DET,SP,@ BOS, , , , ,-1400,3,10.5,142,4.7,0.09,2,0.331,,0.188,11.15,7,0.374,,0.187,9.09,25,3.92,4.79,0.15,0.364,9.55,0.34,0.29,14.11,2.48
Jesse Hahn,$5.8K,R,OAK,SP,@ TBR, , ,5.00%,2.872,-1500,6,7.5,184,3.05,-0.29,4,0.390,,0.186,5.10,5,0.286,,0.051,6.50,19,4.46,4.91,0.13,0.332,5.88,0.42,0.20,14.36,2.48
Seth Lugo,$5.9K,R,NYM,SP,@ ATL, , ,5.00%,2.926,-1600,6,8.5,128,3.93,-0.38,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.63,2.48
Jakob Junis,$5.6K,R,KCR,SP,@ SDP, , , , ,100,-4,8.5,103,4.17,0.17,4,0.367,,0.177,7.36,5,0.462,,0.105,6.23,4,6.52,6.49,0.08,0.420,6.73,0.26,0.32,13.73,2.45
Jaime Garcia,$7.6K,L,ATL,SP,NYM, , ,10.00%,1.854,-600,1,8.5,-138,4.57,-0.12,2,0.292,,0.136,8.55,7,0.329,,0.179,7.65,42,3.81,5.24,0.22,0.321,7.85,0.48,0.21,18.54,2.44
Jose Quintana,$7.9K,L,CHW,SP,@ CLE,13,14.17,7.50%,2.507,-100,-2,8.5,164,3.62,-0.1,1,0.288,,0.135,8.35,8,0.324,,0.183,9.02,44,3.71,4.41,0.14,0.320,8.95,0.34,0.28,18.8,2.38
Drew Pomeranz,$8.4K,L,BOS,SP,DET,14,14.33, , ,-200,-2,10.5,-152,5.8,-0.09,0,0.322,,0.114,10.40,9,0.313,,0.190,11.20,44,3.32,4.47,0.19,0.313,11.20,0.36,0.27,19.84,2.36
Jeff Locke,$5.5K,L,MIA,SP,@ PIT, , ,4.00%,3.237,-1000,-1,9.0,156,3.9,-0.07,1,0.339,,0.156,5.26,8,0.361,,0.209,6.00,31,4.75,5.55,0.16,0.359,5.92,0.38,0.24,12.95,2.35
Aaron Nola,$6.0K,R,PHI,SP,@ STL,5,7.17,20.00%,0.682,-1700,7,9.0,128,4.16,0.31,3,0.303,,0.136,8.53,6,0.311,,0.115,10.38,27,3.05,3.83,0.16,0.308,9.76,0.46,0.20,13.64,2.27
Jesse Chavez,$6.6K,R,LAA,SP,@ HOU, , ,3.00%,4.930,-200,-8,9.0,165,3.83,-0.26,4,0.369,,0.222,7.75,5,0.344,,0.225,8.02,72,3.83,5.63,0.21,0.355,7.90,0.37,0.30,14.79,2.24
Dinelson Lamet,$6.8K,R,SDP,SP,KCR,10,13.17, , ,-500,-3,8.5,-113,4.33,-0.17,4,0.479,,0.393,14.21,5,0.354,,0.295,15.43,3,3.81,6.18,0.20,0.410,14.89,0.27,0.45,15.15,2.23
Austin Bibens-Dirkx,$4.3K,R,TEX,SP,@ WAS, , , , ,-1200,2,9.0,231,3.32,0.17,6,0.244,,0.059,1.93,3,0.297,,0.119,7.59,6,5.08,5.99,0.19,0.262,3.82,0.23,0.28,9.58,2.23
Chris Archer,$12.2K,R,TBR,SP,OAK,2,2.50,47.50%,0.569,1200,0,7.5,-198,4.45,-0.21,5,0.304,,0.173,11.40,4,0.298,,0.151,10.79,45,3.17,4.27,0.18,0.301,11.13,0.35,0.28,27.05,2.22
J.A. Happ,$6.7K,L,TOR,SP,@ SEA, , , , ,-1000,1,8.0,142,3.58,0.05,3,0.301,,0.135,7.00,6,0.308,,0.170,8.44,40,3.80,4.80,0.17,0.306,7.96,0.37,0.26,14.04,2.1
Carlos Carrasco,$11.5K,R,CLE,SP,CHW,4,6.00,37.50%,0.637,1700,-1,8.5,-174,4.88,-0.4,4,0.367,,0.264,9.78,5,0.279,,0.148,9.55,36,3.20,4.38,0.18,0.318,9.65,0.37,0.28,23.88,2.08
Robbie Ray,$12.0K,L,ARI,SP,MIL,5,7.17, , ,1700,0,8.5,-147,4.65,-0.1,2,0.290,,0.109,12.82,7,0.334,,0.182,11.69,43,3.15,4.29,0.20,0.324,11.94,0.36,0.26,23.49,1.96
Tim Adleman,$6.3K,R,CIN,SP,@ LAD, , , , ,-900,0,8.5,159,3.66,-0.19,6,0.354,,0.237,7.46,3,0.330,,0.200,7.39,23,4.33,5.82,0.18,0.346,7.44,0.31,0.34,12.09,1.92
Chad Green,$5.0K,R,NYY,SP,BAL,9,12.50,3.00%,2.813,-600,1,10.5,-165,5.93,0.58,2,0.396,,0.355,12.79,7,0.277,,0.123,9.53,19,3.08,5.50,0.30,0.303,10.25,0.33,0.29,8.44,1.69
Chase Anderson,$8.0K,R,MIL,SP,@ ARI, , , , ,-900,3,8.5,137,3.85,0.1,6,0.317,,0.186,7.43,3,0.372,,0.223,8.25,43,4.21,5.28,0.16,0.335,7.70,0.33,0.31,12.77,1.6
