Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Tommy Milone,$4.0K,L,WAS,SP,@ MIA, , ,7.50%,1.489,-1500,1,8.5,-145,4.62,-0.04,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.17,2.79,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,2,0.286,,0.230,2.40,7,0.451,,0.308,5.20,17,4.02,4.88,0.44,0.414,4.50,0.00,0.00
Tyler Mahle,$6.0K,R,CIN,SP,PHI, , ,15.00%,0.999,-700,5,9.5,-124,4.94,-0.01,5,0.466,,0.272,3.50,4,0.410,,0.307,1.70,1,5.77,4.28,0.29,0.441,2.70,0.00,0.00,14.98,2.5,5,0.466,,0.272,3.50,4,0.410,,0.307,1.70,1,5.77,4.28,0.29,0.441,2.70,0.00,0.00,5,0.428,,0.269,5.30,4,0.292,,0.113,4.30,4,4.18,3.22,0.23,0.368,4.90,0.00,0.00,5,0.426,,0.278,4.40,4,0.263,,0.087,3.50,14,4.38,4.54,0.23,0.354,4.00,0.00,0.00,5,0.408,,0.267,4.20,4,0.280,,0.091,4.20,24,4.15,4.57,0.20,0.351,4.20,0.00,0.00
Alex Cobb,$4.9K,R,BAL,SP,TBR, , ,3.00%,3.967,-1100,2,8.5,113,4.05,-0.36,6,0.229,,0.000,3.60,3,0.387,,0.181,3.60,1,4.85,3.96,0.00,0.282,3.60,0.00,0.00,11.9,2.43,6,0.280,,0.143,4.00,3,0.313,,0.091,1.60,2,4.55,3.24,0.13,0.291,3.20,0.00,0.00,6,0.282,,0.154,5.70,3,0.365,,0.190,1.20,4,4.30,3.12,0.16,0.310,4.20,0.00,0.00,6,0.337,,0.195,4.50,3,0.361,,0.213,2.60,14,4.27,4.26,0.21,0.345,3.90,0.00,0.00,6,0.331,,0.178,3.40,3,0.339,,0.180,3.10,47,4.37,4.37,0.21,0.334,3.30,0.00,0.00
Sonny Gray,$8.2K,R,NYY,SP,KCR, , ,35.00%,0.524,400,-2,9.5,-241,5.95,-0.13,6,0.265,,0.273,8.80,3,0.313,,0.000,1.80,1,3.73,3.16,0.25,0.281,6.50,0.00,0.00,18.33,2.24,6,0.265,,0.273,8.80,3,0.313,,0.000,1.80,1,3.73,3.16,0.25,0.281,6.50,0.00,0.00,6,0.525,,0.435,4.10,3,0.297,,0.071,6.50,4,3.91,3.50,0.30,0.449,4.90,0.00,0.00,6,0.356,,0.182,3.70,3,0.323,,0.172,5.30,13,3.75,3.78,0.24,0.345,4.30,0.00,0.00,6,0.313,,0.142,4.10,3,0.320,,0.163,4.90,45,4.07,4.15,0.21,0.315,4.40,0.00,0.00
Hunter Wood,$4.0K,R,TBR,SP,@ BAL, , ,2.50%,3.536,-1500,1,8.5,-126,4.45,-0.14,2,0.250,,0.000,6.80,7,0.505,,0.400,6.80,2,2.90,2.55,0.50,0.448,6.80,0.00,0.00,8.84,2.21,2,0.348,,0.222,7.10,7,0.494,,0.363,5.30,4,3.89,4.67,0.25,0.462,5.70,0.00,0.00,2,0.325,,0.250,5.80,7,0.276,,0.154,3.70,8,3.79,3.28,0.20,0.287,4.10,0.00,0.00,2,0.325,,0.250,5.80,7,0.276,,0.154,3.70,8,3.79,3.28,0.20,0.287,4.10,0.00,0.00,2,0.321,,0.185,5.60,7,0.287,,0.129,3.10,10,4.13,3.67,0.17,0.295,3.70,0.00,0.00
Jakob Junis,$5.5K,R,KCR,SP,@ NYY, , ,2.00%,6.020,-600,2,9.5,230,3.55,0.13,5,0.376,,0.084,11.20,4,0.000,,0.000,2.20,1,3.06,1.66,0.00,0.209,7.20,0.00,0.00,12.04,2.19,5,0.376,,0.084,11.20,4,0.000,,0.000,2.20,1,3.06,1.66,0.00,0.209,7.20,0.00,0.00,5,0.430,,0.297,5.90,4,0.370,,0.111,2.00,2,4.22,3.37,0.22,0.403,4.20,0.00,0.00,5,0.369,,0.199,4.10,4,0.369,,0.234,5.20,12,3.56,4.51,0.23,0.369,4.60,0.00,0.00,5,0.343,,0.183,3.70,4,0.332,,0.216,4.70,37,3.74,4.61,0.21,0.338,4.10,0.00,0.00
Nick Tropeano,$7.4K,R,LAA,SP,CHW, , ,0.00%, ,300,-2,9.5,-179,5.47,0.3,5,0.352,,0.143,3.60,4,0.147,,0.000,5.40,1,4.76,4.09,0.00,0.261,4.40,0.00,0.00,15.91,2.15,5,0.352,,0.143,3.60,4,0.147,,0.000,5.40,1,4.76,4.09,0.00,0.261,4.40,0.00,0.00,5,0.352,,0.143,3.60,4,0.147,,0.000,5.40,1,4.76,4.09,0.00,0.261,4.40,0.00,0.00,5,0.385,,0.218,3.70,4,0.328,,0.224,4.00,7,4.37,5.19,0.18,0.360,3.90,0.00,0.00,5,0.363,,0.176,3.40,4,0.313,,0.225,4.50,11,4.19,5.02,0.18,0.341,3.90,0.00,0.00
Zack Godley,$8.2K,R,ARI,SP,@ CHC, , ,0.00%, ,-500,3,9.5,-107,4.68,4.68,4,0.262,,0.125,5.40,5,0.426,,0.250,5.40,1,4.53,3.16,0.00,0.353,5.40,0.00,0.00,17.5,2.13,4,0.210,,0.043,6.50,5,0.399,,0.210,4.10,2,3.56,2.13,0.00,0.315,5.20,0.00,0.00,4,0.318,,0.065,4.90,5,0.336,,0.119,6.10,5,3.73,2.60,0.00,0.328,5.60,0.00,0.00,4,0.362,,0.169,4.50,5,0.345,,0.172,5.40,15,4.15,4.25,0.23,0.353,5.00,0.00,0.00,4,0.311,,0.126,4.70,5,0.315,,0.155,5.30,46,3.82,3.75,0.21,0.313,5.00,0.00,0.00
Steven Matz,$6.3K,L,NYM,SP,@ PIT, , ,10.00%,1.337,-1300,6,8.5,124,3.94,0.16,1,0.619,,0.500,0.00,8,0.372,,0.167,5.40,1,4.99,2.56,0.00,0.399,4.80,0.00,0.00,13.37,2.12,1,0.440,,0.200,1.60,8,0.392,,0.257,4.00,2,4.68,2.70,0.15,0.397,3.80,0.00,0.00,1,0.358,,0.131,2.00,8,0.324,,0.194,5.20,4,4.34,2.78,0.10,0.328,4.90,0.00,0.00,1,0.306,,0.117,1.70,8,0.327,,0.188,5.30,14,4.35,4.09,0.17,0.325,4.90,0.00,0.00,1,0.326,,0.096,1.40,8,0.349,,0.216,5.90,32,4.28,4.34,0.22,0.346,5.40,0.00,0.00
Bartolo Colon,$4.5K,R,TEX,SP,OAK, , ,1.00%,9.510,-1700,5,11.0,133,4.99,-0.42,4,0.416,,0.188,2.10,5,0.426,,0.200,2.10,1,5.18,2.94,0.00,0.422,2.10,0.00,0.00,9.51,2.11,4,0.416,,0.188,2.10,5,0.426,,0.200,2.10,1,5.18,2.94,0.00,0.422,2.10,0.00,0.00,4,0.288,,0.078,1.90,5,0.422,,0.326,1.90,4,5.14,3.47,0.17,0.362,1.90,0.00,0.00,4,0.359,,0.209,2.50,5,0.373,,0.290,2.40,14,4.65,4.50,0.27,0.367,2.50,0.00,0.00,4,0.362,,0.214,2.60,5,0.370,,0.248,3.20,47,4.48,4.75,0.22,0.366,2.90,0.00,0.00
