Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Chase Anderson,$5.5K,R,MIL,SP,@ MIA, , ,10.00%,1.813,-1800,2,7.5,-143,4.05,-0.06,2,0.250,,0.200,3.00,7,0.208,,0.166,1.50,1,4.16,5.72,0.00,0.217,1.80,0.00,0.00,18.13,3.3,2,0.310,,0.105,6.30,7,0.245,,0.095,1.80,2,3.40,4.09,0.00,0.259,2.80,0.00,0.00,2,0.320,,0.128,4.80,7,0.290,,0.127,2.70,5,3.78,3.10,0.13,0.297,3.20,0.00,0.00,2,0.309,,0.127,4.20,7,0.281,,0.166,3.60,13,3.93,4.03,0.22,0.287,3.70,0.00,0.00,2,0.285,,0.127,4.00,7,0.306,,0.184,4.10,45,3.76,4.51,0.19,0.301,4.10,0.00,0.00
Jose Urena,$4.9K,R,MIA,SP,MIL, , ,10.00%,1.409,-1700,3,7.5,126,3.45,0.06,4,0.353,,0.200,5.40,5,0.368,,0.267,2.70,2,4.51,6.62,0.25,0.361,3.90,0.00,0.00,14.09,2.88,4,0.353,,0.200,5.40,5,0.368,,0.267,2.70,2,4.51,6.62,0.25,0.361,3.90,0.00,0.00,4,0.335,,0.204,4.00,5,0.356,,0.177,4.40,5,4.26,4.40,0.19,0.347,4.20,0.00,0.00,4,0.317,,0.139,3.40,5,0.300,,0.131,4.00,14,4.11,3.86,0.17,0.308,3.70,0.00,0.00,4,0.328,,0.175,2.60,5,0.311,,0.151,4.10,53,4.40,4.97,0.18,0.319,3.50,0.00,0.00
Luis Perdomo,$4.2K,R,SDP,SP,LAD, , ,7.50%,1.549,-1800,3,8.0,211,3.03,0.4,6,0.616,,0.200,0.00,3,0.626,,0.333,7.70,1,5.65,6.06,0.00,0.619,2.60,0.00,0.00,11.62,2.77,6,0.449,,0.264,2.10,3,0.385,,0.158,5.20,2,4.33,3.48,0.17,0.428,3.10,0.00,0.00,6,0.433,,0.275,2.10,3,0.357,,0.143,3.50,5,5.13,3.84,0.19,0.408,2.60,0.00,0.00,6,0.433,,0.275,2.10,3,0.357,,0.143,3.50,5,5.13,3.84,0.19,0.408,2.60,0.00,0.00,6,0.379,,0.152,2.60,3,0.342,,0.145,4.30,37,4.96,4.39,0.20,0.367,3.20,0.00,0.00
Mike Minor,$4.6K,L,TEX,SP,@ BOS, , ,2.50%,4.972,-1900,3,10.0,165,4.23,0.45,3,0.126,,0.000,3.30,6,0.317,,0.303,7.40,2,2.22,3.56,0.33,0.253,6.00,0.00,0.00,12.43,2.7,3,0.126,,0.000,3.30,6,0.317,,0.303,7.40,2,2.22,3.56,0.33,0.253,6.00,0.00,0.00,3,0.241,,0.191,3.20,6,0.381,,0.308,4.70,5,3.76,3.33,0.33,0.334,4.20,0.00,0.00,3,0.293,,0.217,1.40,6,0.339,,0.236,6.00,14,3.68,4.25,0.25,0.324,4.50,0.00,0.00,3,0.227,,0.107,2.70,6,0.329,,0.212,6.00,81,3.31,4.18,0.17,0.295,4.90,0.00,0.00
Francisco Liriano,$5.5K,L,DET,SP,@ TBR, , ,7.50%,1.948,-400,-4,7.5,186,3.01,-0.12,2,0.352,,0.000,1.40,7,0.375,,0.136,8.10,2,4.39,4.83,0.00,0.370,6.60,0.00,0.00,14.61,2.66,2,0.352,,0.000,1.40,7,0.375,,0.136,8.10,2,4.39,4.83,0.00,0.370,6.60,0.00,0.00,2,0.146,,0.000,1.50,7,0.448,,0.246,7.50,5,4.79,4.39,0.38,0.381,6.20,0.00,0.00,2,0.259,,0.107,1.30,7,0.395,,0.206,6.80,11,4.79,4.81,0.27,0.365,5.50,0.00,0.00,2,0.265,,0.119,2.00,7,0.371,,0.185,5.90,53,4.61,4.96,0.19,0.347,5.00,0.00,0.00
Anthony DeSclafani,$5.3K,R,CIN,SP,@ CLE, , ,2.50%,5.336,-600,-1,9.5,154,4.1,0.17,7,0.478,,0.428,6.20,2,0.264,,0.000,8.30,1,2.97,2.05,1.00,0.430,6.70,0.00,0.00,13.34,2.52,7,0.692,,0.733,4.20,2,0.200,,0.000,9.30,2,2.68,2.27,0.50,0.583,5.30,0.00,0.00,7,0.515,,0.562,3.00,2,0.273,,0.061,5.90,5,3.59,2.69,0.43,0.461,3.60,0.00,0.00,7,0.410,,0.400,3.40,2,0.314,,0.116,4.80,10,3.75,3.66,0.33,0.389,3.70,0.00,0.00,7,0.410,,0.400,3.40,2,0.314,,0.116,4.80,10,3.75,3.66,0.33,0.389,3.70,0.00,0.00
Eduardo Rodriguez,$8.7K,L,BOS,SP,TEX, , ,37.50%,0.520, ,-2,10.0,-181,5.77,0.05,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,19.5,2.24,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,2,0.104,,0.000,2.60,7,0.199,,0.000,5.80,3,3.41,2.00,0.00,0.178,5.10,0.00,0.00,2,0.292,,0.105,2.00,7,0.276,,0.102,6.80,13,3.36,3.41,0.12,0.280,5.80,0.00,0.00,2,0.327,,0.160,2.30,7,0.304,,0.158,7.50,43,3.26,4.06,0.16,0.309,6.30,0.00,0.00
Andrew Suarez,$6.3K,L,SFG,SP,CHC, , ,10.00%,1.406,-1000,-1,8.0,-124,4.16,0.48,1,0.318,,0.000,1.50,8,0.433,,0.303,2.30,2,5.20,5.01,0.33,0.420,2.20,0.00,0.00,14.06,2.23,1,0.318,,0.000,1.50,8,0.433,,0.303,2.30,2,5.20,5.01,0.33,0.420,2.20,0.00,0.00,1,0.263,,0.000,1.50,8,0.321,,0.184,4.50,5,4.51,3.58,0.20,0.315,4.20,0.00,0.00,1,0.246,,0.070,1.60,8,0.348,,0.166,5.80,15,4.11,3.48,0.19,0.337,5.30,0.00,0.00,1,0.223,,0.073,2.10,8,0.352,,0.177,5.60,18,3.88,3.42,0.20,0.338,5.20,0.00,0.00
Frankie Montas,$5.4K,R,OAK,SP,@ HOU, , ,2.50%,4.792,-1300,2,8.0,179,3.25,0.06,3,0.456,,0.300,1.90,6,0.339,,0.167,6.80,2,4.08,4.67,0.20,0.378,5.10,0.00,0.00,11.98,2.22,3,0.456,,0.300,1.90,6,0.339,,0.167,6.80,2,4.08,4.67,0.20,0.378,5.10,0.00,0.00,3,0.409,,0.250,1.80,6,0.271,,0.091,4.70,3,4.57,4.20,0.15,0.317,3.70,0.00,0.00,3,0.372,,0.221,2.50,6,0.308,,0.081,3.60,10,4.57,4.26,0.10,0.329,3.20,0.00,0.00,3,0.429,,0.286,2.70,6,0.318,,0.108,4.80,33,4.35,4.69,0.21,0.355,4.10,0.00,0.00
Kyle Hendricks,$7.2K,R,CHC,SP,@ SFG, , ,7.50%,2.108,-200,-1,8.0,109,3.84,0.02,6,0.184,,0.087,8.20,3,0.377,,0.250,3.80,2,2.19,2.18,0.20,0.248,6.80,0.00,0.00,15.81,2.2,6,0.188,,0.066,7.00,3,0.454,,0.256,3.80,3,2.87,2.32,0.25,0.277,5.90,0.00,0.00,6,0.247,,0.109,5.10,3,0.348,,0.148,3.30,6,3.28,2.19,0.20,0.281,4.50,0.00,0.00,6,0.278,,0.148,4.00,3,0.344,,0.150,3.40,16,3.97,3.68,0.22,0.300,3.80,0.00,0.00,6,0.314,,0.177,4.30,3,0.301,,0.137,4.10,45,3.90,3.76,0.25,0.310,4.20,0.00,0.00
Chris Archer,$9.5K,R,TBR,SP,DET, , ,25.00%,0.823,500, ,7.5,-211,4.49,0.12,4,0.344,,0.000,1.50,5,0.364,,0.182,3.00,1,5.19,5.74,0.20,0.355,2.30,0.00,0.00,20.57,2.17,4,0.205,,0.000,4.50,5,0.363,,0.143,7.50,2,2.74,2.55,0.17,0.293,6.20,0.00,0.00,4,0.304,,0.125,6.40,5,0.366,,0.111,5.50,4,2.93,2.41,0.17,0.338,5.90,0.00,0.00,4,0.280,,0.113,4.10,5,0.348,,0.130,5.50,9,3.53,3.68,0.17,0.318,4.90,0.00,0.00,4,0.339,,0.172,4.80,5,0.301,,0.144,6.00,50,2.95,3.54,0.20,0.318,5.50,0.00,0.00
Ivan Nova,$5.9K,R,PIT,SP,WAS, , ,5.00%,2.432,-1500,2,9.5,100,4.66,0.23,6,0.462,,0.400,1.80,3,0.336,,0.100,0.00,1,6.77,6.70,0.33,0.420,1.20,0.00,0.00,12.16,2.06,6,0.325,,0.200,1.50,3,0.303,,0.083,0.80,2,6.27,4.84,0.13,0.318,1.30,0.00,0.00,6,0.466,,0.438,2.00,3,0.357,,0.166,2.70,5,4.89,3.40,0.32,0.430,2.20,0.00,0.00,6,0.376,,0.239,2.60,3,0.324,,0.216,3.10,13,4.37,4.08,0.24,0.359,2.80,0.00,0.00,6,0.365,,0.214,2.20,3,0.314,,0.179,4.20,50,4.16,4.19,0.24,0.348,2.90,0.00,0.00
CC Sabathia,$6.9K,L,NYY,SP,@ BAL, , ,0.00%, ,-900,1,9.5,-168,5.37,5.37,3,0.281,,0.000,3.90,15,0.437,,0.294,11.60,1,2.12,3.57,0.33,0.822,20.60,0.00,0.00,14.02,2.03,3,0.281,,0.000,3.90,15,0.437,,0.294,11.60,1,2.12,3.57,0.33,0.822,20.60,0.00,0.00,3,0.330,,0.000,0.80,15,0.384,,0.288,7.20,4,4.41,3.62,0.39,0.750,12.20,0.00,0.00,3,0.327,,0.143,1.90,15,0.359,,0.191,5.80,13,4.14,4.12,0.26,0.707,10.40,0.00,0.00,3,0.303,,0.108,1.70,15,0.316,,0.161,6.40,45,4.17,4.13,0.25,0.628,11.20,0.00,0.00
Danny Duffy,$7.7K,L,KCR,SP,@ MIN, , ,17.50%,0.859,-800, ,8.5,172,3.52,0.08,3,0.000,,0.000,0.00,6,0.415,,0.200,9.50,1,3.67,4.37,0.14,0.000,0.00,0.00,0.00,15.03,1.95,3,0.240,,0.000,2.80,6,0.334,,0.125,4.30,2,4.39,3.76,0.09,0.303,3.80,0.00,0.00,3,0.283,,0.000,1.70,6,0.291,,0.081,6.80,5,3.89,2.89,0.10,0.288,5.10,0.00,0.00,3,0.292,,0.088,1.30,6,0.325,,0.136,6.80,15,4.27,4.79,0.15,0.314,4.90,0.00,0.00,3,0.236,,0.074,1.60,6,0.339,,0.170,6.60,45,3.91,4.56,0.15,0.305,4.90,0.00,0.00
Gerrit Cole,$12.8K,R,HOU,SP,OAK,4,6.8,17.50%,1.427,1700, ,8.0,-205,4.75,-0.56,3,0.307,,0.182,7.10,6,0.217,,0.083,5.70,1,1.52,1.91,0.00,0.247,6.20,0.00,0.00,24.98,1.95,3,0.307,,0.182,7.10,6,0.217,,0.083,5.70,1,1.52,1.91,0.00,0.247,6.20,0.00,0.00,3,0.269,,0.136,8.20,6,0.317,,0.073,5.50,4,2.16,1.99,0.08,0.301,6.40,0.00,0.00,3,0.285,,0.163,6.50,6,0.290,,0.143,5.10,14,2.75,3.34,0.19,0.288,5.60,0.00,0.00,3,0.309,,0.182,5.40,6,0.285,,0.144,4.90,53,2.95,3.52,0.21,0.293,5.10,0.00,0.00
Jefry Rodriguez,$5.7K,R,WAS,SP,@ PIT, , ,2.50%,4.416,100,-7,9.5,-115,4.84,0.27,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.04,1.94,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,4,0.668,,0.600,0.00,5,0.280,,0.133,7.50,2,5.02,4.04,0.17,0.452,4.20,0.00,0.00,4,0.492,,0.363,0.90,5,0.332,,0.210,6.90,5,4.75,5.88,0.23,0.403,4.20,0.00,0.00,4,0.492,,0.363,0.90,5,0.332,,0.210,6.90,5,4.75,5.88,0.23,0.403,4.20,0.00,0.00
Jimmy Yacabonis,$4.1K,R,BAL,SP,NYY, , ,0.00%, ,-1400, ,9.5,152,4.13,4.13,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,7.97,1.94,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,8,0.264,,0.000,1.80,10,0.442,,0.400,7.20,1,3.17,1.76,0.20,0.726,9.60,0.00,0.00,8,0.376,,0.053,2.60,10,0.374,,0.304,7.00,3,3.67,2.87,0.33,0.750,10.10,0.00,0.00,8,0.340,,0.046,2.10,10,0.355,,0.211,4.00,17,5.46,5.84,0.20,0.697,6.30,0.00,0.00
Zack Wheeler,$8.0K,R,NYM,SP,PHI, , ,0.00%, ,-1000,2,8.0,143,3.55,0.36,8,0.245,,0.000,2.10,10,0.163,,0.000,4.80,2,3.43,3.74,0.00,0.399,7.20,0.00,0.00,15.47,1.93,8,0.245,,0.000,2.10,10,0.163,,0.000,4.80,2,3.43,3.74,0.00,0.399,7.20,0.00,0.00,8,0.341,,0.091,3.10,10,0.202,,0.050,5.10,5,3.64,3.04,0.10,0.528,8.50,0.00,0.00,8,0.324,,0.107,4.10,10,0.247,,0.060,4.80,15,3.51,3.79,0.13,0.562,8.90,0.00,0.00,8,0.351,,0.166,4.20,10,0.306,,0.109,4.30,37,3.92,4.25,0.20,0.652,8.50,0.00,0.00
Zach Eflin,$7.8K,R,PHI,SP,@ NYM, , ,0.00%, ,-1200,3,8.0,-158,4.45,0.14,10,0.575,,0.529,1.10,8,0.380,,0.278,4.50,2,5.26,6.68,0.50,0.977,5.20,0.00,0.00,14.43,1.85,10,0.575,,0.529,1.10,8,0.380,,0.278,4.50,2,5.26,6.68,0.50,0.977,5.20,0.00,0.00,10,0.426,,0.388,1.80,8,0.317,,0.223,5.00,4,3.97,3.57,0.30,0.755,6.40,0.00,0.00,10,0.344,,0.224,3.70,8,0.285,,0.129,5.00,13,3.38,3.86,0.15,0.636,8.50,0.00,0.00,10,0.371,,0.257,3.30,8,0.308,,0.154,3.50,25,3.95,4.54,0.21,0.686,6.70,0.00,0.00
Clayton Kershaw,$12.8K,L,LAD,SP,@ SDP, , ,20.00%,1.102,2300,-2,8.0,-246,4.97,0.6,1,0.334,,0.111,0.00,8,0.168,,0.000,9.40,1,2.66,2.39,0.00,0.186,8.40,0.00,0.00,22.04,1.72,1,0.494,,0.333,0.70,8,0.210,,0.078,7.90,2,3.06,2.02,0.17,0.242,7.10,0.00,0.00,1,0.245,,0.154,0.80,8,0.257,,0.110,7.00,5,3.54,2.30,0.13,0.256,6.30,0.00,0.00,1,0.307,,0.128,1.40,8,0.246,,0.094,7.20,8,3.26,2.37,0.09,0.253,6.50,0.00,0.00,1,0.308,,0.187,2.00,8,0.261,,0.142,9.00,41,2.75,2.81,0.27,0.266,8.20,0.00,0.00
Jose Berrios,$10.8K,R,MIN,SP,KCR, , ,7.50%,2.229,100,1,8.5,-195,4.98,-0.08,5,0.347,,0.125,7.00,4,0.270,,0.042,4.60,2,3.00,3.55,0.00,0.313,5.90,0.00,0.00,16.72,1.55,5,0.347,,0.125,7.00,4,0.270,,0.042,4.60,2,3.00,3.55,0.00,0.313,5.90,0.00,0.00,5,0.312,,0.180,6.00,4,0.319,,0.131,2.60,5,3.52,3.11,0.14,0.315,4.50,0.00,0.00,5,0.277,,0.164,5.30,4,0.314,,0.148,4.10,15,3.02,3.52,0.18,0.293,4.80,0.00,0.00,5,0.313,,0.163,4.30,4,0.284,,0.135,4.70,47,3.33,4.00,0.17,0.300,4.50,0.00,0.00
Mike Clevinger,$10.3K,R,CLE,SP,CIN, , ,7.50%,2.116,900, ,9.5,-172,5.4,0.33,6,0.146,,0.000,9.00,3,0.540,,0.500,5.40,1,1.23,2.69,0.50,0.277,7.80,0.00,0.00,15.87,1.54,6,0.192,,0.000,5.40,3,0.395,,0.266,6.20,2,2.78,2.79,0.14,0.260,5.70,0.00,0.00,6,0.357,,0.214,6.50,3,0.277,,0.143,6.50,4,2.28,1.88,0.29,0.330,6.50,0.00,0.00,6,0.317,,0.150,4.40,3,0.312,,0.135,5.20,14,3.29,3.48,0.16,0.315,4.70,0.00,0.00,6,0.327,,0.172,3.90,3,0.278,,0.117,5.90,46,3.49,3.88,0.17,0.311,4.50,0.00,0.00
