Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Brent Suter,$4.0K,L,MIL,SP,STL, , ,5.00%,3.070,-1900,4,9.0,-113,4.58,0.15,1,0.175,,0.000,1.70,8,0.346,,0.375,8.70,1,3.25,0.00,0.33,0.327,7.90,0.00,0.00,15.35,3.84,1,0.288,,0.167,1.70,8,0.277,,0.200,8.70,2,3.25,0.00,0.33,0.278,7.90,0.00,0.00,1,0.226,,0.083,1.20,8,0.386,,0.344,7.10,5,3.55,0.00,0.40,0.368,6.40,0.00,0.00,1,0.255,,0.111,1.20,8,0.360,,0.243,7.00,10,3.76,0.00,0.27,0.348,6.30,0.00,0.00,1,0.243,,0.098,1.60,8,0.336,,0.179,6.30,31,3.90,0.00,0.24,0.326,5.80,0.00,0.00
Eric Lauer,$4.2K,L,SDP,SP,MIA, , ,1.00%,13.660,-1600,2,7.5,-116,3.84,0.15,2,0.731,,0.600,0.00,7,0.138,,0.000,10.50,1,2.50,0.00,0.17,0.270,8.20,0.00,0.00,13.66,3.25,2,0.489,,0.363,0.90,7,0.270,,0.032,7.90,2,3.89,0.00,0.10,0.319,6.40,0.00,0.00,2,0.383,,0.200,0.80,7,0.382,,0.208,8.50,4,3.94,0.00,0.19,0.382,6.80,0.00,0.00,2,0.377,,0.160,1.50,7,0.406,,0.219,7.80,5,4.24,0.00,0.21,0.400,6.40,0.00,0.00,2,0.377,,0.160,1.50,7,0.406,,0.219,7.80,5,4.24,0.00,0.21,0.400,6.40,0.00,0.00
Brock Stewart,$4.5K,R,LAD,SP,PHI, , ,0.00%, ,-1000,-4,8.0,-134,4.25,0.04,4,0.439,,0.000,0.00,5,0.260,,0.288,2.20,1,5.19,0.00,0.33,0.340,1.20,0.00,0.00,13.71,3.05,4,0.439,,0.000,0.00,5,0.260,,0.288,2.20,1,5.19,0.00,0.33,0.340,1.20,0.00,0.00,4,0.359,,0.000,2.90,5,0.321,,0.357,5.80,3,4.73,0.00,0.22,0.338,4.50,0.00,0.00,4,0.359,,0.000,2.90,5,0.321,,0.357,5.80,3,4.73,0.00,0.22,0.338,4.50,0.00,0.00,4,0.333,,0.062,4.10,5,0.281,,0.207,4.30,17,4.42,0.00,0.18,0.304,4.20,0.00,0.00
Lance Lynn,$4.5K,R,MIN,SP,@ KCR, , ,0.00%, ,-1700,3,9.0,-123,4.68,0.01,4,0.000,,0.000,2.90,5,0.362,,0.067,2.90,1,5.80,0.00,0.00,0.201,2.90,0.00,0.00,13.53,3.01,4,0.175,,0.000,2.90,5,0.344,,0.041,5.90,2,4.51,0.00,0.00,0.269,4.60,0.00,0.00,4,0.331,,0.157,3.10,5,0.388,,0.172,7.10,4,4.27,0.00,0.19,0.363,5.30,0.00,0.00,4,0.389,,0.221,3.20,5,0.359,,0.144,8.90,7,4.35,0.00,0.23,0.372,6.40,0.00,0.00,4,0.354,,0.218,3.00,5,0.286,,0.133,5.40,39,4.19,0.00,0.21,0.316,4.30,0.00,0.00
Caleb Smith,$6.4K,L,MIA,SP,@ SDP, , ,22.50%,0.798,-1300,5,7.5,103,3.66,-0.15,2,0.110,,0.000,7.30,7,0.218,,0.077,4.30,1,2.25,0.00,0.00,0.194,5.00,0.00,0.00,17.95,2.8,2,0.157,,0.000,4.90,7,0.287,,0.136,6.80,2,3.40,0.00,0.00,0.258,6.40,0.00,0.00,2,0.333,,0.060,3.20,7,0.194,,0.066,7.80,4,3.08,0.00,0.00,0.225,6.80,0.00,0.00,2,0.293,,0.082,4.20,7,0.253,,0.138,9.50,9,2.76,0.00,0.13,0.262,8.30,0.00,0.00,2,0.320,,0.093,3.90,7,0.279,,0.174,8.50,18,3.14,0.00,0.17,0.288,7.50,0.00,0.00
Mike Montgomery,$4.0K,L,CHC,SP,@ PIT, , ,4.00%,2.765,-1500, ,9.0,-105,4.43,-0.14,2,0.613,,0.200,0.00,7,0.371,,0.256,8.60,1,4.01,0.00,0.00,0.425,6.70,0.00,0.00,11.06,2.77,2,0.334,,0.100,3.00,7,0.322,,0.134,5.90,4,3.48,0.00,0.00,0.325,5.20,0.00,0.00,2,0.208,,0.053,2.50,7,0.300,,0.149,5.00,10,4.09,0.00,0.14,0.280,4.40,0.00,0.00,2,0.291,,0.032,2.50,7,0.330,,0.151,3.70,17,5.22,0.00,0.15,0.321,3.50,0.00,0.00,2,0.286,,0.096,2.20,7,0.305,,0.135,5.50,59,4.66,0.00,0.18,0.301,4.80,0.00,0.00
Matt Koch,$4.8K,R,ARI,SP,CIN, , ,2.00%,6.350,-2000,7,9.0,-118,4.63,-0.06,5,0.175,,0.100,7.10,4,0.285,,0.000,1.80,1,4.33,0.00,0.00,0.224,4.70,0.00,0.00,12.7,2.65,5,0.422,,0.400,3.90,4,0.415,,0.300,1.00,2,5.47,0.00,0.31,0.419,2.60,0.00,0.00,5,0.280,,0.224,4.40,4,0.450,,0.371,1.80,4,4.85,0.00,0.25,0.356,3.20,0.00,0.00,5,0.261,,0.200,4.20,4,0.387,,0.290,2.40,7,4.45,0.00,0.24,0.317,3.40,0.00,0.00,5,0.276,,0.209,4.20,4,0.393,,0.285,2.40,8,4.54,0.00,0.24,0.328,3.40,0.00,0.00
Chris Archer,$6.7K,R,TBR,SP,@ OAK, , ,20.00%,0.881,-2000,8,8.0,117,3.77,0.25,4,0.374,,0.200,1.50,5,0.222,,0.000,7.50,1,3.66,0.00,0.00,0.290,4.80,0.00,0.00,17.63,2.63,4,0.255,,0.100,1.50,5,0.225,,0.000,6.60,2,4.38,0.00,0.00,0.238,4.30,0.00,0.00,4,0.227,,0.071,1.70,5,0.288,,0.156,5.90,5,3.73,0.00,0.13,0.261,4.00,0.00,0.00,4,0.360,,0.198,2.80,5,0.288,,0.153,6.90,10,3.46,0.00,0.20,0.320,5.10,0.00,0.00,4,0.332,,0.175,4.90,5,0.287,,0.152,6.30,43,2.85,0.00,0.21,0.307,5.70,0.00,0.00
PJ Conlon,$4.0K,L,NYM,SP,@ ATL, , ,0.00%, ,-1500, ,9.5,151,4.13,-0.43,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.46,2.62,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,7,0.321,,0.200,0.00,10,0.467,,0.500,2.80,1,8.04,0.00,0.14,0.769,3.10,0.00,0.00,7,0.321,,0.200,0.00,10,0.467,,0.500,2.80,1,8.04,0.00,0.14,0.769,3.10,0.00,0.00,7,0.321,,0.200,0.00,10,0.467,,0.500,2.80,1,8.04,0.00,0.14,0.769,3.10,0.00,0.00
Marco Gonzales,$6.1K,L,SEA,SP,TEX, , ,12.50%,1.280,-1300,5,8.0,-177,4.58,-0.22,4,0.000,,0.000,1.30,5,0.143,,0.000,6.40,1,3.97,0.00,0.00,0.079,4.10,0.00,0.00,16,2.62,4,0.000,,0.000,0.70,5,0.205,,0.046,5.20,2,4.80,0.00,0.00,0.114,3.20,0.00,0.00,4,0.000,,0.000,0.40,5,0.321,,0.139,6.30,4,4.22,0.00,0.13,0.178,3.70,0.00,0.00,4,0.263,,0.167,0.20,5,0.323,,0.130,8.70,9,3.50,0.00,0.17,0.296,4.90,0.00,0.00,4,0.326,,0.149,1.30,5,0.355,,0.166,7.40,19,3.79,0.00,0.23,0.342,4.70,0.00,0.00
