Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Robert Gsellman,$5.8K,R,NYM,SP,@ MIL,8,11.50,12.50%,1.165,-1000,5,9.0,-111,4.43,0.14,3,0.319,,0.098,10.17,6,0.359,,0.155,6.48,16,3.57,4.28,0.14,0.346,7.71,0.43,0.19,14.56,2.51
Matt Moore,$8.1K,L,SFG,SP,CIN,16,14.50, , ,500,3,8.0,-118,4.13,-0.37,2,0.326,,0.154,8.83,7,0.311,,0.159,8.33,41,4.09,4.97,0.15,0.314,8.44,0.31,0.31,20.13,2.49
Trevor Cahill,$9.3K,R,SDP,SP,@ CHW,3,4.75,42.50%,0.534,1200,-1,9.0,-141,4.87,0.08,3,0.269,,0.084,8.91,6,0.275,,0.095,10.96,53,3.53,4.50,0.20,0.273,10.28,0.48,0.18,22.68,2.44
Chris Sale,$13.1K,L,BOS,SP,TBR,2,4.50, , ,1300,0,7.5,-225,4.59,0.02,2,0.249,,0.130,10.94,7,0.277,,0.142,10.13,39,2.87,3.75,0.14,0.271,10.31,0.33,0.29,31.87,2.43
Marcus Stroman,$9.5K,R,TOR,SP,SEA,1,4.25, , ,600,1,8.5,-150,4.68,0.03,3,0.300,,0.137,7.52,6,0.326,,0.149,7.78,40,3.47,4.52,0.18,0.317,7.69,0.50,0.19,22.53,2.37
Carlos Martinez,$10.2K,R,STL,SP,CHC,4,7.00, , ,1000,0,7.5,-116,3.85,-0.1,6,0.333,,0.145,8.35,3,0.256,,0.080,9.45,36,3.50,4.25,0.15,0.307,8.72,0.46,0.20,23.2,2.27
Jose Berrios,$5.5K,R,MIN,SP,@ CLE, , , , ,-1400,9,9.0,142,4.03,-0.06,7,0.329,,0.084,11.21,2,0.439,,0.278,7.52,14,5.18,7.02,0.19,0.353,10.39,0.30,0.32,12.36,2.25
Julio Teheran,$8.6K,R,ATL,SP,@ MIA,12,13.50,10.00%,1.898,500,2,9.0,116,4.28,0.1,5,0.379,,0.259,6.31,4,0.244,,0.092,9.61,37,3.81,4.57,0.13,0.319,7.78,0.34,0.31,18.98,2.21
Nate Karns,$7.9K,R,KCR,SP,BAL,14,14.00,22.50%,0.733,1000,-1,9.0,-121,4.67,0.47,2,0.299,,0.156,12.51,7,0.360,,0.197,8.51,29,3.80,4.86,0.17,0.346,9.40,0.36,0.28,16.5,2.09
Tanner Roark,$9.1K,R,WAS,SP,PHI,12,13.50,32.50%,0.586,500,2,8.5,-164,4.8,0.08,4,0.311,,0.120,7.18,5,0.282,,0.095,8.28,42,3.95,4.57,0.14,0.295,7.79,0.41,0.22,19.06,2.09
Taijuan Walker,$9.0K,R,ARI,SP,PIT,6,10.75,17.50%,1.077,1700,-2,10.5,-154,5.82,0.26,3,0.304,,0.232,9.79,6,0.345,,0.184,7.83,31,3.76,5.38,0.21,0.331,8.48,0.34,0.28,18.84,2.09
Trevor Williams,$4.7K,R,PIT,RP,@ ARI, , ,0.25%, ,-800,-25,10.5,144,4.68,0.24,3,0.370,,0.244,7.59,6,0.450,,0.250,8.76,14,4.64,7.53,0.38,0.423,8.37,0.30,0.22,9.79,2.08
Ricky Nolasco,$8.2K,R,LAA,SP,DET, , ,5.00%,3.402,1100,-2,8.5,-135,4.55,0.11,2,0.302,,0.162,5.42,7,0.344,,0.206,8.72,39,3.92,5.07,0.16,0.335,7.99,0.36,0.31,17.01,2.07
Nicholas Pivetta,$5.3K,R,PHI,SP,@ WAS, , ,5.00%,2.168,-400,0,8.5,154,3.7,-0.08,3,0.394,,0.077,6.75,6,0.579,,0.517,12.71,2,3.16,7.66,0.40,0.517,10.72,0.29,0.29,10.84,2.05
Jon Lester,$10.7K,L,CHC,SP,@ STL,6,10.75, , ,400,0,7.5,106,3.65,-0.4,3,0.226,,0.088,9.23,6,0.288,,0.141,8.77,43,3.33,4.07,0.16,0.267,8.92,0.39,0.23,20.68,1.93
Blake Snell,$7.1K,L,TBR,SP,@ BOS, , , , ,600,-1,7.5,207,2.91,-0.02,3,0.295,,0.031,11.47,6,0.368,,0.145,9.43,27,4.47,4.59,0.10,0.344,10.11,0.30,0.27,13.2,1.86
Zach Davies,$7.7K,R,MIL,SP,NYM, , ,2.00%,7.070,500,3,9.0,101,4.57,-0.14,6,0.366,,0.214,7.13,3,0.335,,0.151,8.41,35,3.78,4.77,0.18,0.356,7.56,0.38,0.23,14.14,1.84
