Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Andrew Moore,$5.5K,R,SEA,SP,KCR,5,6.83,10.00%,1.362,0,1,9.0,-135,4.81,0.05,4,0.000,,0.000,5.40,5,0.365,,0.250,3.86,1,4.44,4.55,0.13,0.203,4.54,0.23,0.36,13.62,2.48
Carlos Rodon,$6.5K,L,CHW,SP,@ OAK,10,11.83,7.50%,2.045,-1200,5,8.5,126,3.94,-0.35,2,0.260,,0.098,10.06,7,0.347,,0.152,9.47,29,3.69,4.79,0.18,0.328,9.60,0.35,0.26,15.34,2.36
Alex Meyer,$6.9K,R,LAA,SP,@ MIN,4,6.67,17.50%,0.901,-1000,4,9.5,110,4.58,0.03,7,0.375,,0.205,10.80,2,0.291,,0.125,10.72,18,4.42,4.83,0.12,0.356,10.78,0.34,0.28,15.77,2.29
Aaron Nola,$8.8K,R,PHI,SP,PIT,2,1.83,30.00%,0.660,500,-2,8.5,-116,4.36,0.01,3,0.309,,0.133,8.68,6,0.300,,0.116,10.57,31,3.08,3.97,0.17,0.303,9.94,0.45,0.20,19.79,2.25
Adalberto Mejia,$6.6K,L,MIN,SP,LAA, , ,3.00%,4.873,300,-2,9.5,-120,4.92,-0.03,3,0.409,,0.231,8.64,6,0.353,,0.207,7.68,12,4.73,6.16,0.20,0.372,8.00,0.36,0.26,14.62,2.22
Ivan Nova,$8.6K,R,PIT,SP,@ PHI,3,4.83,25.00%,0.764,300,0,8.5,106,4.14,-0.01,5,0.352,,0.211,5.11,4,0.305,,0.160,7.68,47,3.69,4.70,0.17,0.331,6.25,0.43,0.23,19.11,2.22
Brent Suter,$4.1K,L,MIL,SP,BAL, , , , ,-1400,3,10.5,-116,5.39,0.7,1,0.370,,0.148,5.84,8,0.356,,0.155,9.18,16,4.16,4.90,0.17,0.358,8.81,0.37,0.20,8.84,2.16
Adam Wainwright,$8.4K,R,STL,SP,MIA,7,9.83,5.00%,3.594,700,-2,10.0,-143,5.43,0.52,5,0.338,,0.152,7.71,4,0.333,,0.158,8.02,50,3.95,4.65,0.15,0.336,7.85,0.36,0.23,17.97,2.14
Stephen Strasburg,$12.6K,R,WAS,SP,NYM, , , , ,1800,0,8.5,-170,4.84,0.03,6,0.286,,0.162,11.95,3,0.292,,0.141,11.01,40,2.82,3.62,0.15,0.288,11.64,0.34,0.28,25.3,2.01
Masahiro Tanaka,$9.9K,R,NYY,SP,TOR,1,1.50,37.50%,0.513,900,1,9.0,-139,4.85,0.13,4,0.316,,0.213,8.43,5,0.317,,0.166,8.29,47,3.48,4.72,0.20,0.317,8.35,0.39,0.24,19.25,1.94
Martin Perez,$5.7K,L,TEX,SP,BOS, , ,4.00%,2.692,-1000,3,10.5,100,5.19,-0.18,2,0.286,,0.103,8.71,7,0.352,,0.147,4.83,48,4.77,5.16,0.13,0.337,5.69,0.38,0.22,10.77,1.89
Wade Miley,$6.2K,L,BAL,SP,@ MIL, , , , ,-800,2,10.5,106,5.11,0.3,2,0.292,,0.125,7.92,7,0.357,,0.179,7.92,46,4.06,5.37,0.21,0.343,7.92,0.39,0.23,11.68,1.88
Jeff Locke,$4.9K,L,MIA,SP,@ STL,10,11.83,5.00%,1.844,-1000,3,10.0,133,4.57,0.48,1,0.347,,0.162,5.36,8,0.354,,0.201,5.95,35,4.66,5.51,0.17,0.353,5.88,0.37,0.24,9.22,1.88
Steven Matz,$8.8K,L,NYM,SP,@ WAS, , , , ,300,0,8.5,160,3.66,-0.03,2,0.290,,0.105,8.03,7,0.313,,0.153,9.76,25,3.23,4.35,0.20,0.308,9.38,0.43,0.22,15.85,1.8
Jharel Cotton,$8.0K,R,OAK,SP,CHW,6,8.83,12.50%,1.146,600,-3,8.5,-136,4.56,-0.15,2,0.319,,0.162,6.99,7,0.329,,0.208,8.23,18,4.22,5.44,0.22,0.327,7.95,0.28,0.26,14.32,1.79
Ian Kennedy,$7.3K,R,KCR,SP,@ SEA,10,11.83,7.50%,1.736,100,-1,9.0,125,4.19,-0.05,5,0.317,,0.190,8.89,4,0.315,,0.187,9.17,47,4.21,5.66,0.18,0.316,9.01,0.28,0.36,13.02,1.78
Rick Porcello,$7.5K,R,BOS,SP,@ TEX, , ,10.00%,1.332,-900,5,10.5,-110,5.31,-0.32,4,0.309,,0.152,8.56,5,0.327,,0.179,8.29,51,3.49,4.33,0.14,0.319,8.41,0.33,0.31,13.32,1.78
Marcus Stroman,$10.9K,R,TOR,SP,@ NYY,9,11.67,20.00%,0.904,2100,-1,9.0,129,4.15,-0.13,4,0.293,,0.116,8.00,5,0.330,,0.170,7.92,49,3.36,4.57,0.21,0.314,7.96,0.50,0.19,18.09,1.66
Jeff Hoffman,$7.8K,R,COL,SP,CIN,8,11.50,4.00%,2.930,2300,-8,12.0,-150,6.61,-0.27,4,0.282,,0.133,6.68,5,0.379,,0.224,10.37,16,4.09,4.93,0.14,0.336,8.73,0.34,0.31,11.72,1.5
Luis Castillo,$5.9K,R,CIN,SP,@ COL, , ,1.00%,8.680,400,-1,12.0,140,5.39,0.27,4,0.349,,0.215,15.75,5,0.457,,0.316,10.39,2,4.02,7.55,0.50,0.409,12.77,0.50,0.25,8.68,1.47
