Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Mike Leake,$4.8K,R,SEA,SP,TBR,,,,,-1900,12,8.0,-128,4.2,-0.3,3,0.330,0.439,0.157,2.40,6,0.310,0.427,0.158,3.70,42,4.39,0.00,0.19,0.317,3.30,0.00,0.00,14.85,3.09
Sonny Gray,$5.8K,R,NYY,SP,@ BAL,,,,,-1500,10,10.0,-168,5.65,0.22,3,0.290,0.349,0.126,4.30,6,0.311,0.405,0.165,4.80,35,3.99,0.00,0.21,0.304,4.70,0.00,0.00,15.68,2.7
Chase Anderson,$6.5K,R,MIL,SP,@ CHW,,,,, ,-1,9.0,-151,4.94,0.12,5,0.283,0.355,0.142,4.10,4,0.305,0.413,0.184,4.20,34,3.72,0.00,0.19,0.293,4.10,0.00,0.00,16.81,2.59
Jameson Taillon,$6.8K,R,PIT,SP,@ STL,,,,,-1100,5,8.0,-102,3.94,0.24,3,0.352,0.452,0.156,3.10,6,0.298,0.397,0.146,6.00,33,3.71,0.00,0.17,0.316,5.10,0.00,0.00,17.34,2.55
Chris Stratton,$5.7K,R,SFG,SP,PHI,,,,,-700,4,8.0,-108,3.95,0.03,6,0.355,0.452,0.174,3.60,3,0.300,0.386,0.143,4.60,22,4.41,0.00,0.17,0.337,3.90,0.00,0.00,14.5,2.54
Chris Sale,$11.0K,L,BOS,SP,@ HOU,,,,, ,1,7.0,109,3.36,0.01,0,0.244,0.286,0.073,2.00,9,0.270,0.373,0.166,12.10,42,1.71,0.00,0.20,0.270,12.10,0.00,0.00,25.52,2.32
Jaime Garcia,$5.2K,L,TOR,SP,@ DET,,,,,-1000,5,9.0,-115,4.41,-0.02,1,0.310,0.442,0.189,2.30,8,0.334,0.438,0.180,5.80,35,4.18,0.00,0.20,0.331,5.40,0.00,0.00,11.68,2.25
Zack Wheeler,$6.0K,R,NYM,SP,CHC,,,,,-1000,6,9.0,102,4.41,0.3,3,0.348,0.470,0.202,4.40,6,0.334,0.421,0.140,4.60,26,3.86,0.00,0.26,0.339,4.50,0.00,0.00,13.42,2.24
Gerrit Cole,$11.6K,R,HOU,SP,BOS,,,,,200,1,7.0,-124,3.64,-0.01,6,0.311,0.433,0.188,5.10,3,0.278,0.364,0.144,5.00,43,2.92,0.00,0.22,0.300,5.00,0.00,0.00,25.07,2.16
Elieser Hernandez,$4.7K,R,MIA,SP,@ ARI,,,,,-1100,1,9.0,125,4.17,0.28,5,0.292,0.419,0.163,3.00,4,0.358,0.519,0.186,1.50,5,4.08,0.00,0.13,0.321,2.30,0.00,0.00,10,2.13
