Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Michael Wacha,$6.3K,R,STL,SP,@ CIN,,,,,-600,2,9.5,-150,5.2,0.46,4,0.330,0.399,0.134,8.18,7,0.340,0.438,0.150,9.75,32,0.00,0.00,0.00,0.411,11.22,0.00,0.00,15.1,2.4
Nick Tropeano,$5.5K,R,LAA,SP,@ KCR,,,,, ,1,9.5,-155,5.25,0.61,5,0.000,0.000,0.000,27.00,5,0.151,0.077,0.000,14.73,1,0.00,0.00,0.00,0.084,23.18,0.00,0.00,12.93,2.35
Jose Berrios,$11.0K,R,MIN,SP,CHW,,,,,2000, ,9.0,-221,5.45,0.59,4,0.400,0.526,0.208,7.77,5,0.274,0.350,0.127,9.11,28,0.00,0.00,0.00,0.330,8.51,0.00,0.00,25.52,2.32
Bryan Mitchell,$5.7K,R,SDP,SP,SFG,,,,,-100,2,8.0,129,3.67,-0.2,4,0.364,0.489,0.200,5.23,6,0.336,0.398,0.105,3.86,23,0.00,0.00,0.00,0.386,4.90,0.00,0.00,12.74,2.24
Kyle Hendricks,$9.4K,R,CHC,SP,PIT,,,,,1900,-5,8.5,-187,4.94,4.94,6,0.329,0.427,0.196,8.88,5,0.285,0.363,0.120,7.16,29,0.00,0.00,0.00,0.378,9.90,0.00,0.00,19.05,2.03
Chris Stratton,$6.7K,R,SFG,SP,@ SDP,,,,,700,-2,8.0,-144,4.33,0.2,6,0.314,0.340,0.088,6.58,6,0.300,0.368,0.125,8.65,14,0.00,0.00,0.00,0.409,10.15,0.00,0.00,13.38,2
Sonny Gray,$7.7K,R,NYY,SP,@ BOS,,,,,-700,2,9.0,-112,4.57,0.14,5,0.293,0.378,0.171,9.05,4,0.303,0.382,0.154,8.94,32,0.00,0.00,0.00,0.297,9.00,0.00,0.00,14.68,1.91
Michael Fulmer,$7.7K,R,DET,SP,@ CLE,,,,,-300, ,8.5,187,3.39,0.17,7,0.295,0.358,0.103,6.84,3,0.273,0.326,0.105,5.93,27,0.00,0.00,0.00,0.320,7.30,0.00,0.00,14.17,1.84
Ian Kennedy,$7.2K,R,KCR,SP,LAA,,,,,-500,1,9.5,139,4.25,-0.11,3,0.356,0.495,0.256,8.06,6,0.336,0.460,0.207,8.85,32,0.00,0.00,0.00,0.343,8.59,0.00,0.00,12.85,1.78
Trevor Williams,$7.1K,R,PIT,SP,@ CHC,,,,,900,-2,8.5,167,3.56,3.56,6,0.335,0.421,0.121,6.75,4,0.298,0.362,0.144,7.65,33,0.00,0.00,0.00,0.356,7.90,0.00,0.00,12.67,1.78
Gio Gonzalez,$10.1K,L,WAS,SP,COL,,,,,1500,-1,9.0,-184,5.2,0.64,4,0.249,0.294,0.096,8.65,7,0.295,0.360,0.147,9.62,36,0.00,0.00,0.00,0.340,11.33,0.00,0.00,17.49,1.73
Chad Bettis,$6.0K,R,COL,SP,@ WAS,,,,,500,-2,9.0,164,3.8,0.36,6,0.372,0.561,0.293,7.53,6,0.380,0.500,0.187,4.79,11,0.00,0.00,0.00,0.501,8.21,0.00,0.00,10.26,1.71
Sal Romano,$5.8K,R,CIN,SP,STL,,,,,100, ,9.5,134,4.3,0.04,3,0.297,0.388,0.172,8.23,8,0.352,0.459,0.178,6.62,18,0.00,0.00,0.00,0.412,8.63,0.00,0.00,9.92,1.71
Trevor Bauer,$9.4K,R,CLE,SP,DET,,,,,600,1,8.5,-215,5.11,0.83,3,0.355,0.483,0.213,9.60,7,0.311,0.396,0.143,11.34,35,0.00,0.00,0.00,0.360,12.02,0.00,0.00,16.02,1.7
Rick Porcello,$8.1K,R,BOS,SP,NYY,,,,,-100, ,9.0,-101,4.43,-0.14,5,0.349,0.497,0.228,8.88,5,0.341,0.468,0.186,8.13,37,0.00,0.00,0.00,0.383,9.45,0.00,0.00,12.84,1.59
Lucas Giolito,$6.3K,R,CHW,SP,@ MIN,,,,,-300,1,9.0,194,3.55,-0.09,8,0.281,0.347,0.125,6.38,3,0.248,0.289,0.140,5.82,10,0.00,0.00,0.00,0.332,7.61,0.00,0.00,9.59,1.52
