Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Dan Straily,$5.0K,R,MIA,SP,MIL,,,,,-1200,4,7.5,156,3.22,-0.29,3,0.331,0.440,0.193,4.50,6,0.332,0.473,0.225,4.00,44,3.78,4.86,0.23,0.332,4.20,0.00,0.00,12.99,2.6
Luke Weaver,$7.7K,R,STL,SP,@ CHW,,,,,1100,-9,9.5,-157,5.26,0.43,6,0.323,0.416,0.155,4.30,3,0.305,0.395,0.142,5.70,29,3.46,3.87,0.21,0.317,4.80,0.00,0.00,19.87,2.58
Chris Bassitt,$5.4K,R,OAK,SP,@ HOU,,,,,-1500,4,8.5,180,3.44,0.37,2,0.255,0.250,0.026,3.80,7,0.300,0.339,0.106,4.50,5,3.93,4.51,0.06,0.290,4.30,0.00,0.00,13.32,2.47
Sam Gaviglio,$5.1K,R,TOR,SP,@ ATL,,,,,-1600,4,8.5,172,3.52,-0.5,5,0.332,0.457,0.204,2.70,4,0.342,0.475,0.219,4.70,25,4.25,4.49,0.34,0.336,3.60,0.00,0.00,12.57,2.46
German Marquez,$5.1K,R,COL,SP,ARI,,,,,-1400,2,12.0,-125,6.27,0.18,6,0.338,0.444,0.164,3.80,3,0.341,0.486,0.233,5.10,46,3.64,4.10,0.23,0.339,4.20,0.00,0.00,12.42,2.44
Bartolo Colon,$4.1K,R,TEX,SP,@ BOS,,,,,-2000,5,8.5,308,2.66,-0.03,5,0.361,0.515,0.221,2.60,4,0.365,0.544,0.247,3.30,44,4.43,4.83,0.23,0.363,2.90,0.00,0.00,9.55,2.33
Lance Lynn,$6.4K,R,MIN,SP,KCR,,,,,-1100,5,9.5,-193,5.57,-0.13,4,0.361,0.465,0.208,2.80,5,0.283,0.342,0.123,5.60,47,4.23,4.66,0.20,0.318,4.40,0.00,0.00,14.57,2.28
Kenta Maeda,$9.3K,R,LAD,SP,@ SDP,,,,,-200,5,7.5,-162,4.19,0.03,5,0.326,0.439,0.183,4.00,4,0.262,0.352,0.152,6.80,42,2.87,3.64,0.21,0.298,5.20,0.00,0.00,21.12,2.27
Sonny Gray,$6.8K,R,NYY,SP,@ BAL,,,,,-500, ,9.0,-174,5.12,-0.07,1,0.309,0.378,0.142,4.20,8,0.318,0.413,0.172,5.00,41,3.96,4.02,0.22,0.317,5.00,0.00,0.00,14.61,2.15
Matt Andriese,$5.1K,R,TBR,SP,DET,,,,,-400,-4,7.5,-133,3.97,-0.04,3,0.253,0.313,0.111,3.50,6,0.372,0.527,0.240,5.40,39,3.72,4.13,0.24,0.332,4.80,0.00,0.00,10.85,2.13
