Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Mike Minor,$4.4K,L,TEX,SP,KCR,,,,,-2400,10,9.5,-140,5.11,-0.31,2,0.196,0.223,0.058,3.50,7,0.329,0.466,0.210,7.10,70,2.92,0.00,0.14,0.299,6.30,0.00,0.00,15.11,3.43
Joe Musgrove,$4.0K,R,PIT,SP,STL,,,,,-1500, ,9.0,-131,4.75,0.38,3,0.326,0.458,0.189,4.90,6,0.345,0.481,0.201,3.60,37,3.62,0.00,0.24,0.339,4.10,0.00,0.00,12.23,3.06
John Gant,$4.5K,R,STL,SP,@ PIT,,,,,-1400,2,9.0,116,4.25,0.12,5,0.373,0.515,0.227,5.20,4,0.247,0.317,0.130,4.20,10,4.25,0.00,0.23,0.317,4.80,0.00,0.00,12.07,2.68
David Hess,$4.6K,R,BAL,SP,@ TBR,,,,,-1000,-2,8.5,144,3.76,-0.14,3,0.397,0.565,0.217,3.50,6,0.388,0.696,0.446,2.60,2,4.08,0.00,0.29,0.391,2.90,0.00,0.00,11.64,2.53
Corey Kluber,$10.8K,R,CLE,SP,HOU,,,,,-200,2,7.5,-140,4.03,0.22,2,0.257,0.343,0.144,5.40,7,0.238,0.335,0.141,6.60,37,2.20,0.00,0.27,0.242,6.30,0.00,0.00,26.94,2.49
Ross Stripling,$7.2K,R,LAD,SP,SDP,,,,,500,-3,7.0,-188,4.07,-0.35,6,0.244,0.295,0.077,4.70,3,0.318,0.450,0.181,6.70,59,3.12,0.00,0.23,0.269,5.40,0.00,0.00,17.94,2.49
Sam Gaviglio,$5.0K,R,TOR,SP,@ PHI,,,,,-1000,-2,9.0,-111,4.57,0.31,5,0.341,0.473,0.221,2.60,4,0.339,0.483,0.213,4.20,17,4.42,0.00,0.31,0.340,3.30,0.00,0.00,11.65,2.33
Kyle Hendricks,$8.1K,R,CHC,SP,SFG,,,,,-100, ,10.5,-245,6.53,6.53,3,0.316,0.425,0.183,4.60,6,0.275,0.369,0.131,4.50,31,3.77,0.00,0.26,0.289,4.50,0.00,0.00,18.72,2.31
Noah Syndergaard,$10.5K,R,NYM,SP,@ MIL,,,,,-100,2,8.0,-120,4.13,0.24,3,0.266,0.328,0.087,6.70,6,0.278,0.349,0.098,4.70,15,2.84,0.00,0.08,0.274,5.40,0.00,0.00,24.03,2.29
Sean Manaea,$8.6K,L,OAK,SP,ARI,,,,,300,-1,7.5,-135,4,0.3,3,0.260,0.309,0.093,1.70,6,0.319,0.422,0.167,6.50,37,3.85,0.00,0.17,0.299,4.90,0.00,0.00,19.6,2.28
Eduardo Rodriguez,$7.8K,L,BOS,SP,ATL,,,,,400,-2,10.5,-188,6.11,0.63,3,0.329,0.423,0.177,2.30,6,0.306,0.408,0.170,8.20,33,3.08,0.00,0.17,0.314,6.20,0.00,0.00,16.98,2.18
Junior Guerra,$6.6K,R,MIL,SP,NYM,,,,,-1100,6,8.0,107,3.87,0.26,5,0.324,0.409,0.191,4.40,4,0.319,0.410,0.190,4.80,27,4.06,0.00,0.27,0.322,4.60,0.00,0.00,14.22,2.15
Dallas Keuchel,$8.2K,L,HOU,SP,@ CLE,,,,,-400,1,7.5,125,3.47,0.28,2,0.223,0.293,0.107,2.60,7,0.289,0.370,0.140,6.30,32,4.32,0.00,0.30,0.274,5.50,0.00,0.00,17.66,2.15
Max Scherzer,$14.0K,R,WAS,SP,@ MIA,,,,,2000, ,7.0,-253,4.39,-0.06,2,0.288,0.382,0.179,6.10,7,0.188,0.234,0.096,7.80,38,1.80,0.00,0.16,0.210,7.40,0.00,0.00,29.25,2.09
Sergio Romo,$4.0K,R,TBR,SP,BAL,,,,,-1500, ,8.5,-160,4.74,0.14,1,0.352,0.443,0.168,3.20,8,0.274,0.383,0.190,9.80,72,3.01,0.00,0.24,0.283,9.00,0.00,0.00,8.32,2.08
