Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Steven Matz,$6.1K,L,NYM,SP,PIT,,,,,-700,3,8.0,-107,4.07,-0.12,2,0.307,0.316,0.070,1.30,7,0.357,0.504,0.228,6.20,26,4.28,0.00,0.24,0.346,5.10,0.00,0.00,16.99,2.79
Ryan Borucki,$4.3K,L,TOR,SP,@ HOU,,,,,-1200, ,8.0,200,3.12,0.02,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.65,2.48
Chad Bettis,$5.4K,R,COL,SP,@ SFG,,,,,-600, ,8.5,123,3.95,-0.07,5,0.324,0.459,0.225,3.80,4,0.366,0.495,0.191,3.30,22,4.48,0.00,0.25,0.343,3.60,0.00,0.00,12.89,2.39
Jake Arrieta,$6.8K,R,PHI,SP,NYY,,,,,-500,4,7.5,185,3.04,0.07,3,0.342,0.451,0.192,4.40,6,0.275,0.347,0.134,4.80,42,3.81,0.00,0.20,0.297,4.70,0.00,0.00,16.22,2.39
Lance Lynn,$7.3K,R,MIN,SP,@ CHW,,,,,-700,7,8.5,-134,4.51,-0.14,3,0.354,0.452,0.204,2.90,6,0.281,0.346,0.131,5.50,44,4.21,0.00,0.20,0.305,4.60,0.00,0.00,17.23,2.36
Matt Harvey,$4.5K,R,CIN,SP,@ ATL,,,,,-1300,1,9.0,122,4.2,0.05,5,0.409,0.579,0.276,3.00,4,0.318,0.414,0.161,4.10,32,4.57,0.00,0.25,0.369,3.50,0.00,0.00,10.58,2.35
Austin Bibens-Dirkx,$4.6K,R,TEX,SP,SDP,,,,,-1700,4,10.5,-121,5.43,0.49,4,0.330,0.441,0.178,1.60,5,0.354,0.492,0.203,3.90,26,4.71,0.00,0.20,0.343,2.80,0.00,0.00,10.4,2.26
John Lamb,$4.8K,L,LAA,SP,@ BOS,,,,,-1400,2,10.0,144,4.42,0.5,4,0.000,0.000,0.000,1.10,5,0.409,0.656,0.375,8.90,2,3.03,0.00,0.50,0.227,5.40,0.00,0.00,10.49,2.19
Freddy Peralta,$7.9K,R,MIL,SP,KCR,,,,,200,-1,8.0,-209,4.78,-0.34,5,0.273,0.286,0.114,7.70,4,0.118,0.080,0.040,7.10,3,1.76,0.00,0.11,0.204,7.40,0.00,0.00,17.27,2.19
Elieser Hernandez,$4.2K,R,MIA,SP,ARI,,,,,-1300,1,8.0,143,3.55,-0.18,5,0.423,0.597,0.283,2.00,4,0.290,0.382,0.109,2.00,11,5.28,0.00,0.17,0.364,2.00,0.00,0.00,9.08,2.16
David Price,$8.3K,L,BOS,SP,LAA,,,,,-100,1,10.0,-161,5.58, ,0,0.258,0.289,0.082,1.60,9,0.298,0.385,0.152,8.40,26,3.50,0.00,0.14,0.298,8.40,0.00,0.00,17.77,2.14
Corey Kluber,$12.9K,R,CLE,SP,@ STL,,,,,1100,1,8.0,-169,4.51,0.26,2,0.255,0.338,0.141,5.40,7,0.238,0.330,0.135,6.50,42,2.22,0.00,0.25,0.242,6.20,0.00,0.00,27.24,2.11
Chad Kuhl,$7.7K,R,PIT,SP,@ NYM,,,,,-100,2,8.0,-107,3.93,0.12,5,0.375,0.517,0.241,4.80,4,0.314,0.391,0.130,4.20,43,3.93,0.00,0.19,0.348,4.50,0.00,0.00,15.68,2.04
Zack Godley,$9.2K,R,ARI,SP,@ MIA,,,,,1000,-3,8.0,-159,4.45,-0.32,3,0.303,0.363,0.133,4.90,6,0.303,0.391,0.160,5.50,38,3.64,0.00,0.23,0.303,5.30,0.00,0.00,18.6,2.02
Jon Lester,$8.7K,L,CHC,SP,@ LAD,,,,,-400,1,7.5,133,3.4,0.03,2,0.248,0.329,0.129,2.80,7,0.320,0.413,0.168,6.30,45,3.73,0.00,0.20,0.304,5.50,0.00,0.00,17.52,2.01
Jakob Junis,$7.1K,R,KCR,SP,@ MIL,,,,,-400,5,8.0,185,3.22,-0.16,4,0.328,0.436,0.173,3.80,5,0.325,0.455,0.207,5.10,32,3.67,0.00,0.20,0.326,4.50,0.00,0.00,14.19,2
Max Scherzer,$14.4K,R,WAS,SP,@ TBR,,,,,2200, ,7.0,-183,4.05,-0.16,4,0.294,0.389,0.183,5.80,5,0.194,0.241,0.102,7.80,44,1.79,0.00,0.17,0.238,6.90,0.00,0.00,28.46,1.98
Luis Severino,$13.1K,R,NYY,SP,@ PHI,,,,,2500,-1,7.5,-203,4.46,-0.07,5,0.279,0.359,0.149,5.40,4,0.251,0.311,0.110,6.60,44,2.78,0.00,0.20,0.267,5.90,0.00,0.00,25.67,1.96
Ross Stripling,$10.5K,R,LAD,SP,CHC,,,,,1200, ,7.5,-150,4.1,-0.03,6,0.254,0.335,0.117,5.70,3,0.304,0.420,0.162,6.20,64,2.85,0.00,0.22,0.271,5.90,0.00,0.00,20.09,1.91
Reynaldo Lopez,$6.3K,R,CHW,SP,MIN,,,,,-400,1,8.5,118,3.99,-0.36,7,0.333,0.444,0.190,3.20,2,0.287,0.355,0.129,4.20,20,4.64,0.00,0.15,0.323,3.40,0.00,0.00,11.73,1.86
Charlie Morton,$12.0K,R,HOU,SP,TOR,,,,,2000,1,8.0,-227,4.88,-0.52,3,0.269,0.315,0.130,6.90,6,0.326,0.425,0.178,4.50,38,3.36,0.00,0.23,0.307,5.30,0.00,0.00,21.59,1.8
Nathan Eovaldi,$6.0K,R,TBR,SP,WAS,,,,,300,-4,7.0,167,2.95,0.16,5,0.293,0.435,0.196,1.60,4,0.292,0.508,0.321,5.00,5,3.51,0.00,0.38,0.293,3.10,0.00,0.00,10.76,1.79
Kevin Gausman,$7.5K,R,BAL,SP,SEA,,,,,300,-1,8.0,128,3.67,-0.2,4,0.341,0.433,0.167,4.10,5,0.355,0.489,0.199,5.40,46,3.74,0.00,0.26,0.349,4.80,0.00,0.00,13.38,1.78
Frankie Montas,$7.6K,R,OAK,SP,@ DET,,,,,-1000,7,9.0,-127,4.7,0.12,5,0.411,0.590,0.298,3.10,4,0.315,0.360,0.099,5.40,28,4.17,0.00,0.27,0.368,4.10,0.00,0.00,13.5,1.78
Anibal Sanchez,$7.8K,R,ATL,SP,CIN,,,,,700,-5,9.0,-136,4.8,-0.05,5,0.349,0.484,0.218,5.00,4,0.366,0.517,0.221,5.00,34,3.45,0.00,0.28,0.357,5.00,0.00,0.00,13.72,1.76
Blaine Hardy,$6.6K,L,DET,SP,OAK,,,,,700,-5,9.0,111,4.3,-0.12,1,0.302,0.449,0.227,1.90,8,0.351,0.459,0.150,5.90,45,4.08,0.00,0.16,0.346,5.40,0.00,0.00,11.38,1.72
Carlos Martinez,$8.0K,R,STL,SP,CLE,,,,,1500,-11,8.0,149,3.49,0.24,7,0.326,0.393,0.150,4.40,2,0.279,0.350,0.139,5.40,42,3.73,0.00,0.23,0.316,4.60,0.00,0.00,13.52,1.69
James Paxton,$12.5K,L,SEA,SP,@ BAL,,,,,2900,-1,8.0,-145,4.33,-0.3,1,0.301,0.367,0.108,2.00,8,0.264,0.337,0.128,9.60,38,2.58,0.00,0.15,0.268,8.80,0.00,0.00,19.99,1.6
Tyson Ross,$8.5K,R,SDP,SP,@ TEX,,,,,1100,-6,10.5,107,5.07,0.01,5,0.347,0.430,0.164,3.70,4,0.299,0.354,0.143,4.40,27,4.27,0.00,0.17,0.326,4.00,0.00,0.00,13.45,1.58
Derek Holland,$7.4K,L,SFG,SP,COL,,,,,500,-2,8.5,-137,4.55,0.07,3,0.273,0.324,0.122,1.10,6,0.392,0.549,0.258,6.90,42,4.48,0.00,0.23,0.352,5.00,0.00,0.00,11.26,1.52
