Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Jen-Ho Tseng,$4.3K,R,CHC,SP,MIA,,,,,-1200, ,9.5,-163,5.32,5.32,2,0.683,1.200,0.800,13.50,7,0.214,0.357,0.214,13.50,2,0.00,0.00,0.00,0.318,13.50,0.00,0.00,12.68,2.95
Rich Hill,$7.3K,L,LAD,SP,ARI,,,,,-200,-1,7.0,-120,3.61,-0.35,1,0.361,0.400,0.141,10.16,8,0.295,0.399,0.188,12.49,31,0.00,0.00,0.00,0.302,12.23,0.00,0.00,21.3,2.92
Luis Castillo,$6.6K,R,CIN,SP,NYM,,,,,400,-9,9.5,-140,5.11,-0.04,6,0.348,0.510,0.274,7.84,3,0.296,0.358,0.122,10.39,22,0.00,0.00,0.00,0.331,8.69,0.00,0.00,18.55,2.81
Clayton Richard,$4.4K,L,SDP,SP,WAS,,,,,-2100,6,8.5,104,4.14,0.38,2,0.306,0.356,0.068,11.62,7,0.406,0.554,0.227,6.26,39,0.00,0.00,0.00,0.384,7.45,0.00,0.00,12.03,2.73
Danny Duffy,$5.7K,L,KCR,SP,@ BAL,,,,,-1100,2,8.5,145,3.75,-0.14,1,0.211,0.244,0.068,8.33,8,0.367,0.499,0.209,8.46,30,0.00,0.00,0.00,0.350,8.45,0.00,0.00,14.28,2.51
Michael Fiers,$4.8K,R,DET,SP,@ TEX,,,,,-1200, ,9.5,155,4.09,-0.13,5,0.382,0.519,0.241,7.74,4,0.359,0.480,0.208,8.87,34,0.00,0.00,0.00,0.372,8.24,0.00,0.00,11.84,2.47
Jeremy Hellickson,$6.0K,R,WAS,SP,@ SDP,,,,, ,-6,8.5,-117,4.36,0.12,6,0.340,0.485,0.241,5.48,3,0.332,0.466,0.217,5.67,34,0.00,0.00,0.00,0.337,5.54,0.00,0.00,14.67,2.45
Zack Godley,$8.2K,R,ARI,SP,@ LAD,,,,,-800,4,7.0,107,3.39,-0.15,7,0.287,0.321,0.095,10.11,2,0.295,0.378,0.147,9.91,33,0.00,0.00,0.00,0.289,10.07,0.00,0.00,20,2.44
Jon Gray,$6.1K,R,COL,SP,LAA,,,,,-1200,4,10.5,-121,5.43,-0.21,1,0.328,0.421,0.154,8.64,8,0.335,0.436,0.152,11.38,28,0.00,0.00,0.00,0.334,11.08,0.00,0.00,14.73,2.41
Ivan Nova,$6.4K,R,PIT,SP,@ CHW,,,,,-2100,6,9.0,-145,4.89,0.04,4,0.359,0.498,0.211,5.38,5,0.311,0.421,0.169,8.36,38,0.00,0.00,0.00,0.332,7.04,0.00,0.00,15.03,2.35
Dylan Bundy,$7.8K,R,BAL,SP,KCR,,,,,-1100,3,8.5,-161,4.75,0.14,5,0.361,0.486,0.195,7.25,4,0.301,0.412,0.193,10.24,36,0.00,0.00,0.00,0.334,8.58,0.00,0.00,18.34,2.35
Mike Minor,$6.3K,L,TEX,SP,DET,,,,,-200,-5,9.5,-173,5.41,0.13,0,0.204,0.223,0.053,12.20,9,0.329,0.453,0.211,8.04,64,0.00,0.00,0.00,0.329,8.04,0.00,0.00,14.81,2.35
Jason Vargas,$4.2K,L,NYM,SP,@ CIN,,,,,-1300,1,9.5,126,4.39,0.04,3,0.380,0.517,0.204,5.71,6,0.344,0.457,0.193,8.33,34,0.00,0.00,0.00,0.356,7.46,0.00,0.00,9.53,2.27
Derek Holland,$5.0K,L,SFG,SP,@ PHI,,,,,-2100,8,8.5,168,3.55,0.22,1,0.330,0.406,0.158,5.94,8,0.402,0.568,0.282,8.75,34,0.00,0.00,0.00,0.394,8.44,0.00,0.00,11.22,2.24
Lucas Giolito,$4.0K,R,CHW,SP,PIT,,,,,-1500,2,9.0,131,4.11,-0.04,5,0.305,0.366,0.148,5.88,4,0.285,0.346,0.164,6.12,14,0.00,0.00,0.00,0.296,5.99,0.00,0.00,8.72,2.18
Wade Miley,$5.4K,L,MIL,SP,CLE,,,,,-500,-5,8.0,145,3.53,0.26,2,0.296,0.291,0.077,8.20,7,0.367,0.467,0.188,8.44,33,0.00,0.00,0.00,0.351,8.39,0.00,0.00,11.79,2.18
Marcus Stroman,$5.9K,R,TOR,SP,SEA,,,,,-200,-4,8.0,-102,3.94,-0.16,4,0.314,0.365,0.098,7.99,5,0.335,0.442,0.171,8.62,39,0.00,0.00,0.00,0.326,8.34,0.00,0.00,12.75,2.16
Jose Urena,$4.7K,R,MIA,SP,@ CHC,,,,,-2300,9,9.5,147,4.18,4.18,6,0.331,0.411,0.170,5.19,3,0.309,0.396,0.160,7.85,39,0.00,0.00,0.00,0.324,6.08,0.00,0.00,10.05,2.14
Aaron Nola,$10.1K,R,PHI,SP,SFG,,,,,1100,-1,8.5,-189,4.95,0.28,5,0.299,0.365,0.121,8.15,4,0.267,0.340,0.120,10.93,35,0.00,0.00,0.00,0.285,9.39,0.00,0.00,21.22,2.1
Luis Severino,$10.0K,R,NYY,SP,BOS,,,,,-100,4,8.0,-227,4.88,-0.15,3,0.274,0.343,0.136,11.20,6,0.254,0.311,0.114,10.25,42,0.00,0.00,0.00,0.261,10.57,0.00,0.00,21.03,2.1
Jake Odorizzi,$6.8K,R,MIN,SP,@ STL,,,,,100,-7,8.5,154,3.67,0.36,3,0.322,0.441,0.225,8.30,6,0.334,0.449,0.219,8.82,36,0.00,0.00,0.00,0.330,8.65,0.00,0.00,14.29,2.1
Blake Snell,$8.9K,L,TBR,SP,ATL,,,,,400,-1,7.5,-134,3.99,0.04,3,0.206,0.220,0.064,9.58,6,0.336,0.429,0.181,8.58,32,0.00,0.00,0.00,0.293,8.91,0.00,0.00,18.42,2.07
James Paxton,$11.0K,L,SEA,SP,@ TOR,,,,,1500,-1,8.0,-110,4.06,-0.34,0,0.310,0.370,0.109,9.93,9,0.289,0.363,0.136,11.97,31,0.00,0.00,0.00,0.289,11.97,0.00,0.00,22.23,2.02
Sean Newcomb,$8.5K,L,ATL,SP,@ TBR,,,,,600,-3,7.5,120,3.51,-0.04,0,0.330,0.404,0.161,9.94,9,0.325,0.401,0.155,10.60,25,0.00,0.00,0.00,0.325,10.60,0.00,0.00,16.87,1.98
Drew Pomeranz,$6.2K,L,BOS,SP,@ NYY,,,,,-700,-1,8.0,198,3.12,-0.35,2,0.337,0.393,0.105,11.41,7,0.329,0.435,0.177,9.00,36,0.00,0.00,0.00,0.331,9.54,0.00,0.00,12.23,1.97
Corey Kluber,$13.6K,R,CLE,SP,@ MIL,,,,,2200, ,8.0,-162,4.47,-0.26,4,0.261,0.330,0.138,11.46,5,0.247,0.343,0.150,11.96,38,0.00,0.00,0.00,0.253,11.74,0.00,0.00,25.8,1.9
Andrew Heaney,$5.1K,L,LAA,SP,@ COL,,,,,-2100,8,10.5,108,5.07,0.21,3,0.357,0.433,0.100,8.10,6,0.458,0.722,0.412,11.66,9,0.00,0.00,0.00,0.424,10.47,0.00,0.00,9.25,1.81
Carlos Martinez,$10.6K,R,STL,SP,MIN,,,,,1000,1,8.5,-173,4.83,0.14,6,0.348,0.420,0.160,8.85,3,0.265,0.329,0.129,10.41,39,0.00,0.00,0.00,0.320,9.37,0.00,0.00,18.68,1.76
Lance McCullers,$11.3K,R,HOU,SP,@ OAK,,,,,1800,-2,8.0,-147,4.36,0.18,4,0.271,0.316,0.095,10.40,5,0.328,0.407,0.149,10.48,33,0.00,0.00,0.00,0.303,10.44,0.00,0.00,19.57,1.73
Sean Manaea,$9.5K,L,OAK,SP,HOU,,,,,1000,-2,8.0,133,3.64,-0.18,1,0.260,0.301,0.085,7.54,8,0.321,0.410,0.160,8.34,35,0.00,0.00,0.00,0.314,8.25,0.00,0.00,14.63,1.54
