Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Yonny Chirinos,$4.7K,R,TBR,SP,TEX,,,,,-1300,8,8.5,-154,4.69,-0.07,6,0.265,0.267,0.000,0.00,3,0.251,0.269,0.115,11.05,3,0.00,0.00,0.00,0.260,3.68,0.00,0.00,14.88,3.17
Junior Guerra,$5.4K,R,MIL,SP,CIN,,,,,-800,3,9.0,-154,4.96,0.29,5,0.348,0.435,0.207,7.04,4,0.356,0.465,0.236,9.38,21,0.00,0.00,0.00,0.352,8.08,0.00,0.00,15.32,2.84
Trevor Cahill,$5.1K,R,OAK,SP,CHW,,,,,-400,-1,8.5,-167,4.79,-0.3,5,0.324,0.355,0.110,8.89,4,0.397,0.540,0.241,10.13,21,0.00,0.00,0.00,0.356,9.44,0.00,0.00,14.5,2.84
Alex Wood,$8.2K,L,LAD,SP,@ SDP,,,,,-200,3,7.5,-184,4.34,-0.35,3,0.265,0.328,0.102,9.20,6,0.285,0.381,0.158,9.09,31,0.00,0.00,0.00,0.278,9.13,0.00,0.00,22.22,2.71
Francisco Liriano,$5.5K,L,DET,SP,BAL,,,,,-1100,4,9.0,-101,4.43,0.48,1,0.288,0.364,0.146,8.68,8,0.373,0.470,0.194,8.11,35,0.00,0.00,0.00,0.364,8.17,0.00,0.00,14.36,2.61
Ariel Miranda,$5.4K,L,SEA,SP,HOU,,,,,-100,-5,8.0,163,3.38,-0.31,2,0.320,0.415,0.178,7.20,7,0.326,0.466,0.250,8.29,31,0.00,0.00,0.00,0.325,8.05,0.00,0.00,13.64,2.53
Matt Moore,$5.2K,L,TEX,SP,@ TBR,,,,,-700,2,8.5,138,3.81,0.07,1,0.441,0.600,0.239,8.29,8,0.331,0.441,0.186,8.03,35,0.00,0.00,0.00,0.343,8.06,0.00,0.00,13.06,2.51
Sal Romano,$5.3K,R,CIN,SP,@ MIL,,,,,-300,-2,9.0,138,4.04,0.21,3,0.301,0.382,0.169,8.58,6,0.353,0.462,0.181,6.54,19,0.00,0.00,0.00,0.336,7.22,0.00,0.00,12.64,2.38
Andrew Cashner,$5.7K,R,BAL,SP,@ DET,,,,,-1400,5,9.0,-112,4.57,0.52,4,0.330,0.396,0.156,6.47,5,0.300,0.364,0.118,4.92,31,0.00,0.00,0.00,0.313,5.61,0.00,0.00,12.95,2.27
Gio Gonzalez,$8.5K,L,WAS,SP,@ NYM,,,,,-200,3,7.5,-115,3.83,0.08,1,0.248,0.292,0.094,8.60,8,0.298,0.366,0.151,9.78,37,0.00,0.00,0.00,0.292,9.65,0.00,0.00,18.5,2.18
Jake Odorizzi,$6.0K,R,MIN,SP,CLE,,,,,-1600,8,7.5,166,3.15,0.07,7,0.309,0.404,0.196,8.23,2,0.330,0.441,0.213,8.53,32,0.00,0.00,0.00,0.314,8.30,0.00,0.00,12.65,2.11
Chad Bettis,$6.9K,R,COL,SP,@ PIT,,,,,900,-6,8.0,128,3.68,0.01,4,0.354,0.528,0.270,8.46,5,0.368,0.492,0.198,4.45,12,0.00,0.00,0.00,0.362,6.23,0.00,0.00,14.13,2.05
Michael Foltynewicz,$7.2K,R,ATL,SP,PHI,,,,,-200,1,8.5,-108,4.32,0.01,6,0.405,0.525,0.200,8.17,3,0.316,0.402,0.157,9.07,32,0.00,0.00,0.00,0.375,8.47,0.00,0.00,14.62,2.03
Masahiro Tanaka,$9.7K,R,NYY,SP,MIA,,,,,500,1,9.0,-323,5.99,0.52,4,0.335,0.479,0.234,10.94,5,0.341,0.481,0.222,9.72,37,0.00,0.00,0.00,0.338,10.26,0.00,0.00,19.49,2.01
Bryan Mitchell,$4.8K,R,SDP,SP,LAD,,,,,-700,1,7.5,165,3.16,-0.15,5,0.364,0.460,0.180,4.63,4,0.343,0.400,0.100,4.30,24,0.00,0.00,0.00,0.355,4.48,0.00,0.00,9.66,2.01
Jaime Garcia,$7.1K,L,TOR,SP,KCR,,,,,600,-4,9.0,-204,5.34,0.38,3,0.299,0.407,0.160,9.95,6,0.337,0.450,0.194,8.04,30,0.00,0.00,0.00,0.324,8.68,0.00,0.00,14.21,2
Lance McCullers,$9.6K,R,HOU,SP,@ SEA,,,,,1000, ,8.0,-183,4.62,-0.19,5,0.284,0.326,0.089,10.90,4,0.347,0.439,0.170,10.68,29,0.00,0.00,0.00,0.312,10.80,0.00,0.00,19.08,1.99
