Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Chase Anderson,$5.5K,R,MIL,SP,@ MIA,,,,,-1800,2,7.5,-143,4.05,-0.06,2,0.285,0.336,0.127,4.00,7,0.306,0.415,0.184,4.10,45,3.76,4.51,0.19,0.301,4.10,0.00,0.00,18.13,3.3
Jose Urena,$4.9K,R,MIA,SP,MIL,,,,,-1700,3,7.5,126,3.45,0.06,4,0.328,0.424,0.175,2.60,5,0.311,0.390,0.151,4.10,53,4.40,4.97,0.18,0.319,3.50,0.00,0.00,14.09,2.88
Luis Perdomo,$4.2K,R,SDP,SP,LAD,,,,,-1800,3,8.0,211,3.03,0.4,6,0.379,0.472,0.152,2.60,3,0.342,0.422,0.145,4.30,37,4.96,4.39,0.20,0.367,3.20,0.00,0.00,11.62,2.77
Mike Minor,$4.6K,L,TEX,SP,@ BOS,,,,,-1900,3,10.0,165,4.23,0.45,3,0.227,0.295,0.107,2.70,6,0.329,0.460,0.212,6.00,81,3.31,4.18,0.17,0.295,4.90,0.00,0.00,12.43,2.7
Francisco Liriano,$5.5K,L,DET,SP,@ TBR,,,,,-400,-4,7.5,186,3.01,-0.12,2,0.265,0.314,0.119,2.00,7,0.371,0.464,0.185,5.90,53,4.61,4.96,0.19,0.347,5.00,0.00,0.00,14.61,2.66
Anthony DeSclafani,$5.3K,R,CIN,SP,@ CLE,,,,,-600,-1,9.5,154,4.1,0.17,7,0.410,0.660,0.400,3.40,2,0.314,0.388,0.116,4.80,10,3.75,3.66,0.33,0.389,3.70,0.00,0.00,13.34,2.52
Eduardo Rodriguez,$8.7K,L,BOS,SP,TEX,,,,, ,-2,10.0,-181,5.77,0.05,2,0.327,0.414,0.160,2.30,7,0.304,0.394,0.158,7.50,43,3.26,4.06,0.16,0.309,6.30,0.00,0.00,19.5,2.24
Andrew Suarez,$6.3K,L,SFG,SP,CHC,,,,,-1000,-1,8.0,-124,4.16,0.48,1,0.223,0.284,0.073,2.10,8,0.352,0.470,0.177,5.60,18,3.88,3.42,0.20,0.338,5.20,0.00,0.00,14.06,2.23
Frankie Montas,$5.4K,R,OAK,SP,@ HOU,,,,,-1300,2,8.0,179,3.25,0.06,3,0.429,0.607,0.286,2.70,6,0.318,0.378,0.108,4.80,33,4.35,4.69,0.21,0.355,4.10,0.00,0.00,11.98,2.22
Kyle Hendricks,$7.2K,R,CHC,SP,@ SFG,,,,,-200,-1,8.0,109,3.84,0.02,6,0.314,0.411,0.177,4.30,3,0.301,0.395,0.137,4.10,45,3.90,3.76,0.25,0.310,4.20,0.00,0.00,15.81,2.2
