Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Duane Underwood,$4.0K,R,CHC,SP,@ LAD,,,,,-1500,2,8.5,146,3.74,0.26,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.09,3.27
John Gant,$4.5K,R,STL,SP,CLE,,,,,-1200,2,8.0,110,3.84,-0.23,6,0.334,0.448,0.195,5.20,3,0.281,0.333,0.119,4.40,13,4.10,0.00,0.18,0.316,4.90,0.00,0.00,11.22,2.49
Shelby Miller,$5.9K,R,ARI,SP,@ MIA,,,,,-700,3,8.0,-127,4.19,-0.23,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.39,2.44
Seth Lugo,$6.1K,R,NYM,SP,PIT,,,,,200,-2,7.5,101,3.67,-0.02,4,0.310,0.398,0.132,4.20,5,0.316,0.439,0.175,4.80,40,3.48,0.00,0.17,0.313,4.60,0.00,0.00,14.25,2.34
Tyler Mahle,$6.3K,R,CIN,SP,@ ATL,,,,,-500, ,9.0,127,4.15,0.29,6,0.402,0.551,0.277,3.90,3,0.275,0.333,0.089,4.20,19,4.05,0.00,0.20,0.360,4.00,0.00,0.00,13.92,2.21
Jameson Taillon,$8.4K,R,PIT,SP,@ NYM,,,,,600,-1,7.5,-116,3.83,0.02,5,0.349,0.450,0.161,3.20,4,0.304,0.402,0.150,6.00,37,3.68,0.00,0.17,0.329,4.40,0.00,0.00,18.54,2.21
Vincent Velasquez,$7.3K,R,PHI,SP,NYY,,,,,-800,3,8.5,130,3.88,-0.29,3,0.368,0.507,0.241,4.80,6,0.315,0.418,0.178,5.20,30,3.38,0.00,0.27,0.333,5.00,0.00,0.00,15.42,2.11
Felix Hernandez,$6.3K,R,SEA,SP,@ BAL,,,,,-1200,3,9.5,-118,4.88,-0.19,2,0.354,0.486,0.216,3.50,7,0.327,0.428,0.178,5.00,29,3.93,0.00,0.25,0.333,4.70,0.00,0.00,13.17,2.09
Jordan Zimmermann,$6.2K,R,DET,SP,OAK,,,,,-1000,4,9.5,101,4.65,-0.19,4,0.362,0.509,0.205,3.70,5,0.366,0.513,0.212,3.10,35,4.31,0.00,0.19,0.364,3.40,0.00,0.00,12.47,2.01
Justin Verlander,$13.3K,R,HOU,SP,TOR,,,,,1600, ,7.0,-216,4.24,-0.4,4,0.284,0.367,0.166,6.00,5,0.251,0.322,0.118,5.70,46,2.79,0.00,0.15,0.266,5.80,0.00,0.00,26.62,2
Brad Keller,$4.9K,R,KCR,SP,LAA,,,,,-600,-1,9.0,155,3.89,0.66,2,0.253,0.220,0.031,1.80,7,0.303,0.356,0.077,4.50,22,5.15,0.00,0.06,0.292,3.90,0.00,0.00,9.64,1.97
Edwin Jackson,$5.0K,R,OAK,SP,@ DET,,,,,-500,-2,9.5,-116,4.85,0.19,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.79,1.96
