Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Robbie Erlin,$4.6K,L,SDP,SP,LAD,,,,,-900,1,7.5,128,3.45,-0.01,3,0.326,0.353,0.059,6.75,6,0.089,0.100,0.000,8.53,4,0.00,0.00,0.00,0.168,7.94,0.00,0.00,13.29,2.89
Daniel Mengden,$5.9K,R,OAK,SP,CHW,,,,,-500,4,8.5,-143,4.6, ,3,0.250,0.345,0.119,5.82,6,0.311,0.406,0.156,6.46,9,0.00,0.00,0.00,0.291,6.25,0.00,0.00,15.93,2.7
Jeremy Hellickson,$5.3K,R,WAS,SP,@ NYM,,,,,0,0,7.5,155,3.23,-0.25,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.79,2.6
Luis Castillo,$7.3K,R,CIN,SP,@ MIL,,,,,300, ,8.0,118,3.76,-0.19,3,0.312,0.446,0.230,8.12,6,0.283,0.345,0.133,10.57,18,0.00,0.00,0.00,0.293,9.75,0.00,0.00,17.76,2.43
Caleb Smith,$5.0K,L,MIA,SP,@ NYY,,,,,-900,4,8.5,275,2.83,0.24,2,0.391,0.455,0.091,11.05,7,0.298,0.380,0.183,11.09,11,0.00,0.00,0.00,0.319,11.08,0.00,0.00,11.28,2.26
Dallas Keuchel,$9.4K,L,HOU,SP,@ SEA,,,,,1300, ,7.0,-113,3.56,-0.64,3,0.228,0.278,0.093,10.89,6,0.301,0.367,0.128,7.85,30,0.00,0.00,0.00,0.277,8.86,0.00,0.00,20.45,2.18
German Marquez,$6.0K,R,COL,SP,@ PIT,,,,,100, ,8.0,116,3.78,-0.31,6,0.315,0.371,0.117,7.89,3,0.369,0.529,0.256,9.50,32,0.00,0.00,0.00,0.333,8.43,0.00,0.00,12.9,2.15
Luis Severino,$10.7K,R,NYY,SP,MIA,,,,,600,1,8.5,-327,5.67,0.26,4,0.284,0.357,0.143,11.02,5,0.259,0.312,0.111,10.54,38,0.00,0.00,0.00,0.270,10.75,0.00,0.00,22.67,2.12
Blake Snell,$7.8K,L,TBR,SP,TEX,,,,,700, ,7.5,-181,4.32,-0.1,3,0.215,0.200,0.037,9.67,6,0.343,0.435,0.184,8.21,28,0.00,0.00,0.00,0.300,8.70,0.00,0.00,15.66,2.01
Steven Brault,$5.2K,L,PIT,SP,COL,,,,,-400, ,8.0,-131,4.22,-0.19,3,0.276,0.277,0.064,7.30,6,0.355,0.467,0.172,5.79,14,0.00,0.00,0.00,0.329,6.29,0.00,0.00,10.39,2
Brent Suter,$6.2K,L,MIL,SP,CIN,,,,,200, ,8.0,-132,4.24,-0.31,2,0.260,0.304,0.087,6.65,7,0.332,0.432,0.150,7.65,24,0.00,0.00,0.00,0.316,7.43,0.00,0.00,12.31,1.99
Jacob deGrom,$11.5K,R,NYM,SP,WAS,,,,,2100,-1,7.5,-173,4.27,-0.25,4,0.308,0.394,0.146,10.19,5,0.291,0.383,0.150,11.54,34,0.00,0.00,0.00,0.299,10.94,0.00,0.00,22.37,1.95
Hyun-Jin Ryu,$9.7K,L,LAD,SP,@ SDP,,,,,2500,-3,7.5,-142,4.05,0.01,4,0.391,0.535,0.229,7.56,5,0.322,0.426,0.186,9.32,27,0.00,0.00,0.00,0.353,8.54,0.00,0.00,18.85,1.94
Julio Teheran,$6.4K,R,ATL,SP,PHI,,,,,300, ,8.0,112,3.82,0.04,3,0.361,0.468,0.234,7.25,6,0.345,0.468,0.182,8.12,33,0.00,0.00,0.00,0.350,7.83,0.00,0.00,12.19,1.9
James Paxton,$8.0K,L,SEA,SP,HOU,,,,,-500,3,7.0,100,3.44,-0.36,0,0.257,0.279,0.058,9.45,9,0.297,0.378,0.140,11.11,27,0.00,0.00,0.00,0.297,11.11,0.00,0.00,15.21,1.9
Martin Perez,$6.6K,L,TEX,SP,@ TBR,,,,,900,-5,7.5,162,3.18,-0.4,1,0.300,0.357,0.089,9.00,8,0.384,0.500,0.176,5.00,35,0.00,0.00,0.00,0.375,5.44,0.00,0.00,12.18,1.85
Aaron Nola,$10.4K,R,PHI,SP,@ ATL,,,,,1600, ,8.0,-125,4.18,-0.04,6,0.311,0.384,0.134,8.87,3,0.274,0.348,0.124,10.86,31,0.00,0.00,0.00,0.299,9.53,0.00,0.00,18.28,1.76
Reynaldo Lopez,$8.3K,R,CHW,SP,@ OAK,,,,,1000, ,8.5,129,3.9, ,3,0.411,0.622,0.305,5.21,6,0.283,0.356,0.136,6.82,11,0.00,0.00,0.00,0.326,6.28,0.00,0.00,10.5,1.27
