Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Enyel De Los Santos,$4.0K,R,PHI,SP,@ MIA,,,,,-1700,3,8.0,-115,4.07,0.12,2,0.115,0.000,0.000,5.90,7,0.490,0.833,0.416,3.00,1,4.01,4.93,0.00,0.407,3.60,0.00,0.00,16.86,4.22
Deck McGuire,$4.4K,R,LAA,SP,@ LAD,,,,,-1100, ,8.5,200,3.31,0.2,6,0.225,0.277,0.108,3.20,3,0.420,0.652,0.377,6.30,14,4.17,5.48,0.20,0.290,4.20,0.00,0.00,11.85,2.69
Lucas Giolito,$4.6K,R,CHW,SP,KCR,,,,,-1200,1,9.5,-112,4.83,-0.1,4,0.354,0.463,0.214,2.40,5,0.318,0.413,0.202,3.70,24,4.95,5.81,0.22,0.334,3.20,0.00,0.00,11.83,2.57
Fernando Romero,$5.2K,R,MIN,SP,TBR,,,,,-1400,4,9.0,-108,4.57,-0.01,4,0.343,0.500,0.238,3.50,5,0.311,0.339,0.084,5.50,9,4.07,4.69,0.17,0.325,4.60,0.00,0.00,13.27,2.55
Joe Musgrove,$6.6K,R,PIT,SP,MIL,,,,,-1000,4,7.5,-111,3.81,-0.37,3,0.339,0.457,0.178,4.40,6,0.330,0.448,0.179,4.20,45,3.55,4.04,0.21,0.333,4.30,0.00,0.00,16.66,2.52
Eric Lauer,$4.6K,L,SDP,SP,CHC,,,,,-2800,10,8.0,124,3.71,0.22,3,0.365,0.470,0.167,1.00,6,0.358,0.471,0.169,7.00,14,4.16,4.75,0.17,0.360,5.00,0.00,0.00,11.34,2.47
Jon Lester,$9.1K,L,CHC,SP,@ SDP,,,,,700, ,8.0,-138,4.29,-0.22,2,0.258,0.340,0.137,2.70,7,0.320,0.412,0.164,6.20,48,3.77,4.17,0.20,0.306,5.40,0.00,0.00,20.91,2.3
Julio Teheran,$6.8K,R,ATL,SP,ARI,,,,,-800,2,8.5,117,4,-0.06,7,0.344,0.443,0.205,3.80,2,0.304,0.421,0.185,4.40,47,4.11,4.89,0.22,0.335,4.00,0.00,0.00,15.1,2.22
Mike Minor,$5.9K,L,TEX,SP,@ BAL,,,,,-900,3,9.5,-126,4.97, ,1,0.233,0.304,0.114,2.90,8,0.320,0.447,0.202,6.40,78,3.22,4.27,0.15,0.310,6.00,0.00,0.00,12.9,2.19
Justin Verlander,$13.5K,R,HOU,SP,DET,,,,,1800,-1,7.5,-386,5.2,0.12,4,0.292,0.383,0.175,5.90,5,0.248,0.318,0.115,5.70,50,2.74,3.86,0.15,0.268,5.80,0.00,0.00,27.84,2.06
