"Scooter Gennett","Joey Votto","Jose Peraza","Jesse Winker","Aaron Hicks","Giancarlo Stanton","Gary Sanchez","Eugenio Suarez","Tyler Anderson","Stephen Strasburg","110.69"
"Jose Martinez","Scooter Gennett","Jose Peraza","Tucker Barnhart","Jesse Winker","Tommy Pham","Marcell Ozuna","Eugenio Suarez","Tyler Anderson","Corey Kluber","110.32"
"Jason Kipnis","Joey Votto","Jose Peraza","Tucker Barnhart","Jesse Winker","Michael Brantley","Adam Duvall","Jose Ramirez","Tyler Anderson","Corey Kluber","110.23"
"Jason Kipnis","Tyler Naquin","Christian Vazquez","J.D. Martinez","Michael Brantley","Hanley Ramirez","Jose Ramirez","Francisco Lindor","Tyler Anderson","Stephen Strasburg","110.09"
"Joey Votto","Jake Marisnick","Jose Peraza","Evan Gattis","Jesse Winker","Alex Bregman","Jose Altuve","Scott Schebler","Tyler Anderson","Corey Kluber","109.77"
"Jose Martinez","Jake Marisnick","Evan Gattis","Alex Bregman","Tommy Pham","Jose Altuve","Marcell Ozuna","Paul DeJong","Tyler Anderson","Stephen Strasburg","109.7"
"Scooter Gennett","Danny Valencia","Joey Votto","Craig Gentry","Jose Peraza","Tucker Barnhart","Adam Jones","Jesse Winker","Stephen Strasburg","Corey Kluber","109.68"
"Jon Jay","Scooter Gennett","Joey Votto","Jose Peraza","Tucker Barnhart","Alex Gordon","Jorge Soler","Eugenio Suarez","Stephen Strasburg","Jacob deGrom","109.61"
"Josh Bell","Scooter Gennett","Gregory Polanco","Jose Peraza","Tucker Barnhart","Colin Moran","Corey Dickerson","Scott Schebler","Stephen Strasburg","Jacob deGrom","109.58"
"Scooter Gennett","Joey Votto","Jose Peraza","Tucker Barnhart","Scott Schebler","David Dahl","Charlie Blackmon","Nolan Arenado","Tyler Anderson","Stephen Strasburg","109.43"
"Jon Jay","Jason Kipnis","Alex Gordon","Salvador Perez","Michael Brantley","Lucas Duda","Jose Ramirez","Francisco Lindor","Tyler Anderson","Corey Kluber","109.37"
"Welington Castillo","Scooter Gennett","Joey Votto","Jose Peraza","Adam Engel","Leury Garcia","Matt Davidson","Scott Schebler","Stephen Strasburg","Jacob deGrom","109.35"
"Jason Kipnis","Jose Martinez","Michael Brantley","Tommy Pham","Marcell Ozuna","Jose Ramirez","Francisco Lindor","Yadier Molina","Tyler Anderson","Aaron Nola","109.19"
"Scooter Gennett","Joey Votto","Carlos Gomez","Tucker Barnhart","Adeiny Hechavarria","Jesse Winker","Matt Duffy","Billy Hamilton","Stephen Strasburg","Jacob deGrom","109.06"
"Scooter Gennett","Joey Votto","Gregory Polanco","Jose Peraza","Tucker Barnhart","Corey Dickerson","Eugenio Suarez","Starling Marte","Yu Darvish","Corey Kluber","109.05"
"Jon Jay","Scooter Gennett","Joey Votto","Jose Peraza","Alex Gordon","Jesse Winker","Salvador Perez","Mike Moustakas","Aaron Nola","Corey Kluber","109"
"Scooter Gennett","Joey Votto","Nomar Mazara","Jose Peraza","Shin-Soo Choo","Juan Centeno","Delino DeShields","Eugenio Suarez","Aaron Nola","Corey Kluber","108.93"
