Jose Quintana,0.00,0.00,0.00,0.00,19.95,
Luke Weaver,0.00,0.00,0.00,0.00,17.17,
Trevor Bauer,0.00,0.00,0.00,0.00,17.13,
Jake Faria,0.00,0.00,0.00,0.00,16.64,
Shohei Ohtani,0.00,0.00,0.00,0.00,15.87,
Gio Gonzalez,0.00,0.00,0.00,0.00,15.79,
Michael Fulmer,0.00,0.00,0.00,0.00,15.66,
Marcus Stroman,0.00,0.00,0.00,0.00,15.43,
Gerrit Cole,0.00,0.00,0.00,0.00,15.42,
Jose Berrios,0.00,0.00,0.00,0.00,15.39,
Steven Matz,0.00,0.00,0.00,0.00,15.38,
Kevin Gausman,0.00,0.00,0.00,0.00,15.21,
Sonny Gray,0.00,0.00,0.00,0.00,15.05,
Dillon Peters,0.00,0.00,0.00,0.00,13.81,
Mike Minor,0.00,0.00,0.00,0.00,13.65,
Sal Romano,0.00,0.00,0.00,0.00,13.44,
Hector Velazquez,0.00,0.00,0.00,0.00,12.51,
Mike Trout,14.00,14.00,0.90,27.10,12.20,
Trevor Williams,0.00,0.00,0.00,0.00,12.10,
Mike Leake,0.00,0.00,0.00,0.00,12.04,
Bryce Harper,7.00,7.00,5.60,8.40,10.37,
George Springer,9.30,9.30,2.80,15.80,10.33,
Daniel Gossett,0.00,0.00,0.00,0.00,10.24,
Jose Altuve,10.00,10.00,3.10,16.90,9.68,
Carlos Correa,13.30,13.30,-0.70,27.30,9.55,
Josh Donaldson,5.30,5.30,0.60,10.10,9.50,
Giancarlo Stanton,15.30,15.30,-5.50,36.10,9.37,
Trea Turner,11.50,11.50,-1.90,24.90,9.33,
Aaron Judge,4.00,4.00,-2.90,10.90,9.15,
Manny Machado,10.50,10.50,4.10,16.90,9.04,
Alex Bregman,3.00,3.00,-0.60,6.60,8.99,
Brian Dozier,9.50,9.50,0.30,18.70,8.90,
Kris Bryant,18.30,18.30,10.80,25.80,8.86,
Robinson Cano,10.00,10.00,2.90,17.10,8.82,
Mookie Betts,4.00,4.00,1.40,6.60,8.81,
Justin Upton,5.00,5.00,0.40,9.60,8.70,
Miguel Sano,8.00,8.00,-3.30,19.30,8.39,
Chris Davis,1.00,1.00,-0.40,2.40,8.34,
Anthony Rizzo,9.00,9.00,0.80,17.20,8.32,
Adam Eaton,23.50,23.50,0.20,46.80,8.32,
Brett Gardner,7.70,7.70,0.30,15.00,8.31,
Edwin Encarnacion,4.50,4.50,3.80,5.20,8.23,
Kyle Seager,0.00,0.00,0.00,0.00,8.20,
Matt Olson,7.70,7.70,2.00,13.40,8.19,
Kole Calhoun,9.00,9.00,-6.60,24.60,8.17,
Albert Pujols,9.70,9.70,0.90,18.40,8.16,
Francisco Lindor,1.50,1.50,-0.60,3.60,8.09,
Khris Davis,14.30,14.30,5.80,22.80,8.06,
Rougned Odor,2.30,2.30,-0.20,4.80,8.02,
Joey Gallo,4.00,4.00,-2.90,10.90,7.86,
Denard Span,11.50,11.50,2.30,20.70,7.83,
Nomar Mazara,9.30,9.30,1.30,17.40,7.78,
Dee Gordon,6.50,6.50,4.40,8.60,7.77,
Starling Marte,15.00,15.00,15.00,15.00,7.75,
Zack Cozart,15.00,15.00,2.00,28.00,7.75,
Jose Ramirez,0.00,0.00,0.00,0.00,7.74,
J.D. Martinez,5.30,5.30,1.20,9.50,7.72,
Adam Jones,8.00,8.00,-0.50,16.50,7.71,
Anthony Rendon,4.00,4.00,2.60,5.40,7.70,
Jean Segura,2.50,2.50,-1.00,6.00,7.68,
Pedro Alvarez,2.00,2.00,2.00,2.00,7.64,
Andrelton Simmons,6.70,6.70,4.60,8.70,7.63,
Derek Fisher,0.00,0.00,0.00,0.00,7.60,
Jonathan Schoop,1.50,1.50,-0.60,3.60,7.57,
Neil Walker,4.70,4.70,2.20,7.20,7.56,
Evan Gattis,6.00,6.00,2.40,9.60,7.53,
Jay Bruce,8.00,8.00,-0.50,16.50,7.51,
Max Kepler,13.00,13.00,1.70,24.30,7.45,
Jason Kipnis,7.50,7.50,4.00,11.00,7.43,
Devon Travis,0.00,0.00,0.00,0.00,7.41,
Eddie Rosario,6.00,6.00,-2.50,14.50,7.40,
Mallex Smith,5.00,5.00,5.00,5.00,7.36,
Matt Chapman,5.70,5.70,0.20,11.20,7.30,
Luis Valbuena,1.50,1.50,-0.60,3.60,7.30,
Mitch Haniger,13.50,13.50,10.00,17.00,7.27,
Yoenis Cespedes,17.00,17.00,9.90,24.10,7.27,
Joey Votto,4.00,4.00,2.60,5.40,7.26,
Byron Buxton,4.00,4.00,-1.70,9.70,7.26,
Kevin Kiermaier,2.30,2.30,0.30,4.40,7.24,
Elvis Andrus,14.30,14.30,6.60,22.10,7.24,
Trey Mancini,4.50,4.50,3.80,5.20,7.21,
Joe Mauer,7.50,7.50,1.10,13.90,7.20,
Randal Grichuk,6.30,6.30,-0.80,13.40,7.14,
Jefry Marte,4.00,4.00,4.00,4.00,7.12,
Rafael Devers,7.00,7.00,4.20,9.80,7.11,
Colby Rasmus,0.00,0.00,0.00,0.00,7.10,
Logan Morrison,2.00,2.00,2.00,2.00,7.10,
Didi Gregorius,8.70,8.70,-0.40,17.70,7.10,
Marcus Semien,8.30,8.30,0.80,15.90,7.09,
Carlos Gomez,8.30,8.30,-2.80,19.50,7.08,
Marcell Ozuna,0.00,0.00,0.00,0.00,7.04,
Miguel Andujar,0.00,0.00,0.00,0.00,7.04,
Lewis Brinson,7.70,7.70,0.60,14.80,7.03,
Miguel Cabrera,16.00,16.00,16.00,16.00,7.01,
Jonathan Lucroy,5.00,5.00,2.20,7.80,6.98,
Curtis Granderson,2.50,2.50,-1.00,6.00,6.95,
Russell Martin,1.00,1.00,-0.40,2.40,6.93,
Eugenio Suarez,10.50,10.50,-4.30,25.30,6.92,
Adrian Beltre,6.70,6.70,6.10,7.20,6.92,
Nick Castellanos,14.00,14.00,14.00,14.00,6.91,
Tyler Wade,4.50,4.50,-1.90,10.90,6.88,
Bradley Zimmer,0.00,0.00,0.00,0.00,6.87,
Xander Bogaerts,17.70,17.70,11.60,23.70,6.87,
Yangervis Solarte,10.50,10.50,5.60,15.40,6.86,
Ryan Zimmerman,2.00,2.00,2.00,2.00,6.85,
Gregory Polanco,39.00,39.00,39.00,39.00,6.83,
Jurickson Profar,0.00,0.00,0.00,0.00,6.82,
Drew Robinson,2.00,2.00,2.00,2.00,6.82,
Adam Duvall,18.00,18.00,18.00,18.00,6.80,
Billy Hamilton,0.00,0.00,0.00,0.00,6.76,
Dexter Fowler,0.00,0.00,0.00,0.00,6.76,
Jed Lowrie,5.30,5.30,3.30,7.40,6.76,
Josh Bell,17.00,17.00,17.00,17.00,6.68,
Stephen Piscotty,4.00,4.00,1.40,6.60,6.67,
Jackie Bradley Jr.,0.00,0.00,0.00,0.00,6.66,
Boog Powell,7.50,7.50,-3.10,18.10,6.64,
Paul DeJong,3.00,3.00,3.00,3.00,6.62,
Brandon Drury,7.00,7.00,0.90,13.10,6.62,
Brad Miller,1.50,1.50,-0.60,3.60,6.60,
Mitch Garver,0.00,0.00,0.00,0.00,6.55,
Dan Vogelbach,0.00,0.00,0.00,0.00,6.54,
Kevin Pillar,14.30,14.30,4.80,23.80,6.52,
Ryon Healy,0.00,0.00,0.00,0.00,6.45,
Jeimer Candelario,11.00,11.00,11.00,11.00,6.42,
Marwin Gonzalez,6.00,6.00,1.40,10.60,6.42,
Javier Baez,3.00,3.00,-1.20,7.20,6.36,
Yonder Alonso,13.00,13.00,-5.40,31.40,6.36,
Matt Carpenter,10.50,10.50,5.60,15.40,6.34,
