Justin Verlander,20.40,26.40,17.80,35.00,27.27,
Shelby Miller,4.40,4.40,3.10,5.60,18.76,
Johnny Cueto,23.00,23.00,13.40,32.60,18.22,
Max Fried,26.30,26.30,11.50,41.10,16.59,
Luke Weaver,7.30,10.80,0.50,21.10,15.28,
Marco Gonzales,17.10,16.50,6.70,26.30,13.84,
Carlos Rodon,12.40,12.40,6.10,18.70,13.80,
Jeremy Hellickson,10.70,13.30,4.20,22.50,13.43,
Aaron Slegers,0.00,0.00,0.00,0.00,13.20,
Eric Lauer,13.50,9.50,-1.80,20.90,12.76,
Pablo Lopez,19.30,19.30,19.30,19.30,12.30,
Paul Goldschmidt,11.80,9.30,0.70,18.00,12.23,
Jhoulys Chacin,13.80,13.00,2.70,23.20,11.49,
Freddie Freeman,6.00,9.60,1.80,17.50,11.08,
Mike Trout,7.80,11.10,1.70,20.60,11.04,
Yovani Gallardo,12.90,12.90,1.60,24.10,10.76,
A.J. Pollock,5.20,10.90,0.80,20.90,10.74,
Trea Turner,5.60,8.70,1.00,16.40,10.26,
Eddie Rosario,6.80,9.90,0.40,19.40,10.19,
Bryce Harper,6.20,8.90,0.10,17.80,9.95,
Eric Hosmer,5.00,7.30,0.30,14.40,9.90,
Manny Machado,10.80,9.50,0.60,18.30,9.88,
Nick Castellanos,14.40,8.90,0.80,17.10,9.80,
George Springer,2.60,8.50,-0.10,17.10,9.77,
Adrian Beltre,6.80,7.20,1.70,12.80,9.74,
Matt Boyd,10.90,13.60,4.90,22.20,9.59,
Juan Soto,10.80,8.90,-0.20,18.10,9.54,
Alex Bregman,11.40,9.50,2.20,16.70,9.48,
Wil Myers,11.20,7.10,-0.40,14.60,9.45,
Ozzie Albies,11.40,9.70,1.10,18.40,9.37,
Jaime Barria,12.50,13.90,4.80,23.10,9.28,
Elvis Andrus,7.20,7.00,1.60,12.40,9.27,
Nick Ahmed,7.80,6.60,-1.10,14.30,9.23,
Ender Inciarte,11.20,8.20,0.40,15.90,9.17,
Delino DeShields,8.00,7.40,1.40,13.30,9.13,
Ryan Braun,4.80,7.40,-0.80,15.60,9.12,
Justin Bour,3.80,6.60,-0.10,13.30,9.11,
Steven Souza,3.60,3.30,-0.30,7.00,9.05,
Andrew Cashner,10.80,11.00,4.70,17.40,8.84,
Logan Morrison,10.20,6.50,0.20,12.80,8.80,
Justin Upton,6.40,8.00,0.80,15.10,8.73,
Brian Dozier,10.80,7.80,0.30,15.30,8.73,
Jose Altuve,2.20,8.90,0.80,17.10,8.70,
J.T. Realmuto,9.60,9.40,1.00,17.70,8.69,
Anthony Rendon,9.60,8.30,0.60,16.00,8.68,
Matt Adams,7.40,9.90,-0.90,20.70,8.65,
Travis Jankowski,4.60,7.30,1.10,13.40,8.64,
Derek Dietrich,5.00,7.40,0.40,14.50,8.60,
Mark Trumbo,9.80,7.10,-0.10,14.30,8.58,
Jesus Aguilar,4.00,10.10,0.50,19.60,8.54,
Daniel Murphy,4.80,4.20,-0.80,9.20,8.53,
Mikie Mahtook,4.20,4.80,0.80,8.70,8.51,
Rougned Odor,13.20,6.70,1.10,12.30,8.47,
Joey Gallo,12.20,7.80,0.20,15.30,8.47,
Joe Mauer,10.80,6.70,1.20,12.20,8.46,
Jonathan Villar,4.40,6.20,-0.10,12.50,8.43,
Adam Jones,5.40,6.90,0.00,13.80,8.38,
Nelson Cruz,6.20,9.10,0.10,18.10,8.36,
Jurickson Profar,11.80,8.20,0.90,15.60,8.30,
Nick Markakis,13.20,8.80,1.90,15.70,8.24,
Eduardo Escobar,8.20,8.60,0.80,16.40,8.23,
Cory Spangenberg,4.20,6.10,-0.30,12.40,8.20,
Brandon Belt,7.80,8.90,1.60,16.10,8.20,
Ketel Marte,3.20,6.60,-0.10,13.40,8.15,
Jean Segura,5.40,9.40,1.10,17.60,8.12,
Nomar Mazara,7.60,8.20,0.80,15.70,8.06,
Max Kepler,4.60,6.30,-0.40,13.00,8.00,
Christian Yelich,10.00,9.20,1.40,17.00,7.99,
Brian Anderson,5.80,7.30,1.40,13.20,7.94,
Jorge Polanco,6.70,6.70,-1.00,14.30,7.93,
Andrelton Simmons,9.20,7.90,1.50,14.30,7.90,
Tommy Pham,10.20,8.70,0.80,16.50,7.86,
Jonathan Schoop,3.60,6.00,-0.60,12.50,7.85,
Denard Span,6.80,8.00,1.40,14.70,7.84,
Alen Hanson,2.40,8.00,0.50,15.50,7.79,
Kyle Seager,9.60,7.40,-0.20,15.10,7.79,
Ronald Acuna,11.80,8.50,0.30,16.80,7.77,
Evan Gattis,8.20,8.20,-1.00,17.40,7.75,
Dee Gordon,3.20,7.50,0.80,14.20,7.75,
John Hicks,7.80,7.00,0.90,13.10,7.71,
Niko Goodrum,9.00,7.30,-0.20,14.80,7.66,
