Stephen Strasburg,24.20,22.60,12.90,32.40,29.29,
Jeff Samardzija,9.20,9.20,-3.10,21.60,17.92,
Kyle Hendricks,16.10,16.20,7.00,25.40,17.43,
Dallas Keuchel,15.80,14.20,6.80,21.70,16.92,
John Gant,0.00,0.00,0.00,0.00,16.63,
Fernando Romero,22.00,22.00,22.00,22.00,14.62,
Tyson Ross,21.10,19.40,10.40,28.40,13.78,
Zach Eflin,17.70,17.70,17.70,17.70,13.43,
Michael Fulmer,13.80,14.50,2.90,26.00,12.59,
P.J. Conlon,0.00,0.00,0.00,0.00,12.54,
Matt Moore,2.00,3.20,-11.60,17.90,12.07,
Michael Conforto,2.40,6.50,1.50,11.40,11.96,
Jarlin Garcia,17.60,17.60,13.80,21.30,11.71,
George Springer,7.40,8.60,1.20,16.00,11.26,
Homer Bailey,9.30,8.60,-0.50,17.80,11.03,
Jay Bruce,2.60,6.50,-1.00,14.00,10.74,
Carlos Correa,7.80,9.10,0.60,17.70,10.54,
Jose Altuve,6.60,7.70,0.50,14.80,10.52,
Bryce Harper,12.60,11.00,0.50,21.50,10.41,
Yoenis Cespedes,7.80,8.80,1.20,16.30,10.21,
Trea Turner,9.60,9.10,1.70,16.50,10.07,
Brandon Belt,9.00,9.30,2.40,16.30,10.06,
Alex Bregman,7.20,6.90,1.10,12.70,9.77,
Kris Bryant,8.20,9.20,1.20,17.10,9.31,
Nick Castellanos,11.00,8.60,0.10,17.00,9.25,
Adrian Gonzalez,8.60,6.70,-1.40,14.70,9.05,
Yulieski Gurriel,7.20,6.50,0.60,12.40,9.02,
Leonys Martin,7.00,8.70,0.40,17.00,8.95,
Rhys Hoskins,8.60,9.50,2.10,17.00,8.81,
Asdrubal Cabrera,9.20,9.90,1.20,18.70,8.76,
Joey Gallo,12.60,8.90,0.90,17.00,8.73,
Todd Frazier,7.60,8.50,0.60,16.50,8.69,
Andrew McCutchen,9.80,7.70,-0.90,16.40,8.69,
Max Kepler,4.80,7.10,-0.70,15.00,8.64,
James McCann,8.20,6.80,0.70,12.90,8.56,
Joe Mauer,6.40,7.50,3.10,11.90,8.47,
Eugenio Suarez,9.60,9.90,0.00,19.90,8.46,
Carlos Santana,9.00,6.70,0.70,12.70,8.38,
Jeimer Candelario,6.80,8.60,1.00,16.20,8.37,
Victor Martinez,6.20,6.10,0.00,12.30,8.36,
Javier Baez,9.20,11.60,0.90,22.40,8.33,
Matt Carpenter,7.20,6.30,0.30,12.30,8.31,
Joey Votto,10.60,8.00,0.10,15.90,8.28,
Evan Gattis,3.80,5.00,-1.00,11.10,8.23,
Eddie Rosario,19.40,10.10,0.90,19.30,8.21,
Brian Dozier,6.40,8.00,0.20,15.80,8.19,
Marcus Semien,4.00,7.90,1.10,14.60,8.17,
Anthony Rendon,4.20,6.50,1.70,11.30,8.13,
Gregor Blanco,7.00,6.40,0.90,12.00,8.06,
Evan Longoria,9.40,8.20,0.50,15.80,8.04,
Buster Posey,13.00,7.60,1.70,13.60,8.04,
Matt Adams,13.20,12.20,0.10,24.40,8.03,
Shin-Soo Choo,4.60,7.70,0.70,14.70,8.00,
Nomar Mazara,13.20,8.10,0.70,15.50,7.98,
Brandon Crawford,13.20,5.70,-1.10,12.60,7.94,
Marwin Gonzalez,4.40,5.80,0.50,11.00,7.92,
Khris Davis,8.20,8.40,-0.20,16.90,7.87,
Willson Contreras,2.20,6.10,1.20,10.90,7.81,
Dexter Fowler,8.80,7.40,0.70,14.20,7.78,
Marcell Ozuna,7.40,6.50,1.40,11.60,7.76,
Justin Bour,7.40,6.90,-0.20,14.00,7.76,
Odubel Herrera,6.00,8.30,1.70,14.90,7.74,
Adam Duvall,7.40,6.60,-0.50,13.60,7.57,
Matt Chapman,1.00,7.50,0.20,14.80,7.49,
Eduardo Escobar,13.80,10.10,2.10,18.00,7.44,
Cesar Hernandez,7.20,8.50,2.20,14.90,7.41,
Howie Kendrick,4.80,7.10,1.00,13.10,7.39,
Alen Hanson,13.40,12.10,4.40,19.90,7.38,
Delino DeShields,11.00,9.30,2.20,16.30,7.38,
Albert Almora,3.60,7.80,1.70,13.90,7.38,
Ben Zobrist,4.00,7.30,0.00,14.60,7.34,
JaCoby Jones,5.00,7.30,0.10,14.50,7.26,
John Hicks,11.60,8.40,1.40,15.30,7.26,
Nick Williams,2.60,4.10,0.20,8.10,7.26,
Brett Anderson,14.70,14.70,14.70,14.70,7.25,
Jurickson Profar,4.20,6.20,-0.30,12.80,7.22,
Jose Peraza,9.00,7.30,-0.50,15.10,7.13,
Jose Iglesias,3.60,5.30,-0.50,11.10,7.09,
Eric Hosmer,15.20,8.80,1.30,16.40,7.08,
Maikel Franco,11.40,9.00,-0.30,18.40,6.94,
Michael Taylor,3.20,7.10,-0.60,14.80,6.94,
Ian Happ,2.80,5.50,-0.30,11.20,6.91,
Max Stassi,2.00,6.60,-0.80,14.00,6.91,
Robbie Grossman,2.80,4.60,-1.70,10.80,6.87,
Jedd Gyorko,13.00,11.90,4.70,19.10,6.85,
Derek Dietrich,3.40,6.10,0.10,12.10,6.81,
J.T. Realmuto,5.80,9.60,1.10,18.00,6.69,
Kolten Wong,8.60,5.50,-0.90,11.90,6.61,
Addison Russell,4.60,5.30,0.40,10.20,6.56,
Paul DeJong,3.60,8.00,0.00,16.10,6.54,
