Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Wade LeBlanc ^0, 35.50,"$6,200",SEA,v chw, 3-1,  7.1IP 4H R ER BB 10K Win 
 Rich Hill ^9, 28.10,"$8,600",LAD,@ mil, 6-4,  6.0IP 5H R ER 4BB 9K Win 
 Dallas Keuchel ^0, 27.45,"$8,300",HOU,@ laa, 3-1,  7.2IP 2H R ER BB 5K Win 
 Jack Flaherty ^9, 26.45,N/A,STL,@ chc, 18-5,  5.0IP 2H R ER 4BB 9K 2HB Win 
 David Price ^0, 24.65,"$8,000",BOS,@ det, 1-0,  6.1IP 4H BB 5K HB Win 
 Nathan Eovaldi ^0, 23.90,"$8,200",TAM,v mia, 5-6,  6.0IP 6H R ER 8K 
 Dereck Rodriguez ^0, 23.25,"$6,600",SFO,@ oak, 5-1,  6.1IP 3H R ER 5K 2HB Win 
 Anibal Sanchez ^9, 22.10,"$7,700",ATL,@ was, 8-5,  6.0IP 6H 3R 3ER 3BB 8K Win 
 Jameson Taillon ^9, 21.80,"$7,500",PIT,@ cin, 12-1,  5.1IP 6H R ER BB 6K Win 
 Danny Duffy ^0, 20.95,"$6,100",KAN,v min, 6-5,  7.0IP 5H R ER 3BB 4K Win 
 Sam Gaviglio ^0, 19.85,"$6,900",TOR,v bal, 8-7(F10),  7.2IP 7H 4R 4ER BB 8K HB E 
 Dan Straily ^0, 19.55,"$5,800",MIA,@ tam, 6-5,  7.0IP 4H R ER 3BB 3K Win 
 James Shields ^0, 18.95,"$6,500",CHW,@ sea, 1-3,  7.0IP 7H 2R ER BB 5K Loss 
 Matt Boyd ^0, 18.25,"$6,000",DET,v bos, 0-1,  5.0IP 3H R ER 2BB 6K E Loss 
 Edwin Jackson ^0, 17.25,"$6,700",OAK,v sfo, 1-5,  6.1IP 4H 3R 3ER BB 6K Loss 
 Noah Syndergaard ^0, 16.45,"$9,300",NYM,@ nyy, 7-5,  5.0IP 8H R ER 4K Win 
Jaime Schulz, 14.50,N/A,TAM,v mia, 5-6,  2.0IP 5K 
