Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Blake Snell ^0, 36.30,"$11,100",TAM,@ sea, 1-2,  6.0IP 2H 12K 
 Michael Wacha ^9, 36.20,"$9,700",STL,v pit, 5-0,  8.0IP H 2BB 8K Win 
 Jon Lester ^9, 30.15,"$10,400",CHC,@ nym, 2-0,  7.0IP 2H 3BB 7K HB Win 
 Matt Koch ^9, 29.95,"$6,100",ARI,v mia, 6-1,  7.0IP 3H 6K Win 
 Felix Hernandez ^0, 29.20,"$7,800",SEA,v tam, 2-1,  8.0IP 5H R ER BB 7K 2HB Win 
 Aaron Sanchez ^0, 26.50,"$8,000",TOR,@ det, 8-4,  6.0IP 2H R ER 3BB 7K Win 
 Tyler Skaggs ^0, 25.30,"$9,500",LAA,v tex, 3-1,  6.0IP 4H 3BB 6K Win 
 Anibal Sanchez ^9, 23.95,"$5,500",ATL,v was, 4-2,  7.0IP 2H 2R BB 5K 
 Jake Junis ^0, 23.70,"$9,000",KAN,v oak, 1-5,  7.1IP 6H 3R 3ER BB 9K HB Loss 
 Dereck Rodriguez ^9, 23.30,"$5,000",SFO,v phi, 6-1,  6.0IP 5H R ER 2BB 6K Win 
 Steven Matz ^9, 21.55,"$6,900",NYM,v chc, 0-2,  7.0IP 5H 2R 2ER 2BB 7K Loss 
 Dylan Covey ^0, 21.05,"$4,600",CHW,v mil, 6-1,  5.0IP 4H R 3BB 7K 
 Kyle Gibson ^0, 20.35,"$7,800",MIN,v cle, 7-5,  5.2IP 2H 2R 2ER 2BB 7K 
 Rick Porcello ^0, 18.85,"$8,000",BOS,@ hou, 9-3,  6.1IP 5H 3R 2ER 2BB 5K 2HB Win 
 Brent Suter ^0, 16.25,"$7,700",MIL,@ chw, 1-6,  5.0IP 3H 2R 2ER 2BB 6K Loss 
 Jefry Rodriguez , 12.90,N/A,WAS,@ atl, 2-4,  4.2IP 4H 2BB 3K 
 Nick Kingham ^9, 12.25,"$8,200",PIT,@ stl, 0-5,  5.0IP 4H 4R 3ER BB 5K Loss 
 Lou Trivino , 11.90,"$4,000",OAK,@ kan, 5-1,  2.0IP BB 2K Win 
 Tyson Ross ^9, 11.85,"$9,100",SDG,v cin, 6-3,  5.0IP 7H 2R 2ER 2BB 3K Win 
 Dan Straily ^9, 11.55,"$7,300",MIA,@ ari, 1-6,  4.1IP 2H R ER 5BB 4K Loss 
 Tony Cingrani , 11.00,"$4,000",LAD,@ col, 10-7,  1.1IP 2K Win 
 Chad Bettis ^9, 10.55,"$5,900",COL,v lad, 7-10,  5.2IP 7H 5R 5ER 6K 
 Ryan Tepera ,  9.75,"$4,000",TOR,@ det, 8-4,  1.2IP 3K 
 Arodys Vizcaino ,  9.05,"$4,000",ATL,v was, 4-2,  1.0IP H BB 2K Win 
 Daniel Gossett ^0,  8.85,"$5,100",OAK,@ kan, 5-1,  5.0IP 2H R ER 2BB K 
 Brock Stewart ,  8.55,"$4,500",LAD,@ col, 10-7,  1.2IP 2H R 3K E BS 
 Mark Melancon ,  8.25,"$4,000",SFO,v phi, 6-1,  1.0IP 3K 
 Erik Goeddel ,  8.25,"$4,000",LAD,@ col, 10-7,  1.0IP 3K 
 Steven Brault ,  7.90,"$4,200",PIT,@ stl, 0-5,  2.0IP BB 2K 
 Paul Sewald ,  7.90,"$4,000",NYM,v chc, 0-2,  2.0IP BB 2K 
 Matt Barnes ,  7.75,"$4,000",BOS,@ hou, 9-3,  1.2IP 2K Hold     
 Fernando Rodney ,  7.65,"$4,000",MIN,v cle, 7-5,  1.0IP H K Win 
 Charlie Morton ^0,  7.40,"$10,400",HOU,v bos, 3-9,  5.1IP 9H 6R 6ER BB 7K HB Loss 
 Doug Fister ^0,  7.10,"$4,200",TEX,@ laa, 1-3,  6.0IP 4H 3R 3ER K Loss 
 Jared Hughes ,  7.00,"$4,000",CIN,@ sdg, 3-6,  1.1IP 2K 
 Jake Arrieta ^9,  6.70,"$9,100",PHI,@ sfo, 1-6,  6.0IP 8H 5R 5ER 4K Loss 
 Michael Fulmer ^0,  6.70,"$7,200",DET,v tor, 4-8,  6.0IP 5H 4R 4ER 3BB 3K Loss 
 Alex  Claudio ,  6.50,"$4,000",TEX,@ laa, 1-3,  2.0IP K 
 Taylor Rogers ,  6.40,"$4,000",MIN,v cle, 7-5,  1.1IP H 2K 
 Craig Stammen ,  6.25,"$4,000",SDG,v cin, 6-3,  1.0IP 2K Hold     
 Joakim Soria ,  6.25,"$4,000",CHW,v mil, 6-1,  1.0IP 2K Hold     
 Blake Treinen ,  6.25,"$4,000",OAK,@ kan, 5-1,  1.0IP 2K 
 Collin McHugh ,  5.95,"$7,000",HOU,v bos, 3-9,  1.2IP 3H R ER 3K 
 Jordan Hicks ,  5.65,"$4,000",STL,v pit, 5-0,  1.0IP H 2K 
 Jim Johnson ,  5.65,"$4,000",LAA,v tex, 3-1,  1.0IP BB 2K Hold     
 Tyler Clippard ,  5.65,"$4,000",TOR,@ det, 8-4,  1.0IP H 2K 
 Mike Clevinger ^0,  5.50,"$11,100",CLE,@ min, 5-7,  6.0IP 7H 4R 4ER 3BB 3K 
 Adam Conley ,  5.30,"$4,400",MIA,@ ari, 1-6,  2.0IP H 2R ER BB 2K 
 Yimi Garcia ,  5.15,"$4,000",LAD,@ col, 10-7,  1.2IP H K 
 Chris Volstad ,  4.75,"$4,900",CHW,v mil, 6-1,  0.1IP Win 
 Jose Alvarado ,  4.45,"$4,000",TAM,@ sea, 1-2,  1.0IP 2H 2R ER BB 3K BS Loss 
 Luis Castillo ^8,  4.30,"$6,800",CIN,@ sdg, 3-6,  4.2IP 6H 4R 4ER BB 3K Loss 
 Daniel Winkler ,  4.25,"$4,500",ATL,v was, 4-2,  1.0IP K 
 Tommy Hunter ,  4.25,"$4,000",PHI,@ sfo, 1-6,  1.0IP K 
 Tony Sipp ,  4.25,"$4,000",HOU,v bos, 3-9,  1.0IP K 
 Kenley Jansen ,  4.25,"$4,000",LAD,@ col, 10-7,  1.0IP K Save 
 Jeremy Jeffress ,  4.25,"$4,000",MIL,@ chw, 1-6,  1.0IP K 
 Edwin Diaz ,  4.25,"$4,000",SEA,v tam, 2-1,  1.0IP K Save 
 Jake McGee ,  4.25,"$4,000",COL,v lad, 7-10,  1.0IP K 
 Reyes Moronta ,  4.25,"$4,000",SFO,v phi, 6-1,  1.0IP K 
 Yusmeiro Petit ,  3.65,"$4,000",OAK,@ kan, 5-1,  1.0IP H K 
 Chaz Roe ,  3.50,"$4,000",TAM,@ sea, 1-2,  0.2IP K Hold     
 Archie Bradley ,  3.05,"$4,000",ARI,v mia, 6-1,  1.0IP H BB K Hold     
 Heath Hembree ,  3.05,"$4,000",BOS,@ hou, 9-3,  1.0IP 2BB K 
 Will Smith ,  3.05,"$4,000",SFO,v phi, 6-1,  1.0IP H BB K 
 Brad Hand ,  3.05,"$4,000",SDG,v cin, 6-3,  1.0IP 2H R ER 2K Hold     
 Neil Ramirez ,  2.75,"$4,000",CLE,@ min, 5-7,  0.1IP K 
 Steve Cishek ,  2.75,"$4,000",CHC,@ nym, 2-0,  0.1IP K Hold     
 Justin Anderson ,  2.45,"$4,000",LAA,v tex, 3-1,  1.0IP 3BB K Save 
 Scott Oberg ,  2.40,"$4,000",COL,v lad, 7-10,  1.1IP H R BS 
 Jace Fry ,  2.25,"$4,000",CHW,v mil, 6-1,  1.0IP Hold     
 Adam Cimber ,  2.25,"$4,000",SDG,v cin, 6-3,  1.0IP Hold     
 Chris Beck ,  1.65,"$4,000",CHW,v mil, 6-1,  1.0IP H 
 Jason Adam ,  1.65,"$4,000",KAN,v oak, 1-5,  1.0IP H 
 Noe Ramirez ,  1.65,"$4,000",LAA,v tex, 3-1,  1.0IP H R ER K Hold     
 Brian Duensing ,  1.65,"$4,000",CHC,@ nym, 2-0,  1.0IP H Save 
 Sammy Solis ,  1.65,"$4,000",WAS,@ atl, 2-4,  1.0IP BB Hold     
 Oliver Perez ,  1.65,N/A,CLE,@ min, 5-7,  1.0IP H 
 John Barbato ,  1.05,"$4,000",DET,v tor, 4-8,  1.0IP H BB 
 Brandon Kintzler ,  1.05,"$4,000",WAS,@ atl, 2-4,  1.0IP BB HB 
 Raisel Iglesias ,  1.05,"$4,000",CIN,@ sdg, 3-6,  1.0IP H R ER BB K 
 Randy Rosario ,  0.90,"$4,000",CHC,@ nym, 2-0,  0.2IP BB Hold     
 Drew Steckenrider ,  0.90,"$4,000",MIA,@ ari, 1-6,  0.2IP BB 
 Luis Avilan ,  0.90,"$4,000",CHW,v mil, 6-1,  0.2IP H 
 Zach McAllister ,  0.90,"$4,000",CLE,@ min, 5-7,  0.2IP H 
 Jeremy Hellickson ^9,  0.75,"$7,500",WAS,@ atl, 2-4,  0.1IP R 
 David Hernandez ,  0.75,"$4,000",CIN,@ sdg, 3-6,  0.1IP 
 Richard Rodriguez ,  0.75,"$4,000",PIT,@ stl, 0-5,  0.1IP 
 Jonny Venters ,  0.75,"$4,000",TAM,@ sea, 1-2,  0.1IP Hold     
 Drew Rucinski ,  0.75,"$4,000",MIA,@ ari, 1-6,  0.1IP 
 Josh Fields ,  0.75,"$4,000",LAD,@ col, 10-7,  0.1IP 
 Ken Giles ,  0.45,"$4,000",HOU,v bos, 3-9,  1.0IP 3H 2R 2ER 2K 
 Kirby Yates ,  0.45,"$4,000",SDG,v cin, 6-3,  1.0IP 3H Save 
 Dennis Santana ,  0.00,"$4,000",LAD,@ col, 10-7,  0.0IP R BB 
 Dan Jennings , -0.15,"$4,000",MIL,@ chw, 1-6,  1.0IP 2H 2R 2ER 2BB 2K 
