Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Sean Manaea ^0, 53.05,"$7,500",OAK,v bos, 3-0,  9.0IP 2BB 10K Win     CG 
 Mike Clevinger ^0, 32.85,"$10,100",CLE,@ bal, 4-0,  9.0IP 2H 2BB 3K Win     CG 
 Hyun-Jin Ryu ^9, 32.75,"$8,500",LAD,v was, 4-0,  7.0IP 2H 3BB 8K Win 
Jacob deGrom^8, 32.15,"$10,900",NYM,@ atl, 3-4,  7.0IP 4H 2BB 10K 
 Garrett Richards ^0, 31.90,"$7,700",LAA,v sfo, 4-3,  6.0IP 5H 2R 2ER BB 11K Win 
 Aaron Nola ^9, 30.15,"$10,600",PHI,v pit, 6-2,  7.0IP 6H 2R 2ER 9K Win 
 Stephen Strasburg ^9, 26.95,"$10,500",WAS,@ lad, 0-4,  7.0IP 5H 2R 2ER 2BB 10K HB Loss 
 Blake Snell ^0, 26.75,N/A,TAM,v min, 10-1,  7.0IP 5H R ER 6K Win 
 Chris Sale ^0, 25.55,"$12,000",BOS,@ oak, 0-3,  7.0IP 6H 3R 3ER BB 10K Loss 
 Julio Teheran ^9, 24.75,"$6,300",ATL,v nym, 4-3,  7.0IP 4H BB 6K 
 Dallas Keuchel ^0, 23.90,"$9,200",HOU,@ chw, 10-1,  6.0IP 4H R ER 2BB 6K Win 
 Zack Godley ^9, 23.80,"$8,800",ARI,v sdg, 6-2,  5.1IP 6H 2R 2ER BB 8K Win 
 Carlos Martinez ^9, 23.30,"$11,200",STL,v cin, 4-3,  6.0IP 3H 3BB 7K HB 
 Jordan Montgomery ^0, 21.30,"$7,600",NYY,v tor, 9-1,  6.0IP 4H R ER 3BB 5K Win 
 Tyler Anderson ^9, 20.70,"$6,200",COL,v chc, 5-2,  6.0IP 6H 2R 2ER 2BB 6K Win 
 Kyle Gibson ^0, 16.05,N/A,MIN,@ tam, 1-10,  6.1IP 5H 4R 4ER BB 7K HB Loss 
 Derek Holland ^0, 13.90,"$4,900",SFO,@ laa, 3-4,  6.0IP 5H 4R 4ER BB 6K Loss 
 Clayton Richard ^9, 12.45,"$4,800",SDG,@ ari, 2-6,  5.0IP 5H 3R 3ER 3BB 6K Loss 
 Steven Brault ^9, 12.40,"$5,200",PIT,@ phi, 2-6,  5.1IP 2H 2R 2ER 3BB 4K HB 
