Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Trevor Bauer ^0, 32.85,"$13,800",CLE,v det, 4-1,  6.1IP 5H R ER 2BB 11K 2HB Win 
 Zack Greinke ^9, 29.70,"$9,700",ARI,@ pit, 7-2,  6.0IP 2H 7K HB Win 
 Mike Leake ^0, 29.00,"$4,400",SEA,@ bos, 7-2,  8.0IP 3H 2BB 5K Win 
 Trevor Richards ^9, 28.50,"$5,200",MIA,@ col, 6-2,  6.0IP 3H R ER 2BB 8K Win 
 Dylan Bundy ^9, 24.85,"$9,200",BAL,@ atl, 7-5,  6.1IP 7H 2R 2ER 2BB 8K Win 
 Chase Anderson ^9, 23.65,"$6,700",MIL,v stl, 2-3,  5.0IP 2H R ER 4BB 9K 
 Caleb Ferguson , 22.60,"$6,200",LAD,@ nym, 8-3,  4.0IP 3H BB 6K Win 
 Wilmer Font ^0, 22.35,"$4,000",TAM,v nyy, 4-0,  5.2IP 3H BB 4K Win 
 Lance McCullers ^0, 21.90,"$10,200",HOU,v kan, 4-3(F12),  6.0IP 4H 3R 3ER 2BB 9K 
 Miles Mikolas ^9, 21.40,"$9,400",STL,@ mil, 3-2,  6.2IP 3H 2R 2ER 2BB 5K HB Win 
 Aaron Nola ^9, 19.30,"$11,800",PHI,@ was, 5-3,  6.0IP 4H 2R 2ER 3BB 5K Win 
 Ian Kennedy ^0, 18.75,"$5,100",KAN,@ hou, 3-4(F12),  7.0IP 4H 2R 2ER BB 5K 
 Marcus Stroman ^0, 17.05,"$5,600",TOR,@ laa, 4-1,  5.0IP 6H BB 5K 
 Sonny Gray ^0, 16.80,"$6,900",NYY,@ tam, 0-4,  6.2IP 6H 4R 4ER BB 7K Loss 
 Tyler Anderson ^9, 16.10,"$6,200",COL,v mia, 2-6,  6.0IP 7H 4R 4ER 2BB 8K Loss 
 Anthony DeSclafani ^8, 16.05,"$7,200",CIN,v chc, 11-2,  6.1IP 3H 2R 2ER 4BB 3K Win 
 Lou Trivino , 15.75,"$4,000",OAK,@ chw, 7-6,  1.2IP 4K BS Win 
Jacob deGrom^9, 14.70,"$13,400",NYM,v lad, 3-8,  6.0IP 5H 3R 3ER 3BB 6K Loss 
 Jaime Barria ^0, 14.45,"$7,400",LAA,v tor, 1-4,  5.0IP 4H R ER 4BB 5K 
 Richard Rodriguez , 14.15,"$4,000",PIT,v ari, 2-7,  3.0IP H R ER 5K 
 Andrew Suarez ^9, 13.35,"$7,900",SFO,v sdg, 5-3,  5.2IP 8H R ER BB 4K 
 Matt Strahm , 13.10,"$4,800",SDG,@ sfo, 3-5,  3.1IP 2H R ER 2BB 5K 
 Collin McHugh , 12.25,"$7,000",HOU,v kan, 4-3(F12),  1.0IP 3K Win 
 Luke Jackson , 10.65,"$4,000",ATL,v bal, 5-7,  2.1IP H 3K 
 Seung Hwan Oh ,  9.65,"$4,000",TOR,@ laa, 4-1,  1.0IP H R ER 3K BS Win 
 Emilio Pagan ,  9.30,"$4,000",OAK,@ chw, 7-6,  2.0IP 2H 3K 
 Yovani Gallardo ^0,  9.20,"$4,500",TEX,@ min, 9-6,  5.1IP 6H 4R 4ER 2BB 3K Win 
 Chris Devenski ,  8.50,"$4,000",HOU,v kan, 4-3(F12),  2.0IP 2K 
 Matt Magill ,  8.50,"$4,000",MIN,v tex, 6-9,  3.1IP 3H 3R 3ER BB 5K HB 
 Taylor Williams ,  8.25,"$4,000",MIL,v stl, 2-3,  1.0IP 3K 
 Jace Fry ,  7.90,"$4,000",CHW,v oak, 6-7,  2.0IP H 2K 
 Alex Wilson ,  7.90,"$4,000",DET,@ cle, 1-4,  2.0IP H R ER 3K 
 Blake Treinen ,  7.75,"$4,000",OAK,@ chw, 7-6,  1.2IP 2K E Save 
 Reyes Moronta ,  7.65,"$4,000",SFO,v sdg, 5-3,  1.0IP BB K Win 
 Erick Fedde ^9,  7.50,"$7,100",WAS,v phi, 3-5,  6.0IP 8H 3R 3ER 2BB 3K Loss 
 Burch Smith ,  7.30,"$4,000",KAN,@ hou, 3-4(F12),  2.0IP 2BB 2K 
 Clayton Kershaw ^9,  7.15,"$11,800",LAD,@ nym, 8-3,  3.0IP 5H 2R 2ER BB 4K 
 Francisco Liriano ^0,  6.80,"$5,300",DET,@ cle, 1-4,  4.0IP 4H 3R 2ER 3BB 3K Loss 
 Ryan Tepera ,  6.25,"$4,000",TOR,@ laa, 4-1,  1.0IP 2K Save 
 Peter Moylan ,  6.25,"$4,000",ATL,v bal, 5-7,  1.0IP 2K 
 Cody Allen ,  6.25,"$4,000",CLE,v det, 4-1,  1.0IP 2K Save 
 Seranthony Dominguez ,  6.25,"$4,000",PHI,@ was, 5-3,  1.0IP 2K Save 
 Anthony Bass ,  6.25,"$4,000",CHC,@ cin, 2-11,  1.0IP 2K 
 Chaz Roe ,  6.25,"$4,000",TAM,v nyy, 4-0,  1.0IP 2K 
 Trevor Hildenberger ,  6.25,"$4,000",MIN,v tex, 6-9,  1.0IP 2K 
 Brandon Workman ,  5.65,"$4,000",BOS,v sea, 2-7,  1.0IP H 2K 
 Neil Ramirez ,  5.65,"$4,000",CLE,v det, 4-1,  1.0IP BB 2K Hold     
 Luke Farrell ^9,  5.60,"$6,300",CHC,@ cin, 2-11,  2.2IP 2H 3R 3ER 2BB 4K Loss 
 Mychal Givens ,  5.35,"$4,000",BAL,@ atl, 7-5,  1.2IP 2H R 2BB 2K E Hold     
 Chad Green ,  5.05,"$4,000",NYY,@ tam, 0-4,  1.0IP 2H 2K 
