Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Nick Pivetta ^8, 32.35,"$7,300",PHI,v mia, 5-0,  5.2IP 4H 9K Win 
 Robbie Ray ^9, 29.30,"$11,700",ARI,@ stl, 3-1,  6.0IP 2H R ER 5BB 9K Win 
 Jon Lester ^9, 26.50,"$10,600",CHC,@ mil, 8-0,  6.0IP 3H BB 6K HB Win 
 Joey Lucchesi ^9, 22.85,"$5,200",SDG,v col, 1-3,  5.0IP H 3BB 7K 
 Andrew Cashner ^0, 22.50,N/A,BAL,@ nyy, 5-2,  6.0IP 2H R ER 3BB 5K Win 
 David Price ^0, 22.15,"$12,100",BOS,v tam, 3-2(F12),  7.0IP 3H 3BB 5K 
Jacob deGrom^9, 21.30,N/A,NYM,@ was, 8-2,  6.0IP 4H 2R ER 3BB 5K Win 
 Tyler Anderson ^9, 19.10,"$7,900",COL,@ sdg, 3-1,  6.0IP 4H 4K 
 Masahiro Tanaka ^0, 18.65,N/A,NYY,v bal, 2-5,  6.1IP 6H 3R 3ER 7K Loss 
 James Paxton ^0, 18.25,"$9,600",SEA,@ min, 2-4,  5.0IP 4H 2R 2ER BB 7K 
 Yonny Chirinos ^0, 17.45,"$4,000",TAM,@ bos, 2-3(F12),  5.0IP 3H 4K 
 Steven Brault ^9, 17.05,"$5,400",PIT,v cin, 5-2,  5.0IP 3H R ER 4BB 4K Win 
 Daniel Norris , 15.70,"$5,400",DET,@ chw, 9-7(F10),  3.1IP H R ER 2BB 6K 
 Bobby Poyner , 13.90,"$4,000",BOS,v tam, 3-2(F12),  2.0IP H 3K Win 
 Stephen Strasburg ^8, 12.70,N/A,WAS,v nym, 2-8,  6.0IP 5H 4R 4ER 2BB 6K HB Loss 
 Adam Ottavino , 11.90,"$4,000",COL,@ sdg, 3-1,  2.0IP H 2K Win 
 Danny Farquhar ,  9.00,"$4,000",CHW,v det, 7-9(F10),  1.1IP 3K Hold     
 Kyle Gibson ^0,  8.95,"$8,700",MIN,v sea, 4-2,  4.1IP 7H 2R ER BB 3K 
