Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Luis Severino ^0, 37.00,"$13,400",NYY,@ det(1), 7-4,  8.0IP 4H 2R ER 10K HB Win 
 Michael Fiers ^0, 19.35,"$5,000",DET,v nyy(2), 4-2,  5.2IP 6H 2R 2ER 2BB 6K HB Win 
 Clayton Richard ^9, 18.35,"$6,200",SDG,v atl, 11-4,  7.0IP 6H 3R 3ER 2BB 5K HB Win 
 Sandy Baez , 15.35,"$4,000",DET,v nyy(1), 4-7,  4.1IP 3BB 4K HB 
 Derek Holland ^9, 12.00,"$5,600",SFO,v ari, 10-3,  4.0IP 4H 2R 2ER BB 5K 
 Pierce Johnson , 11.90,"$4,000",SFO,v ari, 10-3,  2.0IP BB 2K Win 
 Louis Coleman ,  7.80,"$4,000",DET,v nyy(2), 4-2,  1.1IP 2BB 3K Hold     
 Shane Greene ,  7.65,"$4,000",DET,v nyy(2), 4-2,  1.0IP H 3K Save 
 Domingo German ^0,  7.00,"$8,700",NYY,@ det(2), 2-4,  6.2IP 7H 4R 4ER 2BB 3K HB Loss 
 Cam Bedrosian ,  6.25,"$4,000",LAA,v kan, 9-6,  1.0IP Win 
 Reyes Moronta ,  6.25,"$4,000",SFO,v ari, 10-3,  1.0IP 2K 
 Joe Jimenez ,  6.25,"$4,000",DET,v nyy(2), 4-2,  1.0IP 2K Hold     
 Jake Barrett ,  5.30,"$4,000",ARI,@ sfo, 3-10,  2.0IP 2H R ER 2K 
 Nick Tropeano ^0,  4.50,"$8,300",LAA,v kan, 9-6,  4.2IP 9H 5R 5ER BB 5K 
 Zach  Reininger ,  3.65,"$4,000",DET,v nyy(1), 4-7,  1.0IP BB K 
 Jason Adam ,  3.65,"$4,000",KAN,@ laa, 6-9,  1.0IP H K 
 Blake Parker ,  3.65,"$4,000",LAA,v kan, 9-6,  1.0IP BB K Save 
 Sam Freeman ,  3.65,"$4,000",ATL,@ sdg, 4-11,  1.0IP H K 
