Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Charlie Morton ^0, 42.15,"$12,000",HOU,v tor, 7-0,  7.0IP 4H 2BB 13K Win 
 Freddy Peralta ^9, 38.55,"$7,900",MIL,v kan, 5-1,  7.0IP H BB 10K Win 
 Luis Severino ^9, 34.15,"$13,100",NYY,@ phi, 6-0,  7.0IP 6H 9K Win 
 Nathan Eovaldi ^0, 33.10,N/A,TAM,v was, 1-0,  6.0IP H 2BB 9K HB Win 
 James Paxton ^0, 31.55,"$12,500",SEA,@ bal, 3-2,  7.0IP 6H 2R 2ER BB 10K Win 
 David Price ^0, 25.30,"$8,300",BOS,v laa, 9-1,  6.0IP 5H R ER 2BB 7K Win 
 Carlos Martinez ^9, 25.30,"$8,000",STL,v cle, 11-2,  6.0IP 6H 2R 2ER BB 8K Win 
 Derek Holland ^9, 24.20,"$7,400",SFO,v col, 3-2,  6.2IP 6H R ER 2BB 8K 
 Austin Bibens-Dirkx ^0, 19.65,"$4,600",TEX,v sdg, 2-3,  5.0IP 2H 4BB 6K 
 Steven Matz ^9, 19.55,"$6,100",NYM,v pit, 4-3(F10),  7.0IP 6H 3R 3ER 7K HB 
 Max Scherzer ^0, 17.55,N/A,WAS,@ tam, 0-1,  7.0IP 4H R ER 3BB 4K Loss 
 Elieser Hernandez ^9, 16.80,"$4,200",MIA,v ari, 3-5,  4.0IP 4H 2R 2ER 2BB 8K HB Loss 
 Jon Lester ^9, 16.25,"$8,700",CHC,@ lad, 9-4,  5.0IP 4H 2R 2ER BB 4K Win 
 Matt Harvey ^9, 16.20,"$4,500",CIN,@ atl, 5-3,  6.2IP 6H R ER BB 2K HB Win 
 Kevin Gausman ^0, 15.90,"$7,500",BAL,v sea, 2-3,  6.0IP 5H R ER BB 4K 
 Tyson Ross ^0, 14.10,"$8,500",SDG,@ tex, 3-2,  6.0IP 5H 2R 2ER 3BB 5K HB 
 Reynaldo Lopez ^0, 14.05,"$6,300",CHW,v min, 8-4,  6.1IP 6H 4R 4ER BB 4K Win 
 Zack Godley ^9, 13.25,"$9,200",ARI,@ mia, 5-3,  5.0IP 6H 2R 2ER 4BB 4K Win 
 Lance Lynn ^0, 13.25,"$7,300",MIN,@ chw, 4-8,  5.0IP 8H 5R 4ER BB 8K HB Loss 
 Anibal Sanchez ^9, 12.90,"$7,800",ATL,v cin, 3-5,  4.2IP 5H 2R 2ER BB 5K Loss 
 Ross Stripling ^9, 12.45,"$10,500",LAD,v chc, 4-9,  5.0IP 7H R ER BB 4K 
 Chad Bettis ^9, 12.25,"$5,400",COL,@ sfo, 2-3,  6.1IP 6H 2R 2ER 4BB 4K 
 Ryan Buchter , 10.45,"$4,000",OAK,@ det, 9-7,  1.0IP H 2BB 3K Win 
 Chad Kuhl ^9, 10.00,"$7,700",PIT,@ nym, 3-4(F10),  4.0IP 3H 2R 2ER 2BB 4K 
 Steve Cishek ,  9.90,"$4,000",CHC,@ lad, 9-4,  2.0IP BB 3K 
 Matt Strahm ,  9.65,"$4,800",SDG,@ tex, 3-2,  1.0IP H 2K Win 
 Ryan Borucki ^0,  9.50,"$4,300",TOR,@ hou, 0-7,  6.0IP 6H 2R 2ER 4BB 3K Loss 
 Jake Junis ^9,  9.25,"$7,100",KAN,@ mil, 1-5,  5.0IP 7H 5R 5ER 3BB 7K Loss 
 Jake Arrieta ^9,  9.25,"$6,800",PHI,v nyy, 0-6,  5.0IP 9H 6R 3ER BB 5K Loss 
 Buck Farmer ,  8.50,"$4,200",DET,v oak, 7-9,  2.0IP 2K 
 Josh Tomlin ,  8.35,"$4,400",CLE,@ stl, 2-11,  3.0IP 4H 2R 2K 
 Kirby Yates ,  8.25,"$4,000",SDG,@ tex, 3-2,  1.0IP 3K Hold     
 Jesse Chavez ,  7.65,"$4,400",TEX,v sdg, 2-3,  1.0IP H 3K Hold     
 Richard Rodriguez ,  7.30,"$4,000",PIT,@ nym, 3-4(F10),  2.0IP H 2K HB 
 Archie Bradley ,  7.05,"$4,000",ARI,@ mia, 5-3,  1.0IP H R BB 3K Hold     
 Jose LeClerc ,  7.00,"$4,000",TEX,v sdg, 2-3,  1.1IP 2K 
 Jace Fry ,  6.25,"$4,000",CHW,v min, 8-4,  1.0IP 2K Hold     
 Tim  Peterson ,  6.25,"$4,000",NYM,v pit, 4-3(F10),  1.0IP Win 
 Heath Hembree ,  6.25,"$4,000",BOS,v laa, 9-1,  1.0IP 2K 
 Justin Wilson ,  6.25,"$4,000",CHC,@ lad, 9-4,  1.0IP 2K 
 Hector Neris ,  6.25,N/A,PHI,v nyy, 0-6,  1.0IP 2K 
 Ben  Meyer ,  6.00,N/A,MIA,v ari, 3-5,  4.0IP 2H 3R 2ER 3BB 2K 
 Diego Castillo ,  5.90,N/A,TAM,v was, 1-0,  2.0IP BB K Hold     
 Miguel Castro ,  5.75,"$4,000",BAL,v sea, 2-3,  1.2IP K 
 Oliver Perez ,  5.65,"$4,000",CLE,@ stl, 2-11,  1.0IP BB 2K 
 Matt Belisle ,  5.65,"$4,000",MIN,@ chw, 4-8,  1.0IP BB 2K 
 Blaine Hardy ^0,  5.60,"$6,600",DET,v oak, 7-9,  4.0IP 6H 6R 3ER 3BB 4K 
 Matt Wisler ,  5.45,"$5,200",ATL,v cin, 3-5,  2.1IP 3H R ER 2K 
 Alex Wilson ,  5.15,"$4,000",DET,v oak, 7-9,  1.2IP K HB BS 
 Tony Watson ,  4.75,"$4,000",SFO,v col, 3-2,  0.1IP Win 
 Zac Curtis ,  4.70,"$4,000",PHI,v nyy, 0-6,  2.0IP H BB K HB 
 Brian Flynn ,  4.70,"$4,000",KAN,@ mil, 1-5,  2.0IP 2H BB K 
 Mike Mayers ,  4.25,"$4,000",STL,v cle, 11-2,  1.0IP K 
 Brandon Workman ,  4.25,"$4,000",BOS,v laa, 9-1,  1.0IP K 
 Burch Smith ,  4.25,"$4,000",KAN,@ mil, 1-5,  1.0IP K 
 Chris Devenski ,  4.25,"$4,000",HOU,v tor, 7-0,  1.0IP K Hold     
 Akeel Morris ,  4.25,"$4,000",LAA,@ bos, 1-9,  2.1IP 4H R ER BB 2K 
 Blake Treinen ,  4.25,"$4,000",OAK,@ det, 9-7,  1.0IP K Save 
 Adam Warren ,  4.25,"$4,000",NYY,@ phi, 6-0,  1.0IP K 
 Brad Boxberger ,  4.25,"$4,000",ARI,@ mia, 5-3,  1.0IP K Save 
 Emilio Pagan ,  3.90,"$4,000",OAK,@ det, 9-7,  2.0IP BB 
 Kyle Crick ,  3.65,"$4,000",PIT,@ nym, 3-4(F10),  1.0IP H K 
 Mychal Givens ,  3.65,"$4,000",BAL,v sea, 2-3,  1.0IP H K Hold     
 Alex Colome ,  3.65,"$4,000",SEA,@ bal, 3-2,  1.0IP H K Hold     
 Sergio Romo ,  3.50,N/A,TAM,v was, 1-0,  0.2IP K Save 
 Adam Ottavino ,  3.35,"$4,000",COL,@ sfo, 2-3,  1.2IP H R ER 3BB 2K Loss 
 Steven Brault ,  3.20,"$4,600",PIT,@ nym, 3-4(F10),  1.1IP 2H R ER BB 2K Loss 
 Raisel Iglesias ,  3.20,"$4,000",CIN,@ atl, 5-3,  1.1IP H 2BB K Save 
 Hector Rondon ,  3.05,"$4,000",HOU,v tor, 7-0,  1.0IP H BB K 
 Sam Dyson ,  3.05,"$4,000",SFO,v col, 3-2,  1.0IP H BB K Save 
 Brad Hand ,  3.05,"$4,000",SDG,@ tex, 3-2,  1.0IP 2H K Save 
 Erik Goeddel ,  3.05,"$4,000",LAD,v chc, 4-9,  1.0IP 2BB K 
 Kelvin Herrera ,  3.05,N/A,WAS,@ tam, 0-1,  1.0IP H BB K 
 Anthony Bass ,  2.90,"$4,000",CHC,@ lad, 9-4,  0.2IP H K 
 Luis Avilan ,  2.75,"$4,000",CHW,v min, 8-4,  0.1IP K Hold     
 Daniel Hudson ,  2.75,"$4,000",LAD,v chc, 4-9,  1.2IP 4H 2R ER BB 2K 
 Reyes Moronta ,  2.75,"$4,000",SFO,v col, 3-2,  0.1IP K 
 Josh Fields ,  2.75,"$4,000",LAD,v chc, 4-9,  0.1IP K 
 Chaz Roe ,  2.75,N/A,TAM,v was, 1-0,  0.1IP K Hold     
 Jeurys Familia ,  2.55,"$4,000",NYM,v pit, 4-3(F10),  1.2IP H BB 
 Yoshihisa Hirano ,  2.45,"$4,000",ARI,@ mia, 5-3,  1.0IP 2H K HB Hold     
 Nick Wittgren ,  2.45,"$4,000",MIA,v ari, 3-5,  1.0IP 2H BB K 
 Jacob Barnes ,  2.30,"$4,000",MIL,v kan, 5-1,  0.2IP H BB K 
 Yimi Garcia ,  2.30,"$4,000",LAD,v chc, 4-9,  0.2IP 2H 3R K BS Loss 
 Greg Holland ,  2.25,"$4,000",STL,v cle, 11-2,  1.0IP 
 Brett Cecil ,  2.25,"$4,000",STL,v cle, 11-2,  1.0IP 
 Joakim Soria ,  2.25,"$4,000",CHW,v min, 8-4,  1.0IP 
 Fernando Salas ,  2.25,"$4,000",ARI,@ mia, 5-3,  1.0IP Hold     
 Victor Arano ,  2.25,"$4,000",PHI,v nyy, 0-6,  1.0IP 
 Justin Haley ,  2.25,N/A,BOS,v laa, 9-1,  1.0IP 
 Ryan Pressly ,  2.15,"$4,000",MIN,@ chw, 4-8,  0.1IP BB K Hold     
 Chris Hatcher ,  2.10,"$4,000",OAK,@ det, 9-7,  2.0IP 3H R ER BB K 
 Deck McGuire ,  2.00,"$5,900",LAA,@ bos, 1-9,  4.0IP 4H 3R 3ER BB K 
 Alex  Claudio ,  1.65,"$4,000",TEX,v sdg, 2-3,  1.0IP H Hold     
 Edwin Diaz ,  1.65,"$4,000",SEA,@ bal, 3-2,  1.0IP H Save 
 Chasen Shreve ,  1.65,"$4,000",NYY,@ phi, 6-0,  1.0IP BB 
 Edgar Santana ,  1.65,"$4,000",PIT,@ nym, 3-4(F10),  1.0IP H R ER K BS 
 George Kontos ,  1.65,"$4,000",CLE,@ stl, 2-11,  1.0IP H R ER K 
 Tanner Scott ,  1.55,"$4,000",BAL,v sea, 2-3,  0.1IP H BB K BS 
 Warwick Saupold ,  0.90,"$4,000",DET,v oak, 7-9,  0.2IP H 
 Shane Carle ,  0.90,"$4,000",ATL,v cin, 3-5,  2.0IP 2H 2R 2ER 4BB 2K 
 Juan Minaya ,  0.75,"$4,000",CHW,v min, 8-4,  0.1IP Hold     
 Josh Hader ,  0.75,"$4,000",MIL,v kan, 5-1,  0.1IP Save 
 Alan Busenitz ,  0.60,"$4,000",MIN,@ chw, 4-8,  1.1IP 3H 3R 3ER 3K HB 
 Amir Garrett ,  0.15,"$5,600",CIN,@ atl, 5-3,  0.1IP H R ER K Hold     
 Taylor Rogers ,  0.15,"$4,000",MIN,@ chw, 4-8,  0.1IP H BS 
 Caleb Ferguson ,  0.00,"$5,700",LAD,v chc, 4-9,  2.0IP 2K 
 Anthony Swarzak , -0.45,"$4,000",NYM,v pit, 4-3(F10),  0.1IP H BB 
 Dan Jennings , -0.95,"$4,000",MIL,v kan, 5-1,  1.0IP H R ER BB 
 Mark Melancon , -1.70,"$4,000",SFO,v col, 3-2,  0.2IP 2H R ER BS 
 Michael Lorenzen , -1.70,"$4,000",CIN,@ atl, 5-3,  0.2IP 2H R ER Hold     
 Jose Alvarado , -1.80,N/A,TAM,v was, 1-0,  0.0IP 2H BB 
 Dan Otero , -2.20,"$4,000",CLE,@ stl, 2-11,  1.1IP 2H 2R 2ER 
 Tim Mayza , -2.30,"$4,000",TOR,@ hou, 0-7,  0.2IP 3H 2R 2ER K 
 Brian Duensing , -2.45,"$4,000",CHC,@ lad, 9-4,  0.1IP H 2R 2ER BB K 
 John Lamb ^0, -3.05,"$4,800",LAA,@ bos, 1-9,  1.2IP 6H 5R 3ER 2BB 2K Loss 
 Louis Coleman , -3.05,"$4,000",DET,v oak, 7-9,  0.1IP H R ER 2BB Hold     
 Shane Greene , -5.05,"$4,000",DET,v oak, 7-9,  0.1IP 3H 2R 2ER Loss 
 Darren O'Day , -5.20,"$4,000",BAL,v sea, 2-3,  0.0IP 2H 2R 2ER Loss 
