Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Trevor Bauer ^0, 37.80,"$13,600",CLE,v cin, 4-7,  8.0IP 3H 4BB 12K 
 Eric Lauer ^9, 33.90,"$5,300",SDG,v lad, 4-1,  8.2IP 4H R ER 2BB 8K Win 
 Derek Holland ^9, 25.25,"$7,400",SFO,v chc, 0-2,  6.1IP 5H R ER 8K Loss 
 Tyler Anderson ^9, 23.30,"$8,200",COL,v ari, 3-5,  6.0IP 3H R ER 4BB 8K 
 Justin Verlander ^0, 23.10,"$13,300",HOU,v oak, 6-5(F11),  6.0IP 3H 6K HB 
 Miles Mikolas ^0, 23.10,"$9,900",STL,@ chw, 14-2,  6.0IP 3H 2R 2ER BB 6K Win 
 Marcus Stroman ^9, 22.95,"$6,900",TOR,@ atl, 6-2,  7.0IP 6H R ER 2BB 5K Win 
 Joe Musgrove ^9, 21.05,"$7,600",PIT,v was, 1-5,  5.0IP 5H 2R 2ER BB 9K HB Loss 
 Jose Quintana ^9, 20.50,"$8,300",CHC,@ sfo, 2-0,  6.0IP 3H 2BB 3K Win 
 Enyel De Los Santos ^9, 19.45,"$7,500",PHI,@ nym, 7-3,  6.1IP 5H 3R 3ER 3BB 6K Win 
 Jeremy Hellickson ^9, 19.45,"$6,700",WAS,@ pit, 5-1,  5.0IP 2H BB 3K Win 
 Julio Teheran ^9, 19.40,"$7,400",ATL,v tor, 2-6,  6.2IP 3H R ER 3BB 5K 
 Brian Flynn , 17.20,"$4,000",KAN,@ min, 9-4,  4.0IP H 2BB 3K Win 
 Rich Hill ^9, 16.35,"$8,600",LAD,@ sdg, 1-4,  7.0IP 8H 4R 4ER BB 7K Loss 
 Matt Boyd ^0, 15.90,"$7,200",DET,@ tam, 2-5,  6.0IP 4H 5R 5ER BB 8K HB Loss 
 Andrew Cashner ^0, 14.65,"$5,000",BAL,v nyy, 6-5,  6.1IP 5H 5R 5ER BB 7K 
 Jose Alvarado , 14.50,"$4,000",TAM,v det, 5-2,  2.0IP 3K Win 
 Patrick Corbin ^9, 12.35,"$10,400",ARI,@ col, 5-3,  4.1IP 5H 2R 2ER 4BB 6K 
 Matt Barnes , 12.25,"$4,000",BOS,v tex, 8-4,  1.0IP 3K Win 
 Pablo Lopez ^9, 10.10,"$5,700",MIA,v mil, 4-8,  6.0IP 6H 5R 5ER 3BB 6K E Loss 
 Collin McHugh ,  9.90,"$7,000",HOU,v oak, 6-5(F11),  2.0IP H R ER 2K Win 
 Taylor Cole ,  9.90,"$4,000",LAA,v sea, 9-3,  2.0IP H 3K 
 Yusmeiro Petit ,  9.90,"$4,000",OAK,@ hou, 5-6(F11),  2.0IP H 3K 
Jaime Schulz,  9.90,N/A,TAM,v det, 5-2,  2.0IP BB 3K 
 Randall Delgado ,  9.75,"$4,000",ARI,@ col, 5-3,  1.2IP K Win 
 Zach Britton ,  9.65,"$4,000",BAL,v nyy, 6-5,  1.0IP H 2K Win 
 Masahiro Tanaka ^0,  8.95,"$9,100",NYY,@ bal, 5-6,  4.1IP 6H 3R 3ER 2BB 5K 
 Jhoulys Chacin ^9,  8.75,"$8,500",MIL,@ mia, 8-4,  5.2IP 7H 4R 4ER 3BB 3K Win 
