Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Kyle Gibson ^0, 35.00,"$6,700",MIN,v tam, 5-1,  8.0IP 5H R ER 9K Win 
 Jameson Taillon ^9, 31.90,"$5,700",PIT,v mil, 6-3,  6.0IP 4H R ER 2BB 10K Win 
 David Price ^0, 25.40,"$7,100",BOS,v tor, 6-4,  6.2IP 6H 3R 3ER 8K Win 
 Nick Pivetta ^0, 23.40,"$8,100",PHI,@ bal, 5-4,  6.2IP 5H 3R 3ER BB 7K Win 
 Ross Stripling ^9, 23.30,"$9,100",LAD,@ sdg, 3-2,  6.0IP 6H BB 5K Win 
 Tyler Skaggs ^0, 21.90,"$7,700",LAA,v sea, 11-2,  6.0IP 5H R ER BB 5K E Win 
 Max Scherzer ^9, 19.55,"$13,300",WAS,@ nym, 5-4,  7.0IP 5H 3R 3ER 2BB 5K Win 
 Robbie Ray ^9, 18.60,"$5,800",ARI,@ col, 1-5,  5.1IP 5H 2R 2ER 3BB 8K HB Loss 
 Tyson Ross ^9, 16.65,"$5,100",SDG,v lad, 2-3,  6.1IP 3H 2R 2ER 3BB 5K Loss 
 Corey Kluber ^0, 16.50,"$10,200",CLE,v nyy, 4-7,  7.1IP 8H 6R 6ER 2BB 9K Loss 
 James Happ ^0, 16.05,"$7,400",TOR,@ bos, 4-6,  3.2IP 5H 5R BB 6K HB Loss 
 Kyle Freeland ^9, 13.20,"$6,000",COL,v ari, 5-1,  5.1IP 6H R ER BB 4K HB 
 Chih-Wei Hu , 12.05,"$4,000",TAM,@ min, 1-5,  5.0IP 2H 2R 2ER 3K 
 Wade Miley ^9, 11.85,"$4,700",MIL,@ pit, 3-6,  5.0IP 4H 2R 2ER 5BB 5K Loss 
 Yusmeiro Petit , 10.65,"$4,000",OAK,@ hou, 6-4,  2.1IP H K Win 
 Steven Matz ^9, 10.25,"$5,900",NYM,v was, 4-5,  6.1IP 8H 3R 3ER 2BB 4K Loss 
 Joe Biagini ,  9.25,"$4,000",TOR,@ bos, 4-6,  2.1IP 2K 
 Charlie Morton ^0,  8.95,"$11,900",HOU,v oak, 4-6,  4.1IP 6H 3R 3ER 2BB 5K 
 Matt Strahm ,  8.40,"$4,800",SDG,v lad, 2-3,  1.1IP BB 3K 
 Scott Oberg ,  7.50,"$4,000",COL,v ari, 5-1,  0.2IP K Win 
 Collin McHugh ,  7.15,"$7,000",HOU,v oak, 4-6,  1.2IP BB 2K 
 Will Harris ,  7.15,"$4,000",HOU,v oak, 4-6,  1.2IP H 2K 
 Nick Vincent ,  6.25,"$4,000",SEA,@ laa, 2-11,  1.0IP 2K 
 Lou Trivino ,  6.25,"$4,000",OAK,@ hou, 6-4,  1.0IP 2K Save 
 David Robertson ,  6.25,"$4,000",NYY,@ cle, 7-4,  1.0IP Win 
 Jeurys Familia ,  6.25,"$4,000",NYM,v was, 4-5,  1.0IP 2K 
 Dylan Floro ,  6.25,"$4,000",LAD,@ sdg, 3-2,  1.0IP 2K Hold     
 Tanner Scott ,  5.75,"$4,000",BAL,v phi, 4-5,  1.2IP K 
 Scott Alexander ,  5.65,"$5,000",LAD,@ sdg, 3-2,  1.0IP H 2K Hold     
 Tyler Glasnow ,  5.05,"$8,100",PIT,v mil, 6-3,  1.0IP H BB 2K 
 Trevor Cahill ^0,  4.65,"$5,500",OAK,@ hou, 6-4,  3.2IP 3H 3R 3ER 3BB 3K 
 Wade Davis ,  4.25,"$4,000",COL,v ari, 5-1,  1.0IP K 
 Aroldis Chapman ,  4.25,"$4,000",NYY,@ cle, 7-4,  1.0IP K Save 
 Adam Cimber ,  4.25,"$4,000",SDG,v lad, 2-3,  1.0IP K 
 Seranthony Dominguez ,  4.25,"$4,000",PHI,@ bal, 5-4,  1.0IP K Save 
 Joe Smith ,  4.25,"$4,000",HOU,v oak, 4-6,  1.0IP K Hold     
 Adam Warren ,  4.25,"$4,000",NYY,@ cle, 7-4,  1.0IP K 
 Adam Ottavino ,  3.80,"$4,000",COL,v ari, 5-1,  1.1IP H BB K Hold     
 Kenley Jansen ,  3.65,"$4,000",LAD,@ sdg, 3-2,  1.0IP BB K Save 
 Richard Rodriguez ,  3.65,"$4,000",PIT,v mil, 6-3,  1.0IP H K 
 Dellin Betances ,  3.65,"$4,000",NYY,@ cle, 7-4,  1.0IP BB K Hold     
 Seung Hwan Oh ,  3.65,"$4,000",TOR,@ bos, 4-6,  1.0IP H K 
 Jacob Rhame ,  3.65,N/A,NYM,v was, 4-5,  1.0IP H K 
 Fernando Rodney ,  3.50,"$4,000",MIN,v tam, 5-1,  0.2IP K Save 
 Neil Ramirez ,  3.50,"$4,000",CLE,v nyy, 4-7,  0.2IP K 
 Noe Ramirez ,  3.05,"$5,000",LAA,v sea, 11-2,  1.0IP BB K HB 
 Adam Morgan ,  2.75,"$4,000",PHI,@ bal, 5-4,  0.1IP K Hold     
 Matt Barnes ,  2.45,"$4,000",BOS,v tor, 6-4,  1.0IP 3H R ER 2K Hold     
 Juan Nicasio ,  2.45,"$4,000",SEA,@ laa, 2-11,  1.0IP 2H R ER BB 2K 
 Matt Koch ,  2.25,"$5,600",ARI,@ col, 1-5,  1.0IP 
 Alec Asher ,  2.25,"$4,500",MIL,@ pit, 3-6,  1.0IP 
 Miguel Castro ,  2.25,"$4,000",BAL,v phi, 4-5,  1.0IP 
 Ryan Buchter ,  2.25,"$4,000",OAK,@ hou, 6-4,  1.0IP Hold     
 Oliver Drake ,  2.10,"$4,000",LAA,v sea, 11-2,  2.0IP 4H R ER K 
 Roenis Elias ,  1.65,"$4,000",SEA,@ laa, 2-11,  1.0IP H 
 Craig Kimbrel ,  1.65,"$4,000",BOS,v tor, 6-4,  1.0IP H Save 
 Ryan Madson ,  1.65,"$4,000",WAS,@ nym, 5-4,  1.0IP H Save 
 Chris Rusin ,  1.50,"$4,000",COL,v ari, 5-1,  0.2IP Hold     
 Paul Fry ,  1.05,"$4,000",BAL,v phi, 4-5,  1.0IP 2H 
 John Axford ,  1.05,"$4,000",TOR,@ bos, 4-6,  1.0IP 2H R ER K 
 Ryan Pressly ,  0.95,"$4,000",MIN,v tam, 5-1,  0.1IP 2H BB K 
 Andrew Chafin ,  0.90,"$4,000",ARI,@ col, 1-5,  0.2IP H 
 Felipe Vazquez ,  0.90,"$4,000",PIT,v mil, 6-3,  0.2IP H Save 
 Edubray Ramos ,  0.90,"$4,000",PHI,@ bal, 5-4,  0.2IP H Hold     
 Oliver Perez ,  0.75,"$4,000",CLE,v nyy, 4-7,  0.1IP 
 Zach McAllister ,  0.75,"$4,000",CLE,v nyy, 4-7,  0.1IP 
 Brad Brach ,  0.75,"$4,000",BAL,v phi, 4-5,  0.1IP 
 Kelvin Herrera ,  0.45,"$4,000",WAS,@ nym, 5-4,  1.0IP H R ER 2BB K Hold     
