Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Corey Kluber ^0, 33.30,"$12,900",CLE,v sea, 6-5,  8.2IP 4H 3R 3ER 3BB 10K Win 
Jacob deGrom^8, 31.70,"$12,400",NYM,@ sdg, 5-1,  7.1IP 5H 3BB 8K Win 
 Blake Snell ^0, 30.90,"$6,900",TAM,@ bos, 4-3,  7.1IP 5H 2R 2ER BB 9K E Win 
 Sean Manaea ^0, 30.75,"$8,400",OAK,@ hou, 8-1,  7.0IP 4H R BB 7K Win 
 Chris Tillman ^0, 27.35,"$4,400",BAL,v det, 6-0,  7.0IP H 2BB 5K HB Win 
 Yu Darvish ^9, 26.50,N/A,CHC,v mil, 3-2,  6.0IP 3H R 2BB 8K 
 Andrew Heaney ^0, 23.65,"$4,800",LAA,v nyy, 3-4(F10),  5.0IP 5H 2R ER BB 9K 
 Luis Severino ^0, 22.15,"$10,400",NYY,@ laa, 4-3(F10),  7.0IP 5H 3R 3ER BB 8K 
 Miles Mikolas ^9, 21.55,"$7,600",STL,@ pit, 5-6(F11),  7.0IP 6H 2R 2ER 7K HB 
 Hyun-Jin Ryu ^9, 20.35,"$11,100",LAD,@ sfo, 4-6,  5.2IP 4H 2R 2ER 7K 
 Jose Urena ^9, 19.55,"$4,700",MIA,v col, 0-1,  7.0IP 6H R ER BB 5K Loss 
 Antonio Senzatela , 19.05,"$4,300",COL,@ mia, 1-0,  3.2IP H BB 4K Win 
 Aaron Nola ^9, 16.95,"$9,300",PHI,v atl, 7-3,  7.0IP 7H 3R 3ER BB 4K Win 
 Michael Fiers ^0, 14.50,"$5,400",DET,@ bal, 0-6,  6.0IP 4H 3R 3ER BB 5K Loss 
 Stephen Strasburg ^9, 13.45,"$10,800",WAS,v ari, 4-5,  6.1IP 6H 5R 5ER 2BB 7K Loss 
 Tyler Glasnow , 12.95,"$8,000",PIT,v stl, 6-5(F11),  3.0IP 2H BB 4K 
 David Hernandez , 11.80,"$4,000",CIN,@ min, 15-9,  1.1IP H BB 3K Win 
 Clayton Richard ^9, 11.60,"$4,600",SDG,v nym, 1-5,  6.2IP 6H 3R 3ER 3BB 4K Loss 
 Mike Minor ^0, 11.50,"$5,900",TEX,@ tor, 6-4,  6.0IP 9H 4R 4ER 4K HB Win 
 Brent Suter ^9,  9.65,N/A,MIL,@ chc, 2-3,  5.0IP 5H 2R 2ER BB 3K 
 Max Fried ,  8.95,"$4,000",ATL,@ phi, 3-7,  3.0IP 2H R ER BB 3K Loss 
 Collin McHugh ,  8.25,"$7,000",HOU,v oak, 1-8,  1.0IP 3K 
 Yoshihisa Hirano ,  8.25,"$4,000",ARI,@ was, 5-4,  1.0IP 3K Hold     
 David Robertson ,  8.25,"$4,000",NYY,@ laa, 4-3(F10),  1.0IP K Win 
 Jared Hughes ,  7.90,"$4,000",CIN,@ min, 15-9,  2.0IP BB 2K Hold     
 Hector Neris ,  7.65,"$4,000",PHI,v atl, 7-3,  1.0IP H 3K 
 Zack Godley ^9,  7.45,"$8,600",ARI,@ was, 5-4,  5.0IP 10H 4R 4ER 3BB 4K Win 
 Danny Duffy ^0,  7.30,"$6,800",KAN,v chw, 4-7(F11),  6.0IP 6H 4R 4ER BB 3K 
 Wade LeBlanc ,  7.30,"$4,000",SEA,@ cle, 5-6,  2.0IP 2H 2K 
 John Axford ,  7.30,"$4,000",TOR,v tex, 4-6,  2.0IP 2H 2K 
 Reynaldo Lopez ^0,  7.05,"$7,800",CHW,@ kan, 7-4(F11),  6.1IP 10H 4R 2ER 2K 2HB 
 Drew Pomeranz ^0,  6.45,"$7,500",BOS,v tam, 3-4,  5.0IP 6H 4R 4ER 2BB 4K Loss 
 Richard Rodriguez ,  6.25,"$4,000",PIT,v stl, 6-5(F11),  1.0IP 2K 
 Hunter Strickland ,  6.25,"$4,000",SFO,v lad, 6-4,  1.0IP 2K Save 
 Brandon Morrow ,  6.25,N/A,CHC,v mil, 3-2,  1.0IP 2K Save 
 Adam Ottavino ,  5.80,"$4,000",COL,@ mia, 1-0,  1.1IP 2H 2K Hold     
 Matt Bowman ,  5.80,"$4,000",STL,@ pit, 5-6(F11),  1.1IP 2BB 2K 
 Amir Garrett ,  5.65,"$5,600",CIN,@ min, 15-9,  1.0IP H 2K Hold     
 Andrew Chafin ,  5.65,"$4,000",ARI,@ was, 5-4,  1.0IP H 2K Hold     
 Mychal Givens ,  5.65,"$4,000",BAL,v det, 6-0,  1.0IP H 2K 
 Gregory Infante ,  5.65,"$4,000",CHW,@ kan, 7-4(F11),  1.0IP BB Win 
 Alex Colome ,  5.65,"$4,000",TAM,@ bos, 4-3,  1.0IP H 2K Save 
 Sam Dyson ,  5.65,"$4,000",SFO,v lad, 6-4,  1.0IP BB Win 
 George Kontos ,  5.65,"$4,000",PIT,v stl, 6-5(F11),  1.0IP BB Win 
 Dallas Keuchel ^0,  5.55,"$8,800",HOU,v oak, 1-8,  7.0IP 7H 6R 6ER 3K Loss 
 Wade Davis ,  5.05,"$4,000",COL,@ mia, 1-0,  1.0IP H BB 2K Save 
 Marc Rzepczynski ,  5.05,"$4,000",SEA,@ cle, 5-6,  1.0IP 2H 2K 
 Pedro Strop ,  4.75,N/A,CHC,v mil, 3-2,  0.1IP Win 
 Pierce Johnson ,  4.55,"$4,000",SFO,v lad, 6-4,  1.2IP H BB K 
 Kyle Barraclough ,  4.45,"$4,000",MIA,v col, 0-1,  1.0IP 3BB 2K 
 Nate Jones ,  4.40,"$4,000",CHW,@ kan, 7-4(F11),  1.1IP H K BS 
 Santiago Casilla ,  4.25,"$4,000",OAK,@ hou, 8-1,  1.0IP K 
 Archie Bradley ,  4.25,"$4,000",ARI,@ was, 5-4,  1.0IP K Hold     
 Jim Johnson ,  4.25,"$4,000",LAA,v nyy, 3-4(F10),  1.0IP K 
 Luis Avilan ,  4.25,"$4,000",CHW,@ kan, 7-4(F11),  1.0IP K 
 Aaron Loup ,  4.25,"$4,000",TOR,v tex, 4-6,  1.0IP K 
 Keone Kela ,  4.25,"$4,000",TEX,@ tor, 6-4,  1.0IP K Save 
 Felipe Vazquez ,  4.25,"$4,000",PIT,v stl, 6-5(F11),  1.0IP K 
 Brad Boxberger ,  4.25,"$4,000",ARI,@ was, 5-4,  1.0IP K Save 
 Sean Doolittle ,  4.25,"$4,000",WAS,v ari, 4-5,  1.0IP K 
 Taylor Williams ,  4.25,N/A,MIL,@ chc, 2-3,  1.0IP K 
 Oliver Drake ,  4.25,N/A,MIL,@ chc, 2-3,  1.0IP K 
 Hector Velazquez ,  3.90,"$4,700",BOS,v tam, 3-4,  3.1IP 4H BB HB 
 Tyler Anderson ^9,  3.80,"$7,700",COL,@ mia, 1-0,  1.1IP H BB K 
 Steven Brault ^9,  3.70,"$4,200",PIT,v stl, 6-5(F11),  4.2IP 5H 5R 4ER 3BB 3K 
 Tommy Hunter ,  3.65,"$4,000",PHI,v atl, 7-3,  1.0IP H K Hold     
 Justin Anderson ,  3.65,"$4,000",LAA,v nyy, 3-4(F10),  1.0IP BB K Hold     
 Jordan Lyles ,  3.65,"$4,000",SDG,v nym, 1-5,  1.0IP BB K 
 Heath Hembree ,  3.50,"$4,000",BOS,v tam, 3-4,  0.2IP K 
 Jeremy Jeffress ,  3.50,N/A,MIL,@ chc, 2-3,  0.2IP K 
 Erasmo Ramirez ^0,  3.25,"$4,500",SEA,@ cle, 5-6,  5.0IP 9H 6R 6ER 5K HB Loss 
 Cory Gearrin ,  3.05,"$4,000",SFO,v lad, 6-4,  1.0IP H BB K 
 Pedro Baez ,  2.90,"$4,000",LAD,@ sfo, 4-6,  0.2IP BB K 
 Kyle Crick ,  2.75,"$4,000",PIT,v stl, 6-5(F11),  0.1IP K 
 Tyler Lyons ,  2.75,"$4,000",STL,@ pit, 5-6(F11),  0.1IP K 
 Marcus Stroman ^0,  2.60,"$6,700",TOR,v tex, 4-6,  5.1IP 8H 6R 6ER BB 4K Loss 
 Scott Alexander ,  2.45,"$4,000",LAD,@ sfo, 4-6,  1.0IP 2H BB K 
 Nick Wittgren ,  2.45,"$4,000",MIA,v col, 0-1,  1.0IP H 2BB K 
 Julio Teheran ^9,  2.35,"$6,500",ATL,@ phi, 3-7,  3.0IP 2H 3R 3ER 2BB 2K 
 Jake McGee ,  2.30,"$4,000",COL,@ mia, 1-0,  0.2IP H BB K Hold     
 Kelvin Herrera ,  2.25,"$4,000",KAN,v chw, 4-7(F11),  1.0IP 
 Brad Keller ,  2.25,"$4,000",KAN,v chw, 4-7(F11),  1.0IP 
 Sammy Solis ,  2.25,"$4,000",WAS,v ari, 4-5,  1.0IP 
 Cam Bedrosian ,  2.25,"$4,000",LAA,v nyy, 3-4(F10),  1.0IP 
 Bryan Shaw ,  2.25,"$4,000",COL,@ mia, 1-0,  1.0IP Hold     
 Jonathan Holder ,  2.25,"$4,000",NYY,@ laa, 4-3(F10),  1.0IP 
 Richard Bleier ,  2.25,"$4,000",BAL,v det, 6-0,  1.0IP 
 C.J. Edwards ,  2.25,N/A,CHC,v mil, 3-2,  1.0IP Hold     
 Ryan Dull ,  1.65,"$4,000",OAK,@ hou, 8-1,  1.0IP H 
 Aroldis Chapman ,  1.65,"$4,000",NYY,@ laa, 4-3(F10),  1.0IP H Save 
 Chris Martin ,  1.65,"$4,000",TEX,@ tor, 6-4,  1.0IP BB Hold     
 Bud Norris ,  1.65,"$4,000",STL,@ pit, 5-6(F11),  1.0IP H Hold     
 Joakim Soria ,  1.65,"$4,000",CHW,@ kan, 7-4(F11),  1.0IP H Save 
 Blake Parker ,  1.65,"$4,000",LAA,v nyy, 3-4(F10),  1.0IP H R ER K Loss 
 Kevin McCarthy ,  1.65,"$4,000",KAN,v chw, 4-7(F11),  1.0IP H 
 Kevin Jepsen ,  1.50,"$4,000",TEX,@ tor, 6-4,  0.2IP Hold     
 Ryan Madson ,  1.50,"$4,000",WAS,v ari, 4-5,  0.2IP 
 Tim Hill ,  1.50,"$4,000",KAN,v chw, 4-7(F11),  2.0IP 5H 3R 3ER 3K Loss 
 Phil Hughes ^0,  1.45,"$4,900",MIN,v cin, 9-15,  3.2IP 5H 4R 4ER 2BB 3K HB 
 Kazuhisa Makita ,  1.05,"$4,000",SDG,v nym, 1-5,  1.0IP H R ER K HB 
 Tony Watson ,  1.05,"$4,000",SFO,v lad, 6-4,  1.0IP 2H Hold     
 Trevor Hildenberger ,  1.05,"$4,000",MIN,v cin, 9-15,  1.0IP 2H R ER K 
 Kevin Shackelford ,  1.00,"$4,000",CIN,@ min, 15-9,  2.2IP 4H 3R 2ER BB K 
 Taylor Rogers ,  0.95,"$4,000",MIN,v cin, 9-15,  0.1IP 3H K 
 Tyler Clippard ,  0.90,"$4,000",TOR,v tex, 4-6,  0.2IP BB 
 Tony Sipp ,  0.75,"$4,000",HOU,v oak, 1-8,  0.1IP 
 Aaron Bummer ,  0.75,"$4,000",CHW,@ kan, 7-4(F11),  0.1IP Hold     
