Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Chris Sale ^0, 39.55,"$13,000",BOS,v tex, 4-2,  7.0IP 6H BB 12K Win 
 Carlos Rodon ^0, 31.50,"$6,000",CHW,v stl, 4-0,  7.1IP 3H 2BB 7K Win 
 Sonny Gray ^0, 31.10,"$6,500",NYY,@ bal, 9-0,  6.0IP 3H BB 8K Win 
 Kenta Maeda ^9, 29.75,"$9,300",LAD,@ sdg, 4-2,  5.2IP 4H R ER BB 9K Win 
Jacob deGrom^9, 28.40,"$12,000",NYM,v phi, 3-0(F10),  8.0IP 5H BB 7K 
 Marco Gonzales ^0, 26.55,"$7,000",SEA,@ laa, 3-0,  7.0IP 2H 4K Win 
 German Marquez ^9, 25.30,"$5,100",COL,v ari, 19-2,  6.0IP 5H 2R 2ER 2BB 8K Win 
 Carlos Carrasco ^0, 23.65,"$9,500",CLE,v cin, 19-4,  5.0IP 5H R ER BB 7K Win 
 Luke Weaver ^0, 22.50,"$7,700",STL,@ chw, 0-4,  6.0IP 3H R ER 2BB 7K Loss 
 Dan Straily ^9, 21.90,"$5,000",MIA,v mil, 5-4(F12),  6.0IP 4H 2R ER 2BB 7K E 
 Ryan Yarbrough , 18.15,"$6,200",TAM,v det, 4-2,  3.0IP H 4K Win 
 Vincent Velasquez ^8, 17.70,"$8,100",PHI,@ nym, 0-3(F10),  6.0IP 2H BB 3K 
 Trevor Williams ^9, 17.05,"$7,100",PIT,v was, 2-0,  5.0IP 4H 3BB 3K Win 
 Mike Foltynewicz ^9, 16.20,"$10,000",ATL,v tor, 9-5,  6.2IP 6H 5R 5ER 2BB 6K Win 
 Lance Lynn ^0, 15.85,"$7,400",MIN,v kan, 8-5,  5.0IP 5H 4R 3ER 3BB 6K HB Win 
 Dereck Rodriguez , 15.55,"$7,000",SFO,v chc, 5-4(F13),  3.0IP 2BB 3K Win 
 Gio Gonzalez ^9, 13.30,"$8,800",WAS,@ pit, 0-2,  6.0IP 6H 2R 2ER BB 4K Loss 
 Elieser Hernandez , 13.30,"$4,200",MIA,v mil, 5-4(F12),  2.0IP H BB 3K Win 
 Johnny Cueto ^9, 13.25,"$9,700",SFO,v chc, 5-4(F13),  5.0IP 6H 3R 3ER 3BB 7K HB 
 Matt Andriese , 12.35,"$5,100",TAM,v det, 4-2,  3.0IP 3H 2R 2ER BB 6K 
 Jaime Barria ^0, 11.05,"$6,300",LAA,v sea, 0-3,  5.0IP 5H 3R 3ER 5K 2HB Loss 
 Tim Mayza , 10.70,"$4,000",TOR,@ atl, 5-9,  2.0IP H 2BB 4K 
 Craig Kimbrel , 10.40,"$4,000",BOS,v tex, 4-2,  1.1IP BB 4K Save 
 Jordan Zimmermann ^0,  9.80,"$9,500",DET,@ tam, 2-4,  6.2IP 11H 4R 4ER BB 5K Loss 
 Tony Sipp ,  9.00,"$4,000",HOU,v oak, 3-8,  1.1IP 3K 
 Joey Lucchesi ^9,  8.80,"$7,500",SDG,v lad, 2-4,  4.0IP 6H 3R 2ER BB 4K Loss 
 Jacob Barnes ,  8.70,"$4,000",MIL,@ mia, 4-5(F12),  2.0IP 2H R BB 3K 
 Jake Diekman ,  8.25,"$4,000",TEX,@ bos, 2-4,  1.0IP 3K 
 Felipe Vazquez ,  8.25,"$4,000",PIT,v was, 2-0,  1.0IP 3K Save 
 Chris Bassitt ^0,  7.65,"$5,400",OAK,@ hou, 8-3,  5.0IP 5H 3R 3ER BB K Win 
 A.J. Cole ,  7.30,"$5,600",NYY,@ bal, 9-0,  2.0IP 2H 2K 
 Bartolo Colon ^0,  6.90,"$4,100",TEX,@ bos, 2-4,  6.0IP 9H 4R 3ER 2BB 3K E Loss 
 Luke Farrell ,  6.70,"$4,000",CHC,@ sfo, 4-5(F13),  2.0IP 3BB 2K 
 Kyle Barraclough ,  6.45,"$4,000",MIA,v mil, 5-4(F12),  1.0IP 3BB 3K 
 Jake Petricka ,  6.40,"$4,000",TOR,@ atl, 5-9,  1.1IP BB 2K 
 Adam Conley ,  6.25,"$4,400",MIA,v mil, 5-4(F12),  1.0IP 2K 
 Mark Melancon ,  6.25,"$4,000",SFO,v chc, 5-4(F13),  1.0IP 2K 
 Chasen Shreve ,  6.25,"$4,000",NYY,@ bal, 9-0,  1.0IP 2K 
 Alex Wilson ,  6.25,"$4,000",DET,@ tam, 2-4,  1.0IP 2K 
 Sergio Romo ,  6.25,"$4,000",TAM,v det, 4-2,  1.0IP 2K Save 
 Dylan Floro ,  6.25,"$4,000",LAD,@ sdg, 4-2,  1.0IP 2K Hold     
 Adam Plutko ,  6.20,"$6,000",CLE,v cin, 19-4,  4.0IP 6H 3R 3ER 2BB 4K Save 
 Freddy Peralta ^9,  6.05,"$10,300",MIL,@ mia, 4-5(F12),  3.2IP 3H 3R 3ER 3BB 4K HB 
 Will Smith ,  5.90,"$4,000",SFO,v chc, 5-4(F13),  2.0IP H K 
 Joakim Soria ,  5.80,"$4,000",CHW,v stl, 4-0,  1.1IP H BB 2K Save 
 Ryan Pressly ,  5.65,"$4,000",MIN,v kan, 8-5,  1.0IP 2K HB Hold     
 Bryan Shaw ,  5.65,"$4,000",COL,v ari, 19-2,  1.0IP BB 2K 
 Jorge Lopez ,  5.45,"$4,000",MIL,@ mia, 4-5(F12),  2.1IP 2H R ER BB 2K Loss 
 Alan Busenitz ,  5.30,N/A,MIN,v kan, 8-5,  2.0IP 2H R ER 2K 
 Robert Gsellman ,  5.05,"$4,400",NYM,v phi, 3-0(F10),  1.0IP H BB Win 
 Zach Duke ,  5.05,"$4,000",MIN,v kan, 8-5,  1.0IP 2H 2K 
 Hunter Wood ^0,  5.05,"$4,000",TAM,v det, 4-2,  1.0IP 2H 2K 
 Phil Maton ,  4.70,"$4,000",SDG,v lad, 2-4,  2.0IP 3BB K 
 Pedro Strop ,  4.40,"$4,000",CHC,@ sfo, 4-5(F13),  1.1IP K HB E 
 Jackson Stephens ,  4.35,"$4,700",CIN,@ cle, 4-19,  3.0IP 3H 2R 2ER BB 2K 
 Jason Adam ,  4.25,"$4,000",KAN,@ min, 5-8,  1.0IP K 
 Justin Miller ,  4.25,"$4,000",WAS,@ pit, 0-2,  1.0IP K 
 John Axford ,  4.25,"$4,000",TOR,@ atl, 5-9,  1.0IP K 
 Edwin Diaz ,  4.25,"$4,000",SEA,@ laa, 3-0,  1.0IP K Save 
 Seranthony Dominguez ,  4.25,"$4,000",PHI,@ nym, 0-3(F10),  1.0IP K 
 Brandon Morrow ,  4.25,"$4,000",CHC,@ sfo, 4-5(F13),  1.0IP K 
 Oliver Drake ,  4.25,"$4,000",LAA,v sea, 0-3,  1.0IP K 
 Brad Peacock ,  3.95,"$5,800",HOU,v oak, 3-8,  1.2IP 3H R ER 2K 
 Yency Almonte ,  3.90,"$4,000",COL,v ari, 19-2,  2.0IP H 
 Emilio Pagan ,  3.90,"$4,000",OAK,@ hou, 8-3,  2.0IP H 
 Daniel Winkler ,  3.65,"$4,500",ATL,v tor, 9-5,  1.0IP H K Hold     
 Jordan Hicks ,  3.65,"$4,000",STL,@ chw, 0-4,  1.0IP H R ER 2K 
 Alex Colome ,  3.65,"$4,000",SEA,@ laa, 3-0,  1.0IP K HB Hold     
 Richard Rodriguez ,  3.65,"$4,000",PIT,v was, 2-0,  1.0IP BB K Hold     
 Edgar Santana ,  3.65,"$4,000",PIT,v was, 2-0,  1.0IP H K Hold     
 Shawn Kelley ,  3.65,"$4,000",WAS,@ pit, 0-2,  1.0IP H K 
 Arodys Vizcaino ,  3.65,"$4,000",ATL,v tor, 9-5,  1.0IP H K 
 Corey Knebel ,  3.65,"$4,000",MIL,@ mia, 4-5(F12),  1.0IP H K 
 Cionel Perez ,  3.35,"$4,000",HOU,v oak, 3-8,  1.2IP 2H R ER 2BB 2K 
 James Norwood ,  3.35,"$4,000",CHC,@ sfo, 4-5(F13),  1.2IP 3H R ER BB 2K Loss 
 Tony Watson ,  3.05,"$4,000",SFO,v chc, 5-4(F13),  1.0IP 2H R ER 2K BS 
 Randy Rosario ,  3.05,"$4,000",CHC,@ sfo, 4-5(F13),  1.0IP 2H K 
 Luis Santos ,  3.05,"$4,000",TOR,@ atl, 5-9,  1.0IP 2H R ER 2K 
 Glenn Sparkman ,  2.75,"$4,000",KAN,@ min, 5-8,  1.2IP 3H R ER 2BB 2K E Loss 
 Juan Minaya ,  2.75,"$4,000",CHW,v stl, 4-0,  0.1IP K Hold     
 Burch Smith ^0,  2.70,"$5,200",KAN,@ min, 5-8,  3.1IP 7H 4R 4ER BB 4K 
