Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Tyler Mahle ^9, 29.10,"$6,200",CIN,v chc, 1-0,  6.0IP H 2BB 7K HB Win 
 Jameson Taillon ^9, 27.60,"$8,800",PIT,v min, 5-4,  5.1IP 4H 2R 2ER 9K Win 
 Tanner Roark ^9, 26.75,"$9,900",WAS,@ atl, 8-1,  7.0IP 4H R ER BB 6K Win 
 Charlie Morton ^0, 25.90,"$11,100",HOU,v bal, 6-1,  6.0IP 3H 2BB 6K HB Win 
 Mike Clevinger ^0, 22.40,"$10,400",CLE,@ laa, 6-0,  5.1IP 4H 2BB 5K Win 
 Jaime Garcia ^0, 21.30,"$8,500",TOR,v chw, 4-2,  6.0IP 4H R ER 2BB 7K HB E 
 Reynaldo Lopez ^0, 21.10,"$6,200",CHW,@ tor, 2-4,  6.0IP 2H R ER 2BB 6K 
 Brian Johnson ^9, 20.70,"$6,900",BOS,@ mia, 7-3,  6.0IP 6H R ER 2BB 5K Win 
 Andrew Triggs ^0, 19.65,"$8,000",OAK,v tex, 3-1,  5.0IP 4H R ER 2BB 7K 
 Francisco Liriano ^0, 19.40,"$7,300",DET,v kan, 6-1,  6.2IP 4H R ER 2BB 3K Win 
 Bartolo Colon ^0, 14.70,"$4,700",TEX,@ oak, 1-3,  6.0IP 7H R ER BB 4K 
 Miles Mikolas ^9, 14.55,"$6,800",STL,@ mil, 8-4,  5.2IP 7H 4R 4ER 5K E Win 
 Tyler Chatwood ^9, 13.50,"$10,100",CHC,@ cin, 0-1,  6.0IP 4H R ER 6BB 4K Loss 
 Chad Bettis ^9, 13.25,"$8,200",COL,@ sdg, 7-4,  5.0IP 5H 2R 2ER 4BB 4K HB Win 
 Jordan Lyles , 11.55,"$4,000",SDG,v col, 4-7,  3.0IP 2H 3K 
 Wilmer Font , 10.15,"$4,000",LAD,@ ari, 7-8(F15),  4.1IP 5H 2R 2ER BB 4K Loss 
 Ryan Buchter ,  8.55,"$4,000",OAK,v tex, 3-1,  1.2IP H BB 3K 
 Anibal Sanchez ,  8.35,"$4,000",ATL,v was, 1-8,  3.0IP H 3BB 2K 
 Noe Ramirez ,  7.80,"$4,000",LAA,v cle, 0-6,  1.1IP H BB 3K 
 Kelvin Herrera ,  7.65,"$4,000",KAN,@ det, 1-6,  1.0IP H 3K 
 Zach Davies ^9,  7.35,"$9,600",MIL,v stl, 4-8,  5.2IP 8H 7R 6ER 6K HB E Loss 
 Archie Bradley ,  7.30,"$4,000",ARI,v lad, 8-7(F15),  2.0IP H BB 2K 
 Taijuan Walker ^9,  7.25,"$9,400",ARI,v lad, 8-7(F15),  5.0IP 8H 3R 3ER 2BB 4K 
 Miguel Castro ,  6.70,"$4,000",BAL,@ hou, 1-6,  2.0IP 2H R ER BB 3K 
 Raisel Iglesias ,  6.40,"$4,000",CIN,v chc, 1-0,  1.1IP BB 2K Save 
 Sean Newcomb ^9,  6.35,"$7,600",ATL,v was, 1-8,  4.1IP 5H 6R 5ER 4BB 6K E Loss 
 Bud Norris ,  6.25,"$4,000",STL,@ mil, 8-4,  1.0IP 2K Hold     
 Adam Ottavino ,  6.25,"$4,000",COL,@ sdg, 7-4,  1.0IP 2K Hold     
 Tyler Olson ,  6.25,"$4,000",CLE,@ laa, 6-0,  1.0IP 2K 
 Shawn Kelley ,  6.25,"$4,000",WAS,@ atl, 8-1,  1.0IP 2K 
 Jake McGee ,  6.25,"$4,000",COL,@ sdg, 7-4,  1.0IP 2K Hold     
 Justin Wilson ,  6.25,"$4,000",CHC,@ cin, 0-1,  1.0IP 2K 
 Darren O'Day ,  6.25,"$4,000",BAL,@ hou, 1-6,  1.0IP 2K 
 Fernando Salas ,  5.75,"$4,000",ARI,v lad, 8-7(F15),  3.0IP 3H R ER 2BB Win 
 Junichi Tazawa ,  5.75,"$4,000",MIA,v bos, 3-7,  1.2IP K 
 Ryan Tepera ,  5.65,"$4,000",TOR,v chw, 4-2,  1.0IP H 2K Hold     
 Josh Fields ,  5.65,"$4,000",LAD,@ ari, 7-8(F15),  1.0IP H 2K Hold     
 Jose Alvarez ,  5.15,"$4,000",LAA,v cle, 0-6,  1.2IP BB K 
 Pedro Baez ,  5.00,"$4,000",LAD,@ ari, 7-8(F15),  1.1IP K 
 Chris Hatcher ,  4.90,"$4,000",OAK,v tex, 3-1,  0.2IP H Win 
 Blake Treinen ,  4.55,"$4,000",OAK,v tex, 3-1,  1.2IP H BB K Save 
 Jordan Hicks ,  4.40,"$4,000",STL,@ mil, 8-4,  1.1IP BB K 
 Trevor Richards ^9,  4.35,"$4,900",MIA,v bos, 3-7,  4.1IP 8H 5R 5ER BB 5K Loss 
 J.C. Ramirez ^0,  4.30,"$7,500",LAA,v cle, 0-6,  4.2IP 5H 5R 4ER 2BB 3K Loss 
 Zach Duke ,  4.30,"$4,000",MIN,@ pit, 4-5,  0.2IP 2BB 2K 
 Wandy Peralta ,  4.30,"$4,000",CIN,v chc, 1-0,  0.2IP H BB 2K Hold     
 Brad Peacock ,  4.25,"$6,400",HOU,v bal, 6-1,  1.0IP K 
 Matt Bush ,  4.25,"$5,600",TEX,@ oak, 1-3,  1.0IP K 
 Roberto Osuna ,  4.25,"$4,000",TOR,v chw, 4-2,  1.0IP K Save 
 Matt Grace ,  4.25,"$4,000",WAS,@ atl, 8-1,  1.0IP K 
 Tyler Lyons ,  3.65,"$4,000",STL,@ mil, 8-4,  1.0IP H K 
 Heath Hembree ,  3.65,"$4,000",BOS,@ mia, 7-3,  1.0IP H K 
 Pedro Strop ,  3.65,"$4,000",CHC,@ cin, 0-1,  1.0IP H K 
 Will Harris ,  3.65,"$4,000",HOU,v bal, 6-1,  1.0IP H K 
 Daniel Stumpf ,  3.50,"$4,000",DET,v kan, 6-1,  0.2IP K 
 Tony Cingrani ,  3.50,"$4,000",LAD,@ ari, 7-8(F15),  0.2IP K Hold     
 Brandon Woodruff ,  3.20,"$6,000",MIL,v stl, 4-8,  1.1IP 3H R ER 2K 
 Michael Feliz ,  3.05,"$4,000",PIT,v min, 5-4,  1.0IP 2BB K Hold     
 Brad Boxberger ,  3.05,"$4,000",ARI,v lad, 8-7(F15),  1.0IP H BB K 
 Oliver Drake ,  2.70,"$4,000",MIL,v stl, 4-8,  2.0IP 2H BB 
 Addison Reed ,  2.60,"$4,000",MIN,@ pit, 4-5,  1.1IP H 3BB K 
 Jorge de la Rosa ,  2.45,"$4,000",ARI,v lad, 8-7(F15),  1.0IP H 2BB K 
 Seung Hwan Oh ,  2.45,"$4,000",TOR,v chw, 4-2,  1.0IP H R ER BB HB Win 
 Brad Keller ,  2.25,"$4,000",KAN,@ det, 1-6,  1.0IP 
 Trevor Hildenberger ,  2.25,"$4,000",MIN,@ pit, 4-5,  1.0IP 
 George Kontos ,  2.25,"$4,000",PIT,v min, 5-4,  1.0IP Save 
 Dovydas Neverauskas ,  1.80,"$4,000",PIT,v min, 5-4,  1.1IP BB HB Hold     
 Nick Goody ,  1.80,"$4,000",CLE,@ laa, 6-0,  1.1IP H HB 
