Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Nick Pivetta ^8, 35.50,"$7,300",PHI,v stl, 6-5(F10),  7.1IP 4H 2R 2ER BB 13K 
 Trevor Bauer ^0, 32.75,"$12,400",CLE,v chw, 6-2,  7.0IP 3H 2BB 8K Win 
 Trevor Williams ^9, 31.35,"$5,000",PIT,v mil, 1-0,  7.0IP H 2BB 7K HB Win 
Jacob deGrom^8, 30.40,"$11,200",NYM,@ col, 12-2,  8.0IP 5H 2R ER BB 7K Win 
 Andrew Suarez ^9, 20.65,"$6,800",SFO,v mia, 4-5,  6.1IP 5H 2R 2ER BB 7K 
 Sonny Gray ^9, 20.45,N/A,NYY,@ was(2), 4-2,  5.0IP 6H 2R 2ER BB 7K HB Win 
 Gerrit Cole ^0, 18.95,"$13,000",HOU,v tam, 5-4,  7.0IP 3H 4R 4ER 5BB 8K 
 Zack Greinke ^0, 16.85,"$8,700",ARI,@ laa, 7-4,  6.1IP 7H 3R 3ER 2BB 5K Win 
 Drew Rucinski , 14.75,"$4,000",MIA,@ sfo, 5-4,  3.0IP 4K 
 Ian Kennedy ^0, 14.70,"$5,600",KAN,v tex, 3-6,  6.0IP 4H 5R 5ER 3BB 8K HB Loss 
 Jhoulys Chacin ^9, 11.45,"$7,500",MIL,@ pit, 0-1,  6.1IP 6H R ER 2BB 2K Loss 
 Collin McHugh , 10.25,"$7,000",HOU,v tam, 5-4,  1.0IP 2K Win 
 Tyler Anderson ^9, 10.00,"$6,200",COL,v nym, 2-12,  5.1IP 7H 3R 3ER 2BB 5K HB Loss 
 Mike Mayers ,  9.90,"$4,000",STL,@ phi, 5-6(F10),  2.0IP BB 3K 
 Erick Fedde ^9,  8.60,N/A,WAS,v nyy(2), 2-4,  5.1IP 7H 3R 3ER 2BB 4K Loss 
 Noe Ramirez ,  8.40,"$4,000",LAA,v ari, 4-7,  1.1IP BB 3K 
 Dellin Betances ,  8.25,N/A,NYY,@ was(2), 4-2,  1.0IP 3K Hold     
 Justin Anderson ,  7.95,"$4,000",LAA,v ari, 4-7,  1.2IP 3H 3K 
 Tayron Guerrero ,  7.65,"$4,000",MIA,@ sfo, 5-4,  1.0IP BB K Win 
 Bartolo Colon ^0,  7.50,"$5,800",TEX,@ kan, 6-3,  6.0IP 9H 3R 3ER BB K E Win 
 Juan Minaya ,  6.40,"$4,000",CHW,@ cle, 2-6,  1.1IP H 2K 
 Jonathan Holder ,  6.25,N/A,NYY,@ was(2), 4-2,  1.0IP 2K Hold     
 Sam Dyson ,  5.75,"$4,000",SFO,v mia, 4-5,  1.2IP K Hold     
 Jonny Venters ,  5.65,"$4,000",TAM,@ hou, 4-5,  1.0IP H 2K 
 Will Harris ,  5.65,"$4,000",HOU,v tam, 5-4,  1.0IP H 2K 
 Felipe Vazquez ,  5.65,"$4,000",PIT,v mil, 1-0,  1.0IP H 2K Save 
 Edubray Ramos ,  5.50,"$4,000",PHI,v stl, 6-5(F10),  0.2IP 2K Hold     
 Miles Mikolas ^9,  5.05,"$8,300",STL,@ phi, 5-6(F10),  5.0IP 6H 4R 4ER BB 3K 
 Jake Thompson ,  5.05,"$4,200",PHI,v stl, 6-5(F10),  1.0IP 2H R ER K Win 
 Aroldis Chapman ,  5.05,N/A,NYY,@ was(2), 4-2,  1.0IP H BB 2K Save 
 Josh Hader ,  4.30,"$4,000",MIL,@ pit, 0-1,  0.2IP H BB 2K 
 Kyle Crick ,  4.25,"$4,000",PIT,v mil, 1-0,  1.0IP K Hold     
 Tony Barnette ,  4.25,"$4,000",TEX,@ kan, 6-3,  1.0IP K Hold     
 Keone Kela ,  4.25,"$4,000",TEX,@ kan, 6-3,  1.0IP K Save 
 Kyle Barraclough ,  4.25,"$4,000",MIA,@ sfo, 5-4,  1.0IP K Save 
 Ryne Stanek ^0,  3.75,"$4,000",TAM,@ hou, 4-5,  1.2IP 
 Paul Sewald ,  3.65,"$4,000",NYM,@ col, 12-2,  1.0IP BB K 
 Sam Tuivailala ,  3.65,"$4,000",STL,@ phi, 5-6(F10),  1.0IP BB K 
 Chaz Roe ,  3.65,"$4,000",TAM,@ hou, 4-5,  1.0IP H K Hold     
 David Robertson ,  3.65,N/A,NYY,@ was(2), 4-2,  1.0IP BB K Hold     
 Caleb Smith ^9,  3.60,"$7,800",MIA,@ sfo, 5-4,  4.0IP 6H 4R 4ER 2BB 4K HB E 
 Tony Watson ,  3.50,"$4,000",SFO,v mia, 4-5,  0.2IP K 
 Diego Castillo ,  3.00,"$4,000",TAM,@ hou, 4-5,  1.1IP Hold     
 Jaime Barria ^0,  2.80,"$8,100",LAA,v ari, 4-7,  4.0IP 6H 6R 6ER BB 5K Loss 
 Wily Peralta ,  2.60,"$4,000",KAN,v tex, 3-6,  1.1IP H R ER 3BB 2K 
 Harrison Musgrave ,  2.55,"$4,000",COL,v nym, 2-12,  1.2IP 2H 2R 2ER 2K 
 Archie Bradley ,  2.40,"$4,000",ARI,@ laa, 7-4,  1.1IP H Save 
 Victor Arano ,  2.30,"$4,000",PHI,v stl, 6-5(F10),  0.2IP 2H 2R 2ER 3K Hold     
 Joakim Soria ,  2.25,"$4,000",CHW,@ cle, 2-6,  1.0IP 
 Jacob Barnes ,  2.25,"$4,000",MIL,@ pit, 0-1,  1.0IP 
 Jake Diekman ,  2.25,"$4,000",TEX,@ kan, 6-3,  1.0IP Hold     
