Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Tyler Anderson ^9, 35.00,"$6,700",COL,@ lad, 3-1,  8.0IP 4H BB 8K Win 
 Marco Gonzales ^0, 34.55,"$7,800",SEA,v kan, 4-1,  9.0IP 6H R ER 7K HB Win     CG 
 Rich Hill ^9, 28.20,"$7,700",LAD,v col, 1-3,  6.2IP 6H R ER 10K 2HB Loss 
 Yovani Gallardo ^0, 25.50,"$4,600",TEX,v chw, 11-3,  7.1IP 4H 3R 3ER BB 7K Win 
 Paul Blackburn ^0, 25.25,"$4,800",OAK,v cle, 3-1,  6.1IP 3H BB 5K HB Win 
 Joe Musgrove ^9, 24.35,"$7,600",PIT,@ sdg, 6-3,  7.0IP 7H 2BB 5K Win 
 Chase Anderson ^9, 23.70,"$7,000",MIL,@ cin, 8-2,  6.0IP 2H R ER BB 5K Win 
 Julio Teheran ^9, 23.10,"$6,900",ATL,@ stl, 5-1,  6.0IP 2H 2BB 4K Win 
 CC Sabathia ^0, 22.95,"$6,500",NYY,v bos, 8-1,  7.0IP 6H R ER BB 5K HB Win 
 Trevor Bauer ^0, 22.80,"$13,300",CLE,@ oak, 1-3,  6.2IP 6H 2R 2ER BB 8K Loss 
 Felix Pena ^0, 22.40,"$6,600",LAA,@ bal, 7-1,  5.1IP 5H BB 5K Win 
 Marcus Stroman ^0, 20.75,"$6,300",TOR,v det, 3-2,  7.0IP 5H 2R 2ER 4K Win 
 Andrew Suarez ^9, 20.10,"$7,200",SFO,@ ari, 2-1,  6.0IP 7H R ER 2BB 5K Win 
 Patrick Corbin ^9, 18.50,"$11,900",ARI,v sfo, 1-2,  6.0IP 4H R ER BB 5K 
 Wilmer Font ^0, 17.45,"$5,900",TAM,v hou, 3-2,  5.0IP H R ER 2BB 3K Win 
 Gerrit Cole ^0, 16.10,"$13,000",HOU,@ tam, 2-3,  6.0IP 5H 3R ER 3BB 5K HB Loss 
 Mike Montgomery ^9, 13.25,N/A,CHC,v min, 10-6,  5.0IP 7H 5R 3ER 3BB 5K E Win 
 Sandy Alcantara ^9, 12.45,"$5,300",MIA,v nym, 8-2,  5.0IP 3H R ER 5BB 2K Win 
 Sal Romano ^8, 11.25,"$5,000",CIN,v mil, 2-8,  5.0IP 7H 2R 2ER 2BB 5K HB Loss 
 Ian Kennedy ^0, 10.85,"$6,400",KAN,@ sea, 1-4,  5.0IP 3H 3R 3ER BB 4K Loss 
 Collin McHugh ,  9.90,"$7,000",HOU,@ tam, 2-3,  2.0IP BB 3K 
 Kazuhisa Makita ,  9.90,"$4,000",SDG,v pit, 3-6,  2.0IP H 3K 
 Miles Mikolas ^9,  9.45,"$9,300",STL,v atl, 1-5,  6.1IP 7H R ER BB K Loss 
 Chris Volstad ,  9.10,"$4,000",CHW,@ tex, 3-11,  3.1IP 4H 2R ER 3K 
 Francisco Liriano ^0,  8.90,"$6,200",DET,@ tor, 2-3,  6.0IP 7H 3R 3ER 4BB 4K Loss 
 Seung Hwan Oh ,  8.25,"$4,000",TOR,v det, 3-2,  1.0IP 3K Hold     
 Anthony Bass ,  8.25,N/A,CHC,v min, 10-6,  1.0IP 3K Hold     
 Zac Curtis ,  7.80,"$4,000",PHI,v was, 7-17,  1.1IP 2BB 3K 
 Eduardo Paredes ,  7.30,N/A,LAA,@ bal, 7-1,  2.0IP 2H R ER 3K 
 Juan Minaya ,  7.00,"$4,000",CHW,@ tex, 3-11,  1.1IP 2K 
 Paul Fry ,  6.55,N/A,BAL,v laa, 1-7,  1.2IP 2H 2K 
 Will Smith ,  6.25,"$4,000",SFO,@ ari, 2-1,  1.0IP 2K Save 
 Chasen Shreve ,  6.25,"$4,000",NYY,v bos, 8-1,  1.0IP 2K 
 Tyler Bashlor ,  6.20,"$4,000",NYM,@ mia, 2-8,  2.2IP 3H R ER 2K 
 Diego Castillo ,  5.90,"$4,000",TAM,v hou, 3-2,  2.0IP H R ER 2K Hold     
 Eric Lauer ^9,  5.85,"$5,700",SDG,v pit, 3-6,  5.0IP 9H 6R 3ER 3K Loss 
 Jeremy Jeffress ,  5.65,"$4,000",MIL,@ cin, 8-2,  1.0IP H 2K Hold     
