Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Tyler Anderson ^9, 37.60,"$5,900",COL,v sfo, 1-0,  8.0IP 2H 2BB 9K Win 
 Aaron Nola ^9, 29.75,"$13,100",PHI,v bal, 4-1,  7.0IP 7H R ER 2BB 9K HB Win 
 Trevor Bauer ^0, 27.85,"$13,600",CLE,@ kan, 3-2,  7.2IP 7H 2R 2ER BB 8K HB Win 
 Eduardo Rodriguez ^9, 27.10,"$8,400",BOS,@ was, 3-0,  6.0IP 3H BB 6K Win 
 Garrett Richards ^0, 25.00,"$8,000",LAA,@ sea, 7-4,  5.1IP 4H 3R 2ER BB 8K E Win 
 Andrew Suarez ^9, 22.75,"$6,200",SFO,@ col, 0-1,  7.0IP 5H R ER 6K Loss 
 Jose Urena ^9, 20.25,"$6,900",MIA,v tam, 3-0,  5.0IP 3H 2BB 6K 
 Chase Anderson ^9, 19.85,"$7,200",MIL,v min, 3-2,  6.1IP 3H R ER BB 5K 
 Patrick Corbin ^9, 18.70,"$11,100",ARI,v stl, 4-8,  6.0IP 6H R ER 2BB 6K 
 Rich Hill ^9, 18.25,"$8,700",LAD,v pit, 6-4,  5.0IP 4H 2R 2ER BB 5K Win 
 CC Sabathia ^0, 17.50,"$7,700",NYY,v atl, 6-2,  6.0IP 5H 2R 2ER 3BB 5K 2HB Win 
 Jose Quintana ^9, 16.70,"$7,900",CHC,v det, 5-2,  6.0IP 5H 2R 2ER 3BB 4K Win 
 Matt Grace , 16.40,"$4,000",WAS,v bos, 0-3,  4.0IP H 4K 
 Julio Teheran ^0, 15.85,"$7,000",ATL,@ nyy, 2-6,  5.0IP 5H 5R 5ER 4BB 10K Loss 
 Sal Romano ^9, 15.65,"$5,100",CIN,v chw, 7-4,  5.0IP 6H 4R 4ER 6K Win 
 Yefry Ramirez ^9, 15.45,"$5,200",BAL,@ phi, 1-4,  5.0IP H 2R ER 2BB 4K Loss 
 Miles Mikolas ^9, 12.90,"$9,500",STL,@ ari, 8-4,  6.0IP 7H 2R 2ER 4BB 3K Win 
 Collin McHugh , 12.15,"$7,000",HOU,@ tex, 5-4(F10),  3.0IP H K Win 
 Drew Rucinski , 11.90,"$4,000",MIA,v tam, 3-0,  2.0IP H 2K Win 
 Jose Berrios ^9, 11.55,"$11,800",MIN,@ mil, 2-3,  7.0IP 5H 3R 3ER 2BB 3K Loss 
 Francisco Liriano ^9, 11.50,"$6,100",DET,@ chc, 2-5,  6.0IP 5H 3R 3ER 5BB 5K Loss 
 Seth Lugo , 10.95,"$9,100",NYM,@ tor, 6-3,  3.0IP 3H R ER 2K Win 
 Gerrit Cole ^0, 10.65,"$13,000",HOU,@ tex, 5-4(F10),  5.0IP 8H 4R 4ER 2BB 7K HB 
 Sean Manaea ^0, 10.15,"$12,100",OAK,v sdg, 4-2,  7.0IP 4H 2R 2ER 2BB K 
 Heath Fillmyer , 10.15,"$4,000",KAN,v cle, 2-3,  3.0IP BB 2K 
 Jordan Hicks ,  9.90,"$4,000",STL,@ ari, 8-4,  2.0IP 3K HB Hold     
 Victor Arano ,  9.90,"$4,000",PHI,v bal, 4-1,  2.0IP BB 3K Save 
 Mike Minor ^0,  9.50,"$6,000",TEX,v hou, 4-5(F10),  6.0IP 7H 4R 3ER 3BB 4K 
 Luis Perdomo ^0,  9.35,"$4,000",SDG,@ oak, 2-4,  5.2IP 4H 2R 2ER 4BB 3K HB 
 Jeremy Jeffress ,  9.15,"$4,000",MIL,v min, 3-2,  1.2IP H K BS Win 
 Luis Avilan ,  9.00,"$4,000",CHW,@ cin, 4-7,  1.1IP 3K 
 Matt Andriese ^9,  8.70,"$5,500",TAM,@ mia, 0-3,  2.0IP H 2BB 3K 
 Kenley Jansen ,  8.55,"$4,000",LAD,v pit, 6-4,  1.2IP 2H 3K Save 
 Luiz Gohara ,  7.90,"$6,600",ATL,@ nyy, 2-6,  2.0IP H R ER 3K 
 Rhiner Cruz ,  7.90,N/A,TOR,v nym, 3-6,  2.0IP H 2K 
