Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Eric Skoglund ^0, 33.95,"$4,000",KAN,v chw(2), 5-2,  7.0IP 2H R ER BB 9K Win 
 Lance McCullers ^0, 32.55,"$11,200",HOU,v oak, 11-0,  7.0IP 2H 7K Win 
 Jose Quintana ^9, 31.95,"$7,600",CHC,v mil, 3-0,  7.0IP 2H BB 7K Win 
 Masahiro Tanaka ^0, 31.10,"$8,900",NYY,@ laa, 11-1,  6.0IP 2H R ER 2BB 9K Win 
 Mike Foltynewicz ^9, 24.50,N/A,ATL,@ phi, 4-1,  6.0IP 3H R ER 2BB 6K Win 
 Carson Fulmer ^0, 21.55,"$4,500",CHW,@ kan(1), 8-0,  7.0IP 4H 3BB 3K Win 
 Joey Lucchesi ^9, 21.15,"$7,800",SDG,v nym, 12-2,  5.2IP 4H 2R 2ER 2BB 6K Win 
 Junior Guerra ^9, 19.90,"$6,600",MIL,@ chc, 0-3,  6.0IP 3H R ER 2BB 6K HB Loss 
 Ryan Yarbrough , 19.20,"$5,100",TAM,@ bos, 12-6,  4.0IP 3H 2R 2ER 6K Win 
 Walker Buehler ^9, 19.05,"$8,000",LAD,@ sfo(1), 15-6,  5.0IP 6H 2R 2ER BB 6K Win 
 Jake Odorizzi ^0, 17.30,"$7,000",MIN,v cin, 3-1,  6.0IP 5H R ER 2BB 3K Win 
 Mike Leake ^0, 17.30,"$5,000",SEA,@ cle, 12-4,  6.0IP 6H 4R 4ER BB 6K Win 
 Patrick Corbin ^9, 17.00,"$11,500",ARI,@ was, 4-3(F10),  6.2IP 7H 3R 3ER BB 7K 2HB 
 Johnny Cueto ^9, 16.50,"$10,600",SFO,v lad(2), 8-3,  6.0IP 3H 2R 2ER 2BB 3K Win 
 German Marquez ^9, 16.10,"$6,300",COL,@ mia, 1-4,  6.0IP 6H 3R 2ER 3BB 6K Loss 
 Wei-Yin Chen ^9, 15.80,"$5,600",MIA,v col, 4-1,  5.1IP 4H R ER 2BB 3K HB Win 
 Bartolo Colon ^0, 14.15,"$5,800",TEX,@ tor, 7-4,  7.0IP 6H 3R 3ER 2K Win 
 Trevor Williams ^9, 13.90,"$6,600",PIT,v stl, 6-2,  6.0IP 4H 2R 2ER 2BB 2K Win 
 Dylan Covey ^0, 12.10,"$4,000",CHW,@ kan(2), 2-5,  6.0IP 6H 4R ER 3BB 3K E Loss 
 Nick Pivetta ^9,  9.85,N/A,PHI,v atl, 1-4,  5.0IP 6H 4R 4ER 3BB 6K Loss 
 Francisco Liriano ^0,  9.45,"$6,700",DET,@ bal, 9-5,  6.1IP 6H 3R 3ER 2BB K Win 
 Dylan Floro ,  9.30,"$4,000",CIN,@ min, 1-3,  2.0IP 2H 3K 
 Alex Wood ^9,  9.30,"$8,800",LAD,@ sfo(2), 3-8,  6.0IP 6H 4R 4ER BB 4K Loss 
 Pedro Strop ,  9.00,"$4,000",CHC,v mil, 3-0,  1.1IP 3K Hold     
 Burch Smith ,  8.80,"$4,000",KAN,v chw(1), 0-8,  2.2IP H R ER BB 3K 
 Robbie Erlin ,  8.50,"$4,000",SDG,v nym, 12-2,  2.0IP 2K 
 Yoshihisa Hirano ,  8.25,"$4,000",ARI,@ was, 4-3(F10),  1.0IP K Win 
 Pedro Araujo ,  8.20,"$4,000",BAL,v det, 5-9,  2.2IP 3H R ER 3K 
 J.T. Chargois ,  7.80,"$4,000",LAD,@ sfo(2), 3-8,  1.1IP H BB 3K 
 John Axford ,  7.65,"$4,000",TOR,v tex, 4-7,  1.0IP BB 3K 
 Kyle Barraclough ,  7.65,"$4,000",MIA,v col, 4-1,  1.0IP 3K HB Save 
 Arodys Vizcaino ,  7.65,N/A,ATL,@ phi, 4-1,  1.0IP BB 3K Save 
 Noe Ramirez ,  7.60,"$4,000",LAA,v nyy, 1-11,  2.2IP 3H R ER BB 3K 
 Juan Minaya ,  7.50,N/A,CHW,@ kan(2), 2-5,  2.0IP H R ER 4BB 4K 
 Chris Beck ,  7.30,"$4,000",CHW,@ kan(1), 8-0,  2.0IP 2H 2K 
 Matt Belisle ,  7.25,"$4,000",CLE,v sea, 4-12,  2.1IP K 
 Jeremy Hellickson ^9,  6.40,"$4,600",WAS,v ari, 3-4(F10),  5.1IP 5H 2R 2ER BB K 
 Austin Brice ,  6.40,"$4,000",CIN,@ min, 1-3,  1.1IP BB 2K 
 Jose Alvarado ,  6.40,"$4,000",TAM,@ bos, 12-6,  1.1IP H 2K Hold     
 Brandon Woodruff ,  6.25,"$6,900",MIL,@ chc, 0-3,  1.0IP 2K 
 Seth Lugo ,  6.25,"$4,800",NYM,@ sdg, 2-12,  2.1IP 4H 3R 3ER 5K HB 
 James Pazos ,  6.25,"$4,000",SEA,@ cle, 12-4,  1.0IP 2K 
 Matt Barnes ,  6.25,"$4,000",BOS,v tam, 6-12,  1.0IP 2K 
 Edgar Santana ,  6.25,"$4,000",PIT,v stl, 6-2,  1.0IP 2K 
 Jake Diekman ,  6.25,"$4,000",TEX,@ tor, 7-4,  1.0IP 2K Hold     
 Jose Alvarez ,  6.25,"$4,000",LAA,v nyy, 1-11,  1.0IP 2K 
 Jaime Garcia ^0,  5.85,"$6,500",TOR,v tex, 4-7,  5.0IP 5H 5R 5ER 4BB 5K Loss 
 Miguel Castro ,  5.80,"$4,000",BAL,v det, 5-9,  1.1IP H BB 2K 
 Blake Parker ,  5.80,"$4,000",LAA,v nyy, 1-11,  1.1IP 2H 2K 
 Chasen Shreve ,  5.65,"$4,000",NYY,@ laa, 11-1,  1.0IP H 2K 
 Chasen Bradford ,  5.65,"$4,000",SEA,@ cle, 12-4,  1.0IP BB 2K 
 David Price ^0,  5.55,"$11,100",BOS,v tam, 6-12,  5.2IP 8H 6R 5ER 4BB 5K Loss 
 Carlos Torres ,  5.50,"$4,000",WAS,v ari, 3-4(F10),  0.2IP 2K 
 Daniel Winkler ,  5.50,N/A,ATL,@ phi, 4-1,  0.2IP 2K Hold     
 Shane Greene ,  5.05,"$4,000",DET,@ bal, 9-5,  1.0IP H BB 2K 
 Adam Cimber ,  5.00,"$4,000",SDG,v nym, 12-2,  1.1IP K 
 Jack Flaherty ^9,  4.45,"$7,200",STL,@ pit, 2-6,  5.0IP 4H 3R 3ER 4BB 2K Loss 
 Joe Jimenez ,  4.40,"$4,000",DET,@ bal, 9-5,  1.1IP H K Hold     
 Lou Trivino ,  4.25,"$4,000",OAK,@ hou, 0-11,  1.0IP K 
