Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Clayton Kershaw ^9, 40.55,"$12,900",LAD,v ari, 7-2,  7.0IP 2H R ER 12K Win 
 Carlos Martinez ^9, 37.55,"$9,900",STL,@ cin, 3-2,  7.0IP 2H 4BB 11K HB E Win 
 Justin Verlander ^0, 36.20,N/A,HOU,v tex, 1-3(F10),  8.0IP H R ER BB 11K HB 
 Noah Syndergaard ^9, 32.20,"$10,500",NYM,v mil, 3-2,  5.1IP 2H R BB 11K 
 Joey Lucchesi ^9, 30.50,"$5,900",SDG,v sfo, 10-1,  6.0IP 5H R ER 9K Win 
 Bartolo Colon ^0, 28.05,N/A,TEX,@ hou, 3-1(F10),  7.2IP H R ER BB 7K 
 Ivan Nova ^9, 26.80,"$8,800",PIT,@ mia, 7-3,  6.2IP 6H 3R 3ER 9K HB Win 
 Sean Manaea ^0, 23.35,"$7,000",OAK,@ sea, 2-1,  7.0IP 2H R ER 2BB 4K Win 
 Chris Sale ^0, 22.85,"$12,400",BOS,v bal, 3-1,  5.0IP 2H R ER 2BB 8K 
 Felix Hernandez ^0, 20.05,"$6,800",SEA,v oak, 1-2,  6.1IP 5H 2R 2ER 7K 2HB Loss 
 Dylan Bundy ^0, 17.35,"$7,400",BAL,@ bos, 1-3,  5.2IP 7H 3R ER 2BB 6K Loss 
 Silvino Bracho , 16.35,"$4,000",ARI,@ lad, 2-7,  3.0IP 3H R ER BB 7K 
 Tyler Anderson ^9, 15.70,"$6,200",COL,@ was, 6-5,  4.2IP 2H 3R ER 6BB 6K 
 Homer Bailey ^9, 14.15,"$5,400",CIN,v stl, 2-3,  7.0IP 4H 3R 3ER 2BB 4K Loss 
 Stephen Strasburg ^9, 12.50,"$11,300",WAS,v col, 5-6,  6.0IP 4H 4R 4ER BB 5K 
 Heath Hembree , 11.90,"$4,000",BOS,v bal, 3-1,  2.0IP H 2K Win 
 Edubray Ramos , 11.30,"$4,000",PHI,@ tam, 10-4,  2.0IP H BB 4K 
 Jhoulys Chacin ^9, 10.20,"$5,700",MIL,@ nym, 2-3,  4.0IP 5H R ER 3BB 4K 
 Jeurys Familia ,  9.65,"$4,000",NYM,v mil, 3-2,  1.0IP BB 2K Win 
 Ben Lively ^0,  8.80,"$6,000",PHI,@ tam, 10-4,  4.0IP 7H 3R 3ER 5K 
 Richard Bleier ,  7.45,"$4,000",BAL,@ bos, 1-3,  2.1IP 3H 2K 
 Kyle McGrath ,  7.30,"$4,000",SDG,v sfo, 10-1,  2.0IP H BB 2K 
 Jose Urena ^9,  7.25,"$5,800",MIA,v pit, 3-7,  5.0IP 8H 4R 4ER BB 5K HB Loss 
 Amir Garrett ,  7.15,"$5,500",CIN,v stl, 2-3,  1.2IP H 2K 
 Adam Ottavino ,  7.05,"$4,000",COL,@ was, 6-5,  1.0IP H R ER 2K HB BS Win 
 Keone Kela ,  7.05,N/A,TEX,@ hou, 3-1(F10),  1.0IP H BB K Win 
 Jeremy Jeffress ,  7.00,"$4,000",MIL,@ nym, 2-3,  1.1IP 2K 
