Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Zach Eflin ^9, 32.80,"$7,300",PHI,v sfo, 11-0,  6.2IP 4H 3BB 9K Win 
 Fernando Romero ^9, 31.30,"$7,700",MIN,@ stl, 6-0,  6.0IP 3H 3BB 9K HB Win 
 Dallas Keuchel ^0, 23.80,"$9,400",HOU,@ oak, 16-2,  8.0IP 5H R ER 2BB 4K Win 
 Kyle Hendricks ^9, 20.40,"$9,600",CHC,v mia, 14-2,  8.0IP 6H 2R 2ER 3K Win 
 Stephen Strasburg ^8, 19.55,"$13,600",WAS,@ sdg, 8-5,  7.0IP 6H 3R 3ER BB 5K Win 
 Michael Fulmer ^0, 12.55,"$8,000",DET,@ tex, 6-7,  5.2IP 4H 5R 5ER 3BB 7K 
 Jared Hughes , 12.50,"$4,000",CIN,v nym, 6-7,  2.0IP 4K 
 Tyson Ross ^9, 10.10,"$8,700",SDG,v was, 5-8,  6.0IP 6H 5R 5ER 3BB 6K Loss 
 Jose LeClerc ,  9.65,"$4,000",TEX,v det, 7-6,  1.0IP H R 2K Win 
 John Gant ^9,  9.20,"$4,200",STL,v min, 0-6,  5.1IP 6H 4R 4ER 2BB 5K Loss 
 Matt Bowman ,  8.55,"$4,000",STL,v min, 0-6,  1.2IP H BB 3K 
 Matt Magill ,  7.90,"$4,000",MIN,@ stl, 6-0,  2.0IP H 2K 
 Robert Gsellman ,  7.40,"$4,400",NYM,@ cin, 7-6,  2.2IP H R ER Win 
 Jeurys Familia ,  6.25,"$4,000",NYM,@ cin, 7-6,  1.0IP 2K Save 
 Matt Moore ^0,  6.15,"$4,800",TEX,v det, 7-6,  5.2IP 9H 5R 5ER 2BB 5K 
 Keone Kela ,  5.65,"$4,000",TEX,v det, 7-6,  1.0IP H 2K Save 
 Junichi Tazawa ,  5.65,"$4,000",MIA,@ chc, 2-14,  1.0IP H 2K 
 Trevor Gott ,  5.05,"$4,000",WAS,@ sdg, 8-5,  1.0IP BB 2K HB 
 Chris Hatcher ,  4.35,"$4,000",OAK,v hou, 2-16,  3.0IP 3H 2R BB 
 Trevor Hildenberger ,  4.25,"$4,000",MIN,@ stl, 6-0,  1.0IP K 
 Luke Gregerson ,  4.25,"$4,000",STL,v min, 0-6,  1.0IP K 
 Seranthony Dominguez ,  4.25,N/A,PHI,v sfo, 11-0,  1.0IP K 
 Cory Mazzoni ,  4.25,N/A,CHC,v mia, 14-2,  1.0IP K 
 Reyes Moronta ,  3.65,"$4,000",SFO,@ phi, 0-11,  1.0IP H K 
 Warwick Saupold ,  3.65,"$4,000",DET,@ tex, 6-7,  1.0IP BB K 
