Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Madison Bumgarner ^9, 29.35,"$11,200",SFO,v col, 1-0,  7.0IP 2H 2BB 8K 
 Mike Minor ^0, 29.15,"$6,700",TEX,v sdg, 5-2,  7.0IP H 5K Win 
 Zach Eflin ^9, 28.15,"$7,900",PHI,v nyy, 3-0,  7.0IP 4H 2BB 6K Win 
 Robbie Ray ^9, 27.10,"$10,000",ARI,@ mia, 2-1,  6.0IP 2H 2BB 6K Win 
 Zack Wheeler ^9, 26.15,"$6,300",NYM,v pit, 3-5,  7.0IP 5H BB 7K 
 James Shields ^0, 26.15,"$5,500",CHW,v min, 6-1,  7.0IP 4H 2BB 5K Win 
 Danny Duffy ^9, 25.30,"$6,000",KAN,@ mil, 5-4,  6.0IP 5H R ER 2BB 7K Win 
 Chris Bassitt ^0, 23.30,"$5,500",OAK,@ det, 3-0,  6.0IP 2H 5BB 5K Win 
 Alex Wood ^9, 21.55,"$8,200",LAD,v chc, 7-5,  7.0IP 7H 3R 3ER 6K Win 
 Kyle Freeland ^9, 20.75,"$8,300",COL,@ sfo, 0-1,  7.0IP 4H BB 4K 
 Shane Bieber ^9, 20.10,"$8,400",CLE,@ stl, 5-1,  6.0IP 6H R ER BB 5K 2HB Win 
 Michael Fiers ^0, 19.55,"$6,200",DET,v oak, 0-3,  7.0IP 5H R ER BB 5K HB Loss 
 Wei-Yin Chen ^9, 17.90,"$4,200",MIA,v ari, 1-2,  6.0IP 5H R ER BB 5K Loss 
 Giovanny Gallegos , 17.55,"$4,000",NYY,@ phi, 0-3,  3.0IP 2H 6K 
 Sean Newcomb ^9, 14.10,"$10,900",ATL,v cin, 5-6,  6.0IP 7H 3R 3ER 2BB 6K 
 Brent Suter ^9, 13.30,"$7,300",MIL,v kan, 4-5,  6.0IP 6H 4R 4ER BB 6K Loss 
 Kyle Gibson ^0, 12.55,"$8,500",MIN,@ chw, 1-6,  7.0IP 11H 5R 5ER BB 7K Loss 
