Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Brandon Dixon ,  0.00,"$2,800",CIN,v chw, 5-3,  0/1 SO 
 Neil Walker ,  0.00,"$2,800",NYY,v atl, 3-5(F11),  0/1 SO 
 Chase Utley ,  0.00,"$2,800",LAD,v pit, 17-1,  0/2 SO 
 Kolten Wong ^8,  0.00,"$2,800",STL,@ ari, 6-3,  0/4 E 
 Abraham Almonte ,  0.00,"$2,800",KAN,v cle, 3-9,  0/1 
 Bobby Wilson ^8,  0.00,"$2,700",MIN,@ mil, 5-6(F10),  0/4 SO 
 Alcides Escobar ^8,  0.00,"$2,700",KAN,v cle, 3-9,  0/3 SO 
 Spencer Kieboom ,  0.00,"$2,700",WAS,v bos, 3-4,  
 Pedro Severino ^8,  0.00,"$2,600",WAS,v bos, 3-4,  0/3 SO 
 Eric Sogard ,  0.00,"$2,500",MIL,v min, 6-5(F10),  0/1 
 Kyle Higashioka ^8,  0.00,"$2,300",NYY,v atl, 3-5(F11),  0/3 SO 
 Aledmys Diaz ^7,  0.00,N/A,TOR,v det, 2-3(F10),  0/3 
 Kevin Pillar ^6,  0.00,N/A,TOR,v det, 2-3(F10),  0/4 SO 
 Luke Maile ^8,  0.00,N/A,TOR,v det, 2-3(F10),  0/4 2SO 
 James McCann ^6,  0.00,N/A,DET,@ tor, 3-2(F10),  0/4 SO 
 JaCoby Jones ^9,  0.00,N/A,DET,@ tor, 3-2(F10),  0/4 3SO 
