Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Chris Sale ^0, 37.55,"$12,600",BOS,@ tex, 6-1,  7.0IP 4H R ER BB 12K 2HB Win 
 Max Scherzer ^8, 37.45,"$13,400",WAS,v phi, 5-4,  6.1IP 5H R ER 2BB 15K HB 
 Andrew Triggs ^0, 34.55,"$7,900",OAK,v bal, 2-1,  7.0IP 2H R ER 9K Win 
 Chad Kuhl ^9, 33.95,"$6,400",PIT,@ mil, 9-0,  7.0IP H 2BB 8K Win 
 Domingo German ^0, 30.30,"$5,700",NYY,v cle, 7-4,  6.0IP 2BB 9K 
 Mike Clevinger ^0, 29.50,"$7,100",CLE,@ nyy, 4-7,  7.1IP H 2R 2ER 4BB 10K 
 Kyle Freeland ^9, 28.75,"$6,700",COL,@ nym, 3-2,  7.0IP 4H 2R 2ER BB 8K Win 
 Jake Junis ^0, 26.35,"$7,300",KAN,v det, 4-2,  7.0IP 8H 2R 2ER BB 8K Win 
 Justin Verlander ^9, 23.90,"$13,200",HOU,@ ari, 1-3,  6.0IP 3H 2R ER 3BB 8K Loss 
 Andrew Suarez ^9, 23.20,"$5,500",SFO,@ atl, 4-3,  5.1IP 7H R BB 6K Win 
 Chris Archer ^0, 22.75,"$8,400",TAM,v tor, 1-2,  7.0IP 5H R ER 6K 
 Eric Lauer ^9, 22.70,"$5,300",SDG,v lad, 3-0,  6.0IP 7H BB 5K Win 
 Kyle Gibson ^0, 21.40,"$7,000",MIN,@ chw, 5-3,  6.2IP 4H 3R 3ER 2BB 8K 
 Shohei-pitcher  Ohtani ^0, 20.10,"$8,500",LAA,@ sea, 8-2,  6.0IP 6H 2R 2ER 2BB 6K HB Win 
 Matt Koch ^9, 18.05,"$4,600",ARI,v hou, 3-1,  6.1IP 6H R ER 3K HB Win 
 Alex Cobb ^0, 17.90,"$4,400",BAL,@ oak, 1-2,  6.0IP 5H 2R ER BB 5K Loss 
 James Shields ^0, 16.60,"$4,000",CHW,v min, 3-5,  6.2IP 2H 3R 3ER 2BB 5K 
 Nick Wittgren , 15.90,"$4,000",MIA,@ cin, 8-5,  2.0IP H 4K Win 
 Richard Rodriguez , 15.90,"$4,000",PIT,@ mil, 9-0,  2.0IP H 6K 
 Ross Stripling ^9, 15.40,"$4,000",LAD,@ sdg, 0-3,  4.0IP 4H 2BB 5K 
 Marco Estrada ^0, 14.70,"$5,600",TOR,@ tam, 2-1,  6.0IP 4H 4BB 3K 
 Michael Wacha ^9, 14.60,N/A,STL,v chc, 4-3(F14),  5.1IP 6H 2R ER 3BB 5K 
 Matt Boyd ^0, 13.55,"$6,200",DET,@ kan, 2-4,  7.0IP 6H 4R 4ER BB 5K Loss 
 Jake Arrieta ^9, 13.10,"$8,600",PHI,@ was, 4-5,  6.0IP 2H R ER 2BB 2K 
