Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Jack Flaherty ^9, 43.45,"$6,300",STL,v phi, 5-1,  7.2IP 2H R ER BB 13K Win 
 Reynaldo Lopez ^0, 35.60,"$7,100",CHW,v tex, 3-0,  8.0IP 2H 2BB 8K Win 
 Lance McCullers ^0, 33.95,N/A,HOU,v cle, 3-1,  7.0IP H 2BB 8K Win 
 Shohei-pitcher  Ohtani ^0, 31.05,"$11,800",LAA,v tam, 5-2,  7.2IP 6H 2R 2ER BB 9K Win 
 Noah Syndergaard ^8, 27.55,"$10,200",NYM,v ari, 4-1,  7.0IP 6H R ER BB 7K Win 
 Jake Odorizzi ^0, 26.55,"$7,600",MIN,v mil, 3-1,  5.2IP 5H R ER 2BB 10K 
 Sonny Gray ^0, 26.40,"$7,200",NYY,@ kan, 10-1,  8.0IP 4H R ER BB 5K HB Win 
 Francisco Liriano ^0, 25.60,"$6,700",DET,@ sea, 2-3(F11),  8.0IP H 3BB 5K 
 Eduardo Rodriguez ^0, 25.35,"$9,400",BOS,v bal, 5-0,  5.2IP 9H 7K Win 
 Yu Darvish ^9, 25.30,"$8,600",CHC,@ cin, 6-1,  6.0IP 2H R ER 3BB 7K 2HB Win 
 Daniel Mengden ^0, 21.95,"$6,500",OAK,@ tor, 9-2,  7.0IP 2H BB 2K Win 
 Mike Minor ^0, 19.65,"$5,200",TEX,@ chw, 0-3,  5.0IP 6H 3R 3ER 9K Loss 
 Alex Wood ^9, 19.10,"$8,400",LAD,@ was, 7-2,  6.0IP 3H 2R 2ER BB 4K Win 
 Carlos Carrasco ^0, 17.85,N/A,CLE,@ hou, 1-3,  7.2IP 8H 3R 3ER BB 6K Loss 
 Stephen Strasburg ^8, 17.60,"$13,400",WAS,v lad, 2-7,  6.2IP 5H 3R 3ER 4BB 7K Loss 
 Wei-Yin Chen ^9, 14.40,"$4,600",MIA,@ atl, 9-10,  5.1IP 5H 2R 2ER BB 5K 
 Wade LeBlanc ^0, 13.20,"$7,100",SEA,v det, 3-2(F11),  5.1IP 7H 2R 2ER BB 5K 
 Trevor Williams ^9, 13.10,"$7,800",PIT,v sdg, 5-8,  6.0IP 4H 4R 4ER 5K 
 Aaron Nola ^9, 12.70,"$10,800",PHI,@ stl, 1-5,  6.0IP 7H 4R 4ER BB 6K Loss 
 Junior Guerra ^0, 12.15,"$7,300",MIL,@ min, 1-3,  4.1IP 4H R ER 2BB 4K 
 Tyler Mahle ^8, 12.10,"$6,600",CIN,v chc, 1-6,  6.0IP 7H 4R 4ER 2BB 6K Loss 
 Clay Buchholz ^9, 11.45,"$4,900",ARI,@ nym, 1-4,  5.0IP 2H R ER BB 2K 
 Robert Gsellman ,  9.75,"$4,400",NYM,v ari, 4-1,  1.2IP 3K Save 
 Nick Vincent ,  9.65,"$4,000",SEA,v det, 3-2(F11),  1.0IP H 2K Win 
 Fernando Rodney ,  8.25,"$4,000",MIN,v mil, 3-1,  1.0IP 3K Save 
 Will Smith ,  8.25,"$4,000",SFO,v col, 9-5,  1.0IP 3K 
 Tony Cingrani ,  8.25,"$4,000",LAD,@ was, 7-2,  1.0IP 3K Hold     
 Brandon Morrow ,  8.25,"$4,000",CHC,@ cin, 6-1,  1.0IP 3K 
 Pedro Araujo ,  8.25,"$4,000",BAL,@ bos, 0-5,  1.0IP 3K 
 Addison Reed ,  8.25,"$4,000",MIN,v mil, 3-1,  1.0IP K Win 
 Dan Jennings ,  7.90,"$4,000",MIL,@ min, 1-3,  2.0IP H 2K 
 Sergio Romo ^0,  7.80,"$4,000",TAM,@ laa, 2-5,  1.1IP 2BB 3K 
 Jordan Lyles ^9,  7.35,"$8,300",SDG,@ pit, 8-5,  5.2IP 7H 4R 4ER 2BB 4K 
 Sam Dyson ,  7.05,"$4,000",SFO,v col, 9-5,  1.0IP H R ER BB 2K BS Win 
 A.J. Minter ,  7.05,"$4,000",ATL,v mia, 10-9,  1.0IP 2H R ER 2K Win 
 Deck McGuire ,  6.70,"$4,000",TOR,v oak, 2-9,  2.0IP H 2BB 2K 
 Heath Hembree ,  6.40,"$4,000",BOS,v bal, 5-0,  1.1IP H 2K Hold     
 Josh Fields ,  6.40,"$4,000",LAD,@ was, 7-2,  1.1IP BB 2K Save 
 A.J. Cole ,  6.25,"$5,600",NYY,@ kan, 10-1,  1.0IP 2K 
 Jace Fry ,  6.25,"$4,000",CHW,v tex, 3-0,  1.0IP 2K Save 
 Chris Martin ,  6.25,"$4,000",TEX,@ chw, 0-3,  1.0IP 2K 
 C.J. Edwards ,  5.65,"$4,000",CHC,@ cin, 6-1,  1.0IP H 2K 
 Blake Parker ,  5.65,"$4,000",LAA,v tam, 5-2,  1.0IP H 2K Save 
 Taylor Rogers ,  5.50,"$4,000",MIN,v mil, 3-1,  0.2IP 2K 
 Matt Andriese ,  5.30,"$5,100",TAM,@ laa, 2-5,  2.0IP 2R 2BB K E Loss 
 Tyler Anderson ^9,  5.20,"$7,900",COL,@ sfo, 5-9,  5.1IP 6H 5R 5ER BB 4K HB 
 Tony Watson ,  5.05,"$4,000",SFO,v col, 9-5,  1.0IP 2H 2K 
 David Hernandez ,  4.55,"$4,000",CIN,v chc, 1-6,  1.2IP 2BB K 
 Anthony Banda ,  4.50,"$4,800",TAM,@ laa, 2-5,  3.1IP 3H 2R 2ER 2BB 2K 
 Kirby Yates ,  4.45,"$4,000",SDG,@ pit, 8-5,  1.0IP 2H R ER K HB Win 
 James Pazos ,  4.25,"$4,000",SEA,v det, 3-2(F11),  1.0IP K 
 Pedro Strop ,  4.25,"$4,000",CHC,@ cin, 6-1,  1.0IP K 
 Michael Feliz ,  4.25,"$4,000",PIT,v sdg, 5-8,  1.0IP K 
 Tony Barnette ,  4.25,"$4,000",TEX,@ chw, 0-3,  1.0IP K 
 Hector Neris ,  4.25,"$4,000",PHI,@ stl, 1-5,  1.0IP K 
 Juan Nicasio ,  4.25,"$4,000",SEA,v det, 3-2(F11),  1.0IP K 
 Dan Altavilla ,  4.25,"$4,000",SEA,v det, 3-2(F11),  1.0IP K 
 Jordan Hicks ,  3.80,"$4,000",STL,v phi, 5-1,  1.1IP 2BB K 
 Harrison Musgrave ,  3.80,"$4,000",COL,@ sfo, 5-9,  1.1IP H BB K 
 Brian Johnson ,  3.65,"$4,700",BOS,v bal, 5-0,  1.0IP H K 
 Joe Jimenez ,  3.65,"$4,000",DET,@ sea, 2-3(F11),  1.0IP H K 
 Edwin Diaz ,  3.65,"$4,000",SEA,v det, 3-2(F11),  1.0IP H K 
 Richard Rodriguez ,  3.65,"$4,000",PIT,v sdg, 5-8,  1.0IP H K 
