Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Justin Verlander ^0, 39.65,"$12,000",HOU,@ laa, 2-0,  9.0IP 5H BB 7K Win     CG 
 Trevor Bauer ^0, 39.60,"$12,800",CLE,@ det, 6-0,  8.0IP 4H 10K Win 
 James Happ ^9, 38.55,"$9,300",TOR,@ nym, 12-1,  7.0IP 2H 10K Win 
 Nick Pivetta ^0, 37.95,"$7,200",PHI,@ bal, 4-1,  7.0IP 2H R ER BB 11K Win 
 Chris Sale ^0, 25.65,"$11,800",BOS,v oak, 6-4,  5.0IP 2H 2R 2ER 4BB 9K Win 
 Bartolo Colon ^0, 24.85,"$7,000",TEX,@ sea, 5-1,  7.2IP 4H 3K Win 
 Christian Bergman ^0, 24.55,"$4,000",SEA,v tex, 1-5,  7.0IP 2H 5K 
 Brandon McCarthy ^9, 23.30,"$4,200",ATL,v chc, 4-1,  6.0IP 5H R ER 2BB 8K 
 Garrett Richards ^0, 20.75,"$5,800",LAA,v hou, 0-2,  7.0IP 4H 2R BB 4K Loss 
 Brandon Woodruff ^9, 20.25,"$4,700",MIL,@ ari, 8-2,  5.0IP H 2R 2ER 4BB 6K Win 
 Matt Andriese , 14.95,"$5,100",TAM,@ kan, 5-3,  3.0IP 3H 3K Win 
 Artie Lewicki , 14.60,"$4,000",DET,v cle, 0-6,  4.0IP 3H BB 4K 
 Andrew Cashner ^0, 13.95,"$5,000",BAL,v phi, 1-4,  5.2IP 5H 3R 3ER 3BB 6K Loss 
 Jameson Taillon ^9, 13.35,"$7,600",PIT,v chw, 3-2,  5.2IP 5H 2R 2ER 3BB 5K HB 
 Drew Steckenrider , 11.95,"$4,000",MIA,v lad, 6-5,  1.2IP 3H R ER 4K BS Win 
 Jared Hughes , 11.30,"$4,000",CIN,@ sfo, 6-3,  2.0IP 2H 2K Win 
 Gio Gonzalez ^9, 11.25,"$8,700",WAS,v nyy, 3-3(T6),  5.0IP 6H 3R 2ER 4BB 5K 
 Walker Buehler ^9, 11.25,"$8,500",LAD,@ mia, 5-6,  5.0IP 7H 5R 4ER 2BB 7K HB 
 Elieser Hernandez ^9, 10.85,"$4,000",MIA,v lad, 6-5,  5.0IP 3H R ER BB 2K 
