Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Sean Newcomb ^9, 36.30,"$7,500",ATL,v lad, 4-1,  8.2IP H R ER BB 8K Win 
 Luis Castillo ^9, 34.75,"$6,400",CIN,v phi, 4-0,  7.0IP 4H BB 9K Win 
 German Marquez ^9, 29.65,"$5,700",COL,v oak, 3-2,  7.2IP 5H 2R 2ER BB 8K Win 
 Kyle Hendricks ^8, 29.35,N/A,CHC,@ stl, 5-2,  7.0IP 4H 2R 2ER 8K Win 
 Zack Wheeler ^9, 27.90,"$8,000",NYM,@ pit, 1-0,  6.0IP 5H BB 7K Win 
 Nathan Eovaldi ^0, 27.35,"$8,300",BOS,v min, 3-0,  7.0IP 4H 5K Win 
 Mike Minor ^0, 26.50,"$4,600",TEX,@ hou, 4-3,  6.0IP 4H 2R 2ER BB 8K Win 
 Corey Kluber ^0, 24.90,"$12,000",CLE,@ det, 8-1,  7.1IP 5H R ER BB 5K Win 
 Dylan Bundy ^0, 24.75,"$6,700",BAL,v tam, 11-5,  7.0IP 4H 3R 3ER 7K HB Win 
 Lance McCullers ^0, 24.40,"$10,200",HOU,v tex, 3-4,  5.1IP 6H 4R 3ER 11K Loss 
 Jose Urena ^9, 23.90,"$4,900",MIA,v was, 5-0,  6.0IP H 4BB 5K HB Win 
 Marco Gonzales ^0, 22.10,"$9,900",SEA,@ laa, 8-5,  6.0IP 7H 2R 2ER 2BB 7K Win 
 Carlos Rodon ^0, 21.05,"$9,600",CHW,v tor, 4-7,  7.2IP 5H 2R 2ER BB 6K HB 
 Clay Buchholz ^9, 19.35,"$7,100",ARI,@ sdg, 5-4,  5.2IP 6H 3R 3ER 3BB 7K Win 
 James Happ ^0, 16.50,"$9,200",NYY,v kan, 6-3,  6.0IP 3H R ER BB 2K HB Win 
 Ryan Borucki ^0, 15.30,"$5,500",TOR,@ chw, 7-4,  6.0IP 6H 2R 2ER BB 5K 
 Adalberto Mejia , 14.15,"$5,600",MIN,@ bos, 0-3,  3.0IP H 4K 
