Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Patrick Corbin ^9, 43.30,"$7,300",ARI,v lad, 3-0,  7.1IP H BB 12K Win 
 Carlos Martinez ^9, 38.55,"$10,200",STL,@ mil, 6-0,  8.1IP 4H 2BB 10K HB Win 
 Jon Gray ^9, 30.75,"$8,500",COL,@ sdg, 5-2,  7.0IP 4H 7K HB Win 
 Luis Severino ^0, 26.90,"$11,300",NYY,v tam, 7-2,  7.1IP 5H 2R 2ER BB 7K E Win 
 Mike Foltynewicz ^9, 25.80,N/A,ATL,v was, 7-1,  5.1IP 4H R ER 2BB 8K HB Win 
 Sean Manaea ^0, 25.00,"$8,200",OAK,v tex, 6-2,  8.0IP 3H R ER BB 4K HB Win 
 Dylan Bundy ^0, 23.30,"$6,700",BAL,@ hou, 2-3,  6.0IP 5H 2R ER 2BB 8K 
 Corey Kluber ^0, 20.75,"$11,100",CLE,@ laa, 2-3(F13),  7.0IP 3H 2R 2ER 2BB 6K 
 Brad Peacock , 19.55,"$6,400",HOU,v bal, 3-2,  3.0IP 2H 5K Win 
 Max Scherzer ^9, 16.45,N/A,WAS,@ atl, 1-7,  5.0IP 6H 5R 2ER 2BB 7K Loss 
 Aaron Sanchez ^0, 16.10,"$7,800",TOR,v chw, 3-4,  6.0IP 5H 3R 3ER 2BB 7K 2HB 
 Noah Syndergaard ^8, 15.40,"$11,600",NYM,v phi, 4-2,  4.0IP 4H 2R 2ER 2BB 7K 
 Robert Gsellman , 14.50,"$5,500",NYM,v phi, 4-2,  2.0IP 3K Win 
 Alex Wood ^9, 13.90,"$9,600",LAD,@ ari, 0-3,  6.0IP 6H 3R 3ER 5K Loss 
 Tyler Glasnow , 12.35,N/A,PIT,v min, 3-7,  3.0IP 2H R ER 2BB 5K 
 Tyler Skaggs ^0, 12.30,"$7,100",LAA,v cle, 3-2(F13),  4.2IP 5H 2R 2ER 2BB 5K 
