Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Luis Severino ^0, 45.65,"$9,200",NYY,@ hou, 4-0,  9.0IP 5H BB 10K Win     CG 
 James Paxton ^0, 44.15,"$8,000",SEA,v oak, 2-3,  7.0IP 5H BB 16K 
 Sean Newcomb ^8, 33.95,"$7,600",ATL,@ nym, 7-0,  7.0IP 2H BB 8K Win 
 Stephen Strasburg ^8, 32.95,"$10,800",WAS,v pit, 9-3,  7.0IP 7H 3R 2ER BB 11K Win 
 Aaron Nola ^9, 31.50,"$9,900",PHI,@ mia, 6-0,  7.1IP 4H BB 7K Win 
 Tyler Anderson ^9, 31.35,"$6,900",COL,@ chc, 11-2,  7.0IP 3H 2R 2ER BB 9K Win 
 Carlos Martinez ^9, 24.30,"$11,200",STL,v chw, 3-2,  7.1IP 5H R ER 2BB 5K Win 
 Corey Kluber ^0, 22.15,"$13,200",CLE,v tex, 12-4,  7.0IP 6H 3R 3ER 6K Win 
 Fernando Romero ^0, 21.95,"$4,700",MIN,v tor, 4-0,  5.2IP 4H 3BB 5K HB Win 
 Jose Urena ^9, 20.35,"$4,100",MIA,v phi, 0-6,  7.0IP 7H 2R ER BB 6K HB E Loss 
 Wade Miley ^9, 19.90,"$4,900",MIL,@ cin, 3-1,  6.0IP 3H R ER 3BB 4K Win 
Jacob deGrom^9, 19.80,"$11,500",NYM,v atl, 0-7,  4.0IP 2H 6K 
 Lucas Giolito ^9, 18.05,"$4,300",CHW,@ stl, 2-3,  6.1IP 4H 3R 3ER 2BB 7K HB Loss 
 Marcus Stroman ^0, 17.55,"$6,500",TOR,@ min, 0-4,  7.0IP 6H 2R 2ER BB 5K Loss 
 Luis Castillo ^8, 17.50,"$5,300",CIN,v mil, 1-3,  6.0IP 9H 2R 2ER BB 7K Loss 
 Zack Godley ^9, 16.70,"$7,600",ARI,v lad, 1-2,  6.0IP 5H R ER 3BB 5K Loss 
 Dallas Keuchel ^0, 16.15,"$7,000",HOU,v nyy, 0-4,  7.0IP 6H 3R 3ER 5K Loss 
 Andrew Heaney ^0, 15.90,"$6,000",LAA,v bal, 10-7,  6.0IP 5H R ER BB 2K Win 
 Blake Snell ^0, 15.40,"$9,800",TAM,@ det, 2-3(F12),  6.2IP 5H 2R 2ER BB 4K 
 Brett Anderson ^0, 14.65,"$4,200",OAK,@ sea, 3-2,  6.1IP 5H 2R 2ER BB 4K 
 Daniel Hudson , 14.50,"$4,000",LAD,@ ari, 2-1,  2.0IP 3K Win 
 Derek Holland ^9, 14.25,"$6,300",SFO,v sdg, 9-4,  5.0IP 4H 3R 3ER BB 4K E Win 
 Michael Fulmer ^0, 14.10,"$7,200",DET,v tam, 3-2(F12),  6.0IP 6H 2R 2ER 2BB 5K HB 
 Pedro Baez , 12.20,"$4,000",LAD,@ ari, 2-1,  2.2IP 2H BB 4K 
 Drew Pomeranz ^0, 11.50,"$7,800",BOS,v kan, 5-4,  6.0IP 8H 3R 3ER 2BB 3K Win 
 Blake Treinen , 10.90,"$4,000",OAK,@ sea, 3-2,  2.0IP 4H 2BB 3K Win 
 Danny Duffy ^0, 10.40,"$5,300",KAN,@ bos, 4-5,  6.2IP 10H 5R 5ER BB 6K Loss 
 Warwick Saupold , 10.25,"$4,000",DET,v tam, 3-2(F12),  1.0IP 2K Win 
 Yu Darvish ^9,  9.75,"$8,400",CHC,v col, 2-11,  4.1IP 7H 6R 5ER 3BB 8K Loss 
 Steven Brault ,  9.30,"$4,200",PIT,@ was, 3-9,  2.0IP H BB 3K 
 Craig Kimbrel ,  8.25,"$4,000",BOS,v kan, 5-4,  1.0IP 3K Save 
 Noe Ramirez ,  8.25,"$4,000",LAA,v bal, 10-7,  1.0IP 3K 
 Buck Farmer ,  7.90,"$4,200",DET,v tam, 3-2(F12),  2.0IP BB 2K 
 Bud Norris ,  7.00,"$4,000",STL,v chw, 3-2,  1.1IP 2K Save 
 Amir Garrett ,  6.25,"$5,600",CIN,v mil, 1-3,  1.0IP 2K 
 A.J. Ramos ,  6.25,"$4,000",NYM,v atl, 0-7,  1.0IP 2K 
 Hyun-Jin Ryu ^9,  5.80,"$8,900",LAD,@ ari, 2-1,  1.1IP H BB 2K 
 Zach Duke ,  5.65,"$4,000",MIN,v tor, 4-0,  1.0IP H 2K Hold     
 Will Smith ,  5.65,"$4,000",SFO,v sdg, 9-4,  1.0IP BB 2K 
 Alex Wilson ,  5.65,"$4,000",DET,v tam, 3-2(F12),  1.0IP BB 2K 
 Cory Gearrin ,  5.65,"$4,000",SFO,v sdg, 9-4,  1.0IP BB 2K 
 Joe Kelly ,  5.65,"$4,000",BOS,v kan, 5-4,  1.0IP H 2K Hold     
 Tony Cingrani ,  5.65,"$4,000",LAD,@ ari, 2-1,  1.0IP H 2K Hold     
 Jesse Chavez ,  5.30,"$4,400",TEX,@ cle, 4-12,  2.0IP 2H 2R 2ER 3K 
 Pedro Araujo ,  5.30,"$4,000",BAL,@ laa, 7-10,  2.0IP H R ER BB 2K 
 Nick Gardewine ,  4.70,N/A,TEX,@ cle, 4-12,  2.0IP 2H K HB 
 Collin McHugh ,  4.40,"$7,000",HOU,v nyy, 0-4,  1.1IP H K 
 Fernando Rodney ,  4.25,"$4,000",MIN,v tor, 4-0,  1.0IP K 
 Silvino Bracho ,  4.25,"$4,000",ARI,v lad, 1-2,  1.0IP K 
 Andrew Kittredge ,  4.25,"$4,000",TAM,@ det, 2-3(F12),  1.0IP K 
 Jake McGee ,  4.25,"$4,000",COL,@ chc, 11-2,  1.0IP K 
 Sam Freeman ,  4.25,"$4,000",ATL,@ nym, 7-0,  1.0IP K 
 Kyle Crick ,  3.80,"$4,000",PIT,@ was, 3-9,  1.1IP 2H R ER 2K 
 Jordan Lyles ,  3.75,"$4,000",SDG,@ sfo, 4-9,  1.2IP 
 Peter Moylan ,  3.65,"$4,000",ATL,@ nym, 7-0,  1.0IP H K 
 Carlos Torres ,  3.65,"$4,000",WAS,v pit, 9-3,  1.0IP H K 
 Phil Maton ,  3.65,"$4,000",SDG,@ sfo, 4-9,  1.0IP H K 
 Addison Reed ,  3.65,"$4,000",MIN,v tor, 4-0,  1.0IP H K Hold     
 Ben Taylor ,  3.65,N/A,CLE,v tex, 12-4,  1.0IP BB K 
 Ryan Dull ,  3.50,"$4,000",OAK,@ sea, 3-2,  0.2IP K 
 Wandy Peralta ,  3.50,"$4,000",CIN,v mil, 1-3,  0.2IP K 
 Jeremy Jeffress ,  3.30,"$4,000",MIL,@ cin, 3-1,  2.0IP H BB Save 
 Matt Andriese ,  3.05,"$5,100",TAM,@ det, 2-3(F12),  1.0IP 2H R ER 2K Loss 
 Pierce Johnson ,  3.05,"$4,000",SFO,v sdg, 9-4,  1.0IP 2H K 
 Matt Barnes ,  3.05,"$4,000",BOS,v kan, 5-4,  1.0IP H R ER 2K HB Hold     
 Sergio Romo ,  3.05,"$4,000",TAM,@ det, 2-3(F12),  1.0IP 2H K 
 Brad Keller ,  3.00,"$4,000",KAN,@ bos, 4-5,  1.1IP 
 Dylan Bundy ^0,  2.95,"$7,800",BAL,@ laa, 7-10,  4.1IP 7H 7R 5ER BB 4K Loss 
 Jim Johnson ,  2.90,"$4,000",LAA,v bal, 10-7,  0.2IP H K 
 Brian Duensing ,  2.90,"$4,000",CHC,v col, 2-11,  0.2IP BB K 
 Mike Montgomery ,  2.85,"$4,000",CHC,v col, 2-11,  2.1IP 3H 2R 2ER BB 2K 
 Ivan Nova ^9,  2.70,"$7,300",PIT,@ was, 3-9,  4.2IP 11H 8R 5ER 2BB 5K Loss 
 Carlos Ramirez ,  2.15,"$4,000",TOR,@ min, 0-4,  0.1IP BB K 
 Paul Sewald ,  1.75,"$4,000",NYM,v atl, 0-7,  3.0IP 5H 3R 3ER 2K Loss 
 Jorge de la Rosa ,  1.65,"$4,000",ARI,v lad, 1-2,  1.0IP HB 
 Chris Beck ,  1.65,"$4,000",CHW,@ stl, 2-3,  1.0IP BB 
 Dan Jennings ,  1.65,"$4,000",MIL,@ cin, 3-1,  1.0IP BB Hold     
 Shane Greene ,  1.65,"$4,000",DET,v tam, 3-2(F12),  1.0IP H 
 Hector Neris ,  1.65,"$4,000",PHI,@ mia, 6-0,  1.0IP H 
 Joe Jimenez ,  1.50,"$4,000",DET,v tam, 3-2(F12),  0.2IP 
 Aaron Bummer ,  1.50,"$4,000",CHW,@ stl, 2-3,  0.2IP 
 Jose Alvarado ,  1.50,"$4,000",TAM,@ det, 2-3(F12),  0.2IP 
 Chaz Roe ,  1.50,"$4,000",TAM,@ det, 2-3(F12),  0.2IP 
 Mike Wright ,  1.35,"$4,000",BAL,@ laa, 7-10,  1.2IP H 2R 2ER 3BB 2K 
 Clayton Richard ^9,  1.20,"$5,700",SDG,@ sfo, 4-9,  4.0IP 8H 7R 6ER 4BB 6K HB Loss 
 Harrison Musgrave ,  1.05,"$4,000",COL,@ chc, 11-2,  1.0IP H BB 
 Trevor Gott ,  1.05,"$4,000",WAS,v pit, 9-3,  1.0IP H BB 
 Josh Fields ,  1.05,"$4,000",LAD,@ ari, 2-1,  1.0IP H BB Hold     
 Luis Garcia ,  0.75,"$4,000",PHI,@ mia, 6-0,  0.1IP 
 Adam Morgan ,  0.75,"$4,000",PHI,@ mia, 6-0,  0.1IP 
 Sam Dyson ,  0.75,"$4,000",SFO,v sdg, 9-4,  0.1IP 
 Raisel Iglesias ,  0.75,"$4,000",CIN,v mil, 1-3,  0.1IP 
 Trevor Hildenberger ,  0.75,"$4,000",MIN,v tor, 4-0,  0.1IP Hold     
 Jared Hughes ,  0.45,"$4,000",CIN,v mil, 1-3,  1.0IP 3H R ER K 
 Daniel Stumpf ,  0.15,"$4,000",DET,v tam, 3-2(F12),  0.1IP H 
 Ty Blach ,  0.00,"$5,900",SFO,v sdg, 9-4,  1.0IP BB 
 Hector Rondon , -0.30,"$4,000",HOU,v nyy, 0-4,  0.2IP 2H R ER BB K 
 Edwin Diaz , -0.35,"$4,000",SEA,v oak, 2-3,  1.0IP H R ER Loss 
 T.J. McFarland , -0.35,"$4,000",ARI,v lad, 1-2,  1.0IP H R ER 
 Kenley Jansen , -0.95,"$4,000",LAD,@ ari, 2-1,  1.0IP H R ER BB Save 
 Dan Otero , -0.95,"$4,000",CLE,v tex, 12-4,  1.0IP 2H R ER 
 Akeel Morris , -0.95,"$4,000",LAA,v bal, 10-7,  1.0IP R ER 2BB 
 Junichi Tazawa , -0.95,"$4,000",MIA,v phi, 0-6,  1.0IP 2H 2R 2ER K 
 Luke Farrell , -1.25,"$4,000",CHC,v col, 2-11,  1.2IP 5H 3R ER 
 Robbie Erlin , -2.00,"$4,000",SDG,@ sfo, 4-9,  1.1IP 5H 2R 2ER K 
 D.J. Snelten , -2.30,"$4,000",SFO,v sdg, 9-4,  0.2IP 2H R ER BB 
 Dominic Leone , -2.45,"$4,000",STL,v chw, 3-2,  0.1IP H R ER BB Hold     
 Aaron Loup , -2.90,"$4,000",TOR,@ min, 0-4,  0.2IP 3H 2R 2ER BB K 
 Juan Nicasio , -2.95,"$4,000",SEA,v oak, 2-3,  1.0IP 2H 2R 2ER BS 
 Dillon Peters , -3.55,"$5,000",MIA,v phi, 0-6,  1.0IP 3H 2R 2ER 
 Robert Gsellman , -8.15,"$4,400",NYM,v atl, 0-7,  1.0IP 4H 4R 4ER 
 Eduardo Paredes ,-12.25,N/A,LAA,v bal, 10-7,  0.1IP 4H 5R 5ER BB 
