Pitchers ,Points,Salary,Team, Opp. ,Score, Stats Summary
 Seth Lugo ^8, 32.30,N/A,NYM,v nyy, 2-0,  6.0IP 2H 8K Win 
 Corey Kluber ^0, 31.00,"$13,600",CLE,@ det, 9-2,  8.0IP 5H 2R 2ER 8K Win 
 James Paxton ^0, 30.75,"$12,500",SEA,@ tam, 5-4,  7.0IP 5H 3R 3ER 10K Win 
 Marco Estrada ^0, 28.50,"$5,400",TOR,v bal, 13-3,  6.0IP 4H 2R 2ER BB 9K Win 
 Zach Eflin ^9, 27.90,"$6,900",PHI,v mil, 4-3,  6.0IP 3H 2R 2ER BB 9K 2HB Win 
 Ivan Nova ^9, 27.15,"$4,400",PIT,@ chc, 7-1,  5.2IP 4H R ER 2BB 8K Win 
 Max Scherzer ^9, 25.55,"$14,400",WAS,v sfo, 0-2,  7.0IP 4H 2R 2ER 3BB 9K Loss 
 Ross Stripling ^9, 24.60,"$9,200",LAD,v atl, 7-2,  6.2IP 4H 2R 2ER 6K Win 
 Clayton Richard ^9, 24.15,"$7,300",SDG,@ mia, 3-1,  7.0IP 2H R ER 3BB 5K HB Win 
 Zack Godley ^9, 23.95,"$6,500",ARI,@ col, 8-3,  5.2IP 5H 2R 2ER 2BB 8K HB Win 
 Reynaldo Lopez ^0, 22.25,"$5,600",CHW,@ bos, 5-2,  6.1IP 6H 2R ER 3BB 6K HB Win 
 Sean Manaea ^0, 20.90,"$6,300",OAK,v kan, 3-2,  7.1IP 6H 2R 2ER 6K 
 Derek Holland ^9, 20.25,"$4,800",SFO,@ was, 2-0,  5.0IP 3H 2BB 4K Win 
 Luis Severino ^8, 17.05,N/A,NYY,@ nym, 0-2,  5.0IP 5H 2R 2ER 2BB 7K Loss 
 Kyle Freeland ^9, 16.70,"$7,100",COL,v ari, 3-8,  6.0IP 4H 4R 4ER 4BB 8K Loss 
 Anthony DeSclafani ^8, 16.05,"$6,200",CIN,v stl, 6-3,  5.0IP 10H 3R 2ER 2BB 6K Win 
 Fernando Romero ^0, 15.85,"$5,900",MIN,v laa, 7-5,  5.0IP 5H 3R 2ER 2BB 5K 2HB Win 
 Kyle Hendricks ^9, 14.25,"$7,900",CHC,v pit, 1-7,  5.0IP 3H R ER 2BB 4K Loss 
 Rick Porcello ^0, 14.10,"$9,700",BOS,v chw, 2-5,  6.0IP 5H 3R 2ER 3BB 5K HB Loss 
 Jose Urena ^9, 13.90,"$6,300",MIA,v sdg, 1-3,  6.0IP 6H 3R 3ER 5K Loss 
 Brandon Woodruff ^9, 13.20,"$6,000",MIL,@ phi, 3-4,  4.0IP H R 2BB 3K E 
 Brad Keller ^0, 10.00,"$4,200",KAN,@ oak, 2-3,  5.1IP 5H 2R 2ER 4BB 4K HB 
 Jared Hughes ,  9.90,"$4,000",CIN,v stl, 6-3,  2.0IP BB 3K Save 
 Tayron Guerrero ,  9.90,"$4,000",MIA,v sdg, 1-3,  2.0IP H 3K 
 Jesse Chavez ,  9.80,"$4,400",TEX,v hou, 7-8,  4.0IP 2H R ER 2K 
 Artie Lewicki ^0,  9.05,"$4,400",DET,v cle, 2-9,  5.0IP 6H 3R 3ER BB 4K Loss 
 Nathan Eovaldi ^0,  8.85,"$7,600",TAM,v sea, 4-5,  5.0IP 4H 3R 3ER 3K 
