Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Rich Hill,$8.6K,L,LAD,SP,@ SDP,,,,,600,-2,8.0,-160,4.45,-0.02,2,0.000,,0.000,5.40,7,0.380,,0.167,3.60,1,2.95,3.54,0.00,0.296,4.00,0.00,0.00,20.79,2.42,2,0.190,,0.000,4.00,7,0.315,,0.188,8.00,2,1.96,2.58,0.20,0.287,7.10,0.00,0.00,2,0.197,,0.000,3.20,7,0.316,,0.201,7.30,4,2.46,3.47,0.13,0.290,6.40,0.00,0.00,2,0.325,,0.122,2.30,7,0.289,,0.180,9.50,34,2.81,3.89,0.21,0.297,7.90,0.00,0.00
Garrett Richards,$8.4K,R,LAA,SP,SEA,,,,,-100,3,8.5,-157,4.71,0.08,4,0.366,,0.375,5.30,5,0.301,,0.255,8.80,1,1.58,1.81,0.67,0.330,7.30,0.00,0.00,18.72,2.23,4,0.366,,0.375,5.30,5,0.301,,0.255,8.80,1,1.58,1.81,0.67,0.330,7.30,0.00,0.00,4,0.360,,0.230,6.30,5,0.338,,0.233,6.30,2,1.91,2.57,0.33,0.348,6.30,0.00,0.00,4,0.274,,0.150,5.90,5,0.281,,0.123,5.40,19,3.37,3.52,0.28,0.278,5.60,0.00,0.00
Pablo Lopez,$5.7K,R,MIA,SP,MIL,,,,,200,-2,8.0,142,3.54,-0.15,4,0.438,,0.125,0.00,5,0.266,,0.273,5.40,1,5.11,4.94,0.33,0.342,3.00,0.00,0.00,12.39,2.17,4,0.263,,0.056,3.30,5,0.418,,0.428,3.30,2,4.22,4.17,0.38,0.349,3.30,0.00,0.00,4,0.263,,0.056,3.30,5,0.418,,0.428,3.30,2,4.22,4.17,0.38,0.349,3.30,0.00,0.00,4,0.263,,0.056,3.30,5,0.418,,0.428,3.30,2,4.22,4.17,0.38,0.349,3.30,0.00,0.00
Julio Teheran,$7.4K,R,ATL,SP,TOR,,,,,-200,3,8.5,-129,4.47,-0.23,3,0.443,,0.111,3.60,6,0.372,,0.545,14.40,1,2.26,2.98,0.50,0.396,10.80,0.00,0.00,16.02,2.16,3,0.381,,0.066,2.50,6,0.214,,0.280,9.00,2,3.17,3.71,0.25,0.270,6.80,0.00,0.00,3,0.336,,0.064,3.80,6,0.237,,0.240,9.30,4,2.75,3.33,0.21,0.270,7.50,0.00,0.00,3,0.342,,0.203,3.90,6,0.311,,0.191,4.40,46,4.10,4.89,0.22,0.321,4.20,0.00,0.00
Yovani Gallardo,$4.7K,R,TEX,SP,@ BOS,,,,,-900,4,11.5,173,4.75,0.36,6,0.468,,0.300,3.50,3,0.323,,0.000,0.00,1,6.16,3.92,0.50,0.420,2.40,0.00,0.00,9.8,2.09,6,0.284,,0.154,4.40,3,0.283,,0.111,2.20,2,4.28,3.33,0.17,0.284,3.70,0.00,0.00,6,0.320,,0.215,3.60,3,0.340,,0.155,2.80,4,4.22,4.37,0.29,0.327,3.40,0.00,0.00,6,0.348,,0.198,3.40,3,0.365,,0.216,3.20,35,4.58,5.17,0.29,0.354,3.40,0.00,0.00
Justin Verlander,$13.3K,R,HOU,SP,OAK,,,,,1500, ,7.5,-210,4.48,-0.3,3,0.389,,0.307,9.00,6,0.000,,0.000,3.90,1,0.22,2.85,0.20,0.130,5.60,0.00,0.00,27.65,2.08,3,0.413,,0.211,6.80,6,0.202,,0.036,6.80,2,1.17,2.74,0.14,0.272,6.80,0.00,0.00,3,0.357,,0.294,5.20,6,0.278,,0.147,6.60,5,1.94,3.66,0.25,0.304,6.10,0.00,0.00,3,0.293,,0.177,6.00,6,0.249,,0.114,5.70,49,2.75,3.84,0.15,0.264,5.80,0.00,0.00
Jose Quintana,$8.3K,L,CHC,SP,@ SFG,,,,,1100,-3,8.0,-140,4.3,0.49,3,0.000,,0.000,0.00,6,0.398,,0.362,6.00,1,4.72,6.02,0.40,0.265,4.00,0.00,0.00,17.29,2.08,3,0.427,,0.500,1.60,6,0.395,,0.252,4.90,2,4.88,6.05,0.30,0.406,3.80,0.00,0.00,3,0.378,,0.266,1.70,6,0.371,,0.187,4.30,4,4.90,5.51,0.25,0.373,3.40,0.00,0.00,3,0.259,,0.120,2.40,6,0.325,,0.181,7.80,47,3.46,3.91,0.21,0.303,6.00,0.00,0.00
Sal Romano,$4.9K,R,CIN,SP,@ CLE,,,,,-1000,6,9.0,188,3.6,0.17,7,0.594,,0.778,7.20,2,0.220,,0.000,3.60,1,2.54,2.54,1.00,0.511,6.40,0.00,0.00,9.84,2.01,7,0.471,,0.438,5.40,2,0.330,,0.115,4.50,2,3.27,3.66,0.60,0.440,5.20,0.00,0.00,7,0.334,,0.229,5.30,2,0.293,,0.106,4.90,4,3.93,3.82,0.36,0.325,5.20,0.00,0.00,7,0.360,,0.197,3.90,2,0.328,,0.191,4.10,32,4.34,4.59,0.23,0.353,3.90,0.00,0.00
Enyel De Los Santos,$7.5K,R,PHI,SP,@ NYM,,,,,2000,-13,9.0,-114,4.58,0.19,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.67,1.96,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
Mike Leake,$5.9K,R,SEA,SP,@ LAA,,,,,-2300,16,8.5,140,3.79,-0.08,3,0.648,,0.262,0.00,6,0.367,,0.221,9.00,1,3.61,4.13,0.00,0.461,6.00,0.00,0.00,11.4,1.93,3,0.441,,0.272,0.80,6,0.310,,0.209,7.40,2,3.31,3.99,0.20,0.354,5.20,0.00,0.00,3,0.313,,0.125,1.70,6,0.262,,0.141,4.10,5,4.48,4.22,0.18,0.279,3.30,0.00,0.00,3,0.326,,0.151,2.40,6,0.313,,0.169,3.80,49,4.35,4.11,0.20,0.317,3.30,0.00,0.00
