Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Mike Minor,$4.4K,L,TEX,SP,KCR,,,,,-2400,10,9.5,-140,5.11,-0.31,2,0.000,,0.000,0.00,7,0.303,,0.143,16.20,1,0.99,0.00,0.50,0.000,0.00,0.00,0.00,15.11,3.43,2,0.246,,0.200,0.00,7,0.443,,0.236,15.60,2,2.00,0.00,0.29,0.399,12.10,0.00,0.00,2,0.192,,0.091,0.70,7,0.414,,0.278,8.00,5,3.42,0.00,0.27,0.365,6.30,0.00,0.00,2,0.196,,0.058,3.50,7,0.329,,0.210,7.10,70,2.92,0.00,0.14,0.299,6.30,0.00,0.00
Joe Musgrove,$4.0K,R,PIT,SP,STL,,,,,-1500, ,9.0,-131,4.75,0.38,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.23,3.06,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,3,0.326,,0.189,4.90,6,0.345,,0.201,3.60,37,3.62,0.00,0.24,0.339,4.10,0.00,0.00
John Gant,$4.5K,R,STL,SP,@ PIT,,,,,-1400,2,9.0,116,4.25,0.12,5,0.402,,0.300,8.80,4,0.174,,0.000,6.60,1,2.60,0.00,1.00,0.301,7.80,0.00,0.00,12.07,2.68,5,0.307,,0.143,11.10,4,0.218,,0.071,3.70,2,2.88,0.00,0.25,0.267,7.80,0.00,0.00,5,0.369,,0.167,8.00,4,0.152,,0.050,4.30,3,3.08,0.00,0.09,0.273,6.40,0.00,0.00,5,0.373,,0.227,5.20,4,0.247,,0.130,4.20,10,4.25,0.00,0.23,0.317,4.80,0.00,0.00
David Hess,$4.6K,R,BAL,SP,@ TBR,,,,,-1000,-2,8.5,144,3.76,-0.14,3,0.463,,0.417,4.30,6,0.607,,0.736,4.30,1,4.16,0.00,0.43,0.559,4.30,0.00,0.00,11.64,2.53,3,0.397,,0.217,3.50,6,0.388,,0.446,2.60,2,4.08,0.00,0.29,0.391,2.90,0.00,0.00,3,0.397,,0.217,3.50,6,0.388,,0.446,2.60,2,4.08,0.00,0.29,0.391,2.90,0.00,0.00,3,0.397,,0.217,3.50,6,0.388,,0.446,2.60,2,4.08,0.00,0.29,0.391,2.90,0.00,0.00
Corey Kluber,$10.8K,R,CLE,SP,HOU,,,,,-200,2,7.5,-140,4.03,0.22,2,0.097,,0.000,3.90,7,0.365,,0.235,9.00,1,1.48,0.00,0.33,0.305,7.90,0.00,0.00,26.94,2.49,2,0.209,,0.000,3.20,7,0.298,,0.147,5.80,2,2.83,0.00,0.14,0.278,5.20,0.00,0.00,2,0.299,,0.231,4.30,7,0.244,,0.118,4.30,5,3.10,0.00,0.41,0.256,4.30,0.00,0.00,2,0.257,,0.144,5.40,7,0.238,,0.141,6.60,37,2.20,0.00,0.27,0.242,6.30,0.00,0.00
Sam Gaviglio,$5.0K,R,TOR,SP,@ PHI,,,,,-1000,-2,9.0,-111,4.57,0.31,5,0.196,,0.000,0.00,4,0.340,,0.134,10.60,1,3.03,0.00,0.00,0.260,4.70,0.00,0.00,11.65,2.33,6,0.292,,0.000,14.10,3,0.120,,0.000,14.10,1,1.74,0.00,0.00,0.235,14.10,0.00,0.00,6,0.274,,0.027,8.30,3,0.274,,0.152,7.70,4,2.51,0.00,0.18,0.274,8.10,0.00,0.00,6,0.244,,0.077,4.70,3,0.318,,0.181,6.70,59,3.12,0.00,0.23,0.269,5.40,0.00,0.00
Noah Syndergaard,$10.5K,R,NYM,SP,@ MIL,,,,,-100,2,8.0,-120,4.13,0.24,3,0.251,,0.000,7.70,6,0.204,,0.000,1.30,1,3.27,0.00,0.00,0.220,3.40,0.00,0.00,24.03,2.29,5,0.251,,0.000,2.90,4,0.233,,0.084,14.50,2,2.44,0.00,0.00,0.243,8.10,0.00,0.00,5,0.251,,0.000,2.90,4,0.233,,0.084,14.50,2,2.44,0.00,0.00,0.243,8.10,0.00,0.00,5,0.341,,0.221,2.60,4,0.339,,0.213,4.20,17,4.42,0.00,0.31,0.340,3.30,0.00,0.00
Sean Manaea,$8.6K,L,OAK,SP,ARI,,,,,300,-1,7.5,-135,4,0.3,3,0.361,,0.000,0.00,6,0.376,,0.278,3.60,1,6.11,0.00,0.25,0.371,2.40,0.00,0.00,19.6,2.28,3,0.302,,0.120,13.50,6,0.327,,0.235,4.50,1,3.20,0.00,0.20,0.319,7.50,0.00,0.00,3,0.307,,0.228,5.50,6,0.262,,0.157,3.00,3,3.86,0.00,0.25,0.277,3.80,0.00,0.00,3,0.316,,0.183,4.60,6,0.275,,0.131,4.50,31,3.77,0.00,0.26,0.289,4.50,0.00,0.00
Eduardo Rodriguez,$7.8K,L,BOS,SP,ATL,,,,,400,-2,10.5,-188,6.11,0.63,3,0.000,,0.000,0.00,6,0.292,,0.000,12.10,1,2.63,0.00,0.00,0.000,0.00,0.00,0.00,16.98,2.18,3,0.263,,0.000,9.00,6,0.271,,0.052,1.50,2,3.18,0.00,0.00,0.268,4.00,0.00,0.00,3,0.357,,0.058,6.00,6,0.296,,0.121,2.20,4,4.02,0.00,0.07,0.316,3.50,0.00,0.00,3,0.266,,0.087,6.70,6,0.278,,0.098,4.70,15,2.84,0.00,0.08,0.274,5.40,0.00,0.00
Junior Guerra,$6.6K,R,MIL,SP,NYM,,,,,-1100,6,8.0,107,3.87,0.26,5,0.350,,0.222,4.40,4,0.195,,0.000,4.40,1,3.53,0.00,0.00,0.281,4.40,0.00,0.00,14.22,2.15,3,0.447,,0.428,0.80,6,0.339,,0.158,4.10,2,5.22,0.00,0.25,0.375,3.00,0.00,0.00,3,0.391,,0.182,0.90,6,0.292,,0.155,5.50,5,4.05,0.00,0.18,0.325,4.00,0.00,0.00,3,0.260,,0.093,1.70,6,0.319,,0.167,6.50,37,3.85,0.00,0.17,0.299,4.90,0.00,0.00
