Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Aaron Slegers,$4.6K,R,MIN,SP,BAL,,,,,-900,-1,10.0,-137,5.34,0.43,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.1,2.85,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,1,0.259,,0.218,4.70,8,0.364,,0.179,2.30,4,4.72,4.60,0.31,0.352,2.60,0.00,0.00
Yovani Gallardo,$4.6K,R,TEX,SP,@ DET,,,,,-1000, ,9.0,-105,4.42,-0.41,4,0.131,,0.008,5.10,5,0.248,,0.200,3.80,1,2.76,2.87,0.00,0.196,4.40,0.00,0.00,11.58,2.52,4,0.285,,0.248,4.40,5,0.285,,0.147,3.00,2,3.28,4.40,0.22,0.285,3.60,0.00,0.00,4,0.280,,0.188,3.70,5,0.345,,0.208,3.70,3,3.83,4.51,0.25,0.316,3.70,0.00,0.00,4,0.344,,0.194,3.40,5,0.367,,0.224,3.30,34,4.55,5.22,0.29,0.357,3.40,0.00,0.00
Eric Lauer,$5.0K,L,SDP,SP,@ ARI,,,,,-2700,10,8.5,140,3.79,-0.04,2,0.426,,0.200,1.80,7,0.405,,0.211,3.60,1,4.18,4.45,0.13,0.410,3.20,0.00,0.00,12.26,2.45,2,0.164,,0.077,1.60,7,0.421,,0.242,4.10,2,4.02,4.10,0.18,0.364,3.50,0.00,0.00,2,0.209,,0.044,1.00,7,0.344,,0.150,6.30,5,4.06,4.34,0.17,0.314,5.10,0.00,0.00,2,0.332,,0.132,1.10,7,0.384,,0.190,7.20,12,4.17,4.80,0.18,0.372,5.90,0.00,0.00
Andrew Cashner,$4.6K,R,BAL,SP,@ MIN,,,,,-1400,3,10.0,122,4.66,0.07,7,0.000,,0.000,4.50,2,0.313,,0.125,1.50,1,4.50,5.20,0.00,0.070,3.80,0.00,0.00,10.36,2.25,7,0.288,,0.188,3.00,2,0.246,,0.071,2.20,2,5.25,5.57,0.11,0.279,2.80,0.00,0.00,7,0.222,,0.121,2.90,2,0.372,,0.184,2.50,4,4.95,4.69,0.21,0.255,2.80,0.00,0.00,7,0.326,,0.164,3.20,2,0.327,,0.140,2.70,42,4.87,5.15,0.17,0.326,3.10,0.00,0.00
Max Fried,$5.7K,L,ATL,SP,@ MIL,,,,,-200,-2,8.5,-111,4.18,0.18,1,0.220,,0.000,2.90,8,0.224,,0.000,13.10,1,2.81,1.21,0.00,0.224,11.90,0.00,0.00,12.72,2.23,1,0.220,,0.000,2.90,8,0.224,,0.000,13.10,1,2.81,1.21,0.00,0.224,11.90,0.00,0.00,1,0.220,,0.000,2.90,8,0.224,,0.000,13.10,1,2.81,1.21,0.00,0.224,11.90,0.00,0.00,1,0.312,,0.167,5.80,8,0.351,,0.164,6.30,13,4.04,3.63,0.46,0.347,6.30,0.00,0.00
Shelby Miller,$6.5K,R,ARI,SP,SDP,,,,,100,3,8.5,-158,4.71,0.04,6,0.299,,0.231,7.20,3,0.644,,0.300,3.60,1,3.30,3.14,0.50,0.414,6.00,0.00,0.00,13.98,2.15,6,0.368,,0.316,6.60,3,0.501,,0.191,5.50,2,3.32,3.30,0.43,0.412,6.20,0.00,0.00,6,0.368,,0.316,6.60,3,0.501,,0.191,5.50,2,3.32,3.30,0.43,0.412,6.20,0.00,0.00,6,0.366,,0.210,4.00,3,0.311,,0.102,5.50,6,3.93,4.35,0.18,0.348,4.50,0.00,0.00
Luke Weaver,$7.3K,R,STL,SP,@ SFG,,,,,1100,-2,7.5,123,3.48,-0.05,5,0.547,,0.363,6.40,4,0.464,,0.445,4.30,1,3.60,5.35,0.40,0.510,5.50,0.00,0.00,15.41,2.11,5,0.424,,0.333,9.60,4,0.375,,0.250,3.80,2,2.79,4.29,0.27,0.402,7.00,0.00,0.00,5,0.430,,0.275,5.10,4,0.385,,0.163,4.00,5,4.30,4.97,0.29,0.410,4.70,0.00,0.00,5,0.332,,0.152,4.30,4,0.312,,0.147,5.70,28,3.53,3.87,0.22,0.323,5.00,0.00,0.00
Justin Verlander,$13.4K,R,HOU,SP,CHW,,,,,1200, ,7.5,-274,4.85,-0.25,5,0.449,,0.000,3.60,4,0.332,,0.059,10.80,1,2.29,2.58,0.00,0.397,6.80,0.00,0.00,27.54,2.06,5,0.489,,0.412,4.00,4,0.289,,0.061,7.20,2,2.95,3.92,0.22,0.400,5.40,0.00,0.00,5,0.361,,0.283,4.40,4,0.306,,0.167,7.40,5,2.35,3.91,0.24,0.337,5.80,0.00,0.00,5,0.291,,0.174,5.90,4,0.253,,0.115,5.70,48,2.79,3.86,0.15,0.274,5.80,0.00,0.00
Pablo Lopez,$5.3K,R,MIA,SP,@ WAS,,,,,-200,-3,9.0,165,3.79,-0.01,4,0.088,,0.000,6.00,5,0.546,,0.566,1.50,1,3.48,3.49,0.40,0.342,3.50,0.00,0.00,9.96,1.88,4,0.088,,0.000,6.00,5,0.546,,0.566,1.50,1,3.48,3.49,0.40,0.342,3.50,0.00,0.00,4,0.088,,0.000,6.00,5,0.546,,0.566,1.50,1,3.48,3.49,0.40,0.342,3.50,0.00,0.00,4,0.088,,0.000,6.00,5,0.546,,0.566,1.50,1,3.48,3.49,0.40,0.342,3.50,0.00,0.00
Marco Gonzales,$7.8K,L,SEA,SP,LAA,,,,,500,-1,9.0,-130,4.74,4.74,1,0.354,,0.000,2.00,8,0.185,,0.087,5.00,1,3.69,2.91,0.00,0.204,4.70,0.00,0.00,14.37,1.84,1,0.418,,0.235,2.40,8,0.196,,0.086,5.40,2,2.78,3.42,0.09,0.221,5.10,0.00,0.00,1,0.319,,0.125,2.40,8,0.307,,0.202,5.20,5,3.28,3.58,0.22,0.308,4.80,0.00,0.00,1,0.326,,0.130,1.50,8,0.339,,0.164,6.70,26,3.73,3.71,0.20,0.338,6.20,0.00,0.00
Jhoulys Chacin,$7.8K,R,MIL,SP,ATL,,,,,500,-1,8.5,-103,4.32,-0.18,6,0.245,,0.000,1.80,3,0.285,,0.000,7.20,1,4.63,4.03,0.00,0.258,3.60,0.00,0.00,13.64,1.75,6,0.455,,0.176,2.00,3,0.382,,0.200,7.90,2,4.84,4.99,0.14,0.431,4.00,0.00,0.00,6,0.328,,0.138,4.30,3,0.332,,0.136,4.30,5,4.12,4.64,0.09,0.329,4.30,0.00,0.00,6,0.341,,0.164,3.00,3,0.268,,0.109,4.80,48,4.18,4.69,0.15,0.317,3.60,0.00,0.00
Jaime Barria,$7.3K,R,LAA,SP,@ SEA,,,,,1300,-4,9.0,116,4.26,4.26,5,0.186,,0.273,7.10,4,0.438,,0.167,0.00,1,3.74,5.12,0.33,0.298,3.90,0.00,0.00,12.52,1.72,5,0.190,,0.167,4.50,4,0.462,,0.295,3.60,2,4.22,5.23,0.29,0.311,4.10,0.00,0.00,5,0.335,,0.185,4.70,4,0.455,,0.428,2.80,4,3.84,4.98,0.40,0.388,3.90,0.00,0.00,5,0.264,,0.130,4.40,4,0.368,,0.248,3.10,11,3.75,4.69,0.24,0.310,3.80,0.00,0.00
