Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Reynaldo Lopez,$5.9K,R,CHW,SP,DET,,,,,-800,3,8.5,-135,4.52,0.03,5,0.360,,0.111,7.40,4,0.208,,0.166,1.50,1,4.08,0.00,0.00,0.292,4.80,0.00,0.00,16.75,2.84,5,0.248,,0.086,10.30,4,0.235,,0.083,4.40,1,4.56,0.00,0.00,0.242,7.70,0.00,0.00,5,0.242,,0.055,4.60,4,0.278,,0.080,4.20,4,4.37,0.00,0.00,0.258,4.50,0.00,0.00,5,0.330,,0.192,2.80,4,0.275,,0.122,4.10,19,4.68,0.00,0.14,0.306,3.40,0.00,0.00
Brandon McCarthy,$5.9K,R,ATL,SP,SDP,,,,,-500,1,8.0,-139,4.29,-0.24,5,0.682,,0.958,2.10,4,0.176,,0.000,6.40,1,3.98,0.00,0.43,0.457,4.00,0.00,0.00,16.21,2.75,5,0.498,,0.480,1.80,4,0.165,,0.131,7.90,2,2.44,0.00,0.40,0.350,4.50,0.00,0.00,5,0.400,,0.270,3.50,4,0.204,,0.100,7.00,3,3.57,0.00,0.25,0.313,5.10,0.00,0.00,5,0.311,,0.142,3.90,4,0.332,,0.131,4.20,28,4.08,0.00,0.17,0.320,4.00,0.00,0.00
Jake Arrieta,$7.4K,R,PHI,SP,@ MIL,,,,,-800,3,8.5,118,4, ,3,0.267,,0.000,3.50,6,0.432,,0.386,3.50,1,5.15,0.00,0.33,0.377,3.50,0.00,0.00,17.99,2.43,3,0.323,,0.000,1.60,6,0.381,,0.291,4.90,2,4.47,0.00,0.33,0.362,3.80,0.00,0.00,3,0.306,,0.021,2.60,6,0.337,,0.158,4.30,5,4.50,0.00,0.17,0.327,3.70,0.00,0.00,3,0.340,,0.191,4.50,6,0.270,,0.128,4.90,40,3.75,0.00,0.19,0.293,4.80,0.00,0.00
Brent Suter,$6.5K,L,MIL,SP,PHI,,,,, ,-3,8.5,-133,4.5, ,3,0.000,,0.000,5.40,6,0.336,,0.200,3.60,1,3.04,0.00,0.20,0.224,4.20,0.00,0.00,14.9,2.29,3,0.137,,0.000,2.70,6,0.276,,0.156,7.20,2,2.91,0.00,0.17,0.230,5.70,0.00,0.00,3,0.349,,0.263,1.80,6,0.267,,0.177,8.50,5,2.76,0.00,0.28,0.294,6.30,0.00,0.00,3,0.257,,0.117,1.60,6,0.331,,0.177,6.50,34,3.76,0.00,0.24,0.306,4.90,0.00,0.00
Zack Godley,$8.1K,R,ARI,SP,NYM,,,,,900,-5,8.0,-129,4.2,0.04,4,0.442,,0.167,5.20,5,0.208,,0.013,8.70,1,1.77,0.00,0.00,0.312,7.10,0.00,0.00,18.12,2.24,4,0.538,,0.384,3.20,5,0.293,,0.140,8.70,2,3.13,0.00,0.40,0.402,6.30,0.00,0.00,4,0.424,,0.192,4.20,5,0.325,,0.182,6.20,5,4.13,0.00,0.27,0.369,5.30,0.00,0.00,4,0.304,,0.131,4.80,5,0.303,,0.164,5.50,37,3.61,0.00,0.24,0.303,5.10,0.00,0.00
Jon Lester,$8.3K,L,CHC,SP,@ STL,,,,,-300,1,8.5,-119,4.37,0.56,1,0.317,,0.400,2.60,8,0.072,,0.000,3.90,1,4.39,0.00,0.00,0.099,3.70,0.00,0.00,18.46,2.22,1,0.148,,0.117,3.20,8,0.146,,0.000,4.50,2,3.44,0.00,0.00,0.146,4.40,0.00,0.00,1,0.259,,0.186,2.50,8,0.220,,0.101,5.70,5,3.02,0.00,0.14,0.224,5.40,0.00,0.00,1,0.239,,0.116,2.80,8,0.325,,0.173,6.30,44,3.65,0.00,0.19,0.315,6.00,0.00,0.00
Matt Harvey,$4.8K,R,CIN,SP,@ PIT,,,,,-1000,2,9.0,122,4.2,0.1,4,0.347,,0.000,1.50,5,0.413,,0.530,6.00,1,4.68,0.00,0.43,0.384,4.00,0.00,0.00,10.66,2.22,4,0.339,,0.000,1.60,5,0.346,,0.357,4.90,2,4.44,0.00,0.33,0.343,3.50,0.00,0.00,4,0.422,,0.263,2.40,5,0.283,,0.213,4.50,4,4.35,0.00,0.30,0.345,3.60,0.00,0.00,4,0.418,,0.293,3.00,5,0.321,,0.169,3.90,31,4.60,0.00,0.26,0.364,3.50,0.00,0.00
Chris Bassitt,$5.8K,R,OAK,SP,LAA,,,,,-500,1,8.5,105,4.12,0.03,3,0.179,,0.100,2.60,6,0.163,,0.000,5.10,1,3.07,0.00,0.00,0.168,4.30,0.00,0.00,12.76,2.2,3,0.179,,0.100,2.60,6,0.163,,0.000,5.10,1,3.07,0.00,0.00,0.168,4.30,0.00,0.00,3,0.179,,0.100,2.60,6,0.163,,0.000,5.10,1,3.07,0.00,0.00,0.168,4.30,0.00,0.00,3,0.179,,0.100,2.60,6,0.163,,0.000,5.10,1,3.07,0.00,0.00,0.168,4.30,0.00,0.00
Clayton Richard,$6.2K,L,SDP,SP,@ ATL,,,,,-1700,8,8.0,123,3.71,-0.26,3,0.224,,0.000,1.30,6,0.149,,0.000,5.10,1,5.21,0.00,0.00,0.174,3.90,0.00,0.00,13.34,2.15,3,0.269,,0.063,1.30,6,0.211,,0.062,5.10,2,5.27,0.00,0.00,0.230,3.90,0.00,0.00,3,0.206,,0.032,1.10,6,0.267,,0.158,4.50,5,4.87,0.00,0.20,0.247,3.30,0.00,0.00,3,0.279,,0.064,2.70,6,0.365,,0.207,4.60,44,4.57,0.00,0.26,0.336,4.00,0.00,0.00
Jose Urena,$6.3K,R,MIA,SP,@ BAL,,,,,-500,1,8.5,133,3.85,-0.26,3,0.317,,0.272,3.00,6,0.273,,0.091,4.50,1,2.89,0.00,0.14,0.288,4.00,0.00,0.00,13.37,2.12,3,0.405,,0.222,1.60,6,0.332,,0.039,4.90,2,3.83,0.00,0.11,0.356,3.80,0.00,0.00,3,0.304,,0.122,2.50,6,0.324,,0.156,4.30,5,3.88,0.00,0.21,0.317,3.70,0.00,0.00,3,0.321,,0.178,2.60,6,0.309,,0.162,4.30,45,4.27,0.00,0.19,0.313,3.70,0.00,0.00
