Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Steven Matz,$6.1K,L,NYM,SP,PIT,,,,,-700,3,8.0,-107,4.07,-0.12,2,0.275,,0.000,1.70,7,0.496,,0.375,6.90,1,4.14,0.00,0.33,0.447,5.80,0.00,0.00,16.99,2.79,2,0.225,,0.001,1.60,7,0.390,,0.235,4.70,2,4.53,0.00,0.11,0.353,4.00,0.00,0.00,2,0.213,,0.000,1.60,7,0.353,,0.225,5.90,5,4.33,0.00,0.18,0.322,5.00,0.00,0.00,2,0.307,,0.070,1.30,7,0.357,,0.228,6.20,26,4.28,0.00,0.24,0.346,5.10,0.00,0.00
Ryan Borucki,$4.3K,L,TOR,SP,@ HOU,,,,,-1200, ,8.0,200,3.12,0.02,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.65,2.48,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
Chad Bettis,$5.4K,R,COL,SP,@ SFG,,,,,-600, ,8.5,123,3.95,-0.07,5,0.540,,0.340,4.30,4,0.398,,0.125,4.30,1,5.49,0.00,0.00,0.477,4.30,0.00,0.00,12.89,2.39,5,0.484,,0.430,6.70,4,0.390,,0.055,2.90,2,4.99,0.00,0.40,0.442,5.00,0.00,0.00,5,0.418,,0.378,6.30,4,0.482,,0.308,4.30,4,3.87,0.00,0.50,0.446,5.40,0.00,0.00,5,0.324,,0.225,3.80,4,0.366,,0.191,3.30,22,4.48,0.00,0.25,0.343,3.60,0.00,0.00
Jake Arrieta,$6.8K,R,PHI,SP,NYY,,,,,-500,4,7.5,185,3.04,0.07,3,0.225,,0.000,3.00,6,0.355,,0.429,4.50,1,3.92,0.00,0.33,0.312,4.00,0.00,0.00,16.22,2.39,3,0.376,,0.250,2.00,6,0.379,,0.260,4.00,2,5.06,0.00,0.33,0.378,3.30,0.00,0.00,3,0.313,,0.081,1.60,6,0.356,,0.207,4.60,5,4.67,0.00,0.28,0.342,3.60,0.00,0.00,3,0.342,,0.192,4.40,6,0.275,,0.134,4.80,42,3.81,0.00,0.20,0.297,4.70,0.00,0.00
Lance Lynn,$7.3K,R,MIN,SP,@ CHW,,,,,-700,7,8.5,-134,4.51,-0.14,3,0.392,,0.000,0.00,6,0.177,,0.068,3.60,1,7.31,0.00,0.00,0.249,2.40,0.00,0.00,17.23,2.36,3,0.294,,0.001,1.60,6,0.272,,0.223,6.40,2,4.67,0.00,0.20,0.279,4.80,0.00,0.00,3,0.282,,0.000,2.30,6,0.223,,0.122,6.20,4,4.37,0.00,0.09,0.243,4.90,0.00,0.00,3,0.354,,0.204,2.90,6,0.281,,0.131,5.50,44,4.21,0.00,0.20,0.305,4.60,0.00,0.00
Matt Harvey,$4.5K,R,CIN,SP,@ ATL,,,,,-1300,1,9.0,122,4.2,0.05,5,0.305,,0.000,3.00,4,0.252,,0.083,6.00,1,3.30,0.00,0.00,0.281,4.30,0.00,0.00,10.58,2.35,5,0.259,,0.000,4.50,4,0.274,,0.046,7.50,1,4.28,0.00,0.00,0.266,5.80,0.00,0.00,5,0.295,,0.000,2.60,4,0.314,,0.220,5.80,3,4.33,0.00,0.21,0.303,4.10,0.00,0.00,5,0.409,,0.276,3.00,4,0.318,,0.161,4.10,32,4.57,0.00,0.25,0.369,3.50,0.00,0.00
Austin Bibens-Dirkx,$4.6K,R,TEX,SP,SDP,,,,,-1700,4,10.5,-121,5.43,0.49,4,0.231,,0.077,0.00,5,0.256,,0.100,0.00,1,6.84,0.00,0.00,0.245,0.00,0.00,0.00,10.4,2.26,4,0.231,,0.077,0.00,5,0.256,,0.100,0.00,1,6.84,0.00,0.00,0.245,0.00,0.00,0.00,4,0.203,,0.096,1.70,5,0.462,,0.240,2.60,2,4.68,0.00,0.11,0.347,2.20,0.00,0.00,4,0.330,,0.178,1.60,5,0.354,,0.203,3.90,26,4.71,0.00,0.20,0.343,2.80,0.00,0.00
John Lamb,$4.8K,L,LAA,SP,@ BOS,,,,,-1400,2,10.0,144,4.42,0.5,4,0.000,,0.000,0.00,5,0.485,,0.375,11.60,1,3.24,0.00,0.25,0.000,0.00,0.00,0.00,10.49,2.19,4,0.000,,0.000,1.10,5,0.409,,0.375,8.90,2,3.03,0.00,0.50,0.227,5.40,0.00,0.00,4,0.000,,0.000,1.10,5,0.409,,0.375,8.90,2,3.03,0.00,0.50,0.227,5.40,0.00,0.00,4,0.000,,0.000,1.10,5,0.409,,0.375,8.90,2,3.03,0.00,0.50,0.227,5.40,0.00,0.00
Freddy Peralta,$7.9K,R,MIL,SP,KCR,,,,,200,-1,8.0,-209,4.78,-0.34,5,0.195,,0.000,4.50,4,0.000,,0.000,6.00,1,1.35,0.00,0.00,0.108,5.20,0.00,0.00,17.27,2.19,5,0.195,,0.000,4.50,4,0.000,,0.000,6.00,1,1.35,0.00,0.00,0.108,5.20,0.00,0.00,5,0.195,,0.000,4.50,4,0.000,,0.000,6.00,1,1.35,0.00,0.00,0.108,5.20,0.00,0.00,5,0.273,,0.114,7.70,4,0.118,,0.040,7.10,3,1.76,0.00,0.11,0.204,7.40,0.00,0.00
Elieser Hernandez,$4.2K,R,MIA,SP,ARI,,,,,-1300,1,8.0,143,3.55,-0.18,5,0.528,,0.381,0.00,4,0.398,,0.111,2.80,2,7.65,0.00,0.00,0.470,1.20,0.00,0.00,9.08,2.16,5,0.516,,0.240,0.00,4,0.229,,0.050,4.40,3,6.24,0.00,0.00,0.388,2.00,0.00,0.00,5,0.585,,0.473,0.70,4,0.226,,0.036,2.70,6,6.76,0.00,0.20,0.425,1.60,0.00,0.00,5,0.423,,0.283,2.00,4,0.290,,0.109,2.00,11,5.28,0.00,0.17,0.364,2.00,0.00,0.00
