Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Sal Romano,$4.0K,R,CIN,SP,NYM,,,,,-2000,4,10.0,-108,5.08,0.41,5,0.584,,0.100,1.80,4,0.302,,0.395,7.10,1,4.81,0.00,0.50,0.459,4.10,0.00,0.00,12.88,3.22,5,0.634,,0.360,1.80,4,0.216,,0.221,8.00,2,4.80,0.00,0.67,0.448,4.60,0.00,0.00,5,0.505,,0.283,3.10,4,0.278,,0.185,5.40,5,4.50,0.00,0.25,0.404,4.10,0.00,0.00,5,0.367,,0.199,3.60,4,0.318,,0.177,4.00,26,4.51,0.00,0.20,0.345,3.70,0.00,0.00
Chris Stratton,$4.7K,R,SFG,SP,@ PHI,,,,,-1600,6,8.5,100,4.18,-0.15,6,0.380,,0.300,5.40,3,0.317,,0.334,5.40,1,3.11,0.00,0.67,0.359,5.40,0.00,0.00,13.85,2.95,6,0.403,,0.191,2.70,3,0.327,,0.158,3.60,2,4.69,0.00,0.29,0.378,3.00,0.00,0.00,6,0.439,,0.311,3.20,3,0.337,,0.163,3.60,5,4.73,0.00,0.39,0.405,3.30,0.00,0.00,6,0.355,,0.174,3.60,3,0.300,,0.143,4.60,22,4.41,0.00,0.17,0.337,3.90,0.00,0.00
Wade LeBlanc,$4.4K,L,SEA,SP,@ TOR,,,,,-1800,6,9.5,111,4.55,0.2,0,0.418,,0.250,3.00,9,0.141,,0.000,3.00,1,4.50,0.00,0.00,0.141,3.00,0.00,0.00,11.95,2.72,0,0.367,,0.200,1.60,9,0.266,,0.114,5.70,2,3.98,0.00,0.13,0.266,5.70,0.00,0.00,0,0.276,,0.100,1.30,9,0.230,,0.090,7.20,4,3.69,0.00,0.09,0.230,7.20,0.00,0.00,0,0.340,,0.188,1.90,9,0.274,,0.148,6.20,58,3.80,0.00,0.17,0.274,6.20,0.00,0.00
Julio Teheran,$7.6K,R,ATL,SP,@ TBR,,,,,1100,-3,8.5,-106,4.19,0.19,4,0.293,,0.200,4.50,5,0.423,,0.600,1.50,1,4.93,0.00,0.33,0.365,2.80,0.00,0.00,19.41,2.55,4,0.424,,0.329,3.30,5,0.385,,0.357,3.30,2,4.75,0.00,0.33,0.402,3.30,0.00,0.00,4,0.272,,0.129,4.50,5,0.311,,0.289,3.80,4,4.25,0.00,0.28,0.294,4.10,0.00,0.00,4,0.331,,0.198,4.00,5,0.317,,0.185,4.00,40,4.15,0.00,0.22,0.323,4.00,0.00,0.00
Ryan Yarbrough,$5.5K,L,TBR,SP,ATL,,,,,-700,1,8.5,-106,4.31,0.31,3,0.292,,0.000,1.30,6,0.277,,0.130,9.00,1,2.47,0.00,1.00,0.282,6.40,0.00,0.00,13.2,2.4,3,0.175,,0.000,0.70,6,0.256,,0.116,7.60,2,2.84,0.00,0.20,0.229,5.30,0.00,0.00,3,0.318,,0.158,1.00,6,0.237,,0.094,7.70,5,2.80,0.00,0.25,0.264,5.40,0.00,0.00,3,0.321,,0.238,2.30,6,0.254,,0.094,6.00,12,3.42,0.00,0.17,0.276,4.80,0.00,0.00
Jaime Garcia,$5.8K,L,TOR,SP,SEA,,,,, ,-6,9.5,-125,4.95,0.3,3,0.000,,0.000,0.00,6,0.239,,0.131,6.40,1,3.26,0.00,0.14,0.159,4.30,0.00,0.00,13.52,2.33,3,0.000,,0.000,0.00,6,0.239,,0.131,6.40,1,3.26,0.00,0.14,0.159,4.30,0.00,0.00,3,0.245,,0.100,1.80,6,0.359,,0.170,7.10,3,4.55,0.00,0.10,0.321,5.30,0.00,0.00,3,0.310,,0.189,2.30,6,0.334,,0.180,5.80,35,4.18,0.00,0.20,0.326,4.70,0.00,0.00
Jose Quintana,$8.1K,L,CHC,SP,MIA,,,,, ,2,11.0,-241,6.82,6.82,2,0.495,,0.750,4.40,7,0.351,,0.200,8.80,1,2.28,0.00,0.20,0.383,7.80,0.00,0.00,18.26,2.25,2,0.168,,0.176,4.90,7,0.301,,0.130,5.70,2,3.14,0.00,0.09,0.271,5.50,0.00,0.00,2,0.209,,0.103,3.40,7,0.391,,0.246,8.50,4,3.90,0.00,0.23,0.351,7.40,0.00,0.00,2,0.241,,0.108,2.50,7,0.323,,0.181,8.20,40,3.37,0.00,0.21,0.305,6.90,0.00,0.00
Wei-Yin Chen,$4.7K,L,MIA,SP,@ CHC,,,,,-1200, ,11.0,211,4.18,4.18,2,0.205,,0.166,3.80,7,0.177,,0.163,3.80,1,3.17,0.00,0.17,0.183,3.80,0.00,0.00,10.55,2.24,2,0.276,,0.071,3.70,7,0.176,,0.098,4.40,2,3.19,0.00,0.08,0.198,4.30,0.00,0.00,2,0.295,,0.208,3.50,7,0.372,,0.298,3.10,5,4.97,0.00,0.19,0.355,3.20,0.00,0.00,2,0.258,,0.156,2.20,7,0.319,,0.218,4.40,15,4.27,0.00,0.17,0.305,3.90,0.00,0.00
Nicholas Pivetta,$7.2K,R,PHI,SP,SFG,,,,,-700,3,8.5,-113,4.32,-0.35,4,0.143,,0.000,9.00,5,0.460,,0.142,3.60,1,2.49,0.00,0.00,0.319,6.00,0.00,0.00,15.2,2.11,4,0.150,,0.031,6.20,5,0.238,,0.126,5.70,3,1.68,0.00,0.10,0.199,5.90,0.00,0.00,4,0.252,,0.155,5.80,5,0.271,,0.106,6.10,5,2.15,0.00,0.19,0.263,6.00,0.00,0.00,4,0.302,,0.121,4.90,5,0.362,,0.236,5.30,36,3.42,0.00,0.25,0.335,5.10,0.00,0.00
Alex Wood,$10.1K,L,LAD,SP,ARI,,,,,1600,-2,7.0,-127,3.67,0.06,2,0.000,,0.000,5.30,7,0.601,,0.667,7.10,1,1.83,0.00,1.00,0.467,6.70,0.00,0.00,21.19,2.1,2,0.000,,0.000,4.90,7,0.426,,0.420,4.00,2,2.63,0.00,0.44,0.331,4.20,0.00,0.00,2,0.167,,0.000,3.30,7,0.343,,0.196,6.00,5,3.05,0.00,0.26,0.304,5.40,0.00,0.00,2,0.252,,0.087,2.50,7,0.273,,0.160,6.80,37,3.28,0.00,0.21,0.268,5.90,0.00,0.00
Reynaldo Lopez,$6.4K,R,CHW,SP,PIT,,,,, ,1,10.0,-104,4.92,0.52,5,0.131,,0.000,1.30,4,0.404,,0.091,2.60,1,5.65,0.00,0.00,0.252,1.90,0.00,0.00,13.14,2.05,5,0.112,,0.000,2.40,4,0.276,,0.087,4.20,2,4.31,0.00,0.00,0.185,3.20,0.00,0.00,5,0.298,,0.215,1.50,4,0.283,,0.170,3.60,5,4.97,0.00,0.18,0.291,2.40,0.00,0.00,5,0.329,,0.214,2.30,4,0.272,,0.124,4.10,17,4.68,0.00,0.17,0.304,3.10,0.00,0.00
Masahiro Tanaka,$8.4K,R,NYY,SP,BOS,,,,,300,1,8.5,-143,4.6,0.1,4,0.087,,0.000,6.00,5,0.341,,0.231,6.00,1,2.63,0.00,0.20,0.228,6.00,0.00,0.00,17.1,2.04,4,0.354,,0.273,2.20,5,0.266,,0.236,5.10,2,4.41,0.00,0.36,0.305,3.80,0.00,0.00,4,0.421,,0.316,2.30,5,0.248,,0.143,4.70,4,4.30,0.00,0.30,0.325,3.60,0.00,0.00,4,0.297,,0.180,4.60,5,0.317,,0.205,6.00,38,3.17,0.00,0.29,0.308,5.40,0.00,0.00
Gio Gonzalez,$10.0K,L,WAS,SP,@ SDP,,,,,700,2,7.0,-136,3.73,-0.17,3,0.000,,0.000,0.00,6,0.250,,0.038,3.80,1,5.53,0.00,0.00,0.000,0.00,0.00,0.00,20.29,2.03,3,0.000,,0.000,0.90,6,0.303,,0.145,5.20,2,4.94,0.00,0.18,0.202,3.80,0.00,0.00,3,0.038,,0.000,1.80,6,0.303,,0.142,6.00,4,4.44,0.00,0.13,0.215,4.60,0.00,0.00,3,0.223,,0.083,2.20,6,0.299,,0.142,6.90,41,3.76,0.00,0.17,0.274,5.40,0.00,0.00
Joey Lucchesi,$8.1K,L,SDP,SP,WAS,,,,,100, ,7.0,121,3.27,-0.33,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,16.18,2,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,1,0.272,,0.000,0.60,8,0.404,,0.320,7.20,3,4.07,0.00,0.71,0.389,6.50,0.00,0.00,1,0.252,,0.027,2.70,8,0.325,,0.218,8.00,8,3.40,0.00,0.27,0.317,7.40,0.00,0.00
