Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Kyle Hendricks,$6.4K,R,CHC,SP,@ CIN,,,,,-1100,6,9.5,-159,5.29,-0.02,5,0.174,,0.000,1.50,4,0.472,,0.200,3.00,1,6.11,0.00,0.17,0.306,2.20,0.00,0.00,19.97,3.12,5,0.155,,0.001,3.30,4,0.456,,0.250,2.50,2,5.26,0.00,0.18,0.289,2.90,0.00,0.00,5,0.230,,0.122,2.20,4,0.368,,0.203,4.20,5,4.51,0.00,0.23,0.291,3.10,0.00,0.00,5,0.310,,0.178,4.30,4,0.289,,0.140,4.50,36,3.83,0.00,0.25,0.301,4.40,0.00,0.00
John Lamb,$6.7K,L,LAA,SP,TOR,,,,,900,-4,8.5,-130,4.48,0.35,0,0.000,,0.000,1.80,9,0.333,,0.375,7.20,1,2.85,0.00,1.00,0.333,7.20,0.00,0.00,16.36,2.44,0,0.000,,0.000,1.80,9,0.333,,0.375,7.20,1,2.85,0.00,1.00,0.333,7.20,0.00,0.00,0,0.000,,0.000,1.80,9,0.333,,0.375,7.20,1,2.85,0.00,1.00,0.333,7.20,0.00,0.00,0,0.000,,0.000,1.80,9,0.333,,0.375,7.20,1,2.85,0.00,1.00,0.333,7.20,0.00,0.00
Aaron Sanchez,$5.7K,R,TOR,SP,@ LAA,,,,,-2000,8,8.5,115,4.02,0.65,2,0.176,,0.067,9.00,7,0.420,,0.000,3.00,1,2.70,0.00,0.00,0.366,4.30,0.00,0.00,13.56,2.38,2,0.277,,0.087,5.20,7,0.293,,0.000,4.50,2,3.90,0.00,0.00,0.289,4.60,0.00,0.00,2,0.366,,0.220,4.30,7,0.260,,0.060,5.10,4,3.78,0.00,0.20,0.284,4.90,0.00,0.00,2,0.359,,0.158,3.90,7,0.319,,0.146,4.20,20,4.83,0.00,0.21,0.328,4.20,0.00,0.00
Brent Suter,$6.5K,L,MIL,SP,STL,,,,,-300, ,8.5,-118,4.36,-0.37,1,0.285,,0.000,2.60,8,0.265,,0.055,1.30,1,4.73,0.00,0.00,0.267,1.40,0.00,0.00,14.06,2.16,4,0.272,,0.000,3.00,5,0.369,,0.334,7.50,1,4.94,0.00,0.27,0.326,5.50,0.00,0.00,4,0.424,,0.212,2.20,5,0.311,,0.208,5.60,3,4.77,0.00,0.29,0.361,4.10,0.00,0.00,4,0.413,,0.286,3.00,5,0.321,,0.164,4.00,31,4.63,0.00,0.25,0.362,3.60,0.00,0.00
Carlos Martinez,$8.9K,R,STL,SP,@ MIL,,,,,1600,-7,8.5,104,4.14,-0.13,6,0.349,,0.025,1.80,3,0.489,,0.334,7.20,1,5.37,0.00,0.00,0.396,3.60,0.00,0.00,18.45,2.07,6,0.232,,0.069,15.90,3,0.423,,0.021,5.30,1,3.70,0.00,0.00,0.296,12.30,0.00,0.00,6,0.271,,0.107,6.80,3,0.338,,0.077,4.70,3,4.00,0.00,0.12,0.293,6.10,0.00,0.00,6,0.366,,0.229,4.70,3,0.310,,0.128,4.20,42,3.93,0.00,0.18,0.347,4.60,0.00,0.00
Madison Bumgarner,$10.1K,L,SFG,SP,SDP,,,,,1500,-1,7.5,-153,4.13,0.09,1,0.229,,0.000,1.50,8,0.385,,0.362,3.00,1,5.56,0.00,0.40,0.368,2.80,0.00,0.00,20.61,2.04,4,0.412,,0.313,12.10,5,0.249,,0.043,15.60,1,2.49,0.00,0.13,0.321,14.00,0.00,0.00,4,0.436,,0.257,5.70,5,0.302,,0.175,10.70,3,3.21,0.00,0.31,0.362,8.50,0.00,0.00,4,0.307,,0.137,4.90,5,0.303,,0.162,5.60,37,3.60,0.00,0.23,0.305,5.30,0.00,0.00
Tyson Ross,$8.1K,R,SDP,SP,@ SFG,,,,,700,-3,7.5,137,3.37,-0.09,6,0.324,,0.286,6.00,3,0.179,,0.000,0.00,1,4.43,0.00,0.50,0.276,4.00,0.00,0.00,16.45,2.03,1,0.208,,0.000,3.80,8,0.298,,0.121,2.20,2,3.97,0.00,0.10,0.288,2.40,0.00,0.00,1,0.368,,0.231,2.00,8,0.260,,0.134,6.10,4,3.14,0.00,0.18,0.272,5.70,0.00,0.00,1,0.258,,0.111,1.60,8,0.328,,0.172,6.30,35,3.79,0.00,0.23,0.320,5.80,0.00,0.00
Rick Porcello,$9.1K,R,BOS,SP,@ MIN,,,,,300,1,9.0,-120,4.64,0.29,6,0.237,,0.111,6.00,3,0.368,,0.188,7.50,1,2.00,0.00,0.50,0.281,6.50,0.00,0.00,17.11,1.88,6,0.435,,0.111,3.30,3,0.393,,0.200,7.70,2,5.79,0.00,1.00,0.421,4.80,0.00,0.00,6,0.421,,0.089,3.70,3,0.396,,0.131,7.40,3,5.68,0.00,1.00,0.413,4.90,0.00,0.00,6,0.327,,0.151,4.40,3,0.272,,0.131,5.50,41,3.71,0.00,0.23,0.309,4.70,0.00,0.00
Kevin Gausman,$8.5K,R,BAL,SP,@ WAS,,,,,1300,-7,7.0,228,2.61,0.05,3,0.142,,0.000,6.90,6,0.493,,0.442,5.20,1,3.60,0.00,0.00,0.376,5.80,0.00,0.00,15.83,1.86,1,0.196,,0.000,0.80,8,0.390,,0.366,4.00,2,5.17,0.00,0.27,0.368,3.70,0.00,0.00,1,0.205,,0.000,1.60,8,0.381,,0.293,3.20,3,4.87,0.00,0.27,0.361,3.00,0.00,0.00,1,0.224,,0.061,1.30,8,0.323,,0.226,6.50,20,3.40,0.00,0.23,0.312,5.90,0.00,0.00
Luis Severino,$12.3K,R,NYY,SP,SEA,,,,,1500, ,8.0,-181,4.62,0.19,5,0.272,,0.000,3.40,4,0.087,,0.000,6.80,1,2.18,0.00,0.00,0.190,4.90,0.00,0.00,22.75,1.85,6,0.389,,0.348,5.70,3,0.244,,0.046,3.20,2,3.50,0.00,0.40,0.341,4.90,0.00,0.00,6,0.392,,0.245,3.80,3,0.295,,0.162,3.80,4,3.95,0.00,0.33,0.360,3.80,0.00,0.00,6,0.351,,0.165,3.80,3,0.306,,0.146,4.60,26,4.24,0.00,0.18,0.336,4.00,0.00,0.00
