Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
German Marquez,$5.8K,R,COL,SP,@ SEA,,,,,-1300,5,8.0,102,3.92,-0.11,5,0.059,,0.000,2.20,4,0.186,,0.273,7.90,1,1.09,2.69,0.14,0.115,4.80,0.00,0.00,15.08,2.6,5,0.370,,0.200,2.40,4,0.221,,0.203,9.70,2,2.24,2.88,0.22,0.304,5.70,0.00,0.00,5,0.389,,0.227,4.70,4,0.294,,0.283,5.70,5,3.02,3.65,0.37,0.347,5.10,0.00,0.00,5,0.337,,0.161,3.80,4,0.346,,0.238,5.10,45,3.65,4.15,0.23,0.341,4.40,0.00,0.00
Jason Hammel,$4.4K,R,KCR,SP,BOS,,,,,-1900,2,8.5,299,2.69,-0.04,4,0.353,,0.230,3.00,5,0.556,,0.250,3.00,1,4.08,5.68,0.17,0.466,3.00,0.00,0.00,10.76,2.45,4,0.352,,0.174,2.70,5,0.518,,0.311,3.60,2,5.40,6.87,0.18,0.444,3.20,0.00,0.00,4,0.337,,0.102,2.40,5,0.426,,0.228,3.20,4,4.95,5.79,0.10,0.386,2.90,0.00,0.00,4,0.328,,0.168,3.80,5,0.348,,0.157,3.60,46,4.15,5.02,0.14,0.339,3.70,0.00,0.00
Lance Lynn,$6.4K,R,MIN,SP,BAL,,,,,-900,4,8.5,-140,4.57,-0.32,1,0.643,,0.500,0.00,8,0.484,,0.334,7.50,1,7.28,9.33,0.50,0.502,6.70,0.00,0.00,14.57,2.28,1,0.560,,0.353,2.90,8,0.343,,0.059,10.20,2,4.13,3.72,0.33,0.367,9.40,0.00,0.00,1,0.404,,0.162,1.90,8,0.266,,0.111,8.10,5,4.05,4.02,0.18,0.281,7.40,0.00,0.00,1,0.361,,0.210,2.90,8,0.283,,0.129,5.60,46,4.21,4.67,0.20,0.292,5.30,0.00,0.00
Dan Straily,$5.6K,R,MIA,SP,@ WAS,,,,,-800, ,9.0,189,3.6,-0.17,6,0.248,,0.300,6.40,3,0.286,,0.098,2.60,1,3.28,4.91,0.33,0.261,5.10,0.00,0.00,12.42,2.22,6,0.218,,0.240,6.20,3,0.261,,0.061,2.80,2,2.97,4.31,0.25,0.232,5.00,0.00,0.00,6,0.314,,0.245,5.60,3,0.410,,0.283,4.40,5,3.03,4.57,0.37,0.346,5.20,0.00,0.00,6,0.331,,0.197,4.60,3,0.336,,0.231,4.10,43,3.72,4.82,0.24,0.333,4.40,0.00,0.00
Zack Godley,$8.6K,R,ARI,SP,SDP,,,,,400, ,7.5,-143,4.05,-0.25,5,0.624,,0.255,2.20,4,0.334,,0.000,9.00,1,4.90,6.94,0.00,0.495,5.20,0.00,0.00,18.49,2.15,5,0.573,,0.206,3.00,4,0.327,,0.130,6.00,2,5.16,5.97,0.17,0.464,4.30,0.00,0.00,5,0.419,,0.185,5.80,4,0.290,,0.087,7.60,4,4.01,4.57,0.13,0.362,6.60,0.00,0.00,5,0.315,,0.135,4.80,4,0.305,,0.158,5.60,40,3.70,3.71,0.23,0.311,5.20,0.00,0.00
Sonny Gray,$6.8K,R,NYY,SP,@ TOR,,,,,-900,3,9.5,-155,5.24,0.12,3,0.718,,0.572,0.00,6,0.415,,0.071,0.00,1,6.96,8.02,0.50,0.516,0.00,0.00,0.00,14.33,2.11,3,0.414,,0.278,1.10,6,0.410,,0.267,6.50,2,4.36,4.64,0.29,0.411,4.70,0.00,0.00,3,0.425,,0.210,3.40,6,0.351,,0.189,6.80,3,4.36,3.92,0.25,0.376,5.60,0.00,0.00,3,0.302,,0.136,4.20,6,0.316,,0.173,5.00,40,3.96,4.02,0.21,0.311,4.70,0.00,0.00
Felix Hernandez,$7.5K,R,SEA,SP,COL,,,,,-300,2,8.0,-115,4.08,-0.39,5,0.374,,0.272,5.40,4,0.264,,0.000,3.60,1,3.27,3.54,0.25,0.325,4.60,0.00,0.00,15.54,2.07,5,0.328,,0.200,4.10,4,0.290,,0.116,3.30,2,4.16,4.50,0.33,0.311,3.70,0.00,0.00,5,0.346,,0.212,3.10,4,0.342,,0.139,4.80,4,3.81,3.82,0.20,0.344,3.90,0.00,0.00,5,0.353,,0.215,3.60,4,0.325,,0.174,4.90,31,3.94,4.22,0.26,0.341,4.20,0.00,0.00
Carlos Carrasco,$10.8K,R,CLE,SP,OAK,,,,,300, ,9.0,-198,5.29,-0.18,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,22.35,2.07,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,3,0.418,,0.134,5.60,6,0.055,,0.001,8.90,2,1.73,2.97,0.00,0.176,7.80,0.00,0.00,3,0.308,,0.168,4.90,6,0.276,,0.129,6.00,45,2.79,3.35,0.18,0.287,5.70,0.00,0.00
John Gant,$6.3K,R,STL,SP,@ SFG,,,,,500,-6,8.5,107,4.12,0.18,5,0.301,,0.273,0.00,4,0.319,,0.244,1.80,1,6.51,6.81,0.20,0.309,0.80,0.00,0.00,12.99,2.06,5,0.189,,0.115,1.50,4,0.302,,0.157,2.20,2,5.80,6.17,0.17,0.239,1.80,0.00,0.00,5,0.202,,0.156,1.90,4,0.313,,0.123,2.50,3,5.36,5.78,0.11,0.251,2.20,0.00,0.00,5,0.300,,0.177,4.20,4,0.284,,0.125,3.90,15,4.41,4.90,0.18,0.293,4.10,0.00,0.00
Mike Montgomery,$7.3K,L,CHC,SP,CIN,,,,,-100, ,7.5,-157,4.16,4.16,3,0.562,,0.445,3.60,6,0.267,,0.017,5.40,1,4.43,3.97,1.00,0.365,4.80,0.00,0.00,14.84,2.03,3,0.477,,0.235,3.30,6,0.273,,0.150,5.70,2,3.84,3.80,0.50,0.341,4.90,0.00,0.00,3,0.357,,0.135,2.80,6,0.266,,0.113,3.70,5,4.54,4.10,0.18,0.296,3.40,0.00,0.00,3,0.301,,0.114,2.30,6,0.294,,0.129,5.20,66,4.59,4.27,0.18,0.296,4.20,0.00,0.00
Chris Sale,$14.0K,L,BOS,SP,@ KCR,,,,,1500, ,8.5,-363,5.81,0.54,2,0.000,,0.000,1.30,7,0.120,,0.000,12.90,1,0.56,1.89,0.00,0.093,10.30,0.00,0.00,28.44,2.03,2,0.063,,-0.006,3.20,7,0.175,,0.061,12.20,2,0.49,1.26,0.00,0.150,10.20,0.00,0.00,2,0.113,,-0.003,2.80,7,0.192,,0.040,11.10,5,1.74,1.89,0.00,0.174,9.20,0.00,0.00,2,0.228,,0.063,2.00,7,0.266,,0.154,11.90,48,1.71,2.63,0.19,0.258,9.70,0.00,0.00
Felix Pena,$6.6K,R,LAA,SP,LAD,,,,,800,-9,9.0,120,4.21,-0.11,5,0.000,,0.000,1.80,4,0.318,,0.000,7.10,1,4.17,2.85,0.00,0.141,4.10,0.00,0.00,12.87,1.95,5,0.448,,0.166,0.90,4,0.287,,0.100,8.90,2,3.26,3.16,0.33,0.376,4.50,0.00,0.00,5,0.358,,0.091,1.90,4,0.278,,0.089,8.90,3,3.37,3.28,0.33,0.322,5.00,0.00,0.00,5,0.364,,0.187,4.30,4,0.357,,0.246,7.20,27,3.56,4.62,0.30,0.361,5.60,0.00,0.00
Paul Blackburn,$4.3K,R,OAK,SP,@ CLE,,,,,-1800,2,9.0,173,3.71,-0.32,7,0.238,,0.000,5.90,2,0.000,,0.000,1.50,1,3.24,4.78,0.00,0.185,4.90,0.00,0.00,8.38,1.95,7,0.344,,0.148,5.70,2,0.224,,0.000,1.60,2,3.29,4.41,0.17,0.317,4.80,0.00,0.00,7,0.343,,0.119,5.20,2,0.383,,0.138,1.60,4,4.39,4.69,0.11,0.352,4.40,0.00,0.00,7,0.285,,0.085,2.20,2,0.334,,0.154,2.00,15,5.21,4.64,0.18,0.296,2.20,0.00,0.00
Ryne Stanek,$4.0K,R,TBR,SP,@ NYM,,,,,-1500, ,6.5,138,2.91,-0.14,3,0.000,,0.000,3.00,6,0.302,,0.000,12.00,3,2.74,1.42,0.00,0.201,9.00,0.00,0.00,7.72,1.93,3,0.282,,0.000,2.90,6,0.224,,0.000,11.40,6,3.24,3.72,0.00,0.243,8.60,0.00,0.00,3,0.255,,0.000,3.60,6,0.157,,0.029,7.90,11,3.04,3.81,0.00,0.190,6.40,0.00,0.00,3,0.227,,0.015,6.00,6,0.358,,0.277,8.90,41,2.96,4.17,0.22,0.314,7.90,0.00,0.00
Lance McCullers,$11.9K,R,HOU,SP,CHW,,,,,600, ,8.0,-262,5.07,-0.07,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,22.15,1.86,4,0.207,,0.006,4.80,5,0.225,,0.130,6.20,2,3.19,2.54,0.33,0.217,5.60,0.00,0.00,4,0.195,,0.026,6.20,5,0.312,,0.200,4.20,4,3.24,3.10,0.17,0.260,5.10,0.00,0.00,4,0.255,,0.102,5.50,5,0.325,,0.152,5.20,38,3.69,3.29,0.20,0.294,5.30,0.00,0.00
Reynaldo Lopez,$6.1K,R,CHW,SP,@ HOU,,,,,-800,2,8.0,230,2.93,0.07,3,0.280,,0.019,5.90,6,0.284,,0.083,3.00,1,4.09,3.81,0.00,0.283,3.90,0.00,0.00,11.25,1.84,3,0.261,,0.102,3.70,6,0.385,,0.235,3.70,2,3.93,5.20,0.15,0.344,3.70,0.00,0.00,3,0.322,,0.130,6.40,6,0.389,,0.215,3.60,4,4.08,5.44,0.14,0.367,4.60,0.00,0.00,3,0.326,,0.180,3.20,6,0.293,,0.136,4.10,22,4.58,5.69,0.15,0.304,3.80,0.00,0.00
Bartolo Colon,$5.2K,R,TEX,SP,@ DET,,,,,-1300,2,9.0,-121,4.65,-0.18,4,0.336,,0.111,0.00,5,0.470,,0.417,3.60,1,5.86,6.05,0.25,0.410,2.00,0.00,0.00,9.51,1.83,4,0.315,,0.110,3.80,5,0.368,,0.278,1.50,2,4.42,4.97,0.11,0.344,2.50,0.00,0.00,4,0.427,,0.254,2.60,5,0.370,,0.220,2.10,4,4.77,5.55,0.21,0.395,2.30,0.00,0.00,4,0.366,,0.226,2.60,5,0.367,,0.244,3.30,43,4.43,4.86,0.23,0.367,3.00,0.00,0.00
Sam Gaviglio,$5.1K,R,TOR,SP,NYY,,,,,-1600,5,9.5,137,4.26,-0.12,5,0.149,,0.076,2.60,4,0.453,,0.500,3.90,1,4.81,4.72,0.50,0.284,3.10,0.00,0.00,9.29,1.82,5,0.166,,0.055,1.60,4,0.380,,0.334,6.40,2,3.71,4.14,0.38,0.261,3.80,0.00,0.00,5,0.303,,0.152,3.00,4,0.399,,0.222,6.40,4,3.72,4.44,0.31,0.346,4.50,0.00,0.00,5,0.329,,0.200,2.60,4,0.345,,0.225,4.60,24,4.26,4.52,0.33,0.336,3.50,0.00,0.00
Dereck Rodriguez,$7.7K,R,SFG,SP,STL,,,,,-900,6,8.5,-119,4.38,0.32,2,0.383,,0.134,4.40,7,0.110,,0.000,3.00,1,4.55,3.37,0.00,0.171,3.30,0.00,0.00,13.87,1.8,2,0.250,,0.084,4.10,7,0.250,,0.125,3.40,2,3.76,3.79,0.17,0.250,3.60,0.00,0.00,2,0.349,,0.202,3.40,7,0.302,,0.086,4.10,5,3.91,4.28,0.17,0.312,3.90,0.00,0.00,2,0.334,,0.173,3.50,7,0.310,,0.128,4.50,7,3.76,4.20,0.16,0.315,4.30,0.00,0.00
Jacob deGrom,$13.0K,R,NYM,SP,TBR,,,,,1000, ,6.5,-155,3.59,-0.36,4,0.316,,0.000,6.00,5,0.312,,0.200,6.00,1,2.79,2.38,0.33,0.314,6.00,0.00,0.00,23.19,1.78,4,0.382,,0.227,5.20,5,0.255,,0.160,5.20,2,3.14,3.69,0.22,0.311,5.20,0.00,0.00,4,0.339,,0.200,3.90,5,0.195,,0.088,5.10,5,3.33,3.02,0.18,0.259,4.60,0.00,0.00,4,0.296,,0.135,4.90,5,0.260,,0.126,6.20,47,2.69,3.08,0.21,0.276,5.60,0.00,0.00
Jordan Zimmermann,$6.7K,R,DET,SP,TEX,,,,,-800,3,9.0,106,4.35,-0.32,4,0.139,,0.111,5.10,5,0.248,,0.118,2.60,1,2.78,3.73,0.00,0.200,3.70,0.00,0.00,11.85,1.77,4,0.156,,0.058,3.80,5,0.254,,0.074,3.00,2,3.32,4.43,0.00,0.210,3.30,0.00,0.00,4,0.148,,0.042,3.70,5,0.253,,0.079,3.20,3,3.20,4.11,0.00,0.206,3.40,0.00,0.00,4,0.354,,0.199,3.70,5,0.360,,0.203,3.10,37,4.26,5.15,0.18,0.357,3.40,0.00,0.00
Kenta Maeda,$10.0K,R,LAD,SP,@ LAA,,,,,1000,1,9.0,-136,4.79,0.11,3,0.076,,0.000,2.60,6,0.368,,0.278,9.00,1,2.34,3.22,0.17,0.271,6.90,0.00,0.00,17.65,1.77,3,0.167,,0.000,3.90,6,0.250,,0.185,7.70,2,1.94,2.52,0.13,0.222,6.40,0.00,0.00,3,0.226,,0.035,2.80,6,0.268,,0.182,6.20,3,3.13,3.85,0.08,0.254,5.10,0.00,0.00,3,0.332,,0.186,3.90,6,0.262,,0.154,6.70,41,2.92,3.67,0.21,0.285,5.80,0.00,0.00
Nick Pivetta,$8.4K,R,PHI,SP,@ PIT,,,,,300, ,8.0,-115,4.08,-0.1,4,0.537,,0.334,8.20,5,0.839,,1.167,4.10,2,5.39,8.29,0.75,0.705,5.90,0.00,0.00,14.72,1.75,4,0.548,,0.222,6.20,5,0.501,,0.526,6.20,3,4.17,4.36,0.67,0.522,6.20,0.00,0.00,4,0.514,,0.242,4.20,5,0.361,,0.334,8.90,5,3.00,3.67,0.41,0.429,6.80,0.00,0.00,4,0.326,,0.138,4.90,5,0.364,,0.238,5.50,43,3.40,4.00,0.27,0.347,5.20,0.00,0.00
Trevor Williams,$6.6K,R,PIT,SP,PHI,,,,, ,-4,8.0,101,3.92,-0.4,5,0.000,,0.000,4.30,4,0.567,,0.500,4.30,1,4.31,5.57,0.20,0.252,4.30,0.00,0.00,11.33,1.72,5,0.195,,0.125,4.40,4,0.491,,0.500,4.40,2,3.30,3.68,0.38,0.327,4.40,0.00,0.00,5,0.239,,0.167,4.00,4,0.338,,0.236,4.50,4,3.54,4.14,0.21,0.283,4.20,0.00,0.00,5,0.318,,0.125,2.80,4,0.297,,0.169,4.10,48,4.25,4.63,0.17,0.309,3.40,0.00,0.00
Tyler Mahle,$8.1K,R,CIN,SP,@ CHC,,,,,900,-6,7.5,141,3.34,3.34,5,0.538,,0.589,8.70,4,0.176,,0.000,12.10,1,1.77,1.55,0.00,0.377,10.20,0.00,0.00,13.87,1.71,5,0.444,,0.344,7.90,4,0.191,,0.000,7.10,2,2.56,3.27,0.50,0.332,7.50,0.00,0.00,5,0.422,,0.386,5.20,4,0.212,,0.024,5.20,4,3.39,4.37,0.23,0.329,5.20,0.00,0.00,5,0.407,,0.285,4.30,4,0.267,,0.081,4.50,21,3.88,4.54,0.21,0.345,4.40,0.00,0.00
Gio Gonzalez,$9.5K,L,WAS,SP,MIA,,,,,1500,-4,9.0,-212,5.4,0.17,1,0.352,,0.000,1.80,8,0.213,,0.006,5.40,1,5.03,5.03,0.00,0.228,5.00,0.00,0.00,16.28,1.71,1,0.632,,0.500,3.00,8,0.318,,0.015,6.00,2,5.68,7.14,0.20,0.353,5.70,0.00,0.00,1,0.509,,0.333,0.90,8,0.409,,0.254,8.00,5,5.26,5.30,0.29,0.420,7.20,0.00,0.00,1,0.243,,0.100,2.20,8,0.309,,0.153,6.90,47,3.83,4.18,0.18,0.302,6.30,0.00,0.00
Mike Foltynewicz,$10.5K,R,ATL,SP,@ MIL,,,,,1700,-2,8.0,110,3.83,-0.27,4,0.344,,0.000,1.80,5,0.112,,0.000,14.40,1,1.47,2.07,0.00,0.215,8.80,0.00,0.00,17.36,1.65,4,0.304,,0.231,2.70,5,0.113,,0.000,9.00,2,3.74,3.37,0.33,0.198,6.20,0.00,0.00,4,0.236,,0.125,4.20,5,0.120,,0.000,7.20,3,2.95,3.29,0.17,0.172,5.90,0.00,0.00,4,0.346,,0.178,4.50,5,0.284,,0.125,5.10,44,3.63,4.24,0.16,0.312,4.80,0.00,0.00
Joey Lucchesi,$8.0K,L,SDP,SP,@ ARI,,,,,1000,-7,7.5,127,3.45,-0.25,1,0.515,,0.000,1.80,8,0.104,,0.004,7.20,1,5.45,3.56,0.00,0.150,6.60,0.00,0.00,12.05,1.51,1,0.267,,0.000,3.00,8,0.128,,0.002,6.00,2,4.68,3.55,0.00,0.143,5.70,0.00,0.00,1,0.305,,0.000,2.60,8,0.293,,0.255,7.90,3,4.47,4.11,0.67,0.294,7.40,0.00,0.00,1,0.264,,0.022,2.70,8,0.322,,0.224,8.00,11,3.58,3.81,0.30,0.316,7.40,0.00,0.00
Dylan Bundy,$9.3K,R,BAL,SP,@ MIN,,,,,-300,4,8.5,125,3.93,-0.68,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14,1.51,7,0.299,,0.001,8.80,2,0.313,,0.125,3.00,1,2.79,2.68,0.00,0.302,7.50,0.00,0.00,7,0.347,,0.171,4.00,2,0.176,,0.052,4.90,3,3.24,3.93,0.14,0.309,4.20,0.00,0.00,7,0.345,,0.195,3.50,2,0.288,,0.195,5.70,43,3.37,4.47,0.21,0.332,4.00,0.00,0.00
Freddy Peralta,$10.2K,R,MIL,SP,ATL,,,,,1800,-3,8.0,-126,4.17,-0.23,5,0.438,,0.125,1.80,4,0.235,,0.091,7.20,1,4.24,5.09,0.00,0.348,4.20,0.00,0.00,14.38,1.41,5,0.263,,0.096,5.20,4,0.134,,0.050,6.00,2,2.33,3.59,0.00,0.206,5.60,0.00,0.00,5,0.245,,0.067,5.00,4,0.085,,0.032,6.00,3,1.98,3.55,0.00,0.174,5.40,0.00,0.00,5,0.269,,0.106,6.60,4,0.125,,0.044,6.60,5,1.99,3.18,0.06,0.205,6.60,0.00,0.00
