Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Luis Castillo,$4.0K,R,CIN,SP,@ STL,,,,,-2800,5,9.0,122,4.19,0.04,3,0.487,,0.142,6.80,6,0.375,,0.223,0.00,1,4.88,6.07,0.00,0.412,2.20,0.00,0.00,14.73,3.68,3,0.370,,0.158,5.30,6,0.262,,0.087,2.60,2,3.79,3.89,0.00,0.298,3.50,0.00,0.00,3,0.400,,0.235,4.40,6,0.267,,0.100,3.00,5,4.08,4.37,0.19,0.311,3.40,0.00,0.00,3,0.328,,0.213,4.20,6,0.296,,0.151,5.40,33,3.63,3.81,0.28,0.307,5.00,0.00,0.00
Ivan Nova,$4.0K,R,PIT,SP,MIL,,,,,-3100,9,9.0,114,4.26,0.1,7,0.521,,0.412,1.70,11,0.110,,0.000,6.90,1,3.05,3.57,0.33,0.540,9.80,0.00,0.00,12.81,3.2,7,0.624,,0.700,1.80,11,0.422,,0.353,5.30,2,4.19,5.44,0.44,1.001,7.80,0.00,0.00,7,0.347,,0.315,3.00,11,0.388,,0.339,3.30,5,4.00,5.34,0.24,0.744,6.30,0.00,0.00,7,0.366,,0.218,2.30,11,0.307,,0.187,4.50,46,3.99,4.20,0.24,0.660,7.30,0.00,0.00
Ivan Nova,$4.0K,R,PIT,SP,MIL,,,,,-3100,9,9.0,114,4.26,0.1,7,0.521,,0.412,1.70,11,0.110,,0.000,6.90,1,3.05,3.57,0.33,0.540,9.80,0.00,0.00,12.81,3.2,7,0.624,,0.700,1.80,11,0.422,,0.353,5.30,2,4.19,5.44,0.44,1.001,7.80,0.00,0.00,7,0.347,,0.315,3.00,11,0.388,,0.339,3.30,5,4.00,5.34,0.24,0.744,6.30,0.00,0.00,7,0.366,,0.218,2.30,11,0.307,,0.187,4.50,46,3.99,4.20,0.24,0.660,7.30,0.00,0.00
Austin Voth,$4.0K,R,WAS,SP,@ NYM,,,,,-2400,3,10.0,-116,5.11,0.78,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.91,2.98,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
Sean Newcomb,$5.9K,L,ATL,SP,ARI,,,,,-1000,-4,8.0,-100,3.93,-0.13,1,0.352,,0.000,0.00,8,0.437,,0.272,8.40,1,6.15,7.71,0.25,0.428,7.50,0.00,0.00,16.84,2.85,1,0.195,,0.000,1.70,8,0.554,,0.500,6.70,2,6.85,8.65,0.43,0.514,6.10,0.00,0.00,1,0.318,,0.200,1.50,8,0.336,,0.208,6.30,5,4.41,5.13,0.26,0.334,5.70,0.00,0.00,1,0.328,,0.184,2.40,8,0.311,,0.135,7.10,36,3.96,4.51,0.16,0.313,6.60,0.00,0.00
Reynaldo Lopez,$5.4K,R,CHW,SP,KCR,,,,,-1100,-1,9.0,-126,4.7,0.13,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,15.11,2.8,3,0.325,,0.015,3.50,6,0.352,,0.077,3.50,2,5.32,5.69,0.00,0.343,3.50,0.00,0.00,3,0.329,,0.151,4.00,6,0.399,,0.158,4.00,4,4.71,5.90,0.15,0.376,4.00,0.00,0.00,3,0.328,,0.178,3.10,6,0.299,,0.132,4.10,23,4.67,5.77,0.14,0.309,3.80,0.00,0.00
Yefry Ramirez,$4.1K,R,BAL,SP,TEX,,,,,-1900, ,10.0,-112,5.09, ,5,0.744,,0.444,2.20,4,0.287,,0.060,6.80,1,4.71,5.03,0.50,0.541,4.20,0.00,0.00,11.15,2.72,5,0.503,,0.267,2.00,4,0.207,,0.071,6.00,2,4.26,5.02,0.14,0.371,3.80,0.00,0.00,5,0.418,,0.191,1.90,4,0.198,,0.048,5.10,3,4.07,4.50,0.10,0.320,3.40,0.00,0.00,5,0.378,,0.133,4.00,4,0.241,,0.112,4.50,4,3.75,4.48,0.15,0.317,4.20,0.00,0.00
Chris Archer,$6.7K,R,TBR,SP,@ MIN,,,,,-1800,8,8.0,116,3.77,0.06,7,0.376,,0.125,5.80,2,0.401,,0.042,2.90,1,5.26,4.62,0.00,0.382,5.20,0.00,0.00,18.2,2.72,7,0.376,,0.125,5.80,2,0.401,,0.042,2.90,1,5.26,4.62,0.00,0.382,5.20,0.00,0.00,7,0.376,,0.125,5.80,2,0.401,,0.042,2.90,1,5.26,4.62,0.00,0.382,5.20,0.00,0.00,7,0.338,,0.177,4.90,2,0.294,,0.147,6.20,46,2.89,3.54,0.20,0.328,5.20,0.00,0.00
Jeff Samardzija,$5.4K,R,SFG,SP,OAK,,,,,-200,-8,8.0,-113,4.07,-0.27,3,0.251,,0.000,1.80,6,0.341,,0.067,3.60,1,4.60,5.41,0.00,0.311,3.00,0.00,0.00,14.52,2.69,3,0.251,,0.000,1.80,6,0.341,,0.067,3.60,1,4.60,5.41,0.00,0.311,3.00,0.00,0.00,3,0.251,,0.000,1.80,6,0.341,,0.067,3.60,1,4.60,5.41,0.00,0.311,3.00,0.00,0.00,3,0.334,,0.225,4.90,6,0.302,,0.148,3.90,40,3.33,4.04,0.20,0.313,4.20,0.00,0.00
Sam Gaviglio,$4.0K,R,TOR,SP,@ BOS,,,,,-1500,-4,9.5,187,3.8,0.08,5,0.553,,0.286,0.00,4,0.440,,0.000,0.00,1,6.05,10.30,0.00,0.503,0.00,0.00,0.00,10.69,2.67,5,0.335,,0.191,2.90,4,0.384,,0.261,5.10,3,4.72,5.04,0.30,0.357,3.90,0.00,0.00,5,0.293,,0.130,3.50,4,0.398,,0.222,6.20,5,3.89,4.21,0.25,0.340,4.70,0.00,0.00,5,0.340,,0.206,2.70,4,0.343,,0.217,4.70,26,4.28,4.56,0.32,0.341,3.60,0.00,0.00
Jose Berrios,$7.1K,R,MIN,SP,TBR,,,,,-3900,9,8.0,-132,4.23,-0.06,5,0.178,,0.057,9.00,4,0.355,,0.167,1.30,1,2.53,2.06,0.00,0.257,5.60,0.00,0.00,18.93,2.67,5,0.304,,0.270,4.50,4,0.291,,0.192,1.90,2,3.47,4.38,0.27,0.298,3.40,0.00,0.00,5,0.287,,0.209,6.10,4,0.333,,0.160,2.60,5,3.52,4.43,0.27,0.307,4.50,0.00,0.00,5,0.312,,0.167,4.20,4,0.278,,0.139,4.90,44,3.28,4.12,0.18,0.297,4.50,0.00,0.00
Danny Duffy,$5.9K,L,KCR,SP,@ CHW,,,,,-1500,2,9.0,111,4.3,-0.13,0,0.293,,0.000,3.00,9,0.236,,0.000,10.50,1,2.40,2.05,0.00,0.236,10.50,0.00,0.00,15.48,2.62,0,0.330,,0.000,1.50,9,0.299,,0.089,7.50,2,3.84,3.89,0.25,0.299,7.50,0.00,0.00,0,0.311,,0.050,1.20,9,0.304,,0.130,8.10,5,3.66,4.54,0.18,0.304,8.10,0.00,0.00,0,0.234,,0.080,1.60,9,0.341,,0.178,6.90,41,3.86,4.67,0.16,0.341,6.90,0.00,0.00
