Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Marco Estrada,$4.1K,R,TOR,SP,NYY,,,,,-2400,9,9.5,126,4.38,-0.08,4,0.211,,0.100,1.50,5,0.322,,0.084,7.50,1,2.22,0.00,0.00,0.273,4.80,0.00,0.00,12.06,2.94,4,0.339,,0.185,2.00,5,0.404,,0.212,3.40,3,4.45,0.00,0.08,0.375,2.80,0.00,0.00,4,0.395,,0.271,3.20,5,0.337,,0.219,3.50,5,3.97,0.00,0.10,0.363,3.40,0.00,0.00,4,0.305,,0.210,3.70,5,0.363,,0.219,4.50,44,3.89,0.00,0.18,0.337,4.20,0.00,0.00
Steven Wright,$5.3K,R,BOS,SP,DET,,,,,-600,-2,10.0,-176,5.73,0.08,3,0.058,,0.000,4.50,6,0.230,,0.047,4.50,2,4.00,0.00,0.00,0.173,4.50,0.00,0.00,14.46,2.73,3,0.104,,0.000,3.40,6,0.224,,0.058,4.50,5,4.00,0.00,0.00,0.184,4.10,0.00,0.00,3,0.115,,0.000,2.80,6,0.268,,0.120,5.20,7,4.18,0.00,0.13,0.217,4.40,0.00,0.00,3,0.313,,0.207,2.80,6,0.383,,0.260,3.80,12,4.42,0.00,0.31,0.360,3.50,0.00,0.00
Jason Vargas,$5.0K,L,NYM,SP,BAL,,,,,-1100,2,8.5,-122,4.41,-0.08,1,0.174,,0.000,0.90,8,0.194,,0.043,4.50,2,4.06,0.00,0.00,0.192,4.10,0.00,0.00,12.49,2.5,1,0.336,,0.091,0.70,8,0.268,,0.131,6.90,3,3.76,0.00,0.08,0.276,6.20,0.00,0.00,1,0.291,,0.077,1.50,8,0.237,,0.095,7.50,4,3.14,0.00,0.07,0.243,6.80,0.00,0.00,1,0.367,,0.190,1.10,8,0.324,,0.181,6.20,37,4.13,0.00,0.21,0.329,5.70,0.00,0.00
Alex Cobb,$4.8K,R,BAL,SP,@ NYM,,,,,-1200,2,8.5,109,4.09,0.08,6,0.063,,0.000,9.00,3,0.275,,0.200,1.50,1,1.82,0.00,0.00,0.134,6.50,0.00,0.00,11.93,2.49,6,0.235,,0.091,5.60,3,0.357,,0.200,1.70,3,4.23,0.00,0.14,0.276,4.30,0.00,0.00,6,0.305,,0.173,6.50,3,0.388,,0.266,2.00,4,4.14,0.00,0.26,0.333,5.00,0.00,0.00,6,0.323,,0.172,3.30,3,0.326,,0.173,3.30,38,4.31,0.00,0.21,0.324,3.30,0.00,0.00
Brad Keller,$4.2K,R,KCR,SP,@ LAA,,,,,-1300,-1,8.0,166,3.37,-0.16,1,0.174,,0.000,1.30,8,0.327,,0.048,6.30,2,4.16,0.00,0.00,0.310,5.80,0.00,0.00,10.39,2.47,1,0.218,,0.071,1.80,8,0.281,,0.039,5.30,4,4.32,0.00,0.00,0.274,5.00,0.00,0.00,1,0.229,,0.040,2.80,8,0.213,,0.029,6.20,7,4.10,0.00,0.00,0.215,5.80,0.00,0.00,1,0.232,,0.032,2.40,8,0.255,,0.121,5.20,19,4.95,0.00,0.11,0.252,4.90,0.00,0.00
Matt Moore,$4.5K,L,TEX,SP,OAK,,,,,-1300, ,10.5,129,4.81,0.24,1,0.527,,0.111,1.60,8,0.348,,0.225,4.90,2,4.63,0.00,0.09,0.368,4.50,0.00,0.00,11,2.44,1,0.527,,0.111,1.60,8,0.348,,0.225,4.90,2,4.63,0.00,0.09,0.368,4.50,0.00,0.00,1,0.527,,0.077,1.00,8,0.374,,0.221,8.30,4,4.37,0.00,0.13,0.391,7.50,0.00,0.00,1,0.450,,0.252,1.60,8,0.341,,0.187,5.90,43,4.34,0.00,0.17,0.353,5.50,0.00,0.00
Dallas Keuchel,$7.9K,L,HOU,SP,SEA,,,,,-500,4,7.5,-117,3.85,-0.09,3,0.355,,0.230,2.40,6,0.353,,0.200,5.60,2,4.24,0.00,0.33,0.354,4.50,0.00,0.00,19.31,2.44,3,0.354,,0.210,2.10,6,0.340,,0.164,5.80,3,4.24,0.00,0.25,0.345,4.50,0.00,0.00,3,0.327,,0.242,2.80,6,0.310,,0.141,5.20,5,4.07,0.00,0.21,0.316,4.40,0.00,0.00,3,0.235,,0.116,2.60,6,0.293,,0.142,6.30,35,4.31,0.00,0.29,0.274,5.00,0.00,0.00
Jose Urena,$5.6K,R,MIA,SP,@ STL,,,,,-1200,4,8.0,169,3.34,0.41,3,0.300,,0.050,1.60,6,0.359,,0.137,4.90,2,4.18,0.00,0.17,0.339,3.80,0.00,0.00,12.78,2.28,3,0.281,,0.134,2.60,6,0.387,,0.205,5.30,3,3.64,0.00,0.30,0.352,4.40,0.00,0.00,3,0.284,,0.111,2.80,6,0.331,,0.177,4.00,5,4.23,0.00,0.29,0.315,3.60,0.00,0.00,3,0.317,,0.175,2.60,6,0.305,,0.159,4.30,44,4.30,0.00,0.19,0.309,3.70,0.00,0.00
Max Scherzer,$13.3K,R,WAS,SP,TBR,,,,,1300, ,6.5,-254,4.09,-0.29,2,0.187,,0.062,3.90,7,0.126,,0.053,10.10,2,0.58,0.00,0.00,0.140,8.70,0.00,0.00,29.95,2.25,2,0.254,,0.174,3.30,7,0.199,,0.070,8.60,3,1.64,0.00,0.10,0.211,7.40,0.00,0.00,2,0.286,,0.232,6.80,7,0.186,,0.066,9.60,4,1.25,0.00,0.19,0.208,9.00,0.00,0.00,2,0.287,,0.178,5.90,7,0.189,,0.092,7.80,41,1.79,0.00,0.15,0.211,7.40,0.00,0.00
Corey Kluber,$12.6K,R,CLE,SP,MIL,,,,,1100, ,7.5,-203,4.45,-0.04,4,0.146,,0.000,4.80,5,0.260,,0.087,6.90,2,1.50,0.00,0.00,0.209,6.00,0.00,0.00,27.61,2.19,4,0.181,,0.000,4.20,5,0.243,,0.068,7.10,3,2.03,0.00,0.00,0.215,5.80,0.00,0.00,4,0.193,,0.000,3.80,5,0.268,,0.103,6.50,5,2.36,0.00,0.07,0.235,5.30,0.00,0.00,4,0.253,,0.135,5.30,5,0.239,,0.135,6.60,40,2.18,0.00,0.25,0.245,6.00,0.00,0.00
