Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Dan Straily,$5.0K,R,MIA,SP,MIL,,,,,-1200,4,7.5,156,3.22,-0.29,3,0.326,,0.022,1.50,6,0.142,,-0.011,0.00,1,6.25,6.51,0.00,0.203,0.50,0.00,0.00,12.99,2.6,3,0.293,,0.140,4.20,6,0.227,,0.048,1.40,2,4.62,5.67,0.11,0.249,2.30,0.00,0.00,3,0.265,,0.149,4.60,6,0.354,,0.265,3.20,5,3.78,5.20,0.29,0.324,3.70,0.00,0.00,3,0.331,,0.193,4.50,6,0.332,,0.225,4.00,44,3.78,4.86,0.23,0.332,4.20,0.00,0.00
Luke Weaver,$7.7K,R,STL,SP,@ CHW,,,,,1100,-9,9.5,-157,5.26,0.43,6,0.136,,0.200,3.40,3,0.080,,0.000,4.50,1,2.15,3.86,0.13,0.117,3.80,0.00,0.00,19.87,2.58,6,0.348,,0.275,4.40,3,0.253,,0.200,4.40,2,2.86,4.41,0.23,0.316,4.40,0.00,0.00,6,0.383,,0.305,4.90,3,0.320,,0.148,4.60,5,3.43,4.42,0.29,0.362,4.80,0.00,0.00,6,0.323,,0.155,4.30,3,0.305,,0.142,5.70,29,3.46,3.87,0.21,0.317,4.80,0.00,0.00
Chris Bassitt,$5.4K,R,OAK,SP,@ HOU,,,,,-1500,4,8.5,180,3.44,0.37,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.32,2.47,2,0.285,,0.011,3.50,7,0.315,,0.106,6.20,2,4.05,5.01,0.00,0.308,5.60,0.00,0.00,2,0.275,,0.007,4.20,7,0.340,,0.139,4.20,4,4.17,4.67,0.08,0.326,4.20,0.00,0.00,2,0.255,,0.026,3.80,7,0.300,,0.106,4.50,5,3.93,4.51,0.06,0.290,4.30,0.00,0.00
Sam Gaviglio,$5.1K,R,TOR,SP,@ ATL,,,,,-1600,4,8.5,172,3.52,-0.5,5,0.374,,0.272,4.40,4,0.250,,0.000,8.80,1,4.35,3.66,1.00,0.319,6.30,0.00,0.00,12.57,2.46,5,0.257,,0.166,3.20,4,0.374,,0.315,5.70,2,4.57,4.31,0.60,0.309,4.30,0.00,0.00,5,0.232,,0.103,3.70,4,0.395,,0.244,6.50,4,3.66,3.73,0.36,0.304,5.00,0.00,0.00,5,0.332,,0.204,2.70,4,0.342,,0.219,4.70,25,4.25,4.49,0.34,0.336,3.60,0.00,0.00
German Marquez,$5.1K,R,COL,SP,ARI,,,,,-1400,2,12.0,-125,6.27,0.18,6,0.390,,0.250,1.50,3,0.088,,0.000,6.00,1,3.98,2.14,0.50,0.289,3.00,0.00,0.00,12.42,2.44,6,0.206,,0.111,1.90,3,0.139,,0.143,7.10,2,2.03,2.45,0.22,0.184,3.60,0.00,0.00,6,0.368,,0.182,3.70,3,0.220,,0.173,6.20,5,2.98,3.27,0.29,0.319,4.50,0.00,0.00,6,0.338,,0.164,3.80,3,0.341,,0.233,5.10,46,3.64,4.10,0.23,0.339,4.20,0.00,0.00
Bartolo Colon,$4.1K,R,TEX,SP,@ BOS,,,,,-2000,5,8.5,308,2.66,-0.03,5,0.146,,0.000,2.20,4,0.292,,0.353,1.10,1,4.66,3.97,0.50,0.211,1.70,0.00,0.00,9.55,2.33,5,0.237,,0.048,1.40,4,0.369,,0.380,2.10,2,5.21,4.77,0.38,0.296,1.70,0.00,0.00,5,0.305,,0.114,2.40,4,0.322,,0.234,1.40,4,4.81,4.96,0.15,0.313,2.00,0.00,0.00,5,0.361,,0.221,2.60,4,0.365,,0.247,3.30,44,4.43,4.83,0.23,0.363,2.90,0.00,0.00
Lance Lynn,$6.4K,R,MIN,SP,KCR,,,,,-1100,5,9.5,-193,5.57,-0.13,4,0.293,,0.000,0.00,5,0.262,,0.000,4.50,1,5.59,4.34,0.00,0.276,2.50,0.00,0.00,14.57,2.28,4,0.562,,0.363,0.00,5,0.296,,0.043,5.00,2,5.98,5.59,0.25,0.414,2.80,0.00,0.00,4,0.406,,0.167,1.50,5,0.290,,0.107,6.90,5,4.68,4.12,0.20,0.342,4.50,0.00,0.00,4,0.361,,0.208,2.80,5,0.283,,0.123,5.60,47,4.23,4.66,0.20,0.318,4.40,0.00,0.00
Kenta Maeda,$9.3K,R,LAD,SP,@ SDP,,,,,-200,5,7.5,-162,4.19,0.03,5,0.000,,0.000,6.90,4,0.264,,0.094,8.70,1,1.24,2.30,0.00,0.117,7.70,0.00,0.00,21.12,2.27,5,0.043,,0.000,4.40,4,0.324,,0.202,8.80,2,1.82,2.82,0.11,0.168,6.40,0.00,0.00,5,0.191,,0.027,3.70,4,0.267,,0.157,6.70,4,2.66,3.49,0.07,0.225,5.00,0.00,0.00,5,0.326,,0.183,4.00,4,0.262,,0.152,6.80,42,2.87,3.64,0.21,0.298,5.20,0.00,0.00
Sonny Gray,$6.8K,R,NYY,SP,@ BAL,,,,,-500, ,9.0,-174,5.12,-0.07,1,0.863,,0.750,4.50,8,0.414,,0.125,13.50,1,4.17,4.55,1.00,0.464,12.50,0.00,0.00,14.61,2.15,1,0.780,,0.637,2.20,8,0.415,,0.100,6.60,2,5.52,6.42,0.67,0.456,6.10,0.00,0.00,1,0.477,,0.258,3.50,8,0.362,,0.177,7.70,4,4.33,3.98,0.31,0.375,7.20,0.00,0.00,1,0.309,,0.142,4.20,8,0.318,,0.172,5.00,41,3.96,4.02,0.22,0.317,5.00,0.00,0.00
Matt Andriese,$5.1K,R,TBR,SP,DET,,,,,-400,-4,7.5,-133,3.97,-0.04,3,0.313,,0.000,3.00,6,0.196,,0.000,9.00,2,3.47,3.08,0.00,0.235,7.00,0.00,0.00,10.85,2.13,3,0.174,,0.000,1.80,6,0.222,,0.000,5.40,3,4.28,3.83,0.00,0.206,4.20,0.00,0.00,3,0.136,,0.005,1.30,6,0.373,,0.191,4.70,6,4.59,4.65,0.10,0.294,3.60,0.00,0.00,3,0.253,,0.111,3.50,6,0.372,,0.240,5.40,39,3.72,4.13,0.24,0.332,4.80,0.00,0.00
