Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Luis Castillo,$6.8K,R,CIN,SP,STL,,,,,400,-1,9.5,-113,4.83,-0.09,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,15.55,2.29,3,0.696,,0.667,0.00,6,0.177,,0.083,3.60,1,4.52,2.36,0.50,0.350,2.40,0.00,0.00,3,0.390,,0.190,4.70,6,0.263,,0.073,2.30,4,4.01,2.50,0.11,0.305,3.10,0.00,0.00,3,0.337,,0.221,4.00,6,0.295,,0.149,5.20,35,3.70,3.74,0.28,0.309,4.80,0.00,0.00
Luke Farrell,$4.8K,R,CHC,SP,ARI,,,,,-700, ,8.5,-104,4.32,-0.1,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.79,2.25,6,0.412,,0.000,4.50,3,0.000,,0.000,4.50,1,6.56,7.16,0.00,0.275,4.50,0.00,0.00,6,0.332,,0.000,3.70,3,0.232,,0.200,4.90,6,4.97,5.81,0.20,0.299,4.10,0.00,0.00,6,0.371,,0.224,4.30,3,0.292,,0.174,7.30,27,3.86,5.08,0.22,0.345,5.30,0.00,0.00
Luis Santos,$4.6K,R,TOR,SP,MIN,,,,,-900,2,9.5,-121,4.91,0.02,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.31,2.24,7,0.543,,0.428,6.00,2,0.000,,0.000,3.00,2,2.05,1.16,0.25,0.422,5.30,0.00,0.00,7,0.426,,0.272,4.40,2,0.188,,0.000,5.90,4,2.32,1.32,0.25,0.373,4.80,0.00,0.00,7,0.343,,0.239,4.70,2,0.355,,0.260,6.00,13,3.42,4.13,0.25,0.346,5.00,0.00,0.00
Kevin Gausman,$6.0K,R,BAL,SP,BOS,,,,,-300,1,9.0,170,3.74,-0.22,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.16,2.19,6,0.391,,0.000,0.00,3,0.549,,0.333,3.60,1,5.37,3.56,0.17,0.444,1.20,0.00,0.00,6,0.365,,0.250,2.20,3,0.310,,0.111,2.60,4,4.45,3.29,0.17,0.347,2.40,0.00,0.00,6,0.345,,0.172,3.80,3,0.354,,0.191,5.00,52,3.85,4.19,0.25,0.348,4.20,0.00,0.00
Francisco Liriano,$6.6K,L,DET,SP,@ KCR,,,,,400,-2,10.0,-114,5.09,0.25,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.38,2.18,1,0.000,,0.000,3.50,8,0.581,,0.278,7.10,2,4.88,4.28,0.50,0.516,6.70,0.00,0.00,1,0.000,,0.000,1.10,8,0.455,,0.246,6.80,4,5.09,4.74,0.33,0.404,6.20,0.00,0.00,1,0.262,,0.124,2.10,8,0.370,,0.188,6.10,51,4.63,5.04,0.19,0.358,5.60,0.00,0.00
Jacob deGrom,$12.2K,R,NYM,SP,SDP,,,,,700,1,6.5,-164,3.66,-0.55,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,26.44,2.17,5,0.216,,0.056,5.60,4,0.131,,0.000,2.20,1,3.08,1.78,0.00,0.178,4.10,0.00,0.00,5,0.241,,0.103,5.30,4,0.246,,0.150,4.10,3,2.68,1.99,0.14,0.243,4.80,0.00,0.00,5,0.297,,0.131,4.80,4,0.261,,0.126,6.00,50,2.78,3.12,0.21,0.281,5.30,0.00,0.00
Heath Fillmyer,$4.8K,R,KCR,SP,DET,,,,,-900,1,10.0,-100,4.91,0.25,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.26,2.14,5,0.196,,0.000,8.60,4,0.951,,0.750,0.00,1,5.39,4.01,0.50,0.532,4.80,0.00,0.00,5,0.202,,0.000,3.20,4,0.504,,0.188,1.60,4,5.73,3.66,0.17,0.336,2.50,0.00,0.00,5,0.224,,0.000,2.40,4,0.437,,0.260,1.80,5,5.80,4.45,0.22,0.319,2.10,0.00,0.00
Ross Stripling,$10.2K,R,LAD,SP,@ PHI,,,,,600,1,8.0,-158,4.44,-0.15,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,20.18,1.98,3,0.146,,0.000,4.50,6,0.402,,0.167,3.00,1,3.60,2.49,0.00,0.317,3.50,0.00,0.00,3,0.199,,0.024,5.10,6,0.408,,0.255,3.90,4,3.36,2.12,0.20,0.338,4.30,0.00,0.00,3,0.256,,0.101,5.10,6,0.319,,0.176,5.30,72,3.01,3.09,0.22,0.298,5.20,0.00,0.00
Adalberto Mejia,$5.6K,L,MIN,SP,@ TOR,,,,,100,-4,9.5,107,4.59,-0.02,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.74,1.92,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,1,0.352,,0.000,0.00,8,0.398,,0.000,2.20,1,6.96,7.01,0.00,0.393,2.00,0.00,0.00,1,0.350,,0.189,1.70,8,0.356,,0.171,6.70,21,4.36,5.14,0.19,0.355,6.10,0.00,0.00
Corey Kluber,$12.2K,R,CLE,SP,PIT,,,,,1200,-1,8.5,-259,5.38,-0.01,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,22.79,1.87,4,0.428,,0.500,6.30,5,0.353,,0.154,5.10,1,2.71,1.52,0.20,0.386,5.60,0.00,0.00,4,0.369,,0.285,4.20,5,0.356,,0.191,3.80,4,3.73,2.44,0.18,0.362,4.00,0.00,0.00,4,0.265,,0.151,5.10,5,0.248,,0.140,6.00,48,2.32,2.66,0.24,0.256,5.60,0.00,0.00
