Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Mike Minor,$5.4K,L,TEX,SP,@ MIN,,,,,-1100, ,9.0,-110,4.42,0.15,3,0.146,,0.000,1.30,6,0.239,,0.052,6.40,1,3.68,0.00,0.00,0.208,4.70,0.00,0.00,14.1,2.61,3,0.266,,0.125,0.70,6,0.276,,0.128,6.20,2,3.84,0.00,0.10,0.273,4.40,0.00,0.00,3,0.373,,0.285,0.40,6,0.316,,0.203,5.60,4,4.23,0.00,0.17,0.335,3.90,0.00,0.00,3,0.223,,0.092,3.00,6,0.331,,0.210,6.90,74,3.11,0.00,0.15,0.295,5.60,0.00,0.00
Danny Duffy,$5.3K,L,KCR,SP,@ HOU,,,,,-1400,3,8.5,267,2.96,0.08,0,0.000,,0.000,0.00,9,0.362,,0.208,7.50,1,4.73,0.00,0.17,0.000,0.00,0.00,0.00,13.38,2.52,0,0.293,,0.000,0.70,9,0.268,,0.111,9.70,2,3.33,0.00,0.13,0.268,9.70,0.00,0.00,0,0.293,,0.000,0.80,9,0.301,,0.140,6.40,4,4.83,0.00,0.13,0.301,6.40,0.00,0.00,0,0.225,,0.084,1.60,9,0.347,,0.185,6.80,37,3.92,0.00,0.16,0.347,6.80,0.00,0.00
Jose Quintana,$8.6K,L,CHC,SP,@ CIN,,,,,400,2,8.5,-138,4.56,-0.22,2,0.000,,0.000,0.00,7,0.272,,0.000,5.40,1,5.38,0.00,0.00,0.212,4.20,0.00,0.00,20.43,2.38,2,0.208,,0.166,0.00,7,0.304,,0.182,4.90,2,5.12,0.00,0.33,0.283,3.80,0.00,0.00,2,0.322,,0.200,2.40,7,0.254,,0.128,7.20,5,3.40,0.00,0.23,0.269,6.10,0.00,0.00,2,0.248,,0.109,2.50,7,0.320,,0.177,8.10,44,3.39,0.00,0.21,0.304,6.80,0.00,0.00
Luis Castillo,$5.8K,R,CIN,SP,CHC,,,,,-1500,7,8.5,124,3.94,-0.28,5,0.556,,0.500,1.80,4,0.328,,0.300,1.80,1,5.90,0.00,0.29,0.455,1.80,0.00,0.00,13.75,2.37,5,0.411,,0.312,4.10,4,0.355,,0.371,5.70,2,3.65,0.00,0.40,0.386,4.80,0.00,0.00,5,0.392,,0.225,3.60,4,0.311,,0.305,5.80,4,3.79,0.00,0.38,0.356,4.60,0.00,0.00,5,0.324,,0.220,4.10,4,0.301,,0.164,5.70,29,3.60,0.00,0.29,0.314,4.80,0.00,0.00
Chris Bassitt,$6.7K,R,OAK,SP,@ CHW,,,,,-100,-2,9.0,-139,4.82,-0.31,8,0.126,,0.000,4.50,10,0.490,,0.214,2.20,1,4.53,0.00,0.33,0.656,6.50,0.00,0.00,15.71,2.34,8,0.158,,0.058,3.30,10,0.332,,0.107,4.10,2,3.75,0.00,0.13,0.509,7.50,0.00,0.00,8,0.158,,0.058,3.30,10,0.332,,0.107,4.10,2,3.75,0.00,0.13,0.509,7.50,0.00,0.00,8,0.158,,0.058,3.30,10,0.332,,0.107,4.10,2,3.75,0.00,0.13,0.509,7.50,0.00,0.00
Alex Cobb,$4.9K,R,BAL,SP,@ ATL,,,,,-1100, ,8.5,160,3.63,0.12,6,0.313,,0.167,3.90,3,0.409,,0.400,3.90,1,4.00,0.00,0.40,0.345,3.90,0.00,0.00,11.12,2.27,6,0.539,,0.450,2.60,3,0.394,,0.207,7.10,2,3.70,0.00,0.36,0.491,4.10,0.00,0.00,6,0.331,,0.205,4.30,3,0.351,,0.224,3.90,4,3.78,0.00,0.22,0.338,4.10,0.00,0.00,6,0.337,,0.188,3.30,3,0.333,,0.176,3.50,40,4.28,0.00,0.22,0.336,3.30,0.00,0.00
Chris Stratton,$7.3K,R,SFG,SP,SDP,,,,,-400,5,7.5,-115,3.82,-0.18,6,0.142,,0.000,1.50,3,0.176,,0.000,3.00,1,4.42,0.00,0.00,0.153,2.00,0.00,0.00,16.28,2.23,6,0.230,,0.061,0.70,3,0.169,,0.000,3.50,2,4.85,0.00,0.00,0.210,1.60,0.00,0.00,6,0.267,,0.096,3.50,3,0.282,,0.114,3.50,5,4.01,0.00,0.10,0.272,3.50,0.00,0.00,6,0.338,,0.154,3.50,3,0.299,,0.133,4.30,26,4.38,0.00,0.14,0.325,3.80,0.00,0.00
Lucas Giolito,$4.5K,R,CHW,SP,OAK,,,,,-1500,2,9.0,122,4.18,-0.19,6,0.446,,0.000,1.80,12,0.334,,0.438,8.80,1,3.67,0.00,0.29,0.743,12.90,0.00,0.00,9.68,2.15,6,0.353,,0.130,2.70,12,0.364,,0.421,5.30,2,4.85,0.00,0.23,0.721,8.90,0.00,0.00,6,0.410,,0.215,2.80,12,0.278,,0.242,4.50,3,4.94,0.00,0.22,0.644,7.80,0.00,0.00,6,0.358,,0.210,2.70,12,0.311,,0.189,3.50,20,4.95,0.00,0.20,0.653,6.50,0.00,0.00
Alex Wood,$9.1K,L,LAD,SP,@ NYM,,,,,1700,-11,7.5,-144,4.06,-0.35,2,0.110,,0.000,0.00,7,0.267,,0.000,3.50,1,5.66,0.00,0.00,0.232,2.70,0.00,0.00,19.27,2.12,2,0.243,,0.063,1.00,7,0.334,,0.074,6.70,2,4.22,0.00,0.00,0.314,5.40,0.00,0.00,2,0.226,,0.040,2.20,7,0.464,,0.321,7.10,4,3.79,0.00,0.33,0.411,6.00,0.00,0.00,2,0.257,,0.085,2.50,7,0.285,,0.161,6.80,40,3.36,0.00,0.20,0.279,5.90,0.00,0.00
Dallas Keuchel,$8.4K,L,HOU,SP,KCR,,,,,-200,7,8.5,-283,5.54,-0.08,2,0.330,,0.000,1.50,7,0.217,,0.062,6.00,1,5.56,0.00,0.00,0.242,5.00,0.00,0.00,17.47,2.08,2,0.431,,0.000,1.80,7,0.330,,0.067,5.30,2,4.76,0.00,0.00,0.352,4.60,0.00,0.00,2,0.396,,0.105,2.00,7,0.339,,0.129,5.60,5,4.41,0.00,0.20,0.352,4.80,0.00,0.00,2,0.254,,0.106,2.50,7,0.299,,0.141,6.20,37,4.33,0.00,0.28,0.289,5.40,0.00,0.00
