Rank,Name,Team,Position,Opponent,HomeOrAway,Started_YN,Saves,InningsPitched,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingHomeRuns,PitchingWalks,PitchingStrikeouts,PitchingBattingAverageAgainst,WalksHitsPerInningsPitched,FantasyPointsDraftKings
1,Trevor Bauer,CLE,SP,TEX,AWAY,Y,0,5.2,5.56,2.69,2.69,0,2.27,8.01,-2,1.383,20.82
2,Stephen Strasburg,WSH,SP,ATL,HOME,Y,0,6.0,5.28,2.2,2.2,0,1.66,6.94,-2.5,1.151,20.6
3,Robbie Ray,ARI,SP,COL,HOME,Y,0,5.2,4.77,2.07,2.07,0,2.2,6.49,-2.5,1.228,18.87
4,Rich Hill,LAD,SP,MIL,AWAY,Y,0,5.0,4.84,2.45,2.45,0,2.15,7.05,-2.5,1.357,18.51
5,Jake Arrieta,PHI,SP,SD,HOME,Y,0,5.2,5.56,2.35,2.35,0,2.1,5.6,-3,1.326,17.15
6,Noah Syndergaard,NYM,SP,NYY,AWAY,Y,0,5.1,5.67,1.83,1.83,0,1.61,5.89,-3,1.379,17.01
7,Jack Flaherty,STL,SP,CHC,AWAY,Y,0,5.1,4.36,2.18,2.18,0,2.61,6.3,-1.333,1.315,16.82
8,Dylan Bundy,BAL,SP,TOR,AWAY,Y,0,5.1,5.05,3.12,3.12,0,1.83,6.54,-2.5,1.262,16.59
9,Jameson Taillon,PIT,SP,CIN,AWAY,Y,0,5.2,5.3,2.28,2.28,0,1.96,5.43,-2.5,1.287,16.3
10,Dallas Keuchel,HOU,SP,LAA,AWAY,Y,0,5.1,4.91,2.34,2.34,0,2.09,5.3,-2.5,1.28,15.79
11,David Price,BOS,SP,DET,AWAY,Y,0,5.2,5.67,2.81,2.81,0,1.97,5.85,-3,1.364,15.7
12,Tyler Skaggs,LAA,SP,HOU,HOME,Y,0,5.2,5.04,2.89,2.89,0,1.66,5.63,-2.5,1.175,15.65
13,Anibal Sanchez,ATL,SP,WSH,AWAY,Y,0,5.2,4.3,2.13,2.13,0,1.39,4.57,-2,1.005,15.6
14,Jon Lester,CHC,SP,STL,HOME,Y,0,5.1,4.52,2.14,2.14,0,2.53,5.38,-1.667,1.33,15.55
15,Kyle Gibson,MIN,SP,KC,AWAY,Y,0,5.2,5.76,2.58,2.58,0,2.02,5.53,-3,1.361,15.33
16,Dan Straily,MIA,SP,TB,AWAY,Y,0,5.1,5.2,2.21,2.21,0,1.77,5.09,-2.5,1.31,15.22
17,Domingo German,NYY,SP,NYM,HOME,Y,0,5.1,4.62,2.62,2.62,0,2.22,5.55,-2.5,1.31,14.72
18,Wade LeBlanc,SEA,SP,CHW,HOME,Y,0,5.2,5.35,2.35,2.35,0,1.56,4.39,-2.5,1.245,13.91
19,Nathan Eovaldi,TB,SP,MIA,HOME,Y,0,5.2,5.61,2.37,2.37,0,1.89,4.59,-3,1.355,13.86
20,Tyler Mahle,CIN,SP,PIT,HOME,Y,0,5.1,5.22,2.52,2.52,0,1.83,5.1,-2.5,1.364,13.67
21,German Marquez,COL,SP,ARI,AWAY,Y,0,4.3,4.58,2.72,2.72,0,2.18,5.32,-2.5,1.36,13.62
22,Sam Gaviglio,TOR,SP,BAL,HOME,Y,0,5.1,5.46,2.53,2.53,0,1.69,4.8,-2.5,1.331,13.22
23,Clayton Richard,SD,SP,PHI,AWAY,Y,0,5.2,4.97,2.74,2.74,0,2.33,4.54,-1.667,1.297,12.97
24,Dereck Rodriguez,SF,SP,OAK,AWAY,Y,0,5.0,5.26,2.73,2.73,0,2.05,4.83,-2.5,1.428,12.69
25,Danny Duffy,KC,SP,MIN,HOME,Y,0,5.1,5.39,2.97,2.97,0,2.18,4.13,-2.5,1.439,10.82
26,James Shields,CHW,SP,SEA,AWAY,Y,0,5.1,5.46,3.58,3.58,0,2.1,4.21,-2.5,1.395,10.05
27,Edwin Jackson,OAK,SP,SF,HOME,Y,0,4.2,5.36,2.68,2.68,0,1.94,4.32,-2.5,1.534,10.01
28,Wade Miley,MIL,SP,LAD,HOME,Y,0,4.2,4.17,3.04,3.04,0,2.99,4.37,-1.333,1.534,9.83
29,Matthew Boyd,DET,SP,BOS,HOME,Y,0,5.0,4.98,3.6,3.6,0,2.34,4.04,-1.667,1.45,8.74
30,Martin Perez,TEX,SP,CLE,HOME,Y,0,4.2,5.25,3.12,3.12,0,2.23,2.69,-2.5,1.555,6.23
31,Adam Wainwright,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Michael Wacha,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luke Weaver,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,John Gant,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Miles Mikolas,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Carlos Martinez,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Bud Norris,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luke Gregerson,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Greg Holland,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Dominic Leone,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tyler Lyons,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brett Cecil,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Matt Bowman,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tyler Webb,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Mayers,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Sam Tuivailala,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Austin Gomber,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Conner Greene,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jordan Hicks,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Alex Reyes,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ryan Sherriff,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Daniel Poncedeleon,STL,SP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,John Brebbia,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Deriana Gonzalez,STL,RP,CHC,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Kyle Hendricks,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Yu Darvish,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jose Quintana,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tyler Chatwood,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mike Montgomery,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Carl Edwards Jr.,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Pedro Strop,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Eddie Butler,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Steve Cishek,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brian Duensing,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Cory Mazzoni,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Justin Wilson,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brandon Morrow,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Drew Smyly,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Anthony Bass,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Justin Hancock,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Alec Mills,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Randy Rosario,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Oscar De La Cruz,CHC,P,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luke Farrell,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jen-Ho Tseng,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Dillon Maples,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Duane Underwood,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Rob Zastryzny,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Adbert Alzolay,CHC,SP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,James Norwood,CHC,RP,STL,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Eric Lauer,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Joey Lucchesi,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luis Perdomo,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Bryan Mitchell,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tyson Ross,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Phil Hughes,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jordan Lyles,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Robbie Erlin,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Kirby Yates,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Craig Stammen,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Colin Rea,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Matt Strahm,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Colten Brewer,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jose Castillo,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Andrew Lockett,SD,P,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Dinelson Lamet,SD,SP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Miguel Diaz,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Phil Maton,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Brad Wieck,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Kazuhisa Makita,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Robert Stock,SD,RP,PHI,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Vince Velasquez,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ben Lively,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tommy Hunter,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Pat Neshek,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Luis Garcia,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Adam Morgan,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Hector Neris,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jerad Eickhoff,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Drew Anderson,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Aaron Nola,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Edubray Ramos,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Victor Arano,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Zach Eflin,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Franklyn Kilome,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Nick Pivetta,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Yacksel Rios,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Enyel De Los Santos,PHI,P,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Zac Curtis,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Seranthony Dominguez,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Mark Leiter Jr.,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ranger Suarez,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Austin Davis,PHI,RP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jose Taveras,PHI,SP,SD,HOME,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jacob deGrom,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Steven Matz,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jason Vargas,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Seth Lugo,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Zack Wheeler,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Corey Oswalt,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Drew Gagnon,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,A.J. Ramos,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Anthony Swarzak,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jeurys Familia,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Rafael Montero,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jerry Blevins,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Robert Gsellman,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Ty Bashlor,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jamie Callahan,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Paul Sewald,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Drew Smith,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Jacob Rhame,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Christoper Flexen,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,P.J. Conlon,NYM,SP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
31,Tim Peterson,NYM,RP,NYY,AWAY,N,0,0.0,0,0,0,0,0,0,0,0,0
