Rank,Name,Team,Position,Opponent,HomeOrAway,Started_YN,Saves,InningsPitched,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingHomeRuns,PitchingWalks,PitchingStrikeouts,PitchingBattingAverageAgainst,WalksHitsPerInningsPitched,FantasyPointsDraftKings
1,Justin Verlander,HOU,SP,DET,HOME,Y,0,6.1,4.74,2.5,2.5,0,1.62,8.61,-2.5,1.026,23.89
2,Clayton Kershaw,LAD,SP,LAA,HOME,Y,0,6.0,5.57,2.18,2.18,0,1.29,7.31,-3,1.121,22.73
3,Trevor Bauer,CLE,SP,NYY,HOME,Y,0,5.2,5.5,2.56,2.56,0,2.21,7.1,-3,1.402,18.47
4,Patrick Corbin,ARI,SP,ATL,AWAY,Y,0,5.2,5.45,2.18,2.18,0,1.84,6.04,-2.5,1.25,17.68
5,Jon Lester,CHC,SP,SD,AWAY,Y,0,5.2,5,2.15,2.15,0,1.99,5.62,-2.5,1.242,17.37
6,Andrew Suarez,SF,SP,OAK,HOME,Y,0,5.1,5.03,2.15,2.15,0,1.83,5.65,-2.5,1.25,16.75
7,Masahiro Tanaka,NYY,SP,CLE,AWAY,Y,0,5.2,5.31,2.64,2.64,0,1.72,5.75,-2.5,1.251,15.9
8,Mike Minor,TEX,SP,BAL,AWAY,Y,0,5.1,5,2.58,2.58,0,1.46,4.96,-2.5,1.213,14.68
9,Miles Mikolas,STL,SP,CIN,HOME,Y,0,5.3,6.09,2.67,2.67,0,1.52,4.8,-3,1.299,14.48
10,Eric Lauer,SD,SP,CHC,HOME,Y,0,5.0,4.75,2.33,2.33,0,2.78,5.33,-1.667,1.463,14.2
11,Sean Manaea,OAK,SP,SF,AWAY,Y,0,5.3,5.81,2.76,2.76,0,1.58,4.52,-3,1.253,13.96
12,Jhoulys Chacin,MIL,SP,PIT,AWAY,Y,0,5.2,5.11,2.27,2.27,0,2.24,4.26,-2.5,1.292,13.84
13,Miguel Castro,BAL,SP,TEX,HOME,Y,0,4.2,4.39,2.38,2.38,0,2.12,5.09,-2,1.394,13.47
14,Joe Musgrove,PIT,SP,MIL,HOME,Y,0,5.0,5.21,2.76,2.76,0,1.77,4.9,-2.5,1.353,12.99
15,Fernando Romero,MIN,SP,TB,HOME,Y,0,5.1,5.1,2.57,2.57,0,1.83,4.46,-2.5,1.308,12.96
16,Jeremy Hellickson,WSH,SP,NYM,AWAY,Y,0,5.2,4.88,3,3,0,1.38,4.41,-2.5,1.132,12.75
17,Julio Teheran,ATL,SP,ARI,HOME,Y,0,5.0,4.65,2.65,2.65,0,2.29,4.57,-1.667,1.363,12.2
18,Anthony DeSclafani,CIN,SP,STL,AWAY,Y,0,5.1,5.24,2.83,2.83,0,1.86,4.45,-2.5,1.34,11.89
19,Tyler Anderson,COL,SP,SEA,HOME,Y,0,5.1,5.44,3.38,3.38,0,2.14,4.76,-2.5,1.444,11.23
20,Brian Johnson,BOS,SP,TOR,HOME,Y,0,4.3,5.99,2.74,2.74,0,1.79,4.6,-3,1.588,10.92
21,Ryne Stanek,TB,SP,MIN,AWAY,Y,0,4.3,3.86,2.38,2.38,0,2.05,3.37,-2,1.204,10.73
